Target,Response,Informant
I don't care for any,I don't care for any,NY1
I don't care for any,I don't care for any,NY2A
I don't care for any,I don't care for any,NY2B
I don't care for any,I don't care for any,NY2C
I don't care for any,I don't care for any,NY3A
I don't care for any,I don't care for any,NY3B
I don't care for any,I don't care for any,NY3C
I don't care for any,I don't care for any,NY3D
I don't care for any,I don't care for any,NY4A
I don't care for any,I don't care for any,NY4B
I don't care for any,I've got enough,NY4B
I don't care for any,I  ??? ate ours,NY4B
I don't care for any,I don't care for any,NY4C
I don't care for any,I don't care for any,NY5A
I don't care for any,I don't care for any,NY5B
I don't care for any,I don't care for any,NY5C
I don't care for any,I don't care for any,NY5D
I don't care for any,I don't care for it,NY5E
I don't care for any,I don't care for any,NY5F
I don't care for any,I don't care for any,NY5G
I don't care for any,don't care for it,NY5H!
I don't care for any,I don't want it,NY5H!
I don't care for any,I don't care for any,NY5I!
I don't care for any,I don't care for any,NY6A
I don't care for any,I don't care for any,NY6B
I don't care for any,I don't want none,NY7A
I don't care for any,I don't care for any,NY7B
I don't care for any,I don't care for any,NY7C
I don't care for any,I don't wish to have any,NY7D
I don't care for any,care for any,NY7D
I don't care for any,I don't care for any,NY7E
I don't care for any,I don't care for any,NY7F
I don't care for any,I don't care for any,NY7G
I don't care for any,I don't care for any,NY7H
I don't care for any,I don't care for any,NY7I
I don't care for any,I don't care for any,NY7J!
I don't care for any,I don't care for any,NY7K!
I don't care for any,I don't care for any,NY7L!
I don't care for any,I don't care for any,NY7M!
I don't care for any,I don't care for any,NY8
I don't care for any,I don't care for any,NY9A
I don't care for any,I don't care for any,NY9B
I don't care for any,I don't care for any,NY9C
I don't care for any,I don't care for any,NY10A
I don't care for any,I don't care for any,NY10B!
I don't care for any,I don't care for any,NY11
I don't care for any,I don't care for any,NY12A
I don't care for any,care,NY12A
I don't care for any,I don't care for any,NY12A
I don't care for any,I don't care for any,NY12B
I don't care for any,I don't care for any,NY12C!
I don't care for any,I don't wish any,NY13A
I don't care for any,I don't care for any,NY13B!
I don't care for any,I don't care for any,NY14A
I don't care for any,I don't care for any,NY14B
I don't care for any,I don't care for any,NY15A
I don't care for any,I don't care for any,NY15B
I don't care for any,I don't care for any,NY16A
I don't care for any,I don't care for any,NY16B
I don't care for any,I don't care for any,NY17A
I don't care for any,I don't care for any,NY17B
I don't care for any,I don't want any,NY18A
I don't care for any,I don't care for any,NY18A
I don't care for any,I don't care for any,NY18B
I don't care for any,I don't care for any,NY18C!
I don't care for any,I don't care for any,NY19
I don't care for any,I don't care for any,NY20A
I don't care for any,I don't care for any,NY20B
I don't care for any,I don't care for any,NY21
I don't care for any,I don't care for any,NY22
I don't care for any,I didn't care for none,NY23A
I don't care for any,I don't care for any,NY23B
I don't care for any,do wish any,NY23B
I don't care for any,no thank you,NY23C
I don't care for any,didn't care for it,NY23C
I don't care for any,I don't care for it,NY23C
I don't care for any,I don't care for any,NY24A
I don't care for any,I don't care for any,NY24B!
I don't care for any,I don't care for it,NY25A
I don't care for any,thank you I don't want any,NY25A
I don't care for any,I never cared for it,NY25B
I don't care for any,no thank you,NY25B
I don't care for any,I don't want any,NY26A
I don't care for any,didn't care for coffee,NY26B
I don't care for any,,NY26C
I don't care for any,I don't want it,NY27A
I don't care for any,I don't care for it,NY27B
I don't care for any,no thank you,NY27C
I don't care for any,took some,NY28A
I don't care for any,I don't care for it,NY28A
