Response,Informant
a little ways,NY1
a little ways,NY2A
a little way,NY2B
a little ways,NY2C
a little ways,NY3A
a little ways,NY3B
a little way,NY3C
a little ways,NY3D
a little ways,NY4A
a little ways,NY4B
a little ways,NY4C
a little ways,NY5A
a little ways,NY5B
a little ways,NY5C
a little piece,NY5D
a little ways,NY5E
a little ways,NY5F
a little way,NY5G
a little ways,NY5H!
a little way,NY5I!
a little ways,NY6A
a little way,NY6B
a little ways,NY7A
a little ways,NY7B
a little way,NY7C
a little ways,NY7D
a little ways,NY7E
a little ways,NY7F
a little ways,NY7G
a little ways,NY7H
a little way,NY7I
a little way,NY7J!
a little way,NY7K!
a little way,NY7L!
a little way,NY7M!
a little way,NY8
a little way,NY9A
a little way,NY9B
a little ways,NY9C
a little ways,NY10A
a little way,NY10B!
a little ways,NY11
a little ways,NY12A
a little ways,NY12B
a little way,NY12C!
a little ways,NY13A
a little way,NY13B!
a little ways,NY14A
a little ways,NY14B
a little ways,NY15A
a little ways,NY15B
a little ways,NY16A
a little ways,NY16B
a little ways,NY17A
a little ways,NY17B
a little ways,NY18A
a little ways,NY18B
a little ways,NY18C!
a little way,NY19
a little way,NY20A
a little ways,NY20B
a little ways,NY21
a little ways,NY22
a little piece,NY22
a little ways,NY23B
a little way,NY23C
a short distance,NY23C
a little ways,NY24A
a little ways,NY24B!
a little ways,NY25A
a ways,NY25A
a ways,NY25B
a short ways,NY25B
a short distance,NY26A
a little way,NY26A
a little ways,NY26B
a short distance,NY26B
a ways,NY27A
a short distance,NY27A
a little ways,NY27A
a little distance,NY27A
a little ways,NY27B
a little ways,NY27C
a ways,NY28A
a little ways,NY28A
a little ways,NY28B
a ways,NY28B
a short distance,NY28B
a little ways,NY29A
a little ways,NY29B
a ways,NY29C
a little ways,NY29C
a little ways,NY30A
a little ways,NY30B
a little ways,NY30C
a little ways,NY30D
a short distance,NY30E
a little way,NY30E
a little ways,NY31A
a way,NY31B
a little way,NY31B
a little ways,NY31B
a piece,NY31B
a way,NY32A
a little ways,NY32A
a ways,NY32B
a little ways,NY32B
a little ways,NY33A
a ways,NY33B
a little ways,NY33B
a little ways,NY33C
a little ways,NY34A
a short distance,NY34A
a little ways,NY34C
a little ways,NY34D!
a little ways,NY35A
a little way,NY35B
a little piece,NY35C!
a little ways,NY36A
a little ways,NY36B
a little ways,NY37A
a little ways,NY37B
a little ways,NY37C!
a little ways,NY38A
a little ways,NY38B
a little ways,NY38C
a little ways,NY39A
a little ways,NY39B
a little ways,NY40A
a little ways,NY40B
a little ways,NY41
a little ways,NY42A
a little ways,NY42B
a little ways,NY43A
a little ways,NY43B
a little ways,NY43C!
a little ways,NY44A
a little ways,NY44B
a ways,NY45A
a short distance,NY45D!
a little ways,NY45D!
a little ways,NY46A
a little way,NY46B
a little way,NY46C
a short way,NY46C
a ways,NY47A
a little ways,NY47A
a little way,NY47B
a ways,NY48A
a little ways,NY48A
a little ways,NY48B
a little ways,NY48C
away,NY48D
a little ways,NY48D
a little ways,NY49B
a little ways,NY49C
a piece,NY49D
down the road a piece,NY49D
a little way,NY49D
a little ways,NY50A
a little ways,NY50B
just a little ways,NY51A
a ways,NY51A
a little ways,NY51A
a short distance,NY51B
a little way,NY51B
a little ways,NY51C
a little ways,NY52A
a little ways,NY52B
a little ways,NY52C
a little ways,NY53A
a little ways,NY53B!
a short ways,NY54A
a little ways,NY54B
a little ways,NY55A
a little way,NY55B
a little ways,NY56A
a little ways,NY56B
a little ways,NY57A
a ways,NY57A
a short distance,NY57C!
a ways,NY57C!
a little ways,NY57C!
a little ways,NY58A
a little distance,NY58A
a little ways,NY58B
a short distance,NY58C
a little ways,NY58D!
a short distance,NY58D!
a little way,NY58E!
a little ways,NY59A
a little ways,NY59B
a little ways,NY60A
a way,NY60B!
a little way,NY60B!
a piece,NY60B!
a short ways,NY61A
a little ways,NY61A
a short distance,NY61A
a ways,NY61A
a little ways,NY61B
a little way,NY61B
a little ways,NY62A
a little ways,NY62B
a little ways,NY62C
a little ways,NY62D!
a little ways,NY63A
a short distance,NY63A
a way,NY63A
a little distance,NY63B
a little ways,NY63B
a little ways,NY63C
a little ways,NY63D!
a little ways,NY64A
a little way,NY64B
a ways,NY64B
a short distance,NY64B
a little ways,NJ1A
a little piece,NJ1A
a little piece,NJ1B
a little ways,NJ1B
a little ways,NJ2A
a little piece,NJ2A
a little ways,NJ2B
a little piece,NJ3A
a little ways,NJ3B
a little piece,NJ3B
a little piece,NJ4A
a little piece,NJ4B
a little ways,NJ5A
a little piece,NJ5A
a little piece,NJ5B
a little ways,NJ5B
a little ways,NJ6A
a little piece,NJ6B
a little ways,NJ6B
a little piece,NJ7A
a little ways,NJ7A
a little way,NJ7B!
a little piece,NJ7B!
a little piece,NJ8A
a little ways,NJ8A
a little piece,NJ8B
a little ways,NJ9A
a little ways,NJ9B
a little ways,NJ10A
a little ways,NJ10B
a little ways,NJ10C
a little way,NJ10D!
a little way,NJ11A
a little ways,NJ11B
a little ways,NJ11C
a little ways,NJ12A
a little ways,NJ12B
a little ways,NJ13A
a little ways,NJ13B
a little ways,NJ14A
a little way,NJ14B
a little way,NJ15A
a little ways,NJ15B
a little ways,NJ16A
a little ways,NJ16B
a little ways,NJ17A
a little piece,NJ17B
a little ways,NJ18A
a little way,NJ18B
a little way,NJ18C!
a little way,NJ18D!
a little way,NJ19A
a little way,NJ19B!
a little piece,NJ20A
klein weg,NJ20A
a little ways,NJ20A
a little ways,NJ20B
a little ways,NJ21A
a little ways,NJ21B
a little ways,PA1A
a little piece,PA1B
a little ways,PA1B
a little way,PA1C
a little way,PA1D
a little piece,PA1D
a little ways,PA1E!
a little way,PA1F!
a little piece,PA1G!
a little way,PA1H!
a little piece,PA1H!
a little ways,PA2A
a little ways,PA2B
a little way,PA3A
a little piece,PA3A
a little ways,PA3B
a little piece,PA3C
a little ways,PA3C
a little piece,PA4A
a little way,PA4B!
a little ways,PA4B!
a little piece,PA4B!
a little piece,PA5A
a little ways,PA5A
a little ways,PA5B
a little piece,PA5B
a little piece,PA5C
a little ways,PA5C
a little ways,PA5D
a little piece,PA5D
a little ways,PA5E!
a little piece,PA5E!
a little piece,PA6A
a little way,PA6B
a little piece,PA6B
a little piece,PA6C
a little way,PA6D!
a little piece,PA7A
a little ways,PA7B
a little piece,PA7B
a little way,PA7C
a little piece,PA7C
a little piece,PA7D!
a little ways,PA7D!
a little piece,PA8A
a little ways,PA8A
a little piece,PA8B
a little ways,PA8C
a little piece,PA8C
a little ways,PA8D!
a little ways,PA9A
a little piece,PA9B
a little ways,PA9C!
a little piece,PA10
a little piece,PA11A
a little ways,PA11B
a little piece,PA11B
a little way,PA11B
a little ways,PA12A
a little piece,PA12A
a little ways,PA12B
a little piece,PA12B
a little ways,PA13A
a little piece,PA13A
a little ways,PA13B
a little piece,PA13B
a little ways,PA14A
a little way,PA14B
a little way,PA14C
a little ways,PA15A
a little ways,PA15B
a little ways,PA15C!
a little piece,PA16A
a little way,PA16A
a little way,PA16B
a little ways,PA16C
a little way,PA17A
a little piece,PA17A
a little way,PA17B
a little piece,PA17B
a little ways,PA18A
a little ways,PA18B!
a little ways,PA19A
a little ways,PA19B
a little ways,PA20A
a little way,PA20B
a little ways,PA21A
a little ways,PA21B
a little way,PA22A
a little ways,PA22B
a little step,PA22B
a little ways,PA23A
a little ways,PA23B
a little ways,PA24A
a little piece,PA24B
a little ways,PA25A
a little ways,PA25B
a little ways,PA26A
a little ways,PA26B
a little ways,PA27A
a little ways,PA27B
a little piece,PA28A
a little ways,PA28A
a little ways,PA28B!
a little ways,PA29A
a little piece,PA29A
a little ways,PA29B
a little piece,PA29B
a little ways,PA30A
a little ways,PA30B
a little ways,PA31A
a little ways,PA31B
a little ways,PA32A
a little piece,PA32A
a little ways,PA32B
a little piece,PA32B
a little piece,PA33A
a little ways,PA33A
a little way,PA33B
a little piece,PA34A
a little ways,PA34A
a little ways,PA34B
a little piece,PA34B
a little piece,PA34C!
a little ways,PA34C!
a little piece,PA35A
a little ways,PA35B
a little piece,PA35B
a little piece,PA35C
a little ways,PA36A
a little piece,PA36A
a little ways,PA36B
a little piece,PA36B
a little ways,PA37A
a little piece,PA37A
a little ways,PA37B
a little piece,PA37B
a little ways,PA38A
a little piece,PA38A
a little piece,PA38B
a little piece,PA39A
a little ways,PA39A
a little ways,PA39B
a little piece,PA39B
a little piece,PA40A
a little piece,PA40B
a little ways,PA40B
a little piece,PA41A
a little ways,PA41A
a little piece,PA41B
a little ways,PA41B
a little ways,PA42A
a little piece,PA42A
a little piece,PA42B
a little ways,PA42B
a little piece,PA43A
a little piece,PA43B
a little piece,PA44A
a little way,PA44A
a little piece,PA44B
a little ways,PA44B
a little piece,PA45A
a little piece,PA45B
a little ways,PA45B
a little piece,PA46A
a little way,PA46B
a little piece,PA46B
a little piece,PA47A
a little ways,PA47A
a little ways,PA47B
a little piece,PA48A
a little ways,PA48B
a little piece,PA48B
a little ways,PA48C
a little ways,PA49A
a little piece,PA49A
a little ways,PA49B
a little piece,PA49B
a little ways,PA50A
a little piece,PA50A
a little ways,PA50B
a little piece,PA50B
a little piece,PA50C!
a little way,PA51A
a little ways,PA51B
a little piece,PA52A
a little ways,PA52B!
a little piece,PA52B!
a little ways,PA53A
a little piece,PA53A
a little piece,PA53B
a little ways,PA53B
a little piece,PA54A
a little ways,PA54A
a little ways,PA54B
a little ways,PA55A
a little piece,PA55A
a little piece,PA55B
a little ways,PA55B
a little ways,PA56A
a little piece,PA56A
a little ways,PA56B
a little piece,PA56B
a little piece,PA57A
a little ways,PA57A
a little ways,PA57B
a little way,PA58A
a little piece,PA58A
a little ways,PA58B
a little ways,PA59A
a little piece,PA59A
a little way,PA59B
a little ways,PA60A
a little ways,PA60B
a little piece,PA60B
a little piece,PA61A
a little ways,PA61A
a little ways,PA61B
a little ways,PA62A
a little piece,PA62A
a liitle piece,PA62B
a little ways,PA62B
a little ways,PA63A
a little piece,PA63A
a little ways,PA63B
a little ways,PA64A
a little ways,PA64B
a little ways,PA65A
a little ways,PA65B
a little ways,PA66A
a little piece,PA66A
a little ways,PA66B
a little ways,PA67A
a little piece,PA67A
a little ways,PA67B
a little way,WV1!
a little piece,WV1!
a little piece,WV2
a little ways,WV2
a little ways,WV3
a little piece,WV3
a little piece,WV4A
a little ways,WV4B
a little piece,WV5
a little ways,WV5
a little piece,WV6A
a little piece,WV6B
a little ways,WV6B
a little piece,WV7A
a little piece,WV7B
a little ways,WV7B
a little ways,WV8A
a little ways,WV8B
a little piece,WV9A
a little piece,WV9B
a little piece,WV10A
a little ways,WV10A
a little ways,WV10B
a little piece,WV10B
a little piece,WV10C
a little way,WV10C
a little ways,WV11A
a little piece,WV11A
a little piece,WV11B!
a little ways,WV12A
a little piece,WV12A
a little piece,WV12B
a little ways,WV13A
a little ways,WV13B
a little ways,WV14A
a little piece,WV14B
a little ways,WV14B
a little ways,WV15A
a little piece,WV15A
a little ways,WV15B
a little piece,WV15B
a little ways,WV16A
a little piece,WV16A
a little ways,WV16B
a little piece,WV16B
a little piece,WV17A
a little piece,WV17B
a little piece,WV17C
a little ways,WV17C
a little ways,WV18A
a little piece,WV18B
a little ways,WV18B
a little piece,WV19A
a little piece,WV19B
a little ways,WV20A
a little piece,WV20B
a little ways,WV20B
a little piece,WV21A
a little piece,WV21B
a little piece,WV22A
little ways,WV22B
little piece,WV22B
little ways,WV23A
little ways,WV23B
a little ways,WV24A
a little ways,WV24B
a little ways,WV25A
a little ways,WV25B
a little piece,WV26A
a little ways,WV26B
a little ways,WV27A
a little piece,WV27B
a little ways,WV27B
a little ways,WV28A
a little ways,WV28B
a little piece,WV28B
a little ways,WV29A
a little ways,WV29B
a little piece,WV30A
a little ways,WV30B
a little ways,WV31A
a little ways,WV31B
a little piece,WV32A
a little ways,WV32A
a little piece,WV32B
a little ways,WV33A
a little piece,WV33A
a little ways,WV33B
a little piece,WV34A
a little ways,WV34B
a little piece,WV35A
a little piece,WV35B
a little ways,WV36A
a little ways,WV36B
a little piece,WV37A
a little ways,WV37B!
a little ways,WV38A
a little piece,WV38A
a little piece,WV38B
a little ways,WV39A
a little way,WV39B
a little piece,WV39C!
a little piece,WV40A
a little piece,WV40B
a little ways,WV40B
a little piece,WV41A
a little ways,WV41A
a little ways,WV41B
a little ways,WV42A
a little ways,WV42B
a little ways,WV43A
a little ways,WV43B
a little ways,WV44A
a little ways,WV44B
a little piece,WV44B
a little ways,WV45A
a little ways,WV45B
a little piece,WV46A
a little ways,WV46A
a little ways,WV46B
a little ways,WV47A
a little piece,WV47B
a little ways,WV48A
a little ways,WV48C
a little ways,WV48D
a little piece,WV49A
a little piece,WV49B
a little ways,WV50A
a little piece,WV50A
a little way,WV50B
a little piece,WV50B
a little piece,WV51A
a little ways,WV51B
a little piece,WV51B
a little ways,WV52A
a little ways,WV52B
a little way,WV52C!
a little jag,WV52C!
a little ways,WV53A
a little piece,WV53A
a little way,WV53B
a little ways,WV53C!
a little piece,WV54A
a little ways,WV54A
a little piece,WV54B
a little ways,WV54B
a little piece,DE1A
a little spell,DE1B
a little piece,DE1B
a little piece,DE1C!
a little ways,DE2A
a little ways,DE2B
a little piece,DE2B
a little piece,DE3A
a little piece,DE3B
a little ways,DE3B
a little piece,DE3C!
a little piece,DE4
a little ways,DE5A
a little ways,DE5B
a little piece,DE5B
a little piece,DE6A
a little piece,DE6B
a little piece,MD1A
a little way,MD1B
a little piece,MD1B
a little piece,MD2A
a little ways,MD2B
a little piece,MD3A
a little ways,MD3A
a little piece,MD3B
a little piece,MD4A
a little ways,MD4A
a little piece,MD4B
a little ways,MD4B
a little ways,MD4C
a little piece,MD5A
a little ways,MD5A
a little ways,MD5B
a little piece,MD5B
a little ways,MD6A
a little piece,MD6A
a little ways,MD6B
a little piece,MD6B
a little ways,MD7A
a little piece,MD7A
a little piece,MD7B
a little ways,MD7B
a little ways,MD7C!
a little piece,MD7C!
a little piece,MD8A
a little ways,MD8A
a little piece,MD8B
a little way,MD9N
a little ways,MD9N
a little piece,MD9A
a little ways,MD9A
a little piece,MD9B
a little ways,MD9B
a little ways,MD10A
a little piece,MD10A
a little ways,MD10B
a little piece,MD10B
a little way,MD11
a little ways,MD12A
a little way,MD12A
a little ways,MD12B
a little ways,MD13A
a little piece,MD13B
a little ways,MD13C
a little piece,MD13C
a little way,MD13D!
a little way,MD13E!
a little ways,MD13E!
a little ways,MD13F!
a little ways,MD14
a little piece,MD15A
a little ways,MD15A
a little ways,MD15B
a little ways,MD16
a little way,MD17A
a little piece,MD17B
a little ways,MD18A
a little way,MD18B
a little ways,MD19A
a little ways,MD19B
a little ways,MD20A
a little ways,MD20B
a little way,MD20C!
a little ways,MD21A
a little ways,MD21B
a little ways,MD22N
a little ways,MD22M
a little ways,MD22A
a little ways,MD22B
a little way,MD22C!
a little ways,MD23A
a little ways,MD23B
a little ways,MD23C
a little ways,MD24
a little piece,MD25
a little ways,MD25
a little piece,MD26A
a little ways,MD26A
a little piece,MD27A
a little piece,MD27B
a little ways,DC1A
a little way,DC1B!
a little way,VA1!
a little ways,VA2A
a little ways,VA2B
a little ways,VA3A
a little ways,VA3B
a little ways,VA4N
a little ways,VA5A
a little ways,VA5B
a little ways,VA6A
a little ways,VA6B
a little ways,VA7A
a little ways,VA7B
a little ways,VA8A
a little ways,VA8B
a little way,VA8C!
a little ways,VA9A
a little way,VA9B!
a little ways,VA9B!
a little ways,VA10A
a little ways,VA10B
a little ways,VA11A
a little ways,VA11B
a little ways,VA12N
a little ways,VA12A
a little ways,VA12B!
a little ways,VA13A
a little ways,VA13B
a little ways,VA14A
a little ways,VA14B
a little way,VA14C
a little ways,VA15N
a little ways,VA15A
a little ways,VA15B
a little ways,VA16A
a little ways,VA16B
a little ways,VA17A
a little ways,VA17B
a little ways,VA18
a little ways,VA19A
a little ways,VA19B
a little way,VA19C!
a little ways,VA20A
a little ways,VA20B
a little way,VA20B
a little ways,VA21N
a little ways,VA21A
a little ways,VA21B
a little ways,VA22
a little ways,VA23A
a little ways,VA23B
a little ways,VA24
a little ways,VA25
a little ways,VA26A
a little ways,VA26B
a little way,VA26C
a little ways,VA27
a little ways,VA28A
a little way,VA28B
a little ways,VA29
a little ways,VA30A
a little ways,VA30B!
a little way,VA30C!
a little ways,VA30C!
a little way,VA30D!
a little way,VA30E!
a little ways,VA31A
a little ways,VA31B
a little way,VA32!
a little ways,VA33A
a little ways,VA33B
a little ways,VA34A
a little ways,VA34B
a little ways,VA35A
a little ways,VA35B
a little ways,VA36A
a little ways,VA36B
a little ways,VA37
a little ways,VA38
a little ways,VA39!
a little ways,VA40A
a little ways,VA40B
a little ways,VA41A
a little ways,VA41B
a little ways,VA42A
a little ways,VA42B
a little ways,VA43N
a little ways,VA43A
a little ways,VA43B
a little ways,VA44A
a little ways,VA44B
a little ways,VA45A
a little ways,VA45B
a little ways,VA46A
a little way,VA46B!
a little ways,VA46B!
a little ways,VA47
a little ways,VA48A
a little ways,VA48B
a little ways,VA49A
a little ways,VA49B
a little ways,VA50A
a little ways,VA50B
a little ways,VA51A
a little ways,VA51B
a little ways,VA52A
a little ways,VA52B
a little way,VA52C!
a little ways,VA52C!
a little ways,VA53A
a little piece,VA53B
a little way,VA53B
a little ways,VA54A
a little ways,VA54B
a little ways,VA55A
a little way,VA55B
a little ways,VA55B
a little ways,VA56A
a little ways,VA56B
a little ways,VA57A
a little ways,VA57B
a little ways,VA58
a little ways,VA59N
a little ways,VA59A
a little way,VA59B!
a little ways,VA60
a little piece,VA61A
a little ways,VA61A
a little ways,VA61B!
a little ways,VA61C
a little ways,VA62A
a little ways,VA62B
a little ways,VA63A
a little ways,VA63B
a little ways,VA64A
a little ways,VA64B
a little ways,VA65A
a little ways,VA65B
