Informant,Response
NY1,a little ways
NY2A,a little ways
NY2B,a little way
NY2C,a little ways
NY3A,a little ways
NY3B,a little ways
NY3C,a little way
NY3D,a little ways
NY4A,a little ways
NY4B,a little ways
NY4C,a little ways
NY5A,a little ways
NY5B,a little ways
NY5C,a little ways
NY5D,a little piece
NY5E,a little ways
NY5F,a little ways
NY5G,a little way
NY5H!,a little ways
NY5I!,a little way
NY6A,a little ways
NY6B,a little way
NY7A,a little ways
NY7B,a little ways
NY7C,a little way
NY7D,a little ways
NY7E,a little ways
NY7F,a little ways
NY7G,a little ways
NY7H,a little ways
NY7I,a little way
NY7J!,a little way
NY7K!,a little way
NY7L!,a little way
NY7M!,a little way
NY8,a little way
NY9A,a little way
NY9B,a little way
NY9C,a little ways
NY10A,a little ways
NY10B!,a little way
NY11,a little ways
NY12A,a little ways
NY12B,a little ways
NY12C!,a little way
NY13A,a little ways
NY13B!,a little way
NY14A,a little ways
NY14B,a little ways
NY15A,a little ways
NY15B,a little ways
NY16A,a little ways
NY16B,a little ways
NY17A,a little ways
NY17B,a little ways
NY18A,a little ways
NY18B,a little ways
NY18C!,a little ways
NY19,a little way
NY20A,a little way
NY20B,a little ways
NY21,a little ways
NY22,"a little ways, a little piece"
NY23B,a little ways
NY23C,"a little way, a short distance"
NY24A,a little ways
NY24B!,a little ways
NY25A,"a little ways, a ways"
NY25B,"a ways, a short ways"
NY26A,"a short distance, a little way"
NY26B,"a little ways, a short distance"
NY27A,"a ways, a short distance, a little ways, a little distance"
NY27B,a little ways
NY27C,a little ways
NY28A,"a ways, a little ways"
NY28B,"a little ways, a ways, a short distance"
NY29A,a little ways
NY29B,"a little ways, a little ways"
NY29C,"a ways, a little ways"
NY30A,a little ways
NY30B,a little ways
NY30C,a little ways
NY30D,a little ways
NY30E,"a short distance, a little way"
NY31A,a little ways
NY31B,"a way, a little way, a little ways, a piece"
NY32A,"a way, a little ways"
NY32B,"a ways, a little ways"
NY33A,a little ways
NY33B,"a ways, a little ways"
NY33C,a little ways
NY34A,"a little ways, a short distance"
NY34C,a little ways
NY34D!,a little ways
NY35A,a little ways
NY35B,a little way
NY35C!,a little piece
NY36A,a little ways
NY36B,a little ways
NY37A,a little ways
NY37B,a little ways
NY37C!,a little ways
NY38A,a little ways
NY38B,a little ways
NY38C,a little ways
NY39A,a little ways
NY39B,a little ways
NY40A,a little ways
NY40B,a little ways
NY41,a little ways
NY42A,a little ways
NY42B,a little ways
NY43A,a little ways
NY43B,a little ways
NY43C!,a little ways
NY44A,a little ways
NY44B,a little ways
NY45A,a ways
NY45D!,"a short distance, a little ways"
NY46A,a little ways
NY46B,a little way
NY46C,"a little way, a short way"
NY47A,"a ways, a little ways"
NY47B,a little way
NY48A,"a ways, a little ways"
NY48B,a little ways
NY48C,a little ways
NY48D,"away, a little ways"
NY49B,a little ways
NY49C,a little ways
NY49D,"a piece, down the road a piece, a little way"
NY50A,a little ways
NY50B,a little ways
NY51A,"just a little ways, a ways, a little ways"
NY51B,"a short distance, a little way, a short distance"
NY51C,a little ways
NY52A,a little ways
NY52B,a little ways
NY52C,a little ways
NY53A,a little ways
NY53B!,a little ways
NY54A,a short ways
NY54B,a little ways
NY55A,a little ways
NY55B,a little way
NY56A,a little ways
NY56B,a little ways
NY57A,"a little ways, a ways"
NY57C!,"a short distance, a ways, a little ways"
NY58A,"a little ways, a little distance"
NY58B,a little ways
NY58C,a short distance
NY58D!,"a little ways, a short distance"
NY58E!,a little way
NY59A,a little ways
NY59B,a little ways
NY60A,a little ways
NY60B!,"a way, a little way, a piece"
NY61A,"a short ways, a little ways, a short distance, a ways"
NY61B,"a little ways, a little way"
NY62A,a little ways
NY62B,a little ways
NY62C,a little ways
NY62D!,a little ways
NY63A,"a little ways, a short distance, a way"
NY63B,"a little distance, a little ways"
NY63C,a little ways
NY63D!,a little ways
NY64A,a little ways
NY64B,"a little way, a ways, a short distance"
NJ1A,"a little ways, a little piece"
NJ1B,"a little piece, a little ways"
NJ2A,"a little ways, a little piece"
NJ2B,a little ways
NJ3A,a little piece
NJ3B,"a little ways, a little piece"
NJ4A,a little piece
