Target,Response,Informant
afternoon,afternoon,NY1
afternoon,afternoon,NY2A
afternoon,afternoon,NY2B
afternoon,,NY2C
afternoon,afternoon,NY3A
afternoon,afternoon,NY3B
afternoon,afternoon,NY3C
afternoon,evening,NY3C
afternoon,afternoon,NY3D
afternoon,afternoon,NY4A
afternoon,afternoon,NY4B
afternoon,afternoon,NY4C
afternoon,afternoon,NY5A
afternoon,afternoon,NY5B
afternoon,evening,NY5B
afternoon,afternoon,NY5C
afternoon,afternoon,NY5D
afternoon,afternoon,NY5E
afternoon,evening,NY5F
afternoon,afternoon,NY5F
afternoon,afternoon,NY5G
afternoon,afternoon,NY5H!
afternoon,evening,NY5H!
afternoon,afternoon,NY5I!
afternoon,afternoon,NY6A
afternoon,evening,NY6A
afternoon,evening,NY6B
afternoon,afternoon,NY6B
afternoon,afternoon,NY7A
afternoon,evening,NY7A
afternoon,evening,NY7B
afternoon,afternoon,NY7B
afternoon,afternoon,NY7C
afternoon,evening,NY7C
afternoon,evening,NY7D
afternoon,afternoon,NY7D
afternoon,afternoon,NY7E
afternoon,evening,NY7E
afternoon,evening,NY7F
afternoon,afternoon,NY7F
afternoon,afternoon,NY7G
afternoon,evening,NY7H
afternoon,afternoon,NY7H
afternoon,afternoon,NY7I
afternoon,evening,NY7I
afternoon,evening,NY7J!
afternoon,afternoon,NY7J!
afternoon,afternoon,NY7K!
afternoon,evening,NY7K!
afternoon,evening,NY7L!
afternoon,afternoon,NY7L!
afternoon,afternoon,NY7M!
afternoon,afternoon,NY8
afternoon,afternoon,NY9A
afternoon,afternoon,NY9B
afternoon,afternoon,NY9C
afternoon,afternoon,NY10A
afternoon,afternoon,NY10B!
afternoon,afternoon,NY11
afternoon,afternoon,NY12A
afternoon,evening,NY12B
afternoon,afternoon,NY12B
afternoon,afternoon,NY12C!
afternoon,evening,NY12C!
afternoon,afternoon,NY13A
afternoon,afternoon,NY13B!
afternoon,afternoon,NY14A
afternoon,evening,NY14A
afternoon,afternoon,NY14B
afternoon,afternoon,NY15A
afternoon,afternoon,NY15B
afternoon,evening,NY16A
afternoon,afternoon,NY16A
afternoon,afternoon,NY16B
afternoon,afternoon,NY17A
afternoon,afternoon,NY17B
afternoon,evening,NY17B
afternoon,afternoon,NY18A
afternoon,afternoon,NY18B
afternoon,evening,NY18C!
afternoon,afternoon,NY18C!
afternoon,afternoon,NY19
afternoon,afternoon,NY20A
afternoon,afternoon,NY20B
afternoon,afternoon,NY21
afternoon,afternoon,NY22
afternoon,,NY23A
afternoon,afternoon,NY23B
afternoon,afternoon,NY23C
afternoon,afternoon,NY24A
afternoon,afternoon,NY24B!
afternoon,afternoon,NY25A
afternoon,afternoon,NY25B
afternoon,afternoon,NY26A
afternoon,afternoon,NY26B
afternoon,,NY26C
afternoon,afternoon,NY27A
afternoon,evening,NY27A
afternoon,afternoon,NY27B
afternoon,afternoon,NY27C
afternoon,evening,NY28A
afternoon,afternoon,NY28A
afternoon,afternoon,NY28B
afternoon,afternoon,NY28C
afternoon,afternoon,NY29A
afternoon,afternoon,NY29B
afternoon,afternoon,NY29C
afternoon,evening,NY29C
afternoon,evening,NY30A
afternoon,afternoon,NY30A
afternoon,afternoon,NY30B
afternoon,,NY30C
afternoon,afternoon,NY30D
afternoon,afternoon,NY30E
afternoon,afternoon,NY31A
afternoon,afternoon,NY31B
afternoon,afternoon,NY32A
afternoon,afternoon,NY32B
afternoon,afternoon,NY33A
afternoon,afternoon,NY33B
afternoon,this afternoon,NY33B
afternoon,afternoon,NY33C
afternoon,evening,NY34A
afternoon,afternoon,NY34A
afternoon,,NY34B
afternoon,,NY34C
afternoon,afternoon,NY34D!
afternoon,afternoon,NY35A
afternoon,afternoon,NY35B
afternoon,,NY35C!
afternoon,afternoon,NY36A
afternoon,afternoon,NY36B
afternoon,afternoon,NY37A
afternoon,afternoon,NY37B
afternoon,afternoon,NY37C!
afternoon,afternoon,NY38A
afternoon,afternoon,NY38B
afternoon,,NY38C
afternoon,afternoon,NY39A
afternoon,afternoon,NY39B
afternoon,afternoon,NY40A
afternoon,afternoon,NY40B
afternoon,afternoon,NY41
afternoon,afternoon,NY42A
afternoon,afternoon,NY42B
afternoon,evening,NY42B
afternoon,,NY43A
afternoon,afternoon,NY43B
afternoon,afternoon,NY43C!
afternoon,afternoon,NY44A
afternoon,afternoon,NY44B
afternoon,afternoon,NY45A
afternoon,afternoon,NY45B
afternoon,afternoon,NY45C
afternoon,afternoon,NY45D!
afternoon,afternoon,NY46A
afternoon,good afternoon,NY46B
afternoon,afternoon,NY46C
afternoon,good afternoon,NY46C
afternoon,afternoon,NY47A
afternoon,afternoon,NY47B
afternoon,afternoon,NY48A
afternoon,good afternoon,NY48A
afternoon,,NY48B
afternoon,afternoon,NY48C
afternoon,afternoon,NY48D
afternoon,,NY49A
afternoon,,NY49B
afternoon,good evening,NY49C
afternoon,good afternoon,NY49C
afternoon,afternoon,NY49D
afternoon,afternoon,NY50A
afternoon,afternoon,NY50B
afternoon,afternoon,NY51A
afternoon,afternoon,NY51B
afternoon,afternoon,NY51C
afternoon,afternoon,NY51D
afternoon,afternoon,NY51E!
afternoon,afternoon,NY52A
afternoon,afternoon,NY52B
afternoon,afternoon,NY52C
afternoon,afternoon,NY53A
afternoon,afternoon,NY53B!
afternoon,afternoon,NY54A
afternoon,afternoon,NY54B
afternoon,good afternoon,NY55A
afternoon,afternoon,NY55A
afternoon,afternoon,NY55B
afternoon,afternoon,NY56A
afternoon,afternoon,NY56B
afternoon,afternoon,NY57A
afternoon,afternoon,NY57B
afternoon,afternoon,NY57C!
afternoon,afternoon,NY58A
afternoon,good afternoon,NY58A
afternoon,afternoon,NY58B
afternoon,,NY58C
afternoon,afternoon,NY58D!
afternoon,afternoon,NY58E!
afternoon,,NY58F!
afternoon,good afternoon,NY59A
afternoon,afternoon,NY59B
afternoon,evening,NY59B
afternoon,afternoon,NY60A
afternoon,afternoon,NY60B!
afternoon,good afternoon,NY61A
afternoon,afternoon,NY61B
afternoon,afternoon,NY62A
afternoon,afternoon,NY62B
afternoon,afternoon,NY62C
afternoon,afternoon,NY62D!
afternoon,afternoon,NY63A
afternoon,afternoon,NY63B
afternoon,afternoon,NY63C
afternoon,afternoon,NY63D!
afternoon,afternoon,NY64A
afternoon,afternoon,NY64B
afternoon,afternoon,NY64C!
afternoon,afternoon,NJ1A
afternoon,afternoon,NJ1B
afternoon,afternoon,NJ2A
afternoon,evening,NJ2A
afternoon,afternoon,NJ2B
afternoon,afternoon,NJ3A
