Target,Response,Informant
Alabama,,NY1
Alabama,,NY2A
Alabama,,NY2B
Alabama,,NY2C
Alabama,Alabama,NY3A
Alabama,Alabama,NY3B
Alabama,Alabama,NY3C
Alabama,Alabama,NY3D
Alabama,Alabama,NY4A
Alabama,Alabama,NY4B
Alabama,Alabama,NY4C
Alabama,Alabama,NY5A
Alabama,Alabama,NY5B
Alabama,Alabama,NY5C
Alabama,Alabama,NY5D
Alabama,Alabama,NY5E
Alabama,Alabama,NY5F
Alabama,Alabama,NY5G
Alabama,Alabama,NY5H!
Alabama,Alabama,NY5I!
Alabama,Alabama,NY6A
Alabama,Alabama,NY6B
Alabama,Alabama,NY7A
Alabama,Alabama,NY7B
Alabama,Alabama,NY7C
Alabama,Alabama,NY7D
Alabama,Alabama,NY7E
Alabama,Alabama,NY7F
Alabama,Alabama,NY7G
Alabama,Alabama,NY7H
Alabama,Alabama,NY7I
Alabama,Alabama,NY7J!
Alabama,Alabama,NY7K!
Alabama,Alabama,NY7L!
Alabama,Alabama,NY7M!
Alabama,Alabama,NY8
Alabama,,NY9A
Alabama,Alabama,NY9B
Alabama,Alabama,NY9C
Alabama,Alabama,NY10A
Alabama,Alabama,NY10B!
Alabama,Alabama,NY11
Alabama,Alabama,NY12A
Alabama,Alabama,NY12B
Alabama,Alabama,NY12C!
Alabama,Alabama,NY13A
Alabama,Alabama,NY13B!
Alabama,Alabama,NY14A
Alabama,Alabama,NY14B
Alabama,Alabama,NY15A
Alabama,Alabama,NY15B
Alabama,Alabama,NY16A
Alabama,Alabama,NY16B
Alabama,Alabama,NY17A
Alabama,Alabama,NY17B
Alabama,Alabama,NY18A
Alabama,Alabama,NY18B
Alabama,Alabama,NY18C!
Alabama,Alabama,NY19
Alabama,Alabama,NY20A
Alabama,Alabama,NY20B
Alabama,Alabama,NY21
Alabama,Alabama,NY22
Alabama,,NY23A
Alabama,Alabama,NY23B
Alabama,Alabama,NY23C
Alabama,Alabama,NY24A
Alabama,Alabama,NY24B!
Alabama,Alabama,NY25A
Alabama,Alabama,NY25B
Alabama,Alabama,NY26A
Alabama,Alabama,NY26B
Alabama,,NY26C
Alabama,Alabama,NY27A
Alabama,,NY27B
Alabama,Alabama,NY27C
Alabama,Alabama,NY28A
Alabama,Alabama,NY28B
Alabama,,NY28C
Alabama,,NY29A
Alabama,Alabama,NY29B
Alabama,Alabama,NY29C
Alabama,Alabama,NY30A
Alabama,Alabama,NY30B
Alabama,,NY30C
Alabama,,NY30D
Alabama,Alabama,NY30E
Alabama,Alabama,NY31A
Alabama,Alabama,NY31B
Alabama,Alabama,NY32A
Alabama,Alabama,NY32B
Alabama,,NY33A
Alabama,Alabama,NY33B
Alabama,Alabama,NY33C
Alabama,Alabama,NY34A
Alabama,,NY34B
Alabama,,NY34C
Alabama,Alabama,NY34D!
Alabama,Alabama,NY35A
Alabama,Alabama,NY35B
Alabama,,NY35C!
Alabama,Alabama,NY36A
Alabama,Alabama,NY36B
Alabama,Alabama,NY37A
Alabama,Alabama,NY37B
Alabama,Alabama,NY37C!
Alabama,Alabama,NY38A
Alabama,Alabama,NY38B
Alabama,,NY38C
Alabama,Alabama,NY39A
Alabama,Alabama,NY39B
Alabama,Alabama,NY40A
Alabama,Alabama,NY40B
Alabama,Alabama,NY41
Alabama,Alabama,NY42A
Alabama,Alabama,NY42B
Alabama,Alabama,NY43A
Alabama,Alabama,NY43B
Alabama,Alabama,NY43C!
Alabama,Alabama,NY44A
Alabama,Alabama,NY44B
Alabama,,NY45A
Alabama,,NY45B
Alabama,,NY45C
Alabama,Alabama,NY45D!
Alabama,Alabama,NY46A
Alabama,,NY46B
Alabama,Alabama,NY46C
Alabama,Alabama,NY47A
Alabama,Alabama,NY47B
Alabama,Alabama,NY48A
Alabama,,NY48B
Alabama,Alabama,NY48C
Alabama,Alabama,NY48D
Alabama,,NY49A
Alabama,,NY49B
Alabama,Alabama,NY49C
Alabama,Alabama,NY49D
Alabama,Alabama,NY50A
Alabama,Alabama,NY50B
Alabama,Alabama,NY51A
Alabama,Alabama,NY51B
Alabama,,NY51C
Alabama,,NY51D
Alabama,Alabama,NY51E!
Alabama,Alabama,NY52A
Alabama,,NY52B
Alabama,Alabama,NY52C
Alabama,Alabama,NY53A
Alabama,Alabama,NY53B!
Alabama,Alabama,NY54A
Alabama,Alabama,NY54B
Alabama,Alabama,NY55A
Alabama,Alabama,NY55B
Alabama,Alabama,NY56A
Alabama,Alabama,NY56B
Alabama,Alabama,NY57A
Alabama,,NY57B
Alabama,Alabama,NY57C!
Alabama,Alabama,NY58A
Alabama,Alabama,NY58B
Alabama,,NY58C
Alabama,Alabama,NY58D!
Alabama,Alabama,NY58E!
Alabama,,NY58F!
