Target,Response,Informant
all at once,once,NY1
all at once,,NY2A
all at once,once,NY2B
all at once,,NY2C
all at once,all at once,NY3A
all at once,all at once,NY3B
all at once,all at once,NY3C
all at once,all at once,NY3D
all at once,all at once,NY4A
all at once,all to once,NY4B
all at once,all at once,NY4C
all at once,all at once,NY5A
all at once,all at once,NY5B
all at once,all at once,NY5C
all at once,all at once,NY5D
all at once,all at once,NY5E
all at once,all at once,NY5F
all at once,all at once,NY5G
all at once,all at once,NY5H!
all at once,all at once,NY5I!
all at once,all at once,NY6A
all at once,all at once,NY6B
all at once,all at once,NY7A
all at once,all at once,NY7B
all at once,all at once,NY7C
all at once,all at once,NY7D
all at once,all at once,NY7E
all at once,all at once,NY7F
all at once,all at once,NY7G
all at once,all at once,NY7H
all at once,all at once,NY7I
all at once,all at once,NY7J!
all at once,all at once,NY7K!
all at once,all at once,NY7L!
all at once,all at once,NY7M!
all at once,all at once,NY8
all at once,all at once,NY9A
all at once,all at once,NY9B
all at once,all at once,NY9C
all at once,all at once,NY10A
all at once,all at once,NY10B!
all at once,all at once,NY11
all at once,all at once,NY12A
all at once,all at once,NY12B
all at once,all at once,NY12C!
all at once,all at once,NY13A
all at once,all at once,NY13B!
all at once,all at once,NY14A
all at once,all at once,NY14B
all at once,all at once,NY15A
all at once,all at once,NY15B
all at once,all at once,NY16A
all at once,all at once,NY16B
all at once,all to once,NY17A
all at once,all at once,NY17B
all at once,all at once,NY18A
all at once,all at once,NY18B
all at once,all at once,NY18C!
all at once,all at once,NY19
all at once,all at once,NY20A
all at once,all at once,NY20B
all at once,all to once,NY21
all at once,all at once,NY22
all at once,all to once,NY23A
all at once,once in a while,NY23A
all at once,all in a bunch,NY23B
all at once,all to once,NY23B
all at once,once,NY23B
all at once,all at once,NY23C
all at once,once or twice a year,NY23C
all at once,all to once,NY24A
all at once,all at once,NY24B!
all at once,at once,NY25A
all at once,all in a bunch,NY25A
all at once,once,NY25B
all at once,all at once,NY25B
all at once,all to once,NY26A
all at once,all at once,NY26B
all at once,once in a while,NY26C
all at once,once,NY27A
all at once,all at once,NY27A
all at once,once in a while,NY27A
all at once,,NY27B
all at once,all at once,NY27C
all at once,all at once,NY28A
all at once,in a bunch,NY28A
all at once,once,NY28A
all at once,to once,NY28B
all at once,once in great while,NY28B
