Target,Response,Informant
andirons,,NY1
andirons,,NY2A
andirons,,NY2B
andirons,,NY2C
andirons,andirons,NY3A
andirons,andirons,NY3B
andirons,handirons,NY3C
andirons,andirons,NY3D
andirons,andirons,NY4A
andirons,handirons,NY4B
andirons,andirons,NY4C
andirons,andirons,NY5A
andirons,andirons,NY5B
andirons,andirons,NY5C
andirons,andirons,NY5D
andirons,andirons,NY5E
andirons,andirons,NY5F
andirons,andirons,NY5G
andirons,andirons,NY5H!
andirons,andirons,NY5I!
andirons,handirons,NY6A
andirons,dogs,NY6A
andirons,andirons,NY6B
andirons,andirons,NY7A
andirons,andirons,NY7B
andirons,andirons,NY7C
andirons,handirons,NY7D
andirons,andirons,NY7E
andirons,handirons,NY7F
andirons,andirons,NY7G
andirons,andirons,NY7H
andirons,andirons,NY7I
andirons,andirons,NY7J!
andirons,andirons,NY7K!
andirons,andirons,NY7L!
andirons,dogs,NY7L!
andirons,andirons,NY7M!
andirons,andirons,NY8
andirons,andirons,NY9A
andirons,andirons,NY9B
andirons,andirons,NY9C
andirons,andirons,NY10A
andirons,andirons,NY10B!
andirons,andirons,NY11
andirons,handirons,NY12A
andirons,andirons,NY12A
andirons,andirons,NY12B
andirons,andirons,NY12C!
andirons,andirons,NY13A
andirons,andirons,NY13B!
andirons,andirons,NY14A
andirons,andirons,NY14B
andirons,andirons,NY15A
andirons,andirons,NY15B
andirons,andirons,NY16A
andirons,andirons,NY16B
andirons,andirons,NY17A
andirons,handirons,NY17A
andirons,andirons,NY17B
andirons,handirons,NY18A
andirons,andirons,NY18B
andirons,andirons,NY18C!
andirons,,NY19
andirons,andirons,NY20A
andirons,andirons,NY20B
andirons,,NY21
andirons,andirons,NY22
andirons,,NY23A
andirons,irons,NY23B
andirons,tongs,NY23B
andirons,andirons,NY23B
andirons,grate tongs,NY23B
andirons,fenders,NY23C
andirons,andirons,NY23C
andirons,andirons,NY24A
andirons,andirons,NY24B!
andirons,handirons,NY25A
andirons,andirons,NY25A
andirons,andirons,NY25B
andirons,handirons,NY26A
andirons,fire irons,NY26A
andirons,andirons,NY26B
andirons,handirons,NY26C
andirons,andirons,NY27A
andirons,grates,NY27A
andirons,,NY27B
andirons,andirons,NY27C
andirons,andirons,NY28A
andirons,andirons,NY28B
andirons,andirons,NY28C
andirons,spits,NY28C
andirons,,NY29A
andirons,andiron,NY29B
andirons,andirons,NY29C
andirons,dogs,NY29C
andirons,handiron,NY30A
andirons,grates,NY30A
andirons,andirons,NY30B
andirons,grates,NY30C
andirons,,NY30D
andirons,andirons,NY30E
andirons,andirons,NY31A
andirons,andirons,NY31B
andirons,andirons,NY32A
andirons,grate,NY32B
andirons,andirons,NY32B
andirons,angle irons,NY33A
andirons,andirons,NY33B
andirons,andirons,NY33C
andirons,andirons,NY34A
andirons,andirons,NY34B
andirons,basket,NY34B
andirons,andirons,NY34C
andirons,firedogs,NY34D!
andirons,andirons,NY34D!
andirons,andirons,NY35A
andirons,andirons,NY35B
andirons,andirons,NY35C!
andirons,andirons,NY36A
andirons,andirons,NY36B
andirons,andirons,NY37A
andirons,andirons,NY37B
andirons,andirons,NY37C!
andirons,andirons,NY38A
andirons,andirons,NY38B
andirons,andirons,NY38C
andirons,hog iron,NY39A
andirons,hog's iron,NY39A
andirons,fog iron,NY39A
andirons,,NY39B
andirons,fire irons,NY40A
andirons,andirons,NY40B
andirons,andirons,NY41
andirons,andirons,NY42A
andirons,andirons,NY42B
andirons,,NY43A
andirons,andirons,NY43B
andirons,andirons,NY43C!
andirons,andirons,NY44A
andirons,andirons,NY44B
andirons,irons,NY45A
andirons,,NY45B
andirons,,NY45C
andirons,andirons,NY45D!
andirons,fire basket,NY45D!
andirons,handirons,NY46A
andirons,irons,NY46B
andirons,handirons,NY46B
andirons,you lay logs on,NY46B
andirons,andirons,NY46C
andirons,cranes,NY47A
andirons,andirons,NY47A
andirons,andirons,NY47B
andirons,handirons,NY48A
andirons,,NY48B
andirons,andiron,NY48C
andirons,brick oven cranes,NY48C
andirons,firedogs,NY48C
andirons,andirons,NY48D
andirons,,NY49A
andirons,,NY49B
andirons,andirons,NY49C
andirons,andirons,NY49D
andirons,andirons,NY50A
andirons,andirons,NY50B
andirons,andirons,NY51A
andirons,handirons,NY51B
andirons,,NY51C
andirons,andirons,NY51D
andirons,andirons,NY51E!
andirons,iron,NY52A
andirons,firedogs,NY52B
andirons,andirons,NY52B
andirons,andirons,NY52C
andirons,irons,NY53A
andirons,firedogs,NY53B!
andirons,andirons,NY53B!
andirons,,NY54A
andirons,andirons,NY54B
andirons,andirons,NY55A
andirons,andirons,NY55B
andirons,andirons,NY56A
andirons,andirons,NY56B
andirons,grate,NY56B
andirons,andirons,NY57A
andirons,andirons,NY57B
andirons,andiron,NY57C!
andirons,andirons,NY58A
andirons,andirons,NY58B
andirons,andirons,NY58C
andirons,andirons,NY58D!
andirons,dogs,NY58D!
andirons,andirons,NY58E!
andirons,andirons,NY58F!
andirons,handirons,NY59A
andirons,andirons,NY59B
andirons,andirons,NY60A
andirons,irons,NY60A
andirons,andirons,NY60B!
andirons,handirons,NY61A
andirons,grate,NY61B
andirons,andirons,NY61B
andirons,screen,NY61B
andirons,andirons,NY62A
andirons,irons,NY62A
andirons,,NY62B
andirons,andirons,NY62C
andirons,andirons,NY62D!
andirons,fire logs,NY62D!
andirons,andirons,NY63A
andirons,andirons,NY63B
andirons,andirons,NY63C
andirons,andirons,NY63D!
andirons,andirons,NY64A
andirons,andirons,NY64B
andirons,andirons,NY64C!
andirons,fire basket,NY64C!
andirons,,NJ1A
andirons,andirons,NJ1B
andirons,handirons,NJ2A
andirons,andirons,NJ2B
andirons,handirons,NJ3A
andirons,andirons,NJ3B
andirons,andirons,NJ4A
andirons,handirons,NJ4B
andirons,handirons,NJ5A
andirons,fire horse,NJ5A
andirons,handirons,NJ5B
andirons,handirons,NJ6A
andirons,,NJ6B
andirons,handirons,NJ7A
andirons,andirons,NJ7B!
andirons,handirons,NJ8A
andirons,andirons,NJ8B
andirons,handirons,NJ9A
andirons,andirons,NJ9B
andirons,handirons,NJ10A
andirons,handirons,NJ10B
andirons,andirons,NJ10C
andirons,andirons,NJ10D!
andirons,andirons,NJ11A
andirons,andirons,NJ11B
andirons,,NJ11C
andirons,andirons,NJ12A
andirons,andirons,NJ12B
andirons,,NJ13A
andirons,firedogs,NJ13B
andirons,andirons,NJ14A
andirons,andirons,NJ14B
andirons,handirons,NJ15A
andirons,,NJ15B
andirons,andirons,NJ16A
andirons,andirons,NJ16B
andirons,andirons,NJ17A
andirons,andirons,NJ17B
andirons,andirons,NJ18A
andirons,andirons,NJ18B
andirons,andirons,NJ18C!
andirons,andirons,NJ18D!
andirons,andirons,NJ19A
andirons,andirons,NJ19B!
andirons,andirons,NJ20A
andirons,andirons,NJ20B
andirons,andirons,NJ21A
andirons,andirons,NJ21B
andirons,,PA1A
andirons,andirons,PA1B
andirons,andirons,PA1C
andirons,andirons,PA1D
andirons,andirons,PA1E!
andirons,firedogs,PA1F!
andirons,andirons,PA1F!
andirons,firedogs,PA1G!
andirons,andirons,PA1G!
andirons,andirons,PA1H!
andirons,andirons,PA2A
andirons,andirons,PA2B
andirons,handirons,PA3A
andirons,firedogs,PA3B
andirons,handirons,PA3B
andirons,andirons,PA3C
andirons,,PA4A
andirons,andirons,PA4B!
andirons,andirons,PA5A
andirons,andirons,PA5B
andirons,andirons,PA5C
andirons,handirons,PA5D
andirons,andirons,PA5E!
andirons,,PA6A
andirons,,PA6B
andirons,andirons,PA6C
andirons,andirons,PA6D!
andirons,firedogs,PA6D!
andirons,sadirons,PA7A
andirons,sadirons,PA7B
andirons,andirons,PA7B
andirons,,PA7C
andirons,andirons,PA7D!
andirons,sadirons,PA8A
andirons,dogs,PA8A
andirons,andirons,PA8B
andirons,sadirons,PA8B
andirons,andirons,PA8C
andirons,firedogs,PA8D!
andirons,andirons,PA8D!
andirons,Feuerhund,PA9A
andirons,,PA9B
andirons,andirons,PA9C!
andirons,,PA10
andirons,,PA11A
andirons,,PA11B
andirons,dogs,PA12A
andirons,firedogs,PA12B
andirons,andirons,PA13A
andirons,andirons,PA13B
andirons,,PA14A
andirons,andirons,PA14B
andirons,,PA14C
andirons,handirons,PA15A
andirons,andirons,PA15B
andirons,andirons,PA15C!
andirons,firehorse,PA16A
andirons,andirons,PA16B
andirons,andiron,PA16C
andirons,,PA17A
andirons,andirons,PA17B
andirons,,PA18A
andirons,andirons,PA18B!
andirons,,PA19A
andirons,andirons,PA19B
andirons,andirons,PA20A
andirons,handirons,PA20B
andirons,,PA21A
andirons,andirons,PA21B
andirons,firedogs,PA22A
andirons,andirons,PA22B
andirons,handirons,PA23A
andirons,andirons,PA23B
andirons,andirons,PA24A
andirons,andirons,PA24B
andirons,handirons,PA25A
andirons,,PA25B
andirons,handirons,PA26A
andirons,andirons,PA26B
andirons,handirons,PA27A
andirons,handirons,PA27B
andirons,andirons,PA28A
andirons,andirons,PA28B!
andirons,,PA29A
andirons,andirons,PA29B
andirons,handirons,PA30A
andirons,andirons,PA30B
andirons,handirons,PA31A
andirons,handirons,PA31B
andirons,dog irons,PA32A
andirons,andirons,PA32B
andirons,the X,PA33A
andirons,,PA33B
andirons,dog irons,PA34A
andirons,,PA34B
andirons,andirons,PA34C!
andirons,,PA35A
andirons,,PA35B
andirons,andirons,PA35C
andirons,,PA36A
andirons,andirons,PA36B
andirons,,PA37A
andirons,,PA37B
andirons,,PA37C
andirons,,PA38A
andirons,,PA38B
andirons,,PA39A
andirons,,PA39B
andirons,dogs,PA40A
andirons,,PA40B
andirons,firedogs,PA41A
andirons,andirons,PA41B
andirons,dog irons,PA41B
andirons,dog irons,PA42A
andirons,,PA42B
andirons,firedogs,PA43A
andirons,fire irons,PA43B
andirons,handirons,PA44A
andirons,dogs,PA44A
andirons,dog irons,PA44B
andirons,dog irons,PA45A
andirons,dogs,PA45B
andirons,fire rocks,PA46A
andirons,andirons,PA46B
andirons,dog irons,PA47A
andirons,dog irons,PA47B
andirons,dog irons,PA48A
andirons,dogs,PA48B
andirons,dog irons,PA48C
andirons,dogs,PA49A
andirons,dog irons,PA49B
andirons,dog irons,PA50A
andirons,,PA50B
andirons,andirons,PA50C!
andirons,irons,PA51A
andirons,fire irons,PA51B
andirons,irons,PA51B
andirons,,PA52A
andirons,andirons,PA52B!
andirons,dog irons,PA53A
andirons,andirons,PA53B
andirons,dog irons,PA54A
andirons,fire irons,PA54A
andirons,horse,PA54B
andirons,dog irons,PA54B
andirons,dog irons,PA55A
andirons,handirons,PA55A
andirons,andirons,PA55B
andirons,irons,PA56A
andirons,dogs,PA56A
andirons,,PA56B
andirons,handirons,PA57A
andirons,andirons,PA57B
andirons,andirons,PA58A
andirons,,PA58B
andirons,,PA59A
andirons,andirons,PA59B
andirons,dogs,PA60A
andirons,cold irons,PA60B
andirons,dog irons,PA60B
andirons,dog irons,PA61A
andirons,andirons,PA61B
andirons,dog irons,PA62A
andirons,dog irons,PA62B
andirons,handirons,PA63A
andirons,handirons,PA63B
andirons,handirons,PA64A
andirons,andirons,PA64B
andirons,handirons,PA65A
andirons,andirons,PA65B
andirons,dog irons,PA66A
andirons,,PA66B
andirons,handirons,PA67A
andirons,andirons,PA67B
andirons,andirons,WV1!
andirons,andirons,WV2
andirons,firedogs,WV3
andirons,dog irons,WV4A
andirons,dog irons,WV4B
andirons,handirons,WV4B
andirons,dog irons,WV5
andirons,dog irons,WV6A
andirons,dog irons,WV6B
andirons,dog irons,WV7A
andirons,dog irons,WV7B
andirons,dog irons,WV8A
andirons,dog irons,WV8B
andirons,andirons,WV8B
andirons,dogs,WV9A
andirons,dog irons,WV9B
andirons,firedogs,WV10A
andirons,dogs,WV10A
andirons,dog irons,WV10B
andirons,firedogs,WV10C
andirons,andirons,WV10C
andirons,firedogs,WV11A
andirons,dog irons,WV11B!
andirons,,WV12A
andirons,dog irons,WV12B
andirons,dogs,WV13A
andirons,,WV13B
andirons,firedogs,WV14A
andirons,dogs,WV14A
andirons,dog irons,WV14B
andirons,dogs,WV15A
andirons,firedogs,WV15A
andirons,dog irons,WV15B
andirons,firedogs,WV16A
andirons,dog irons,WV16B
andirons,firedogs,WV17A
andirons,firedogs,WV17B
andirons,firedogs,WV17C
andirons,firedogs,WV18A
andirons,dog irons,WV18B
andirons,fire rocks,WV19A
andirons,firedogs,WV19A
andirons,dogs,WV19B
andirons,firedogs,WV19B
andirons,dog irons,WV20A
andirons,firedogs,WV20B
andirons,andirons,WV20B
andirons,dog irons,WV21A
andirons,wood dogs,WV21B
andirons,dog irons,WV22A
andirons,dog irons,WV22B
andirons,dog irons,WV23A
andirons,dog irons,WV23B
andirons,fire irons,WV24A
andirons,dog irons,WV24A
andirons,andirons,WV24B
andirons,dog irons,WV24B
andirons,dog irons,WV25A
andirons,dog irons,WV25B
andirons,firedogs,WV26A
andirons,dog irons,WV26B
andirons,dog irons,WV27A
andirons,firedogs,WV27B
andirons,firedogs,WV28A
andirons,fire rocks,WV28A
andirons,dogs,WV28B
andirons,dog irons,WV29A
andirons,dog irons,WV29B
andirons,firedogs,WV30A
andirons,firedogs,WV30B
andirons,fire rocks,WV31A
andirons,firedogs,WV31A
andirons,fire rocks,WV31B
andirons,firedogs,WV31B
andirons,way back in time in my growing up,WV32A
andirons,dog irons,WV32A
andirons,fire rocks,WV32B
andirons,dog irons,WV33A
andirons,dogs,WV33B
andirons,dogs,WV34A
andirons,firedogs,WV34B
andirons,fire irons,WV35A
andirons,fire rocks,WV35A
andirons,firedogs,WV35B
andirons,dogs,WV35B
andirons,firedogs,WV36A
andirons,fire rocks,WV36A
andirons,dog's irons,WV36B
andirons,dog irons,WV37A
andirons,dogs,WV37B!
andirons,firedogs,WV38A
andirons,dog irons,WV38B
andirons,dog irons,WV39A
andirons,andirons,WV39B
andirons,andirons,WV39C!
andirons,firedogs,WV39C!
andirons,dog irons,WV40A
andirons,dog irons,WV40B
andirons,fire rock,WV41A
andirons,firedogs,WV41A
andirons,firedogs,WV41B
andirons,firedogs,WV42A
andirons,dogs,WV42B
andirons,firedogs,WV42B
andirons,firedogs,WV43A
andirons,dog irons,WV43B
andirons,dog irons,WV44A
andirons,dog irons,WV44B
andirons,dog irons,WV45A
andirons,dogs,WV45B
andirons,firedogs,WV46A
andirons,dog irons,WV46A
andirons,wood dogs,WV46B
andirons,firedogs,WV47A
andirons,firedogs,WV47B
