Target,Response,Informant
April,April,NY1
April,,NY2A
April,April,NY2B
April,,NY2C
April,April,NY3A
April,April,NY3B
April,April,NY3C
April,April,NY3D
April,April,NY4A
April,April,NY4B
April,April,NY4C
April,April,NY5A
April,April,NY5B
April,April,NY5C
April,April,NY5D
April,April,NY5E
April,April,NY5F
April,April,NY5G
April,April,NY5H!
April,April,NY5I!
April,April,NY6A
April,April,NY6B
April,April,NY7A
April,April,NY7B
April,April,NY7C
April,April,NY7D
April,April,NY7E
April,April,NY7F
April,April,NY7G
April,April,NY7H
April,April,NY7I
April,April,NY7J!
April,April,NY7K!
April,April,NY7L!
April,April,NY7M!
April,April,NY8
April,April,NY9A
April,April,NY9B
April,April,NY9C
April,April,NY10A
April,April,NY10B!
April,April,NY11
April,April,NY12A
April,April,NY12B
April,April,NY12C!
April,April,NY13A
April,April,NY13B!
April,April,NY14A
April,April,NY14B
April,April,NY15A
April,April,NY15B
April,April,NY16A
April,April,NY16B
April,April,NY17A
April,April,NY17B
April,April,NY18A
April,April,NY18B
April,April,NY18C!
April,April,NY19
April,April,NY20A
April,April,NY20B
April,April,NY21
April,April,NY22
April,,NY23A
April,April,NY23B
April,April,NY23C
April,April,NY24A
April,April,NY24B!
April,April,NY25A
April,April,NY25B
April,April,NY26A
April,April,NY26B
April,,NY26C
April,April,NY27A
April,,NY27B
April,April,NY27C
April,April,NY28A
April,April,NY28B
April,,NY28C
April,April,NY29A
April,April,NY29B
April,April,NY29C
April,April,NY30A
April,April,NY30B
April,,NY30C
April,,NY30D
April,April,NY30E
April,April,NY31A
April,April,NY31B
April,April,NY32A
April,April,NY32B
April,,NY33A
April,April,NY33B
April,April,NY33C
April,April,NY34A
April,,NY34B
April,,NY34C
April,April,NY34D!
April,April,NY35A
April,April,NY35B
April,,NY35C!
April,April,NY36A
April,April,NY36B
April,April,NY37A
April,April,NY37B
April,April,NY37C!
April,April,NY38A
April,April,NY38B
April,,NY38C
April,April,NY39A
April,April,NY39B
April,April,NY40A
April,April,NY40B
April,April,NY41
April,April,NY42A
April,April,NY42B
April,,NY43A
April,April,NY43B
April,April,NY43C!
April,April,NY44A
April,April,NY44B
April,April,NY45A
April,,NY45B
April,,NY45C
April,April,NY45D!
April,April,NY46A
April,April,NY46B
April,April,NY46C
April,April,NY47A
April,April,NY47B
April,April,NY48A
April,,NY48B
April,April,NY48C
April,April,NY48D
April,April,NY49A
April,,NY49B
April,April,NY49C
April,April,NY49D
April,April,NY50A
April,April,NY50B
April,April,NY51A
April,April,NY51B
April,April,NY51C
April,,NY51D
April,,NY51E!
April,April,NY52A
April,,NY52B
April,April,NY52C
April,April,NY53A
April,April,NY53B!
April,April,NY54A
April,April,NY54B
April,April,NY55A
April,April,NY55B
April,April,NY56A
April,April,NY56B
April,April,NY57A
April,,NY57B
April,April,NY57C!
April,April,NY58A
April,April,NY58B
April,,NY58C
April,April,NY58D!
April,April,NY58E!
April,,NY58F!
April,April,NY59A
April,April,NY59B
April,April,NY60A
April,April,NY60B!
April,April,NY61A
April,April,NY61B
April,April,NY62A
April,April,NY62B
April,April,NY62C
April,April,NY62D!
April,April,NY63A
April,April,NY63B
April,April,NY63C
April,April,NY63D!
April,April,NY64A
April,April,NY64B
April,,NY64C!
April,April,NJ1A
April,April,NJ1B
April,April,NJ2A
April,April,NJ2B
April,April,NJ3A
April,April,NJ3B
April,April,NJ4A
April,April,NJ4B
April,April,NJ5A
April,April,NJ5B
April,April,NJ6A
April,April,NJ6B
April,April,NJ7A
April,April,NJ7B!
April,April,NJ8A
April,April,NJ8B
April,April,NJ9A
April,April,NJ9B
April,April,NJ10A
April,April,NJ10B
April,April,NJ10C
April,April,NJ10D!
April,April,NJ11A
April,April,NJ11B
April,April,NJ11C
April,April,NJ12A
April,April,NJ12B
April,April,NJ13A
April,April,NJ13B
April,April,NJ14A
April,April,NJ14B
April,April,NJ15A
April,April,NJ15B
April,April,NJ16A
April,April,NJ16B
April,April,NJ17A
April,April,NJ17B
April,April,NJ18A
April,April,NJ18B
April,April,NJ18C!
April,April,NJ18D!
April,April,NJ19A
April,April,NJ19B!
April,April,NJ20A
April,April,NJ20B
April,April,NJ21A
April,April,NJ21B
April,April,PA1A
April,April,PA1B
April,April,PA1C
April,April,PA1D
April,April,PA1E!
April,April,PA1F!
April,April,PA1G!
April,April,PA1H!
April,April,PA2A
April,April,PA2B
April,April,PA3A
April,April,PA3B
April,April,PA3C
April,April,PA4A
April,April,PA4B!
April,April,PA5A
April,April,PA5B
April,April,PA5C
April,April,PA5D
April,April,PA5E!
April,April,PA6A
April,April,PA6B
April,April,PA6C
April,April,PA6D!
April,April,PA7A
April,April,PA7B
April,April,PA7C
April,April,PA7D!
April,April,PA8A
April,April,PA8B
April,April,PA8C
April,April,PA8D!
April,April,PA9A
April,April,PA9B
April,April,PA9C!
April,April,PA10
April,April,PA11A
April,April,PA11B
April,April,PA12A
April,April,PA12B
April,April,PA13A
April,April,PA13B
April,April,PA14A
April,April,PA14B
April,,PA14C
April,April,PA15A
April,April,PA15B
April,April,PA15C!
April,April,PA16A
April,April,PA16B
April,,PA16C
April,April,PA17A
April,April,PA17B
April,April,PA18A
April,April,PA18B!
April,April,PA19A
April,April,PA19B
April,April,PA20A
April,April,PA20B
April,April,PA21A
April,April,PA21B
April,April,PA22A
April,April,PA22B
April,April,PA23A
April,April,PA23B
April,April,PA24A
April,April,PA24B
April,April,PA25A
April,April,PA25B
April,April,PA26A
April,April,PA26B
April,April,PA27A
April,April,PA27B
April,April,PA28A
April,April,PA28B!
April,April,PA29A
April,April,PA29B
April,April,PA30A
April,April,PA30B
April,April,PA31A
April,April,PA31B
April,April,PA32A
April,April,PA32B
April,April,PA33A
April,April,PA33B
April,April,PA34A
April,April,PA34B
April,,PA34C!
April,April,PA35A
April,April,PA35B
April,,PA35C
April,April,PA36A
April,April,PA36B
April,April,PA37A
April,April,PA37B
April,,PA37C
April,April,PA38A
April,April,PA38B
April,April,PA39A
April,April,PA39B
April,April,PA40A
April,April,PA40B
April,April,PA41A
April,April,PA41B
April,April,PA42A
April,April,PA42B
April,April,PA43A
April,April,PA43B
April,April,PA44A
April,April,PA44B
April,April,PA45A
April,April,PA45B
April,April,PA46A
April,April,PA46B
April,April,PA47A
April,April,PA47B
April,April,PA48A
April,April,PA48B
April,April,PA48C
April,April,PA49A
April,April,PA49B
April,,PA50A
April,April,PA50B
April,April,PA50C!
April,April,PA51A
April,April,PA51B
April,April,PA52A
April,April,PA52B!
April,April,PA53A
April,April,PA53B
April,April,PA54A
April,April,PA54B
April,April,PA55A
April,April,PA55B
April,April,PA56A
April,April,PA56B
April,April,PA57A
April,April,PA57B
April,April,PA58A
April,April,PA58B
April,April,PA59A
April,April,PA59B
April,April,PA60A
April,April,PA60B
April,April,PA61A
April,April,PA61B
April,April,PA62A
April,April,PA62B
April,April,PA63A
April,April,PA63B
April,April,PA64A
April,April,PA64B
April,April,PA65A
April,April,PA65B
April,April,PA66A
April,April,PA66B
April,April,PA67A
April,April,PA67B
April,April,WV1!
April,April,WV2
April,April,WV3
April,April,WV4A
April,April,WV4B
April,April,WV5
April,April,WV6A
April,April,WV6B
April,April,WV7A
April,April,WV7B
April,April,WV8A
April,April,WV8B
April,April,WV9A
April,April,WV9B
April,April,WV10A
April,April,WV10B
April,April,WV10C
April,April,WV11A
April,April,WV11B!
April,April,WV12A
April,April,WV12B
