Target,Response,Informant
Arkansas,California,NY1
Arkansas,Texas,NY1
Arkansas,,NY2A
Arkansas,Texas,NY2B
Arkansas,California,NY2B
Arkansas,,NY2C
Arkansas,Arkansas,NY3A
Arkansas,Arkansas,NY3B
Arkansas,Arkansas,NY3C
Arkansas,Arkansas,NY3D
Arkansas,Arkansas,NY4A
Arkansas,Arkansas,NY4B
Arkansas,Arkansas,NY4C
Arkansas,Arkansas,NY5A
Arkansas,Arkansas,NY5B
Arkansas,Arkansas,NY5C
Arkansas,Arkansas,NY5D
Arkansas,Arkansas,NY5E
Arkansas,Arkansas,NY5F
Arkansas,Arkansas,NY5G
Arkansas,Arkansas,NY5H!
Arkansas,Arkansas,NY5I!
Arkansas,Arkansas,NY6A
Arkansas,Arkansas,NY6B
Arkansas,Arkansas,NY7A
Arkansas,Arkansas,NY7B
Arkansas,Arkansas,NY7C
Arkansas,Arkansas,NY7D
Arkansas,Arkansas,NY7E
Arkansas,Arkansas,NY7F
Arkansas,Arkansas,NY7G
Arkansas,Arkansas,NY7H
Arkansas,Arkansas,NY7I
Arkansas,Arkansas,NY7J!
Arkansas,Arkansas,NY7K!
Arkansas,Arkansas,NY7L!
Arkansas,Arkansas,NY7M!
Arkansas,Arkansas,NY8
Arkansas,Arkansas,NY9A
Arkansas,Arkansas,NY9B
Arkansas,Arkansas,NY9C
Arkansas,Arkansas,NY10A
Arkansas,Arkansas,NY10B!
Arkansas,Arkansas,NY11
Arkansas,Arkansas,NY12A
Arkansas,Arkansas,NY12B
Arkansas,Arkansas,NY12C!
Arkansas,Arkansas,NY13A
Arkansas,Arkansas,NY13B!
Arkansas,Arkansas,NY14A
Arkansas,Arkansas,NY14B
Arkansas,Arkansas,NY15A
Arkansas,Arkansas,NY15B
Arkansas,Arkansas,NY16A
Arkansas,Arkansas,NY16B
Arkansas,Arkansas,NY17A
Arkansas,Arkansas,NY17B
Arkansas,Arkansas,NY18A
Arkansas,Arkansas,NY18B
Arkansas,Arkansas,NY18C!
Arkansas,Arkansas,NY19
Arkansas,Arkansas,NY20A
Arkansas,Arkansas,NY20B
Arkansas,Arkansas,NY21
Arkansas,Arkansas,NY22
Arkansas,,NY23A
Arkansas,Arkansas,NY23B
Arkansas,Arkansas,NY23C
Arkansas,Texas,NY23C
Arkansas,Arkansas,NY24A
Arkansas,Arkansas,NY24B!
Arkansas,Arkansas,NY25A
Arkansas,Arkansas,NY25B
Arkansas,Arkansas,NY26A
Arkansas,California,NY26A
Arkansas,Arkansas,NY26B
Arkansas,,NY26C
Arkansas,Arkansas,NY27A
Arkansas,,NY27B
Arkansas,Arkansas,NY27C
Arkansas,Arkansas,NY28A
Arkansas,Arkansas,NY28B
Arkansas,California,NY28B
Arkansas,,NY28C
Arkansas,,NY29A
Arkansas,Arkansas,NY29B
Arkansas,Arkansas,NY29C
Arkansas,Arkansas,NY30A
Arkansas,Texas,NY30A
Arkansas,Arkansas,NY30B
Arkansas,,NY30C
Arkansas,,NY30D
Arkansas,Arkansas,NY30E
Arkansas,Arkansas,NY31A
Arkansas,Arkansas,NY31B
Arkansas,Arkansas,NY32A
Arkansas,Arkansas,NY32B
Arkansas,,NY33A
Arkansas,Arkansas,NY33B
Arkansas,Texas,NY33C
Arkansas,Arkansas,NY33C
Arkansas,Arkansas,NY34A
Arkansas,,NY34B
Arkansas,,NY34C
Arkansas,Arkansas,NY34D!
Arkansas,Arkansas,NY35A
Arkansas,Arkansas,NY35B
Arkansas,,NY35C!
Arkansas,Arkansas,NY36A
Arkansas,Arkansas,NY36B
Arkansas,Arkansas,NY37A
Arkansas,Arkansas,NY37B
Arkansas,Arkansas,NY37C!
Arkansas,Arkansas,NY38A
Arkansas,Arkansas,NY38B
Arkansas,,NY38C
Arkansas,Arkansas,NY39A
Arkansas,Arkansas,NY39B
Arkansas,Arkansas,NY40A
Arkansas,Arkansas,NY40B
Arkansas,Arkansas,NY41
Arkansas,Arkansas,NY42A
Arkansas,Arkansas,NY42B
Arkansas,Arkansas,NY43A
Arkansas,Arkansas,NY43B
Arkansas,Arkansas,NY43C!
Arkansas,Arkansas,NY44A
Arkansas,Arkansas,NY44B
Arkansas,,NY45A
Arkansas,,NY45B
Arkansas,,NY45C
Arkansas,Arkansas,NY45D!
Arkansas,Arkansas,NY46A
Arkansas,Texas,NY46B
Arkansas,California,NY46B
Arkansas,Arkansas,NY46C
Arkansas,California,NY46C
Arkansas,Texas,NY46C
Arkansas,California,NY47A
Arkansas,Arkansas,NY47A
Arkansas,Arkansas,NY47B
Arkansas,Arkansas,NY48A
Arkansas,,NY48B
Arkansas,Arkansas,NY48C
Arkansas,Arkansas,NY48D
Arkansas,,NY49A
Arkansas,,NY49B
