Target,Response,Informant
ate,ate,NY1
ate,eaten,NY1
ate,we ate,NY2A
ate,eat,NY2A
ate,we ate,NY2B
ate,ate,NY2C
ate,ate,NY3A
ate,we ate,NY3A
ate,have you eaten,NY3A
ate,we ate,NY3B
ate,we ate,NY3C
ate,we ate,NY3D
ate,we ate,NY4A
ate,we eat,NY4B
ate,ate,NY4B
ate,we ate,NY4C
ate,we ate,NY5A
ate,I ate,NY5B
ate,we ate,NY5C
ate,we ate,NY5D
ate,we ate,NY5E
ate,we ate,NY5F
ate,we ate,NY5G
ate,we ate,NY5H!
ate,we ate,NY5I!
ate,we ate,NY6A
ate,we ate,NY6B
ate,we ate,NY7A
ate,we ate,NY7B
ate,we ate,NY7C
ate,ate,NY7D
ate,we ate,NY7E
ate,we ate,NY7F
ate,we ate,NY7G
ate,we ate,NY7H
ate,we ate,NY7I
ate,,NY7J!
ate,we ate,NY7K!
ate,we ate,NY7L!
ate,we ate,NY7M!
ate,we ate,NY8
ate,we ate,NY9A
ate,ate,NY9B
ate,we ate,NY9B
ate,we ate,NY9C
ate,we ate,NY10A
ate,we ate,NY10B!
ate,we ate,NY11
ate,we ate,NY12A
ate,ate,NY12A
ate,we ate,NY12B
ate,we ate,NY12C!
ate,we eat,NY13B!
ate,we eat,NY14A
ate,ate,NY14A
ate,we ate,NY14B
ate,ate,NY15A
ate,we eat,NY15A
ate,we ate,NY15B
ate,we ate,NY16A
ate,ate,NY16A
ate,we eat,NY16B
ate,we ate,NY17A
ate,we ate,NY17B
ate,ate,NY18A
ate,we eat,NY18A
ate,we ate,NY18B
ate,we ate,NY18C!
ate,we ate,NY19
ate,we ate,NY20A
ate,we ate,NY20B
ate,ate,NY21
ate,we ate,NY22
ate,ate,NY23A
ate,eat,NY23B
ate,ate,NY23B
ate,eat,NY23C
ate,eat,NY24A
ate,we ate,NY24A
ate,ate,NY24A
ate,we ate,NY24B!
ate,ate,NY25A
ate,ate,NY25B
ate,ate,NY26A
ate,ate,NY26B
ate,ate them,NY26B
ate,eat,NY27A
ate,ate,NY27B
ate,eat,NY27B
ate,ate it,NY27C
ate,ate,NY27C
ate,ate,NY28A
ate,ate,NY28B
ate,ate,NY28C
ate,ate,NY29A
ate,ate,NY29B
ate,ate,NY29C
ate,eaten,NY29C
ate,ate,NY30A
ate,eat,NY30B
ate,ate,NY30B
ate,,NY30C
ate,ate,NY30D
ate,ate,NY30E
ate,ate,NY31A
ate,ate,NY31B
ate,ate it,NY32A
ate,eat,NY32B
ate,ate,NY33A
ate,ate,NY33B
ate,ate,NY33C
ate,ate,NY34A
ate,,NY34B
ate,,NY34C
ate,ate,NY34D!
ate,we eat,NY35A
ate,ate,NY35A
ate,we eat,NY35B
ate,we ate,NY35C!
ate,we ate,NY36A
ate,ate,NY36B
ate,we ate,NY36B
ate,we ate,NY37A
ate,we ate,NY37B
ate,we ate,NY37C!
ate,we ate,NY38A
ate,we ate,NY38B
ate,we ate,NY38C
ate,we ate,NY39A
ate,we ate,NY39B
ate,we ate,NY40A
ate,we ate,NY40B
ate,we ate,NY41
ate,we ate,NY42A
ate,we ate,NY42B
ate,we ate,NY43A
ate,we ate,NY43B
ate,we ate,NY43C!
ate,we ate,NY44A
ate,we eat,NY44B
ate,ate,NY45A
ate,,NY45B
ate,eat,NY45C
ate,ate,NY45D!
ate,ate,NY46A
ate,eat,NY46A
ate,ate,NY46B
ate,ate,NY46C
ate,ate,NY47A
ate,eat,NY47A
ate,we ate,NY47B
ate,ate,NY48A
ate,,NY48B
ate,ate,NY48C
ate,ate,NY48D
ate,eat it,NY49A
ate,we ate,NY49B
ate,ate,NY49B
ate,ate,NY49C
ate,eat,NY49C
ate,ate,NY49D
ate,ate,NY50A
ate,ate that,NY50B
ate,ate,NY51A
ate,eat,NY51A
ate,eat it,NY51B
ate,ate,NY51C
ate,eat,NY51C
ate,,NY51D
ate,ate,NY51E!
ate,ate,NY52A
ate,,NY52B
ate,ate,NY52C
ate,ate,NY53A
ate,ate,NY53B!
ate,ate,NY54A
ate,ate,NY54B
ate,ate,NY55A
ate,ate,NY55B
ate,ate that up,NY56A
ate,ate it up,NY56B
ate,ate it,NY57A
ate,ate,NY57B
ate,ate,NY57C!
ate,ate,NY58A
ate,eat,NY58B
ate,,NY58C
ate,ate,NY58D!
ate,ate,NY58E!
ate,,NY58F!
ate,ate it,NY59A
ate,we ate,NY59B
ate,ate it,NY60A
ate,ate,NY60B!
ate,ate,NY61A
ate,ate it,NY61B
ate,ate,NY61B
ate,eat,NY62A
ate,eat,NY62B
ate,ate,NY62B
ate,ate it,NY62B
ate,ate it,NY62C
ate,ate,NY62D!
ate,ate,NY63A
ate,ate one,NY63B
ate,we ate,NY63C
ate,ate,NY63D!
ate,eat,NY64A
ate,ate,NY64B
ate,ate,NY64C!
ate,we eat,NJ1A
ate,we ate,NJ1B
ate,we eat,NJ2A
ate,we ate,NJ2B
ate,we ate,NJ3A
ate,we ate,NJ3B
ate,ate,NJ3B
ate,we ate,NJ4A
ate,eat,NJ4A
ate,we ate,NJ4B
ate,we ate,NJ5A
ate,we eat,NJ5B
ate,we eat,NJ6A
ate,we ate,NJ6B
ate,we ate,NJ7A
ate,we ate,NJ7B!
ate,ate,NJ8A
ate,we eat,NJ8A
ate,we ate,NJ8B
ate,we ate,NJ9A
ate,we ate,NJ9B
ate,we eat,NJ10A
ate,we eat,NJ10B
ate,ate,NJ10C
ate,we ate,NJ10C
ate,we ate,NJ10D!
ate,we eat,NJ11A
ate,we ate,NJ11B
ate,we ate,NJ11C
ate,we ate,NJ12A
ate,we ate,NJ12B
ate,we eat,NJ13A
ate,we eat,NJ13B
ate,ate,NJ14A
ate,we ate,NJ14A
ate,we ate,NJ14B
ate,we ate,NJ15A
ate,ate,NJ15B
ate,we ate,NJ15B
ate,we eat,NJ16A
ate,we ate,NJ16B
ate,ate,NJ17A
ate,we ate,NJ17A
ate,we ate,NJ17B
ate,we ate,NJ18A
ate,we ate,NJ18B
ate,we ate,NJ18C!
ate,we ate,NJ18D!
ate,we ate,NJ19A
ate,we ate,NJ19B!
ate,we ate,NJ20A
ate,we ate,NJ20B
ate,we ate,NJ21A
ate,we ate,NJ21B
ate,we ate,PA1A
ate,ate,PA1A
ate,we ate,PA1B
ate,we ate,PA1C
ate,we ate,PA1D
ate,we ate,PA1E!
ate,we ate,PA1F!
ate,we ate,PA1G!
ate,we ate,PA1H!
ate,we eat,PA2A
ate,we ate,PA2B
ate,we ate,PA3A
ate,we ate,PA3B
ate,we ate,PA3C
ate,we eat,PA4A
ate,we ate,PA4B!
ate,we eat,PA5A
ate,we eat,PA5B
ate,we ate,PA5C
ate,we ate,PA5D
ate,we ate,PA5E!
ate,we did eat,PA6A
ate,we ate,PA6B
ate,we ate,PA6C
ate,we ate,PA6D!
ate,we ate,PA7A
ate,ate,PA7B
ate,we eat,PA7C
ate,ate,PA7D!
ate,we eat,PA8A
ate,we ate,PA8B
ate,we eat,PA8C
ate,we ate,PA8D!
ate,we ate,PA9A
ate,we eat,PA9B
ate,we ate,PA9C!
ate,we ate,PA10
ate,we eat,PA11A
ate,we ate,PA11A
ate,we ate,PA11B
ate,we eat,PA12A
ate,we ate,PA12B
ate,we eat,PA13A
ate,we ate,PA13B
ate,we eat,PA14A
ate,we ate,PA14B
ate,,PA14C
ate,we ate,PA15A
ate,we ate,PA15B
ate,we ate,PA15C!
ate,we eat,PA16A
ate,we ate,PA16B
ate,we ate,PA16C
ate,we ate,PA17A
ate,we ate,PA17B
ate,we ate,PA18A
ate,we ate,PA18B!
ate,we eat,PA19A
ate,we ate,PA19B
ate,we ate,PA20A
ate,we ate,PA20B
ate,we ate,PA21A
ate,we ate,PA21B
ate,we ate,PA22A
ate,we ate,PA22B
ate,eat,PA22B
ate,we ate,PA23A
ate,eat,PA23A
ate,we eat,PA23B
ate,we eat,PA24A
ate,we ate,PA24B
ate,we ate,PA25A
ate,we ate,PA25B
ate,ate,PA25B
ate,we ate,PA26A
ate,ate,PA26A
ate,we ate,PA26B
ate,ate,PA26B
ate,we ate,PA27A
ate,we ate,PA27B
ate,we eat,PA28A
ate,we ate,PA28B!
ate,we ate,PA29A
ate,we eat,PA29B
ate,we ate,PA30A
ate,ate,PA30B
ate,we ate,PA30B
ate,we ate,PA31A
ate,we ate,PA31B
ate,we eat,PA32A
ate,we eat,PA32B
ate,we eat,PA33A
ate,we ate,PA33B
ate,we eat,PA34A
ate,we eat,PA34B
ate,we ate,PA34C!
ate,we ate,PA35A
ate,we eat,PA35B
ate,,PA35C
ate,we ate,PA36A
ate,eat,PA36A
ate,we eat,PA36B
ate,we ate,PA37A
ate,we eat,PA37B
ate,,PA37C
ate,we ate,PA38A
ate,we eat,PA38B
ate,we eat,PA39A
ate,we ate,PA39B
ate,we eat,PA40A
ate,we eat,PA40B
ate,we ate,PA41A
ate,we ate,PA41B
ate,we ate,PA42A
ate,he eat,PA42B
ate,we eat,PA43A
ate,we ate,PA43B
ate,we eat,PA44A
ate,we eat,PA44B
