Target,Response,Informant
attic,garret,NY1
attic,attic,NY1
attic,garret,NY2A
attic,attic,NY2B
attic,garret,NY2B
attic,garret,NY2C
attic,attic,NY2C
attic,attic,NY3A
attic,garret,NY3A
attic,attic,NY3B
attic,garret,NY3B
attic,attic,NY3C
attic,garret,NY3D
attic,attic,NY3D
attic,attic,NY4A
attic,garret,NY4A
attic,garret,NY4B
attic,attic,NY4C
attic,,NY5A
attic,attic,NY5B
attic,attic,NY5C
attic,attic,NY5D
attic,attic,NY5E
attic,attic,NY5F
attic,attic,NY5G
attic,garret,NY5H!
attic,attic,NY5H!
attic,attic,NY5I!
attic,attic,NY6A
attic,attic,NY6B
attic,attic,NY7A
attic,attic,NY7B
attic,attic,NY7C
attic,attic,NY7D
attic,attic,NY7E
attic,attic,NY7F
attic,attic,NY7G
attic,attic,NY7H
attic,attic,NY7I
attic,attic,NY7J!
attic,attic,NY7K!
attic,garret,NY7L!
attic,attic,NY7M!
attic,garret,NY8
attic,attic,NY8
attic,attic,NY9A
attic,garret,NY9B
attic,attic,NY9C
attic,attic,NY10A
attic,garret,NY10A
attic,garret,NY10B!
attic,attic,NY11
attic,garret,NY11
attic,attic,NY12A
attic,garret,NY12A
attic,attic,NY12B
attic,garret,NY12B
attic,garret,NY12C!
attic,attic,NY12C!
attic,garret,NY13A
attic,attic,NY13B!
attic,garret,NY13B!
attic,attic,NY14A
attic,garret,NY14A
attic,attic,NY14B
attic,garret,NY14B
attic,garret,NY15A
attic,attic,NY15A
attic,attic,NY15B
attic,garret,NY16A
attic,garret,NY16B
attic,attic,NY16B
attic,up garret,NY17A
attic,garret,NY17A
attic,attic,NY17B
attic,garret,NY17B
attic,garret,NY18A
attic,attic,NY18B
attic,attic,NY18C!
attic,garret,NY18C!
attic,attic,NY19
attic,attic,NY20A
attic,garret,NY20A
attic,attic,NY20B
attic,attic,NY21
attic,garret,NY22
attic,attic,NY22
attic,attic,NY23A
attic,attic,NY23B
attic,attic,NY23C
attic,garret,NY24A
attic,garret,NY24B!
attic,attic,NY24B!
attic,loft,NY25A
attic,garret,NY25A
attic,attic,NY25A
attic,big room,NY25A
attic,attic,NY25B
attic,garret,NY26A
attic,attic,NY26A
attic,attic,NY26B
attic,attic,NY26C
attic,garret,NY27A
attic,upstairs,NY27A
attic,attic,NY27B
attic,attic,NY27C
attic,storerooms,NY28A
attic,attic,NY28A
attic,attic,NY28B
attic,garret,NY28C
attic,attic,NY28C
attic,woodshed chamber,NY29A
attic,attic,NY29B
attic,kitchen chamber,NY29C
attic,attic,NY29C
attic,attic,NY30A
attic,attic,NY30B
attic,attic,NY30C
attic,attic,NY30D
attic,attic,NY30E
attic,garret,NY31A
attic,atticway,NY31B
attic,attic,NY31B
attic,attic,NY32A
attic,attic,NY32B
attic,attic,NY33A
attic,attic,NY33B
attic,attic,NY33C
attic,attic,NY34A
attic,garret,NY34B
attic,attic,NY34B
attic,attic,NY34C
attic,garret,NY34D!
attic,attic,NY34D!
attic,cuddy,NY34D!
attic,attic,NY35A
attic,attic,NY35B
attic,attic,NY35C!
attic,garret,NY36A
attic,attic,NY36B
attic,attic,NY37A
attic,attic,NY37B
attic,attic,NY37C!
attic,attic,NY38A
attic,attic,NY38B
attic,attic,NY38C
attic,attic,NY39A
attic,garret,NY39A
attic,attic,NY39B
attic,attic,NY40A
attic,attic,NY40B
attic,garret,NY40B
attic,attic,NY41
attic,garret,NY42A
attic,attic,NY42A
attic,attic,NY42B
attic,attic,NY43A
attic,attic,NY43B
attic,attic,NY43C!
attic,attic,NY44A
attic,attic,NY44B
attic,garret,NY45A
attic,attic,NY45B
attic,attic,NY45C
attic,attic,NY45D!
attic,attic,NY46A
attic,garret,NY46A
attic,attic,NY46B
attic,attic,NY46C
attic,garret,NY47A
attic,attic,NY47A
attic,garret,NY47B
attic,attic,NY47B
attic,attic,NY48A
attic,open room,NY48B
attic,cupboard,NY48B
attic,garret,NY48B
attic,kitchen chamber,NY48C
attic,attic,NY48C
attic,parlor chamber,NY48C
attic,garret,NY48C
attic,attic,NY48D
attic,attic,NY49A
attic,attic,NY49B
attic,attic,NY49C
attic,attic,NY49D
attic,attic,NY50A
attic,third floor,NY50A
attic,attic,NY50B
attic,attic,NY51A
attic,attic,NY51B
attic,attic,NY51C
attic,attic,NY51D
attic,attic,NY51E!
attic,attic,NY52A
attic,loft,NY52B
attic,back loft,NY52B
attic,attic,NY52C
attic,attic,NY53A
attic,attic,NY53B!
attic,garrets,NY53B!
attic,attic,NY54A
attic,attic,NY54B
attic,attic,NY55A
attic,garret,NY55A
attic,back chamber,NY55B
attic,attics,NY55B
attic,garret,NY56A
attic,attic,NY56A
attic,attic,NY56B
attic,garret,NY57A
attic,attic,NY57B
attic,attic,NY57C!
attic,attic,NY58A
attic,attic,NY58B
attic,garret,NY58B
attic,cupola,NY58C
attic,attic,NY58C
attic,attic,NY58D!
attic,attic,NY58E!
attic,cupola,NY58E!
attic,attic,NY58F!
attic,garret,NY58F!
attic,attic,NY59A
attic,garret,NY59A
attic,attic,NY59B
attic,attic,NY60A
attic,attic,NY60B!
attic,attic,NY61A
attic,attic,NY61B
attic,attic,NY62A
attic,garret,NY62B
attic,attic,NY62C
attic,kitchen chamber,NY62D!
attic,garret,NY62D!
attic,attic,NY62D!
attic,not full height,NY63A
attic,attic,NY63A
attic,attic,NY63B
attic,attic,NY63C
attic,attic,NY63D!
attic,scuttle hole,NY63D!
attic,attic,NY64A
attic,garret,NY64B
attic,attic,NY64B
attic,attic,NY64C!
attic,garret,NJ1A
attic,up garret,NJ1A
attic,attic,NJ1B
attic,garret,NJ1B
attic,garret,NJ2A
attic,attic,NJ2A
attic,attic,NJ2B
attic,garret,NJ2B
attic,up garret,NJ3A
attic,attic,NJ3B
attic,garret,NJ3B
attic,garret,NJ4A
attic,attic,NJ4A
attic,attic,NJ4B
attic,garret,NJ4B
attic,garret,NJ5A
attic,attic,NJ5B
attic,garret,NJ6A
attic,attic,NJ6A
attic,attic,NJ6B
attic,garret,NJ7A
attic,garret,NJ7B!
attic,attic,NJ7B!
attic,attic,NJ8A
