Target,Response,Informant
backlog,log,NY1
backlog,backlog,NY2A
backlog,log,NY2B
backlog,backlog,NY2C
backlog,log,NY2C
backlog,backlog,NY3A
backlog,backlog,NY3B
backlog,backlog,NY3C
backlog,log,NY3D
backlog,backlog,NY4A
backlog,log,NY4B
backlog,log,NY4C
backlog,log,NY5A
backlog,log,NY5B
backlog,log,NY5C
backlog,backlog,NY5D
backlog,log,NY5E
backlog,log,NY5F
backlog,backlog,NY5G
backlog,backlog,NY5H!
backlog,log,NY5I!
backlog,log,NY6A
backlog,log,NY6B
backlog,log,NY7A
backlog,log,NY7B
backlog,log,NY7C
backlog,log,NY7D
backlog,log,NY7E
backlog,log,NY7F
backlog,log,NY7G
backlog,log,NY7H
backlog,log,NY7I
backlog,log,NY7J!
backlog,backlog,NY7K!
backlog,backlog,NY7L!
backlog,backlog,NY7M!
backlog,backlog,NY8
backlog,log,NY9A
backlog,backlog,NY9B
backlog,backlog,NY9C
backlog,backlog,NY10A
backlog,backlog,NY10B!
backlog,backlog,NY11
backlog,backlog,NY12A
backlog,backlog,NY12B
backlog,backlog,NY12C!
backlog,log,NY13A
backlog,backlog,NY13B!
backlog,backlog,NY14A
backlog,log,NY14B
backlog,log,NY15A
backlog,log,NY15B
backlog,log,NY16A
backlog,log,NY16B
backlog,backlog,NY17A
backlog,log,NY17A
backlog,log,NY17B
backlog,backlog,NY18A
backlog,log,NY18B
backlog,log,NY18C!
backlog,log,NY19
backlog,backlog,NY20A
backlog,backlog,NY20B
backlog,log,NY21
backlog,log,NY22
backlog,chunks,NY23A
backlog,big chunks,NY23B
backlog,log,NY23B
backlog,chunks,NY23B
backlog,logs,NY23B
backlog,big chunks,NY23C
backlog,backlog,NY23C
backlog,log,NY24A
backlog,log,NY24B!
backlog,backlog,NY25A
backlog,log,NY25A
backlog,logs,NY25A
backlog,backlog,NY25B
backlog,chunks,NY26A
backlog,chunk of flint,NY26A
backlog,log,NY26A
backlog,backlog,NY26B
backlog,backlog,NY26C
backlog,logs,NY26C
backlog,chunk,NY27A
backlog,chunks of wood,NY27B
backlog,backlog,NY27C
backlog,logs,NY28A
backlog,chunk,NY28B
backlog,chunk of wood,NY28C
backlog,logs,NY28C
backlog,piece,NY28C
backlog,chunks,NY29A
backlog,big chunks,NY29B
backlog,logs,NY29B
backlog,log,NY29C
backlog,chunk,NY29C
backlog,night chunks,NY30A
backlog,chunks,NY30A
backlog,backlog,NY30B
backlog,big logs,NY30B
backlog,heat oven,NY30B
backlog,firewood,NY30C
backlog,log house,NY30C
backlog,chunks,NY30C
backlog,chunk,NY30D
backlog,backlog,NY30E
backlog,log,NY30E
backlog,backlog,NY31A
