Target,Response,Informant
bacon,,NY1
bacon,,NY2A
bacon,,NY2B
bacon,,NY2C
bacon,sausage,NY3A
bacon,bacon,NY3A
bacon,bacon,NY3B
bacon,bacon,NY3C
bacon,bacon,NY3D
bacon,bacon,NY4A
bacon,bacon,NY4B
bacon,bacon,NY4C
bacon,,NY5A
bacon,bacon,NY5B
bacon,,NY5C
bacon,bacon,NY5D
bacon,bacon,NY5E
bacon,,NY5F
bacon,bacon,NY5G
bacon,bacon,NY5H!
bacon,bacon,NY5I!
bacon,,NY6A
bacon,,NY6B
bacon,bacon,NY7A
bacon,,NY7B
bacon,,NY7C
bacon,bacon,NY7D
bacon,bacon,NY7E
bacon,bacon,NY7F
bacon,bacon,NY7G
bacon,bacon,NY7H
bacon,bacon,NY7I
bacon,,NY7J!
bacon,,NY7K!
bacon,bacon,NY7L!
bacon,bacon,NY7M!
bacon,,NY8
bacon,,NY9A
bacon,,NY9B
bacon,,NY9C
bacon,,NY10A
bacon,,NY10B!
bacon,,NY11
bacon,,NY12A
bacon,,NY12B
bacon,,NY12C!
bacon,,NY13A
bacon,,NY13B!
bacon,,NY14A
bacon,,NY14B
bacon,,NY15A
bacon,,NY15B
bacon,,NY16A
bacon,,NY16B
bacon,,NY17A
bacon,,NY17B
bacon,,NY18A
bacon,,NY18B
bacon,,NY18C!
bacon,,NY19
bacon,,NY20A
bacon,,NY20B
bacon,,NY21
bacon,,NY22
bacon,sliced bacon,NY23A
bacon,sliced bacon,NY23B
bacon,chunck bacon,NY23B
bacon,slice bacon,NY23C
bacon,,NY24A
bacon,,NY24B!
bacon,sliced bacon,NY25A
bacon,sliced bacon,NY25B
bacon,bacon,NY25B
bacon,slice bacon,NY26A
bacon,bacon,NY26B
bacon,,NY26C
bacon,slice bacon,NY27A
bacon,slice bacon,NY27B
bacon,sliced bacon,NY27C
bacon,slice bacon,NY28A
bacon,bacon,NY28B
bacon,strips,NY28B
bacon,chunk bacon,NY28B
bacon,,NY28C
bacon,bacon,NY29A
bacon,slice bacon,NY29B
bacon,slice bacon,NY29C
bacon,sliced bacon,NY30A
bacon,chunk bacon,NY30A
bacon,sliced bacon,NY30B
bacon,chunk bacon,NY30B
bacon,,NY30C
bacon,sliced bacon,NY30D
bacon,slice bacon,NY30E
bacon,sliced bacon,NY31A
bacon,slice bacon,NY31B
bacon,slice bacon,NY32A
bacon,sliced bacon,NY32B
bacon,sliced bacon,NY33A
bacon,,NY33B
bacon,slice bacon,NY33C
bacon,sliced bacon,NY34A
bacon,,NY34B
bacon,sliced bacon,NY34C
bacon,rasher,NY34D!
bacon,strips,NY34D!
bacon,,NY35A
bacon,,NY35B
bacon,,NY35C!
bacon,,NY36A
bacon,,NY36B
bacon,,NY37A
bacon,,NY37B
bacon,,NY37C!
bacon,,NY38A
bacon,,NY38B
bacon,,NY38C
bacon,,NY39A
bacon,,NY39B
bacon,,NY40A
bacon,,NY40B
bacon,,NY41
