Target,Response,Informant
baker's bread,baker's,NY1
baker's bread,,NY2A
baker's bread,baker's bread,NY2B
baker's bread,baker's bread,NY2C
baker's bread,baker's bread,NY3A
baker's bread,baker's bread,NY3B
baker's bread,baker's bread,NY3C
baker's bread,baker's bread,NY3D
baker's bread,baker's bread,NY4A
baker's bread,baker's bread,NY4B
baker's bread,baker's bread,NY4C
baker's bread,baker's bread,NY5A
baker's bread,baker's bread,NY5B
baker's bread,baker's bread,NY5C
baker's bread,baker's bread,NY5D
baker's bread,baker's bread,NY5E
baker's bread,baker's bread,NY5F
baker's bread,baker's bread,NY5G
baker's bread,baker's bread,NY5H!
baker's bread,store bread,NY5I!
baker's bread,baker's bread,NY5I!
baker's bread,baker's bread,NY6A
baker's bread,baker's bread,NY6B
baker's bread,baker's bread,NY7A
baker's bread,baker's bread,NY7B
baker's bread,baker's bread,NY7C
baker's bread,store bread,NY7D
baker's bread,baker's bread,NY7D
baker's bread,baker's bread,NY7E
baker's bread,baker's bread,NY7F
baker's bread,baker's bread,NY7G
baker's bread,bread,NY7H
baker's bread,baker's bread,NY7I
baker's bread,baker's bread,NY7J!
baker's bread,baker's bread,NY7K!
baker's bread,baker's bread,NY7L!
baker's bread,baker's,NY7M!
baker's bread,baker's bread,NY8
baker's bread,baker's bread,NY9A
baker's bread,baker's bread,NY9B
baker's bread,bought bread,NY9C
baker's bread,baker's bread,NY10A
baker's bread,baker's bread,NY10B!
baker's bread,baker's bread,NY11
baker's bread,baker's bread,NY12A
baker's bread,boughten bread,NY12A
baker's bread,bought bread,NY12B
baker's bread,baker's bread,NY12B
baker's bread,baker's bread,NY12C!
baker's bread,baker bread,NY13A
baker's bread,baker's bread,NY13B!
baker's bread,baker's bread,NY14A
baker's bread,baker's bread,NY14B
baker's bread,baker's,NY15A
baker's bread,bakery's bread,NY15B
baker's bread,baker's bread,NY16A
baker's bread,baker's bread,NY16B
baker's bread,baker's bread,NY17A
baker's bread,baker's bread,NY17B
baker's bread,store bread,NY18A
baker's bread,baker's bread,NY18B
baker's bread,store bread,NY18B
baker's bread,store bread,NY18C!
baker's bread,boughten bread,NY19
baker's bread,baker's bread,NY19
baker's bread,baker's bread,NY20A
baker's bread,baker's bread,NY20B
baker's bread,baker's bread,NY21
baker's bread,baker's bread,NY22
baker's bread,baker's bread,NY23A
baker's bread,home bread,NY23B
baker's bread,baker's bread,NY23B
baker's bread,store bread,NY23B
baker's bread,baker's bread,NY23C
baker's bread,baker's bread,NY24A
baker's bread,baker's bread,NY24B!
baker's bread,boughten slices,NY25A
baker's bread,baker's bread,NY25A
baker's bread,store bread,NY25B
baker's bread,boughten bread,NY26A
baker's bread,baker's bread,NY26A
baker's bread,boughten,NY26A
baker's bread,baker's bread,NY26B
baker's bread,,NY26C
baker's bread,baker's bread,NY27A
baker's bread,baker's bread,NY27B
baker's bread,baker's bread,NY27C
baker's bread,boughten brew,NY28A
baker's bread,baker's bread,NY28A
baker's bread,baker's bread,NY28B
baker's bread,,NY28C
baker's bread,a boughten one,NY29A
baker's bread,baker's bread,NY29A
baker's bread,baker's bread,NY29B
baker's bread,baker's bread,NY29C
baker's bread,baker's bread,NY30A
baker's bread,baker's bread,NY30B
baker's bread,,NY30C
baker's bread,baker's bread,NY30D
baker's bread,baker's bread,NY30E
baker's bread,baker's bread,NY31A
baker's bread,boughten bread,NY31B
baker's bread,baker's bread,NY31B
baker's bread,a boughten carpet,NY31B
baker's bread,baker's bread,NY32A
baker's bread,baker's bread,NY32B
baker's bread,store bread,NY33A
baker's bread,,NY33B
baker's bread,baker's bread,NY33C
baker's bread,baker's bread,NY34A
baker's bread,,NY34B
baker's bread,baker's bread,NY34C
baker's bread,baker's bread,NY34D!
baker's bread,baker's bread,NY35A
baker's bread,boughten bread,NY35B
baker's bread,baker's bread,NY35B
baker's bread,baker's bread,NY35C!
baker's bread,baker's bread,NY36A
baker's bread,baker's bread,NY36B
baker's bread,baker's bread,NY37A
