Target,Response,Informant
biscuits,biscuit,NY1
biscuits,raise biscuit,NY1
biscuits,biscuit,NY2A
biscuits,biscuit,NY2B
biscuits,biscuit,NY2C
biscuits,biscuit,NY3A
biscuits,biscuits,NY3B
biscuits,biscuits,NY3C
biscuits,biscuits,NY3D
biscuits,biscuits,NY4A
biscuits,biscuits,NY4B
biscuits,biscuits,NY4C
biscuits,biscuits,NY5A
biscuits,biscuits,NY5B
biscuits,biscuits,NY5C
biscuits,biscuits,NY5D
biscuits,biscuits,NY5E
biscuits,biscuits,NY5F
biscuits,biscuits,NY5G
biscuits,biscuit,NY5H!
biscuits,biscuits,NY5I!
biscuits,biscuits,NY6A
biscuits,biscuit,NY6B
biscuits,biscuits,NY7A
biscuits,biscuits,NY7B
biscuits,biscuits,NY7C
biscuits,biscuits,NY7D
biscuits,biscuits,NY7E
biscuits,biscuit,NY7F
biscuits,biscuits,NY7G
biscuits,biscuits,NY7H
biscuits,biscuit,NY7I
biscuits,biscuits,NY7J!
biscuits,biscuits,NY7K!
biscuits,biscuits,NY7L!
biscuits,soda rolls,NY7L!
biscuits,biscuits,NY8
biscuits,biscuit,NY9A
biscuits,biscuit,NY9B
biscuits,biscuits,NY9C
biscuits,biscuits,NY10A
biscuits,biscuit,NY10B!
biscuits,biscuit,NY11
biscuits,biscuit,NY12A
biscuits,biscuits,NY12A
biscuits,biscuit,NY12B
biscuits,biscuit,NY12C!
biscuits,biscuit,NY13A
biscuits,biscuits,NY13B!
biscuits,biscuit,NY14A
biscuits,biscuit,NY14B
biscuits,biscuits,NY15A
biscuits,biscuits,NY15B
biscuits,biscuits,NY16A
biscuits,biscuits,NY16B
biscuits,biscuits,NY17A
biscuits,biscuit,NY17B
biscuits,biscuit,NY18A
biscuits,biscuit,NY18B
biscuits,biscuits,NY18C!
biscuits,biscuit,NY19
biscuits,biscuit,NY20A
biscuits,biscuit,NY20B
biscuits,biscuit,NY21
biscuits,biscuit,NY22
biscuits,baking powder biscuit,NY23A
biscuits,biscuit,NY23A
biscuits,soda bisciut,NY23B
biscuits,a tin of biscuits,NY23B
biscuits,waffles,NY23B
biscuits,biscuits,NY23C
biscuits,pan bread,NY23C
biscuits,biscuit,NY24A
biscuits,biscuit,NY24B!
biscuits,biscuits,NY25A
biscuits,cream biscuits,NY25A
biscuits,biscuit,NY25A
biscuits,baking powder biscuit,NY25B
biscuits,biscuit,NY25B
biscuits,biscuit,NY26A
biscuits,biscuit,NY26B
biscuits,,NY26C
biscuits,biscuit,NY27A
biscuits,sour milk,NY27B
biscuits,biscuit,NY27B
biscuits,biscuits,NY27C
biscuits,biscuit,NY28A
biscuits,biscuit,NY28B
biscuits,batch of biscuit,NY28B
biscuits,soda or baking powder,NY28B
biscuits,,NY28C
biscuits,biscuits,NY29A
biscuits,soda biscuits,NY29A
biscuits,biscuit,NY29B
biscuits,scones,NY29C
biscuits,soda biscuit,NY29C
biscuits,buttermilk biscuit,NY30A
biscuits,biscuit,NY30A
biscuits,bisuit,NY30B
biscuits,,NY30C
biscuits,biscuit,NY30D
biscuits,biscuit,NY30E
biscuits,baking powder biscuit,NY30E
biscuits,biscuit,NY31A
biscuits,raise biscuit,NY31A
biscuits,biscuit,NY31B
biscuits,baking powder biscuit,NY32A
biscuits,biscuit,NY32A
biscuits,bread biscuit,NY32A
biscuits,biscuit,NY32B
biscuits,biscuit,NY33A
biscuits,,NY33B
biscuits,biscuit,NY33C
biscuits,bannock,NY33C
biscuits,raised biscuit,NY34A
biscuits,biscuits,NY34A
biscuits,baking powder biscuits,NY34A
biscuits,,NY34B
biscuits,biscuit,NY34C
biscuits,biscuits,NY34D!
biscuits,biscuits,NY35A
biscuits,biscuit,NY35B
biscuits,biscuit,NY35C!
biscuits,biscuit,NY36A
biscuits,biscuits,NY36B
biscuits,biscuits,NY37A
biscuits,biscuit,NY37B
biscuits,biscuits,NY37C!
biscuits,biscuits,NY38A
biscuits,biscuit,NY38B
biscuits,biscuits,NY38C
biscuits,biscuit,NY39A
biscuits,biscuits,NY39B
biscuits,biscuits,NY40A
biscuits,biscuit,NY40B
biscuits,biscuits,NY41
biscuits,biscuit,NY42A
biscuits,biscuit,NY42B
biscuits,biscuit,NY43A
biscuits,biscuits,NY43B
biscuits,biscuit,NY43C!
biscuits,biscuit,NY44A
biscuits,biscuit,NY44B
biscuits,salt rising biscuit,NY45A
biscuits,muffins,NY45A
biscuits,baking powder biscuit,NY45A
biscuits,,NY45B
biscuits,biscuits,NY45C
biscuits,baking powder biscuits,NY45D!
biscuits,rolls,NY45D!
biscuits,raise biscuits,NY45D!
biscuits,short cake,NY46A
biscuits,biscuits,NY46A
biscuits,biscuits,NY46B
biscuits,graham,NY46C
biscuits,biscuits,NY46C
biscuits,brown bread,NY46C
biscuits,muffins,NY46C
biscuits,soda biscuits,NY47A
biscuits,biscuits,NY47A
biscuits,baking powder biscuits,NY47A
biscuits,biscuit,NY47B
biscuits,raise biscuits,NY48A
biscuits,baking powder biscuit,NY48A
biscuits,gems,NY48C
biscuits,biscuit,NY48C
biscuits,gems,NY48D
biscuits,biscuits,NY48D
biscuits,muffins,NY48D
biscuits,gem tins,NY48D
biscuits,,NY49A
biscuits,biscuits,NY49B
biscuits,biscuits,NY49C
biscuits,biscuits,NY49D
biscuits,biscuit,NY50A
biscuits,biscuit,NY50B
biscuits,raised biscuits,NY51A
biscuits,soda biscuits,NY51A
biscuits,biscuits,NY51A
biscuits,baking powder biscuits,NY51A
biscuits,quick bread,NY51A
biscuits,baking powder biscuits,NY51B
biscuits,muffins,NY51B
biscuits,biscuits,NY51B
