Target,Response,Informant
blew hard,blew,NY1
blew hard,,NY2A
blew hard,blew,NY2B
blew hard,,NY2C
blew hard,blowed hard,NY3A
blew hard,blew hard,NY3B
blew hard,blew hard,NY3C
blew hard,blew hard,NY3D
blew hard,blew hard,NY4A
blew hard,,NY4B
blew hard,blew hard,NY4C
blew hard,blew hard,NY5A
blew hard,blew hard,NY5B
blew hard,blew hard,NY5C
blew hard,blew hard,NY5D
blew hard,blew hard,NY5E
blew hard,blew hard,NY5F
blew hard,blew hard,NY5G
blew hard,blew hard,NY5H!
blew hard,blew hard,NY5I!
blew hard,blew hard,NY6A
blew hard,blew hard,NY6B
blew hard,blew hard,NY7A
blew hard,blew hard,NY7B
blew hard,blew hard,NY7C
blew hard,blew hard,NY7D
blew hard,blew hard,NY7E
blew hard,blew hard,NY7F
blew hard,blew hard,NY7G
blew hard,blew hard,NY7H
blew hard,blew hard,NY7I
blew hard,blew hard,NY7J!
blew hard,blew hard,NY7K!
blew hard,blew hard,NY7L!
blew hard,blew hard,NY7M!
blew hard,blew,NY8
blew hard,blew hard,NY9A
blew hard,blew hard,NY9B
blew hard,blew hard,NY9C
blew hard,blew hard,NY10A
blew hard,blew hard,NY10B!
blew hard,blew hard,NY11
blew hard,blew,NY12A
blew hard,blew hard,NY12B
blew hard,blew hard,NY12C!
blew hard,blew hard,NY13A
blew hard,blew hard,NY13B!
blew hard,blew hard,NY14A
blew hard,blew hard,NY14B
blew hard,blew hard,NY15A
blew hard,blew hard,NY15B
blew hard,blew hard,NY16A
blew hard,blew hard,NY16B
blew hard,blowed hard,NY17A
blew hard,blew hard,NY17B
blew hard,blew hard,NY18A
blew hard,blew hard,NY18B
blew hard,blew hard,NY18C!
blew hard,blew hard,NY19
blew hard,blew hard,NY20A
blew hard,blew hard,NY20B
blew hard,blew hard,NY21
blew hard,blew hard,NY22
blew hard,,NY23A
blew hard,blowed down,NY23B
blew hard,blew down,NY23C
blew hard,blew,NY24A
blew hard,blew hard,NY24B!
blew hard,blowed over,NY25A
blew hard,blew over,NY25B
blew hard,blowed all,NY26A
blew hard,blowed trees down,NY26B
blew hard,,NY26C
blew hard,blowed a pine down,NY27A
blew hard,blew out,NY27B
blew hard,blew down,NY27C
blew hard,blew,NY28A
