Target,Response,Informant
blood pudding,souse,NY1
blood pudding,headcheese,NY1
blood pudding,souse,NY2A
blood pudding,headcheese,NY2A
blood pudding,souse,NY2B
blood pudding,headcheese,NY2B
blood pudding,headcheese,NY2C
blood pudding,headcheese,NY3A
blood pudding,headcheese,NY3B
blood pudding,souse,NY3B
blood pudding,headcheese,NY3C
blood pudding,headcheese,NY3D
blood pudding,headcheese,NY4A
blood pudding,headcheese,NY4B
blood pudding,headcheese,NY4C
blood pudding,souse,NY5A
blood pudding,headcheese,NY5A
blood pudding,rolliches,NY5A
blood pudding,headcheese,NY5B
blood pudding,headcheese,NY5C
blood pudding,headcheese,NY5D
blood pudding,headcheese,NY5E
blood pudding,headcheese,NY5F
blood pudding,headcheese,NY5G
blood pudding,headcheese,NY5H!
blood pudding,scrapple,NY5H!
blood pudding,headcheese,NY5I!
blood pudding,headcheese,NY6A
blood pudding,headcheese,NY6B
blood pudding,headcheese,NY7A
blood pudding,headcheese,NY7B
blood pudding,headcheese,NY7C
blood pudding,headcheese,NY7D
blood pudding,headcheese,NY7E
blood pudding,headcheese,NY7F
blood pudding,headcheese,NY7G
blood pudding,headcheese,NY7H
blood pudding,headcheese,NY7I
blood pudding,headcheese,NY7J!
blood pudding,headcheese,NY7K!
blood pudding,headcheese,NY7L!
blood pudding,headcheese,NY7M!
blood pudding,souse,NY8
blood pudding,headcheese,NY8
blood pudding,headcheese,NY9A
blood pudding,headcheese,NY9B
blood pudding,headcheese,NY9C
blood pudding,headcheese,NY10A
blood pudding,headcheese,NY10B!
blood pudding,headcheese,NY11
blood pudding,souse,NY11
blood pudding,headcheese,NY12A
blood pudding,headcheese,NY12B
blood pudding,souse,NY12B
blood pudding,souse,NY12C!
blood pudding,rollichies,NY12C!
blood pudding,headcheese,NY13A
blood pudding,rellishes,NY13A
blood pudding,hokers,NY13A
blood pudding,souse,NY13A
blood pudding,headcheese,NY13B!
blood pudding,souse,NY13B!
blood pudding,rollichies,NY13B!
blood pudding,headcheese,NY14A
blood pudding,headcheese,NY14B
blood pudding,souse,NY15A
blood pudding,headcheese,NY15A
blood pudding,souse,NY15B
blood pudding,headcheese,NY15B
blood pudding,souse,NY16A
blood pudding,headcheese,NY16A
blood pudding,rollichies,NY16A
blood pudding,rollichies,NY16B
blood pudding,headcheese,NY16B
blood pudding,souse,NY17A
blood pudding,headcheese,NY17A
blood pudding,"eggs, onions on ? cleaned and boiled",NY17A
blood pudding,headcheese,NY17B
blood pudding,souse,NY17B
blood pudding,rollichies,NY17B
blood pudding,the hockies,NY17B
blood pudding,headcheese,NY18A
blood pudding,rollichies,NY18A
blood pudding,headcheese,NY18B
blood pudding,souse,NY18B
blood pudding,rollichies,NY18B
blood pudding,headcheese,NY18C!
blood pudding,headcheese,NY19
blood pudding,souse,NY19
blood pudding,rollichies,NY19
blood pudding,rollichies,NY20A
blood pudding,headcheese,NY20A
blood pudding,souse,NY20A
blood pudding,headcheese,NY20B
blood pudding,rollichies,NY20B
blood pudding,headcheese,NY21
blood pudding,hockies,NY21
blood pudding,rollichies,NY21
blood pudding,souse,NY22
blood pudding,headcheese,NY22
blood pudding,headcheese,NY23A
blood pudding,headcheese,NY23B
blood pudding,liver loaf,NY23B
blood pudding,rennet,NY23B
blood pudding,blood pudding,NY23B
blood pudding,rollichies,NY23B
blood pudding,liver cheese,NY23C
blood pudding,souse,NY23C
blood pudding,hockies,NY23C
blood pudding,at w ??? ng,NY23C
blood pudding,headcheese,NY23C
blood pudding,scrapple,NY23C
blood pudding,rolliches,NY23C
blood pudding,souse,NY24A
blood pudding,head chese,NY24A
blood pudding,headcheese,NY24B!
blood pudding,headcheese,NY25A
blood pudding,scrapple,NY25B
blood pudding,headcheese,NY25B
blood pudding,headcheese,NY26A
blood pudding,headcheese,NY26B
blood pudding,hockies,NY26B
blood pudding,,NY26C
blood pudding,headcheese,NY27A
blood pudding,headcheese,NY27B
blood pudding,scrapple,NY27C
blood pudding,headcheese,NY27C
blood pudding,scraps,NY28A
blood pudding,blood pudding,NY28A
blood pudding,headcheese,NY28A
blood pudding,headcheese,NY28B
blood pudding,blood pudding,NY28B
blood pudding,,NY28C
blood pudding,liverwurst,NY29A
blood pudding,blood pudding,NY29B
blood pudding,headcheese,NY29B
blood pudding,blood sausage,NY29B
blood pudding,blood pudding,NY29C
blood pudding,souse,NY29C
blood pudding,headcheese,NY29C
blood pudding,scrapple,NY29C
blood pudding,blood pudding,NY30A
blood pudding,headcheese,NY30A
blood pudding,blood pudding,NY30B
blood pudding,headcheese,NY30B
blood pudding,boudin,NY30C
blood pudding,headcheese,NY30C
blood pudding,blood pudding,NY30C
blood pudding,scrap,NY30C
blood pudding,headcheese,NY30D
blood pudding,boudin,NY30E
blood pudding,scrapple,NY30E
blood pudding,blood pudding,NY30E
blood pudding,headcheese,NY30E
blood pudding,headcheese,NY31A
blood pudding,scraps,NY31A
blood pudding,liverwurst,NY31A
blood pudding,sa ? mold,NY31A
blood pudding,headcheese,NY31B
blood pudding,liverwurst,NY31B
blood pudding,headcheese,NY32A
blood pudding,bloodwurst,NY32A
blood pudding,liverwurst,NY32A
blood pudding,endings,NY32A
blood pudding,liverwurst,NY32B
blood pudding,scrapple,NY32B
blood pudding,headcheese,NY32B
blood pudding,headcheese,NY33A
blood pudding,,NY33B
blood pudding,liverwurst,NY33C
blood pudding,scrapple,NY33C
blood pudding,headcheese,NY33C
blood pudding,headcheese,NY34A
blood pudding,,NY34B
blood pudding,headcheese,NY34C
blood pudding,headcheese,NY34D!
blood pudding,scrapple,NY34D!
blood pudding,headcheese,NY35A
blood pudding,souse,NY35B
blood pudding,headcheese,NY35B
blood pudding,headcheese,NY35C!
blood pudding,headcheese,NY36A
blood pudding,souse,NY36A
blood pudding,headcheese,NY36B
blood pudding,souse,NY37A
blood pudding,headcheese,NY37A
blood pudding,headcheese,NY37B
blood pudding,,NY37C!
blood pudding,rollichies,NY38A
blood pudding,pickled hockies,NY38A
blood pudding,headcheese,NY38A
blood pudding,liverwurst,NY38A
blood pudding,headcheese,NY38B
blood pudding,headcheese,NY38C
blood pudding,rollichies,NY39A
blood pudding,headcheese,NY39A
blood pudding,souse,NY39B
blood pudding,headcheese,NY39B
blood pudding,souse,NY40A
blood pudding,headcheese,NY40A
blood pudding,headcheese,NY40B
blood pudding,souse,NY41
blood pudding,headcheese,NY41
blood pudding,headcheese,NY42A
blood pudding,headcheese,NY42B
blood pudding,souse,NY43A
blood pudding,headcheese,NY43A
blood pudding,souse,NY43B
blood pudding,headcheese,NY43B
blood pudding,souse,NY43C!
blood pudding,headcheese,NY43C!
blood pudding,souse,NY44A
blood pudding,headcheese,NY44A
blood pudding,headcheese,NY44B
blood pudding,headcheese,NY45A
blood pudding,blood sausage,NY45A
blood pudding,liverwurst,NY45A
blood pudding,souse,NY45A
blood pudding,,NY45B
blood pudding,heads cheese,NY45C
blood pudding,headcheese,NY45D!
blood pudding,scrapple,NY45D!
blood pudding,liverwurst,NY45D!
blood pudding,heads cheese,NY46A
blood pudding,liverwurst,NY46A
blood pudding,headcheese,NY46A
blood pudding,headcheese,NY46B
blood pudding,liverwurst,NY46B
blood pudding,chops,NY46B
blood pudding,scrapple,NY46B
blood pudding,blood pudding,NY46B
blood pudding,blood pudding,NY46C
blood pudding,scrapple,NY46C
blood pudding,liverwurst,NY46C
blood pudding,headcheese,NY46C
blood pudding,headcheese,NY47A
blood pudding,ears,NY47A
blood pudding,blood pudding,NY47A
blood pudding,souse,NY47A
blood pudding,scrapple,NY47A
blood pudding,headcheese,NY47B
blood pudding,scraps,NY48A
blood pudding,liverwurst,NY48A
blood pudding,headcheese,NY48A
blood pudding,,NY48B
blood pudding,headcheese,NY48C
blood pudding,headcheese,NY48D
blood pudding,baloney,NY49A
blood pudding,headcheese,NY49B
blood pudding,souse,NY49C
blood pudding,baloney,NY49C
blood pudding,headcheese,NY49C
blood pudding,cold cuts,NY49C
blood pudding,vinkey,NY49D
blood pudding,headcheese,NY49D
blood pudding,"the head pickled, gound pressed and seasoned",NY50A
blood pudding,headcheese,NY50A
blood pudding,headcheese,NY50B
blood pudding,headcheese,NY51A
blood pudding,liver half,NY51A
blood pudding,souse,NY51A
blood pudding,headcheese,NY51B
blood pudding,heads cheese,NY51C
blood pudding,headcheese,NY51D
blood pudding,sausage,NY51E!
blood pudding,headcheese,NY51E!
blood pudding,liverwurst,NY51E!
blood pudding,lard scraps,NY52A
blood pudding,liverwurst,NY52A
blood pudding,headcheese,NY52A
blood pudding,headcheese,NY52B
blood pudding,scrapple,NY52B
blood pudding,headcheese,NY52C
blood pudding,headcheese,NY53A
blood pudding,souse,NY53B!
blood pudding,headcheese,NY53B!
blood pudding,headcheese,NY54A
blood pudding,souse,NY54A
