Target,Response,Informant
boiled eggs,boiled eggs,NY1
boiled eggs,boiled eggs,NY2A
boiled eggs,boiled eggs,NY2B
boiled eggs,boiled eggs,NY2C
boiled eggs,boiled eggs,NY3A
boiled eggs,boiled eggs,NY3B
boiled eggs,boiled eggs,NY3C
boiled eggs,boiled eggs,NY3D
boiled eggs,boiled eggs,NY4A
boiled eggs,boiled eggs,NY4B
boiled eggs,boiled eggs,NY4C
boiled eggs,boiled eggs,NY5A
boiled eggs,boiled eggs,NY5B
boiled eggs,boiled eggs,NY5C
boiled eggs,boiled eggs,NY5D
boiled eggs,coddled eggs,NY5E
boiled eggs,boiled eggs,NY5E
boiled eggs,boiled eggs,NY5F
boiled eggs,boiled eggs,NY5G
boiled eggs,boiled eggs,NY5H!
boiled eggs,coddled eggs,NY5I!
boiled eggs,boiled eggs,NY5I!
boiled eggs,boiled eggs,NY6A
boiled eggs,boiled eggs,NY6B
boiled eggs,boiled eggs,NY7A
boiled eggs,boiled eggs,NY7B
boiled eggs,boiled eggs,NY7C
boiled eggs,boiled eggs,NY7D
boiled eggs,boiled,NY7D
boiled eggs,boiled eggs,NY7E
boiled eggs,boiled eggs,NY7F
boiled eggs,coddled eggs,NY7F
boiled eggs,boiled,NY7G
boiled eggs,coddled eggs,NY7G
boiled eggs,boiled eggs,NY7H
boiled eggs,coddled eggs,NY7I
boiled eggs,boiled eggs,NY7I
boiled eggs,coddled eggs,NY7J!
boiled eggs,boiled eggs,NY7J!
boiled eggs,boiled eggs,NY7K!
boiled eggs,boiled eggs,NY7L!
boiled eggs,coddled eggs,NY7L!
boiled eggs,boiled eggs,NY7M!
boiled eggs,coddled eggs,NY8
boiled eggs,boiled eggs,NY8
boiled eggs,boiled eggs,NY9A
boiled eggs,boiled eggs,NY9B
boiled eggs,boiled eggs,NY9C
boiled eggs,boiled eggs,NY10A
boiled eggs,boiled eggs,NY10B!
boiled eggs,boiled eggs,NY11
boiled eggs,boiled eggs,NY12A
boiled eggs,boiled eggs,NY12B
boiled eggs,boiled eggs,NY12C!
boiled eggs,boiled eggs,NY13A
boiled eggs,boiled eggs,NY13B!
boiled eggs,boiled eggs,NY14A
boiled eggs,boiled eggs,NY14B
boiled eggs,boiled eggs,NY15A
boiled eggs,boiled eggs,NY15B
boiled eggs,boiled eggs,NY16A
boiled eggs,boiled eggs,NY16B
boiled eggs,boiled eggs,NY17A
boiled eggs,boiled eggs,NY17B
boiled eggs,boiled eggs,NY18A
boiled eggs,boiled eggs,NY18B
boiled eggs,boiled egg,NY18C!
boiled eggs,boiled eggs,NY19
boiled eggs,boiled eggs,NY20A
boiled eggs,boiled eggs,NY20B
boiled eggs,boiled eggs,NY21
boiled eggs,boiled eggs,NY22
boiled eggs,boiled eggs,NY23A
boiled eggs,fried eggs,NY23A
boiled eggs,eggs,NY23B
boiled eggs,boiled,NY23B
boiled eggs,boiled eggs,NY23B
boiled eggs,fried eggs,NY23B
boiled eggs,scrambled,NY23B
boiled eggs,pigs in a blanket,NY23B
boiled eggs,fried them,NY23C
boiled eggs,eggs,NY23C
boiled eggs,boiled them,NY23C
boiled eggs,boiled,NY23C
boiled eggs,boiled eggs,NY24A
boiled eggs,coddled eggs,NY24B!
boiled eggs,boiled eggs,NY24B!
boiled eggs,boiled eggs,NY25A
boiled eggs,boiling,NY25A
boiled eggs,fried,NY25A
boiled eggs,eggs,NY25A
boiled eggs,scrambled eggs,NY25B
boiled eggs,soft eggs,NY25B
boiled eggs,fried eggs,NY25B
boiled eggs,boiled eggs,NY25B
boiled eggs,boiled eggs,NY26A
boiled eggs,eggs,NY26A
boiled eggs,boiled eggs,NY26B
boiled eggs,scrambled eggs,NY26B
boiled eggs,boiled them,NY26B
boiled eggs,fried eggs,NY26B
boiled eggs,,NY26C
boiled eggs,boiled,NY27A
boiled eggs,fried,NY27A
boiled eggs,boiled eggs,NY27B
boiled eggs,boiled,NY27B
boiled eggs,scrambled,NY27C
boiled eggs,boiled,NY27C
boiled eggs,fried eggs,NY28A
boiled eggs,boiled eggs,NY28A
boiled eggs,boiled eggs,NY28B
boiled eggs,scrambled eggs,NY28B
boiled eggs,,NY28C
boiled eggs,boiled eggs,NY29A
boiled eggs,french eggs,NY29A
boiled eggs,fried eggs,NY29A
boiled eggs,boiled down,NY29A
boiled eggs,boiled eggs,NY29B
boiled eggs,scrambled eggs,NY29B
boiled eggs,boiled,NY29B
boiled eggs,hard boiled eggs,NY29C
boiled eggs,boiled eggs,NY29C
boiled eggs,soft boiled eggs,NY29C
boiled eggs,boiled eggs,NY30A
boiled eggs,fried eggs,NY30A
boiled eggs,fried eggs,NY30B
boiled eggs,,NY30C
boiled eggs,boiled eggs,NY30D
boiled eggs,scrambled eggs,NY30D
boiled eggs,fried eggs,NY30E
boiled eggs,hard boiled eggs,NY30E
boiled eggs,boiled eggs,NY30E
boiled eggs,soft boiled eggs,NY30E
boiled eggs,fried eggs,NY31A
boiled eggs,boiled,NY31A
boiled eggs,boiled eggs,NY31A
boiled eggs,a boiled,NY31A
boiled eggs,boiled eggs,NY31B
boiled eggs,fried,NY32A
boiled eggs,boiled eggs,NY32A
boiled eggs,an egg,NY32B
boiled eggs,boiled eggs,NY32B
boiled eggs,boiled eggs,NY33A
boiled eggs,,NY33B
boiled eggs,boiled eggs,NY33C
boiled eggs,fried eggs,NY33C
boiled eggs,boiled potatoes,NY33C
boiled eggs,soft boiled,NY34A
boiled eggs,boiled eggs,NY34A
boiled eggs,fry,NY34A
boiled eggs,,NY34B
boiled eggs,soft boiled egg,NY34C
boiled eggs,boiled eggs,NY34D!
boiled eggs,a boiled,NY34D!
boiled eggs,boiled eggs,NY35A
boiled eggs,boiled eggs,NY35B
boiled eggs,boiled eggs,NY35C!
boiled eggs,boiled eggs,NY36A
boiled eggs,boiled eggs,NY36B
boiled eggs,boiled eggs,NY37A
boiled eggs,boiled eggs,NY37B
boiled eggs,boiled eggs,NY37C!
boiled eggs,boiled eggs,NY38A
boiled eggs,boiled eggs,NY38B
boiled eggs,boiled eggs,NY38C
boiled eggs,boiled eggs,NY39A
boiled eggs,eggs on toast,NY39B
boiled eggs,boiled eggs,NY39B
boiled eggs,boiled eggs,NY40A
boiled eggs,boiled eggs,NY40B
boiled eggs,boiled eggs,NY41
boiled eggs,boiled eggs,NY42A
boiled eggs,boiled eggs,NY42B
boiled eggs,boiled eggs,NY43A
boiled eggs,boiled eggs,NY43B
boiled eggs,boiled eggs,NY43C!
boiled eggs,boiled eggs,NY44A
boiled eggs,boiled eggs,NY44B
boiled eggs,fried eggs,NY45A
boiled eggs,boiled,NY45A
boiled eggs,boiled eggs,NY45A
boiled eggs,,NY45B
boiled eggs,boiled eggs,NY45C
boiled eggs,coddled eggs,NY45D!
boiled eggs,soft boiled eggs,NY45D!
boiled eggs,hard boiled eggs,NY45D!
boiled eggs,boiled eggs,NY46A
boiled eggs,scrambled eggs,NY46A
boiled eggs,fried eggs,NY46A
boiled eggs,soft boiled eggs,NY46B
boiled eggs,eggs,NY46C
boiled eggs,boiled,NY46C
boiled eggs,egg,NY46C
boiled eggs,eggs,NY47A
boiled eggs,boiled eggs,NY47A
boiled eggs,boiled cider,NY47A
boiled eggs,boiled eggs,NY47B
boiled eggs,boild,NY48A
boiled eggs,boiled eggs,NY48A
boiled eggs,an egg,NY48A
boiled eggs,boil potatoes,NY48B
boiled eggs,scrambled eggs,NY48C
boiled eggs,boiled eggs,NY48C
boiled eggs,omelette,NY48C
boiled eggs,boiled eggs,NY48D
boiled eggs,boiled,NY48D
boiled eggs,fried eggs,NY48D
boiled eggs,eggs,NY49A
boiled eggs,boiled eggs,NY49B
boiled eggs,soft boiled eggs,NY49C
boiled eggs,eggs,NY49C
boiled eggs,boiled eggs,NY49C
boiled eggs,eggs,NY49D
boiled eggs,soft boiled,NY49D
boiled eggs,fried eggs,NY50A
boiled eggs,boiled eggs,NY50A
boiled eggs,turned over,NY50A
boiled eggs,scrambled eggs,NY50A
boiled eggs,fried eggs,NY50B
boiled eggs,hard boiled eggs,NY50B
boiled eggs,boiled,NY50B
boiled eggs,omelette,NY50B
boiled eggs,boiled eggs,NY51A
boiled eggs,sheared eggs,NY51A
boiled eggs,eggs,NY51A
boiled eggs,boiled eggs,NY51B
boiled eggs,fried eggs,NY51B
boiled eggs,boilded eggs,NY51B
boiled eggs,fried egg,NY51C
boiled eggs,eggs,NY51C
boiled eggs,boiled egg,NY51C
boiled eggs,,NY51D
boiled eggs,boil,NY51E!
boiled eggs,boiled eggs,NY51E!
boiled eggs,scrambled,NY52A
boiled eggs,boiled eggs,NY52A
boiled eggs,fried eggs,NY52A
boiled eggs,eggs,NY52A
boiled eggs,fried egg,NY52B
boiled eggs,boiled egg,NY52B
boiled eggs,egg,NY52C
boiled eggs,boiled eggs,NY52C
boiled eggs,eggs,NY52C
boiled eggs,scrambled,NY53A
boiled eggs,boiled,NY53A
boiled eggs,fried,NY53A
boiled eggs,deviled eggs,NY53A
boiled eggs,fried eggs,NY53B!
boiled eggs,hard boild eggs,NY53B!
boiled eggs,scrambled eggs,NY53B!
boiled eggs,boiled eggs,NY54A
boiled eggs,eggs,NY54A
boiled eggs,boil,NY54A
boiled eggs,hard boiled eggs,NY54B
boiled eggs,egg omelette,NY55A
boiled eggs,boiled eggs,NY55A
boiled eggs,scrambled eggs,NY55B
boiled eggs,fry eggs,NY55B
boiled eggs,boiled eggs,NY56A
boiled eggs,scrambled eggs,NY56A
boiled eggs,eggs,NY56B
boiled eggs,boiled eggs,NY56B
boiled eggs,boiled sheets,NY56B
boiled eggs,fried,NY57A
boiled eggs,hard boiled,NY57A
boiled eggs,boiled eggs,NY57A
boiled eggs,boiled eggs,NY57B
boiled eggs,deviled eggs,NY57B
boiled eggs,omelette,NY57B
boiled eggs,boiled,NY57C!
boiled eggs,fried,NY57C!
boiled eggs,scrambled,NY57C!
boiled eggs,boiled,NY58A
boiled eggs,eggs,NY58A
boiled eggs,boiled eggs,NY58A
boiled eggs,boiled eggs,NY58B
boiled eggs,boiled,NY58B
boiled eggs,,NY58C
boiled eggs,boiled eggs,NY58D!
boiled eggs,hard boiled eggs,NY58D!
boiled eggs,boiled eggs,NY58E!
boiled eggs,boiled egg,NY58F!
boiled eggs,fried,NY59A
boiled eggs,boiled egg,NY59A
boiled eggs,boiled eggs,NY59B
boiled eggs,fried eggs,NY60A
boiled eggs,boiled eggs,NY60A
boiled eggs,boiled eggs,NY60B!
boiled eggs,boiling,NY60B!
boiled eggs,boiled eggs,NY61A
boiled eggs,scrambled eggs,NY61B
boiled eggs,boiled,NY61B
boiled eggs,boiled eggs,NY61B
boiled eggs,fried eggs,NY61B
boiled eggs,fried eggs,NY62A
boiled eggs,boiled eggs,NY62A
boiled eggs,scallopped eggs,NY62A
boiled eggs,fried eggs,NY62B
boiled eggs,soft boiled egg,NY62B
boiled eggs,boiled dinner,NY62B
boiled eggs,boiled eggs,NY62B
boiled eggs,boiling an egg,NY62B
boiled eggs,hard boiled eggs,NY62C
boiled eggs,fried eggs,NY62C
boiled eggs,boiled eggs,NY62D!
boiled eggs,an egg,NY63A
boiled eggs,scrambled eggs,NY63A
boiled eggs,boiled them,NY63A
boiled eggs,boiled eggs,NY63A
boiled eggs,soft boiled eggs,NY63B
boiled eggs,hard boiled eggs,NY63B
boiled eggs,boiled eggs,NY63C
boiled eggs,fried eggs,NY63D!
boiled eggs,boiled eggs,NY63D!
boiled eggs,fried eggs,NY64A
boiled eggs,broiled,NY64A
boiled eggs,boiled eggs,NY64A
boiled eggs,boiled eggs,NY64B
boiled eggs,fried eggs,NY64B
boiled eggs,boiled eggs,NY64C!
boiled eggs,boiled eggs,NJ1A
boiled eggs,boiled eggs,NJ1B
boiled eggs,boiled eggs,NJ2A
boiled eggs,boiled eggs,NJ2B
boiled eggs,boiled eggs,NJ3A
boiled eggs,boiled eggs,NJ3B
boiled eggs,boiled eggs,NJ4A
boiled eggs,boiled eggs,NJ4B
