Target,Response,Informant
bottom,,NY1
bottom,,NY2A
bottom,,NY2B
bottom,lowland,NY2C
bottom,bottom land,NY3A
bottom,,NY3B
bottom,,NY3C
bottom,,NY3D
bottom,,NY4A
bottom,,NY4B
bottom,,NY4C
bottom,,NY5A
bottom,,NY5B
bottom,,NY5C
bottom,bottom land,NY5D
bottom,,NY5E
bottom,,NY5F
bottom,lowland,NY5G
bottom,lowland,NY5H!
bottom,flats,NY5I!
bottom,,NY6A
bottom,,NY6B
bottom,,NY7A
bottom,,NY7B
bottom,,NY7C
bottom,lowland,NY7D
bottom,,NY7E
bottom,flats,NY7F
bottom,,NY7G
bottom,meadow,NY7H
bottom,,NY7I
bottom,lowlands,NY7J!
bottom,lowland,NY7K!
bottom,,NY7L!
bottom,,NY7M!
bottom,,NY8
bottom,lowland,NY9A
bottom,flats,NY9A
bottom,lowland,NY9B
bottom,,NY9C
bottom,bottom,NY10A
bottom,flats,NY10A
bottom,flats,NY10B!
bottom,,NY11
bottom,flats,NY12A
bottom,low ground,NY12A
bottom,lowland,NY12B
bottom,flats,NY12C!
bottom,flat,NY13A
bottom,flats,NY13B!
bottom,flat,NY14A
bottom,flat,NY14B
bottom,flats,NY15A
bottom,flats,NY15B
bottom,,NY16A
bottom,bottom,NY16B
bottom,flats,NY17A
bottom,lowlands,NY17A
bottom,,NY17B
bottom,flat,NY18A
bottom,flats,NY18B
bottom,flats,NY18C!
bottom,flat,NY19
bottom,flats,NY20A
bottom,flat,NY20B
bottom,flats,NY21
bottom,river flats,NY22
bottom,creek bottoms,NY22
bottom,lowland,NY23A
bottom,flats,NY23B
bottom,fallow,NY23B
bottom,low places,NY23B
bottom,lowlands,NY23B
bottom,cove,NY23B
bottom,lowland,NY23C
bottom,river flats,NY23C
bottom,flat,NY24A
bottom,flats,NY24B!
bottom,lowlands,NY25A
bottom,valley,NY25A
bottom,high water mark,NY25A
bottom,lowland,NY25B
bottom,river flats,NY25B
bottom,flatland,NY26A
bottom,lowland,NY26A
bottom,flats,NY26A
bottom,lowland,NY26B
bottom,,NY26C
bottom,flat,NY27A
bottom,lowland,NY27A
bottom,lowland,NY27B
bottom,flats,NY27C
bottom,flatlands,NY27C
bottom,lowland,NY28A
bottom,flat,NY28B
bottom,,NY28C
bottom,lowland,NY29A
bottom,hollow,NY29A
bottom,flats,NY29A
bottom,lowland,NY29B
bottom,flats,NY29B
bottom,flats,NY29C
bottom,interval,NY29C
bottom,flats,NY30A
bottom,low ground,NY30A
bottom,flat,NY30B
bottom,hollow,NY30C
bottom,flat,NY30C
bottom,lowland,NY30C
bottom,low chunk of land,NY30C
bottom,flat,NY30D
bottom,intervale,NY30D
bottom,bottom lands,NY30E
bottom,flat,NY30E
bottom,flats,NY31A
bottom,flats,NY31B
bottom,flat,NY32A
bottom,flatland,NY32A
bottom,flats,NY32B
bottom,lowland,NY33A
bottom,,NY33B
bottom,flats,NY33C
bottom,lowland,NY33C
bottom,lowland,NY34A
bottom,valley,NY34A
bottom,flat,NY34A
bottom,,NY34B
bottom,flats,NY34C
bottom,river flats,NY34C
bottom,flat,NY34D!
bottom,valley,NY34D!
bottom,flat,NY35A
bottom,flat,NY35B
bottom,flat,NY35C!
bottom,flat,NY36A
bottom,flat,NY36B
bottom,lowlands,NY37A
bottom,flats,NY37A
bottom,flat,NY37B
bottom,flats,NY37C!
bottom,flat,NY38A
bottom,flat,NY38B
bottom,flat,NY38C
bottom,flat,NY39A
bottom,flats,NY39B
bottom,flat,NY40A
bottom,flat,NY40B
bottom,flat,NY41
bottom,flat,NY42A
bottom,flats,NY42B
bottom,flat,NY43A
bottom,flat,NY43B
bottom,flats,NY43C!
bottom,flat,NY44A
bottom,flat,NY44B
bottom,on the flat,NY45A
bottom,flats,NY45A
bottom,bottom land,NY45A
bottom,bottom land,NY45B
bottom,flatland,NY45B
bottom,flatland,NY45C
bottom,on the flat,NY45C
bottom,pine valley,NY45C
bottom,bottom land,NY45D!
bottom,valley,NY45D!
bottom,Big Flats,NY45D!
bottom,river bottoms,NY46A
bottom,flats,NY46A
bottom,flatland,NY46A
bottom,low ground,NY46B
bottom,flats,NY46C
bottom,flat,NY47A
bottom,bottom land,NY47A
bottom,flats,NY47A
bottom,flat,NY47B
bottom,bottom land,NY48A
bottom,flats,NY48A
bottom,lowland,NY48A
bottom,low ground,NY48A
bottom,river bottom,NY48A
bottom,,NY48B
bottom,flats,NY48C
bottom,lowland,NY48D
bottom,flatland,NY49A
bottom,lowland,NY49A
bottom,flat,NY49B
bottom,flats,NY49C
bottom,bank,NY49C
bottom,,NY49D
bottom,lowland,NY50A
bottom,lowlands,NY50B
bottom,valley,NY50B
bottom,bottom land,NY51A
bottom,frost hollow,NY51A
bottom,hollow,NY51A
bottom,bottom land,NY51B
bottom,flats,NY51C
bottom,skirts,NY51C
bottom,Naples Flats,NY51C
bottom,river bottom farm,NY51D
bottom,flats,NY51D
bottom,flat,NY51E!
bottom,flat,NY52A
bottom,hollow,NY52A
bottom,flat,NY52B
bottom,valley,NY52B
bottom,,NY52C
bottom,Pleasant Valley,NY53A
bottom,flat,NY53A
bottom,valley,NY53A
bottom,low ground,NY53A
bottom,flats,NY53B!
bottom,river bottom flats,NY54A
bottom,lowland,NY54A
bottom,river flats,NY54A
bottom,lowland,NY54B
bottom,bottom,NY55A
bottom,flat,NY55A
bottom,flatland,NY55A
bottom,valley,NY55A
bottom,flatland,NY55B
bottom,valley,NY55B
bottom,gorge,NY55B
bottom,flats,NY56A
bottom,headland,NY56A
bottom,overflow,NY56A
bottom,valley,NY56A
bottom,flats,NY56B
bottom,bottom land,NY56B
bottom,The Big Flats,NY56B
bottom,flats,NY57A
bottom,Dixon Hollow,NY57A
bottom,Genesee Flats,NY57A
bottom,hollows,NY57A
bottom,bottom land,NY57B
bottom,flats,NY57B
bottom,Genesee Flats,NY57C!
bottom,bottom land,NY58A
bottom,bottom land,NY58B
bottom,valley,NY58B
bottom,bottoms,NY58C
bottom,flats,NY58C
bottom,flats,NY58D!
bottom,bottom land,NY58E!
bottom,flats,NY58F!
bottom,low ground,NY59A
bottom,flats,NY59A
bottom,flats,NY59B
bottom,flats,NY60A
bottom,bottoms,NY60A
bottom,bottom,NY60B!
bottom,flat,NY61A
bottom,flats,NY61A
bottom,lowland,NY61B
bottom,flat,NY61B
bottom,bottom land,NY62A
bottom,flat,NY62A
bottom,lowland,NY62B
bottom,Gulf,NY62B
bottom,Eden Valley,NY62B
bottom,flats,NY62B
bottom,Tubbs Hollow,NY62B
bottom,valley,NY62B
bottom,flats,NY62C
bottom,lowlands,NY62D!
bottom,flatlands,NY63A
bottom,bottom land,NY63A
bottom,flats,NY63A
bottom,on the creek bottom,NY63A
bottom,flatlands,NY63B
bottom,bottom lands,NY63B
bottom,bottom land,NY63C
bottom,flats,NY63D!
bottom,flat,NY63D!
bottom,flats,NY64A
bottom,bottom land,NY64B
bottom,hollow,NY64B
bottom,bottom land,NY64C!
bottom,hollow,NY64C!
bottom,lowland,NJ1A
bottom,hollow,NJ1B
bottom,basiny place,NJ2A
bottom,,NJ2B
bottom,low bottom land,NJ3A
bottom,,NJ3B
bottom,spung,NJ3B
bottom,bottom land,NJ4A
bottom,lowland,NJ4B
bottom,,NJ5A
bottom,hollow,NJ5B
bottom,,NJ6A
bottom,lowland,NJ6B
bottom,lowland,NJ7A
bottom,,NJ7B!
bottom,,NJ8A
bottom,bottom land,NJ8B
bottom,,NJ9A
bottom,,NJ9B
bottom,,NJ10A
bottom,,NJ10B
bottom,,NJ10C
bottom,lowland,NJ10D!
bottom,bottom land,NJ11A
bottom,hollow,NJ11B
bottom,bottom,NJ11C
bottom,meadow,NJ12A
bottom,lowland,NJ12B
bottom,,NJ13A
bottom,flat,NJ13B
bottom,lowland,NJ14A
bottom,,NJ14B
bottom,flat,NJ15A
bottom,flats,NJ15B
bottom,meadow,NJ15B
bottom,low ground,NJ16A
bottom,flats,NJ16A
bottom,low meadow,NJ16A
bottom,lowland,NJ16B
bottom,flats,NJ17A
bottom,low ground,NJ17B
bottom,,NJ18A
bottom,,NJ18B
bottom,,NJ18C!
bottom,,NJ18D!
bottom,,NJ19A
bottom,,NJ19B!
bottom,,NJ20A
bottom,lowland,NJ20B
bottom,,NJ21A
bottom,meadow,NJ21B
bottom,lowland,PA1A
bottom,lowland,PA1B
bottom,flats,PA1C
bottom,bottom land,PA1D
bottom,flats,PA1E!
bottom,lowland,PA1F!
bottom,bottom,PA1G!
bottom,hollow,PA1H!
bottom,lowlands,PA2A
bottom,lowland,PA2B
bottom,flat,PA3A
bottom,bottom land,PA3B
bottom,lowland,PA3C
bottom,marsh land,PA4A
bottom,flats,PA4A
bottom,lowland,PA4B!
bottom,lowland,PA5A
bottom,meadow,PA5B
bottom,flat,PA5C
bottom,flat,PA5D
bottom,lowland,PA5E!
bottom,lowland,PA6A
bottom,bottom land,PA6A
bottom,lowland,PA6B
bottom,lowland,PA6C
bottom,bottom land,PA6D!
bottom,bottom land,PA7A
bottom,lowland,PA7B
bottom,bottom,PA7B
bottom,lowland,PA7C
bottom,river flats,PA7D!
bottom,bottom,PA8A
bottom,bottom land,PA8B
bottom,bottom land,PA8C
bottom,flats,PA8D!
bottom,bottom land,PA9A
bottom,flat,PA9B
bottom,lowland,PA9C!
bottom,lowland,PA10
bottom,bottom land,PA10
bottom,river flat,PA11A
bottom,bottom land,PA11A
bottom,bottom,PA11B
bottom,river flat,PA11B
bottom,bottom land,PA11B
bottom,flat,PA12A
bottom,bottom land,PA12B
bottom,flat,PA12B
bottom,flat,PA13A
bottom,bottom land,PA13B
bottom,bottom land,PA14A
bottom,flats,PA14B
bottom,low ground,PA14C
bottom,flats,PA15A
bottom,flats,PA15B
bottom,flats,PA15C!
bottom,lowland,PA16A
bottom,lowland,PA16B
bottom,lowland,PA16C
bottom,lowland,PA17A
bottom,,PA17B
bottom,bottom,PA18A
bottom,river bottom,PA18B!
bottom,flats,PA19A
bottom,flats,PA19B
bottom,flats,PA20A
bottom,flat,PA20B
bottom,flats,PA21A
bottom,flats,PA21B
bottom,flat,PA22A
bottom,flats,PA22B
bottom,flat,PA23A
bottom,flat,PA23B
bottom,flats,PA24A
bottom,flat,PA24B
bottom,flat,PA25A
bottom,flat,PA25B
bottom,flat,PA26A
bottom,river flat,PA26B
bottom,low ground,PA27A
bottom,flat,PA27B
bottom,bottom land,PA28A
bottom,lowland,PA28B!
bottom,river bottom,PA29A
