Target,Response,Informant
broken,,NY1
broken,,NY2A
broken,,NY2B
broken,,NY2C
broken,broke,NY3A
broken,broken,NY3B
broken,broken,NY3C
broken,broken,NY3D
broken,broke,NY4A
broken,broke,NY4B
broken,broken,NY4C
broken,broken,NY5A
broken,broken,NY5B
broken,broken,NY5C
broken,broken,NY5D
broken,broken,NY5E
broken,broken,NY5F
broken,broken,NY5G
broken,broken,NY5H!
broken,broken,NY5I!
broken,broken,NY6A
broken,broken,NY6B
broken,broke,NY7A
broken,broken,NY7B
broken,broke,NY7C
broken,broken,NY7C
broken,broken,NY7D
broken,broken,NY7E
broken,broken,NY7F
broken,broken,NY7G
broken,broken,NY7H
broken,broken,NY7I
broken,broken,NY7J!
broken,broken,NY7K!
broken,broken,NY7L!
broken,broken,NY7M!
broken,broken,NY8
broken,broken,NY9A
broken,broken,NY9B
broken,broken,NY9C
broken,broke,NY10A
broken,broken,NY10B!
broken,broken,NY11
broken,broke,NY12A
broken,broken,NY12B
broken,broken,NY12C!
broken,broken,NY13A
broken,broken,NY13B!
broken,broke,NY14A
broken,broken,NY14B
broken,broken,NY15A
broken,broken,NY15B
broken,broken,NY16A
broken,broken,NY16B
broken,broke,NY17A
broken,broken,NY17B
broken,broken,NY18A
broken,broken,NY18B
broken,broken,NY18C!
broken,broken,NY19
broken,broken,NY20A
broken,broken,NY20B
broken,broke,NY21
broken,broken,NY22
broken,,NY23A
broken,broke,NY23B
broken,broken,NY23C
broken,broke,NY24A
broken,broke,NY24B!
broken,broke,NY25A
broken,broken,NY25B
broken,broke,NY25B
broken,corn coffee,NY25B
broken,,NY26A
broken,broken,NY26B
broken,broke,NY27A
broken,broken,NY27B
broken,broke in halves,NY27B
broken,broken,NY27C
broken,broke out,NY28A
broken,broken,NY28B
broken,broke,NY28C
broken,broke,NY29A
broken,broke,NY29B
broken,broken up,NY29B
broken,broke,NY29C
broken,broke,NY30A
broken,broken off,NY30B
broken,broke,NY30C
broken,broke up,NY30D
broken,broken,NY31A
broken,broken up,NY31B
broken,broke,NY31B
broken,broke,NY32A
broken,broke,NY32B
broken,,NY33A
broken,,NY33B
broken,broken,NY33C
broken,broke,NY34A
broken,,NY34B
broken,,NY34C
broken,broken,NY34D!
broken,broken,NY35A
broken,broken,NY35B
broken,broken,NY35C!
broken,broke,NY36A
broken,broken,NY36B
broken,broke,NY37A
broken,stove all to pieces,NY37A
broken,broken,NY37B
broken,broken,NY37C!
broken,broken,NY38A
broken,broken,NY38B
broken,broken,NY38C
broken,broke,NY39A
broken,broke,NY39B
broken,broken,NY40A
broken,broken,NY40B
broken,broken,NY41
broken,broke,NY42A
broken,broken,NY42B
broken,broken,NY43A
broken,broken,NY43B
broken,broken,NY43C!
broken,broke,NY44A
broken,broken,NY44B
broken,broke,NY44B
broken,broke,NY45A
broken,a broke horse,NY45B
broken,broke,NY45B
broken,I got them broke,NY45B
broken,broke,NY45C
broken,broken,NY45D!
broken,broken,NY46A
broken,broke,NY46B
broken,broke,NY46C
broken,broke,NY47A
broken,broken,NY47B
broken,broke,NY48A
broken,broke oxen,NY48B
broken,broken,NY48C
broken,broken,NY48D
broken,broke,NY48D
broken,broke,NY49A
broken,broken,NY49B
broken,broken,NY49C
broken,broken,NY49D
broken,,NY50A
broken,broken,NY50B
broken,broke,NY50B
broken,broke,NY51A
broken,broken,NY51A
broken,broke,NY51B
broken,broke,NY51C
broken,,NY51D
broken,broken,NY51E!
broken,,NY52A
broken,broke,NY52B
broken,a broken hip,NY52B
broken,broke,NY52C
broken,a broken,NY53A
broken,broken,NY53B!
broken,broke,NY54A
broken,broke,NY54B
broken,broke down,NY54B
broken,broke,NY55A
broken,well broke,NY55A
broken,,NY55B
broken,broke,NY56A
broken,broken,NY56A
broken,broke,NY56B
broken,broken,NY57A
broken,broke,NY57A
broken,,NY57B
broken,,NY57C!
broken,broke,NY58A
broken,broken collar bone,NY58A
broken,broke,NY58B
broken,,NY58C
broken,broken down,NY58D!
broken,broken,NY58E!
broken,,NY58F!
broken,broken,NY59A
broken,broke,NY59B
broken,,NY60A
broken,broke,NY60B!
broken,broken,NY60B!
broken,broken up,NY60B!
broken,broke up,NY61A
broken,broken fingers,NY61B
broken,broke,NY61B
broken,broke,NY62A
broken,broke,NY62B
broken,broke,NY62C
broken,broke,NY62D!
broken,broken,NY62D!
broken,broke,NY63A
broken,broke,NY63B
broken,broken,NY63C
broken,broken,NY63D!
broken,broke off,NY64A
broken,broken,NY64B
broken,broken,NY64C!
broken,broken in,NY64C!
broken,broke,NJ1A
broken,broke,NJ1B
broken,broke,NJ2A
broken,broken,NJ2B
broken,broke,NJ3A
