Target,Response,Informant
broom,broom,NY1
broom,broom,NY2A
broom,broom,NY2B
broom,broom,NY2C
broom,broom,NY3A
broom,broom,NY3B
broom,broom,NY3C
broom,broom,NY3D
broom,broom,NY4A
broom,broom,NY4B
broom,broom,NY4C
broom,broom,NY5A
broom,broom,NY5B
broom,brooms,NY5C
broom,broom,NY5D
broom,broom,NY5E
broom,broom,NY5F
broom,broom,NY5G
broom,broom,NY5H!
broom,broom,NY5I!
broom,broom,NY6A
broom,broom,NY6B
broom,broom,NY7A
broom,broom,NY7B
broom,broom,NY7C
broom,broom,NY7D
broom,broom,NY7E
broom,broom,NY7F
broom,broom,NY7G
broom,broom,NY7H
broom,broom,NY7I
broom,broom,NY7J!
broom,broom,NY7K!
broom,broom,NY7L!
broom,broom,NY7M!
broom,brooms,NY8
broom,brooms,NY9A
broom,brooms,NY9B
broom,brooms,NY9C
broom,brooms,NY10A
broom,brooms,NY10B!
broom,brooms,NY11
broom,brooms,NY12A
broom,brooms,NY12B
broom,broom,NY12C!
broom,brooms,NY13A
broom,brooms,NY13B!
broom,brooms,NY14A
broom,brooms,NY14B
broom,brooms,NY15A
broom,brooms,NY15B
broom,broom,NY16A
broom,broom,NY16B
broom,broom,NY17A
broom,broom,NY17B
broom,broom,NY18A
broom,broom,NY18B
broom,broom,NY18C!
broom,broom,NY19
broom,broom,NY20A
broom,broom,NY20B
broom,broom,NY21
broom,broom,NY22
broom,broom,NY23A
broom,broom,NY23B
broom,scrubbing broom,NY23B
broom,brooms,NY23C
broom,broom,NY24A
broom,broom,NY24B!
broom,broom,NY25A
broom,broom,NY25B
broom,broom,NY26A
broom,broom,NY26B
broom,broom,NY26C
broom,broom,NY27A
broom,broom,NY27B
broom,broom,NY27C
broom,broom grass,NY27C
broom,broom,NY28A
broom,brooms,NY28B
broom,broom,NY28C
broom,hemlock,NY28C
broom,broom,NY29A
broom,brooms,NY29B
broom,broom,NY29C
broom,barn broom,NY30A
broom,broom,NY30A
broom,broom,NY30B
broom,broom,NY30C
broom,brooms,NY30D
broom,broom,NY30E
broom,broom,NY31A
broom,barn broom,NY31A
broom,broom,NY31B
broom,broom,NY32A
broom,broom,NY32B
broom,brooms,NY33A
broom,,NY33B
broom,broom,NY33C
broom,broom,NY34A
broom,broom,NY34B
broom,straw broom,NY34C
broom,broom,NY34D!
broom,broom,NY35A
broom,broom,NY35B
broom,broom,NY35C!
broom,broom,NY36A
broom,broom,NY36B
broom,broom,NY37A
broom,broom,NY37B
broom,broom,NY37C!
broom,broom,NY38A
broom,broom,NY38B
broom,,NY38C
broom,broom,NY39A
broom,broom,NY39B
broom,broom,NY40A
broom,broom,NY40B
broom,broom,NY41
broom,broom,NY42A
broom,broom,NY42B
broom,broom,NY43A
broom,broom,NY43B
broom,broom,NY43C!
broom,broom,NY44A
broom,broom,NY44B
broom,broom,NY45A
broom,broom,NY45B
broom,broom,NY45C
broom,broom,NY45D!
broom,broom,NY46A
broom,broom,NY46B
broom,broom,NY46C
broom,broom,NY47A
broom,broom,NY47B
broom,brooms,NY48A
broom,broom,NY48B
broom,barn broom,NY48B
broom,brooms,NY48C
broom,broom corn,NY48C
broom,broom,NY48C
broom,broom,NY48D
broom,broom,NY49A
broom,broom,NY49B
broom,broom,NY49C
broom,broom,NY49D
broom,broom,NY50A
broom,broom maker,NY50A
broom,brooms,NY50A
broom,broom corn,NY50A
broom,brooms,NY50B
broom,brooms,NY51A
broom,broom,NY51B
broom,broom,NY51C
broom,brooms,NY51D
broom,broom,NY51E!
broom,broom,NY52A
broom,brooms,NY52B
broom,broom,NY52C
broom,splint brooms,NY53A
broom,broom,NY53A
broom,brooms,NY53B!
broom,broom,NY54A
broom,broom,NY54B
broom,broom,NY55A
broom,brooms,NY55B
broom,splint brooms,NY55B
broom,broom,NY56A
broom,broom corn,NY56B
broom,brooms,NY57A
broom,broom,NY57A
broom,broom,NY57B
broom,broom,NY57C!
broom,broom,NY58A
broom,brooms,NY58B
broom,broom,NY58B
broom,broom,NY58C
broom,broom,NY58D!
broom,brooms,NY58E!
broom,broom,NY58F!
broom,brooms,NY59A
broom,broom,NY59B
broom,broom,NY60A
broom,broom,NY60B!
broom,brooms,NY61A
broom,broom,NY61B
broom,brooms,NY62A
broom,broom,NY62B
broom,broom,NY62C
broom,broom,NY62D!
broom,broom,NY63A
broom,barn broom,NY63A
broom,plain broom,NY63B
broom,broom,NY63B
broom,sweeping broom,NY63B
broom,broom,NY63C
broom,broom,NY63D!
broom,broomstraw,NY63D!
broom,birch brooms,NY64A
broom,broom,NY64B
broom,broom,NY64C!
broom,broom,NJ1A
broom,broom,NJ1B
broom,broom,NJ2A
broom,broom,NJ2B
broom,broom,NJ3A
broom,broom,NJ3B
broom,broom,NJ4A
broom,broom,NJ4B
broom,broom,NJ5A
broom,broom,NJ5B
broom,broom,NJ6A
broom,broom,NJ6B
broom,broom,NJ7A
broom,broom,NJ7B!
broom,broom,NJ8A
broom,broom,NJ8B
broom,broom,NJ9A
broom,broom,NJ9B
broom,broom,NJ10A
broom,broom,NJ10B
broom,broom,NJ10C
broom,broom,NJ10D!
broom,broom,NJ11A
broom,broom,NJ11B
broom,broom,NJ11C
broom,broom,NJ12A
broom,broom,NJ12B
broom,broom,NJ13A
broom,broom,NJ13B
broom,broom,NJ14A
broom,broom,NJ14B
broom,broom,NJ15A
broom,broom,NJ15B
broom,broom,NJ16A
broom,broom,NJ16B
broom,broom,NJ17A
broom,broom,NJ17B
broom,broom,NJ18A
broom,broom,NJ18B
broom,broom,NJ18C!
broom,broom,NJ18D!
broom,broom,NJ19A
broom,broom,NJ19B!
broom,broom,NJ20A
broom,besom,NJ20A
broom,broom,NJ20B
broom,broom,NJ21A
broom,broom,NJ21B
broom,broom,PA1A
broom,broom,PA1B
broom,broom,PA1C
broom,broom,PA1D
broom,broom,PA1E!
broom,broom,PA1F!
broom,broom,PA1G!
broom,broom,PA1H!
broom,broom,PA2A
broom,broom,PA2B
broom,broom,PA3A
broom,broom,PA3B
broom,broom,PA3C
broom,broom,PA4A
broom,broom,PA4B!
broom,broom,PA5A
broom,broom,PA5B
broom,broom,PA5C
broom,broom,PA5D
broom,broom,PA5E!
broom,broom,PA6A
broom,broom,PA6B
broom,broom,PA6C
broom,broom,PA6D!
broom,broom,PA7A
broom,broom,PA7B
broom,broom is,PA7C
broom,broom,PA7D!
broom,broom,PA8A
broom,broom,PA8B
broom,broom is,PA8C
broom,broom,PA8D!
broom,broom,PA9A
broom,broom,PA9B
broom,broom,PA9C!
broom,broom is,PA10
broom,broom,PA11A
broom,broom,PA11B
broom,broom,PA12A
broom,broom,PA12B
broom,broom,PA13A
broom,broom,PA13B
broom,broom is,PA14A
broom,broom,PA14B
broom,broom,PA14C
broom,broom,PA15A
broom,broom,PA15B
broom,broom,PA15C!
broom,broom is,PA16A
broom,broom,PA16B
broom,broom,PA16C
broom,broom is,PA17A
broom,broom is,PA17B
broom,broom,PA18A
broom,broom,PA18B!
broom,broom,PA19A
broom,broom,PA19B
broom,broom,PA20A
broom,broom,PA20B
broom,broom,PA21A
broom,broom,PA21B
broom,broom,PA22A
broom,broom,PA22B
broom,broom,PA23A
broom,broom,PA23B
broom,broom,PA24A
broom,broom,PA24B
broom,broom,PA25A
broom,broom,PA25B
broom,broom,PA26A
broom,broom,PA26B
broom,broom,PA27A
broom,broom,PA27B
broom,broom,PA28A
broom,broom,PA28B!
broom,broom,PA29A
broom,broom,PA29B
broom,broom,PA30A
broom,broom,PA30B
broom,broom,PA31A
broom,broom,PA31B
broom,broom,PA32A
broom,broom,PA32B
broom,broom,PA33A
broom,broom,PA33B
broom,broom,PA34A
broom,broom,PA34B
broom,broom,PA34C!
broom,broom,PA35A
broom,broom,PA35B
broom,,PA35C
broom,broom,PA36A
broom,broom,PA36B
broom,broom,PA37A
broom,broom,PA37B
broom,broom is,PA37C
broom,broom,PA38A
broom,broom,PA38B
broom,broom,PA39A
broom,broom,PA39B
broom,broom,PA40A
broom,broom,PA40B
broom,broom,PA41A
broom,broom,PA41B
broom,broom,PA42A
broom,broom,PA42B
broom,broom,PA43A
broom,broom,PA43B
broom,broom,PA44A
broom,broom,PA44B
broom,broom,PA45A
broom,broom,PA45B
broom,broom,PA46A
broom,broom,PA46B
broom,broom,PA47A
broom,broom,PA47B
broom,broom,PA48A
broom,broom,PA48B
broom,broom,PA48C
broom,broom,PA49A
broom,broom,PA49B
broom,broom,PA50A
broom,broom,PA50B
broom,broom,PA50C!
broom,broom,PA51A
broom,broom,PA51B
broom,broom,PA52A
broom,broom,PA52B!
broom,broom,PA53A
broom,broom,PA53B
broom,broom,PA54A
broom,broom,PA54B
broom,broom,PA55A
broom,broom,PA55B
broom,broom,PA56A
broom,broom,PA56B
broom,broom,PA57A
broom,broom,PA57B
broom,broom,PA58A
broom,broom,PA58B
broom,broom,PA59A
broom,broom,PA59B
broom,broom,PA60A
broom,broom,PA60B
broom,broom,PA61A
broom,broom,PA61B
broom,broom,PA62A
broom,broom,PA62B
broom,broom,PA63A
broom,broom,PA63B
broom,broom,PA64A
broom,broom,PA64B
broom,broom,PA65A
broom,broom,PA65B
broom,broom,PA66A
broom,broom,PA66B
