Target,Response,Informant
brush,,NY1
brush,,NY2A
brush,,NY2B
brush,,NY2C
brush,,NY3A
brush,,NY3B
brush,,NY3C
brush,,NY3D
brush,,NY4A
brush,,NY4B
brush,,NY4C
brush,,NY5A
brush,,NY5B
brush,,NY5C
brush,,NY5D
brush,,NY5E
brush,,NY5F
brush,,NY5G
brush,,NY5H!
brush,,NY5I!
brush,,NY6A
brush,,NY6B
brush,,NY7A
brush,,NY7B
brush,,NY7C
brush,,NY7D
brush,,NY7E
brush,,NY7F
brush,,NY7G
brush,,NY7H
brush,,NY7I
brush,,NY7J!
brush,,NY7K!
brush,,NY7L!
brush,,NY7M!
brush,,NY8
brush,,NY9A
brush,,NY9B
brush,,NY9C
brush,,NY10A
brush,,NY10B!
brush,,NY11
brush,,NY12A
brush,file cloth,NY12B
brush,file cloth,NY12C!
brush,file,NY13A
brush,file,NY13B!
brush,file,NY14A
brush,,NY14B
brush,file cloth,NY15A
brush,,NY15B
brush,file,NY16A
brush,file,NY16B
brush,,NY17A
brush,file,NY17B
brush,file,NY18A
brush,file,NY18B
brush,file,NY18C!
brush,file,NY19
brush,file,NY20A
brush,,NY20B
brush,file,NY21
brush,file cloth,NY22
brush,,NY23A
brush,scrub cloth,NY23B
brush,mop,NY23C
brush,dust mop,NY23C
brush,,NY24A
brush,file,NY24B!
brush,file cloth,NY25A
brush,scrub cloth,NY25B
brush,mop,NY25B
brush,mop,NY26A
brush,mop,NY26B
brush,file cloth,NY26B
brush,,NY26C
brush,mop,NY27A
brush,cloth,NY27B
brush,rag,NY27C
brush,mop,NY28A
brush,cloth,NY28B
brush,scrub brush,NY28C
brush,mop,NY29A
brush,floor brush,NY29B
brush,mop,NY29C
brush,mop,NY30A
brush,mop,NY30B
brush,,NY30C
brush,mop,NY30D
brush,,NY30E
brush,mop,NY31A
brush,mops,NY31B
brush,mop,NY32A
brush,mop,NY32B
brush,rag,NY33A
brush,dust mop,NY33A
brush,brush,NY33A
brush,,NY33B
brush,mop,NY33C
brush,mop,NY34A
brush,brush,NY34B
brush,mop,NY34C
brush,mop,NY34D!
brush,scrub brush,NY34D!
brush,,NY35A
brush,,NY35B
brush,,NY35C!
brush,,NY36A
brush,,NY36B
brush,,NY37A
brush,,NY37B
brush,,NY37C!
brush,file,NY38A
brush,,NY38B
brush,,NY38C
brush,file,NY39A
brush,,NY39B
brush,,NY40A
brush,,NY40B
brush,,NY41
brush,,NY42A
brush,,NY42B
brush,,NY43A
brush,,NY43B
brush,,NY43C!
brush,,NY44A
brush,,NY44B
brush,mop,NY45A
brush,mop,NY45B
brush,mop,NY45C
brush,mop,NY45D!
brush,mopped,NY46A
brush,mop,NY46B
brush,mop,NY46C
brush,mop,NY47A
brush,,NY47B
brush,mop,NY48A
brush,rag,NY48B
brush,mop,NY48B
brush,scrub,NY48B
brush,,NY48C
brush,cloth,NY48D
brush,,NY49A
brush,,NY49B
brush,,NY49C
brush,,NY49D
brush,mop,NY50A
brush,mop,NY50B
brush,mop,NY51A
brush,feather dusters,NY51B
brush,,NY51C
brush,pumice stone,NY51D
brush,mop,NY51E!
brush,mop,NY52A
brush,mop,NY52B
brush,,NY52C
brush,,NY53A
brush,mops,NY53B!
brush,,NY54A
brush,,NY54B
brush,mop,NY55A
brush,rushes,NY55B
brush,mop,NY56A
brush,cloth rags,NY56B
brush,brush,NY56B
brush,mop,NY57A
brush,mop,NY57B
brush,mop,NY57C!
brush,mop,NY58A
brush,mops,NY58B
brush,mop,NY58C
brush,mop,NY58D!
brush,mop,NY58E!
brush,mop,NY58F!
brush,scrub brush,NY59A
brush,,NY59B
brush,mop,NY60A
brush,mops,NY60B!
brush,,NY61A
brush,mop,NY61B
brush,mop,NY62A
brush,mop,NY62B
brush,mop,NY62C
brush,brush,NY62D!
brush,mop,NY63A
brush,mop,NY63B
brush,,NY63C
brush,mop,NY63D!
brush,,NY64A
brush,mop,NY64B
brush,mop,NY64C!
brush,floor mop,NY64C!
brush,,NJ1A
brush,,NJ1B
brush,,NJ2A
brush,,NJ2B
brush,,NJ3A
brush,,NJ3B
brush,,NJ4A
brush,,NJ4B
brush,,NJ5A
brush,,NJ5B
brush,,NJ6A
brush,,NJ6B
brush,,NJ7A
brush,,NJ7B!
brush,,NJ8A
brush,,NJ8B
brush,,NJ9A
brush,,NJ9B
brush,,NJ10A
brush,,NJ10B
brush,,NJ10C
brush,,NJ10D!
brush,,NJ11A
brush,,NJ11B
brush,,NJ11C
brush,,NJ12A
brush,,NJ12B
brush,,NJ13A
brush,,NJ13B
brush,,NJ14A
brush,,NJ14B
brush,,NJ15A
brush,,NJ15B
brush,,NJ16A
brush,,NJ16B
brush,,NJ17A
brush,,NJ17B
brush,,NJ18A
brush,,NJ18B
brush,,NJ18C!
brush,,NJ18D!
brush,,NJ19A
brush,,NJ19B!
brush,,NJ20A
brush,file cloth,NJ20B
brush,file,NJ21A
brush,,NJ21B
brush,,PA1A
brush,,PA1B
brush,,PA1C
brush,,PA1D
brush,,PA1E!
brush,,PA1F!
brush,,PA1G!
brush,,PA1H!
brush,,PA2A
brush,,PA2B
brush,,PA3A
brush,,PA3B
brush,,PA3C
brush,,PA4A
brush,,PA4B!
brush,,PA5A
brush,,PA5B
brush,,PA5C
brush,,PA5D
brush,,PA5E!
brush,,PA6A
brush,,PA6B
brush,,PA6C
brush,,PA6D!
brush,,PA7A
brush,,PA7B
brush,,PA7C
brush,,PA7D!
brush,,PA8A
brush,,PA8B
brush,,PA8C
brush,,PA8D!
brush,,PA9A
brush,,PA9B
brush,,PA9C!
brush,,PA10
brush,,PA11A
brush,,PA11B
brush,,PA12A
brush,,PA12B
brush,,PA13A
brush,,PA13B
brush,,PA14A
brush,,PA14B
brush,,PA14C
brush,,PA15A
brush,,PA15B
brush,,PA15C!
brush,,PA16A
brush,,PA16B
brush,,PA16C
brush,,PA17A
brush,,PA17B
brush,,PA18A
brush,,PA18B!
brush,,PA19A
brush,,PA19B
brush,,PA20A
brush,,PA20B
brush,,PA21A
brush,,PA21B
brush,,PA22A
brush,,PA22B
brush,,PA23A
brush,,PA23B
brush,,PA24A
brush,,PA24B
brush,,PA25A
brush,,PA25B
brush,,PA26A
brush,,PA26B
brush,,PA27A
brush,,PA27B
brush,,PA28A
brush,,PA28B!
brush,,PA29A
brush,,PA29B
brush,,PA30A
brush,,PA30B
brush,,PA31A
brush,,PA31B
brush,,PA32A
brush,,PA32B
brush,,PA33A
brush,,PA33B
brush,,PA34A
brush,,PA34B
brush,,PA34C!
brush,,PA35A
brush,,PA35B
brush,,PA35C
brush,,PA36A
brush,,PA36B
brush,,PA37A
brush,,PA37B
brush,,PA37C
brush,,PA38A
brush,,PA38B
brush,,PA39A
brush,,PA39B
brush,,PA40A
brush,,PA40B
brush,,PA41A
brush,,PA41B
brush,,PA42A
brush,,PA42B
brush,,PA43A
brush,,PA43B
brush,,PA44A
brush,,PA44B
brush,,PA45A
brush,,PA45B
brush,,PA46A
brush,,PA46B
brush,,PA47A
brush,,PA47B
brush,,PA48A
brush,,PA48B
brush,,PA48C
brush,,PA49A
brush,,PA49B
brush,,PA50A
brush,,PA50B
brush,,PA50C!
brush,,PA51A
brush,,PA51B
brush,,PA52A
brush,,PA52B!
brush,,PA53A
brush,,PA53B
brush,,PA54A
brush,,PA54B
brush,,PA55A
brush,,PA55B
brush,,PA56A
brush,,PA56B
brush,,PA57A
brush,,PA57B
brush,,PA58A
brush,,PA58B
brush,,PA59A
brush,,PA59B
brush,,PA60A
brush,,PA60B
brush,,PA61A
brush,,PA61B
brush,,PA62A
brush,,PA62B
brush,,PA63A
brush,,PA63B
brush,,PA64A
brush,,PA64B
brush,,PA65A
brush,,PA65B
brush,,PA66A
brush,,PA66B
brush,,PA67A
brush,,PA67B
brush,,WV1!
brush,,WV2
brush,,WV3
brush,,WV4A
brush,,WV4B
brush,,WV5
brush,,WV6A
brush,,WV6B
brush,,WV7A
brush,,WV7B
brush,,WV8A
brush,,WV8B
brush,,WV9A
brush,,WV9B
brush,,WV10A
brush,,WV10B
brush,,WV10C
brush,,WV11A
brush,,WV11B!
brush,,WV12A
brush,,WV12B
brush,,WV13A
brush,,WV13B
brush,,WV14A
brush,,WV14B
brush,,WV15A
brush,,WV15B
brush,,WV16A
brush,,WV16B
brush,,WV17A
brush,,WV17B
brush,,WV17C
brush,,WV18A
brush,,WV18B
brush,,WV19A
brush,,WV19B
brush,,WV20A
brush,,WV20B
brush,,WV21A
brush,,WV21B
brush,,WV22A
brush,,WV22B
brush,,WV23A
brush,,WV23B
brush,,WV24A
brush,,WV24B
brush,,WV25A
brush,,WV25B
brush,,WV26A
brush,,WV26B
brush,,WV27A
brush,,WV27B
brush,,WV28A
brush,,WV28B
brush,,WV29A
brush,,WV29B
brush,,WV30A
brush,,WV30B
brush,,WV31A
brush,,WV31B
brush,,WV32A
brush,,WV32B
brush,,WV33A
brush,,WV33B
brush,,WV34A
brush,,WV34B
brush,,WV35A
brush,,WV35B
brush,,WV36A
brush,,WV36B
brush,,WV37A
brush,,WV37B!
brush,,WV38A
brush,,WV38B
brush,,WV39A
brush,,WV39B
brush,,WV39C!
brush,,WV40A
brush,,WV40B
brush,,WV41A
brush,,WV41B
brush,,WV42A
brush,,WV42B
brush,,WV43A
brush,,WV43B
brush,,WV44A
brush,,WV44B
brush,,WV45A
brush,,WV45B
brush,,WV46A
brush,,WV46B
brush,,WV47A
brush,,WV47B
brush,,WV48A
