Target,Response,Informant
bureau,chest of drawers,NY1
bureau,bureau,NY1
bureau,bureau,NY2A
bureau,chest of drawers,NY2B
bureau,bureau,NY2B
bureau,bureau,NY2C
bureau,chest of drawers,NY2C
bureau,bureau,NY3A
bureau,bureau,NY3B
bureau,bureau,NY3C
bureau,bureau,NY3D
bureau,dresser,NY4A
bureau,bureau,NY4A
bureau,bureau,NY4B
bureau,bureau,NY4C
bureau,bureau,NY5A
bureau,dresser,NY5B
bureau,bureau,NY5B
bureau,bureau,NY5C
bureau,chest of drawers,NY5D
bureau,bureau,NY5D
bureau,highboy,NY5D
bureau,bureau,NY5E
bureau,chiffonier,NY5E
bureau,dresser,NY5E
bureau,bureau,NY5F
bureau,dresser,NY5G
bureau,bureau,NY5G
bureau,bureau,NY5H!
bureau,chiffonier,NY5I!
bureau,bureau,NY5I!
bureau,chifforobe,NY5I!
bureau,bureau,NY6A
bureau,bureau,NY6B
bureau,dresser,NY7A
bureau,bureau,NY7B
bureau,chifforobe,NY7B
bureau,dresser,NY7B
bureau,bureau,NY7C
bureau,bureau,NY7D
bureau,bureau,NY7E
bureau,dresser,NY7F
bureau,bureau,NY7F
bureau,chiffonier,NY7G
bureau,bureau,NY7G
bureau,dresser,NY7G
bureau,dresser,NY7H
bureau,chifforobe,NY7H
bureau,bureau,NY7I
bureau,chiffonier,NY7I
bureau,bureau,NY7J!
bureau,bureau,NY7K!
bureau,lowboy,NY7L!
bureau,bureau,NY7L!
bureau,highboy,NY7L!
bureau,chest of drawers,NY7L!
bureau,bureau,NY7M!
bureau,bureau,NY8
bureau,bureau,NY9A
bureau,bureau,NY9B
bureau,bureau,NY9C
bureau,bureau,NY10A
bureau,bureau,NY10B!
bureau,bureau,NY11
bureau,dresser,NY12A
bureau,bureau,NY12A
bureau,chest of drawers,NY12B
bureau,bureau,NY12B
bureau,dresser,NY12B
bureau,bureau,NY12C!
bureau,bureau,NY13A
bureau,chest of drawers,NY13B!
bureau,bureau,NY13B!
bureau,dresser,NY14A
bureau,bureau,NY14A
bureau,dresser,NY14B
bureau,bureau,NY14B
bureau,chest of drawers,NY15A
bureau,bureau,NY15A
bureau,bureau,NY15B
bureau,dresser,NY15B
bureau,bureau,NY16A
bureau,bureau,NY16B
bureau,bureau,NY17A
bureau,dresser,NY17A
bureau,bureau,NY17B
