Target,Response,Informant
butcher,butcher,NY1
butcher,butcher,NY2A
butcher,butcher,NY2B
butcher,butcher,NY2C
butcher,butcher,NY3A
butcher,spoilt,NY3A
butcher,butcher,NY3B
butcher,butched,NY3B
butcher,butcher,NY3C
butcher,butcher,NY3D
butcher,butcher,NY4A
butcher,butcher,NY4B
butcher,butcher,NY4C
butcher,butcher,NY5A
butcher,butcher,NY5B
butcher,butcher,NY5C
butcher,butcher,NY5D
butcher,butcher,NY5E
butcher,butcher,NY5F
butcher,butcher,NY5G
butcher,butcher,NY5H!
butcher,butcher,NY5I!
butcher,butcher,NY6A
butcher,butcher,NY6B
butcher,butcher,NY7A
butcher,butcher,NY7B
butcher,butcher,NY7C
butcher,butcher,NY7D
butcher,butcher,NY7E
butcher,butcher,NY7F
butcher,butcher,NY7G
butcher,butcher,NY7H
butcher,butcher,NY7I
butcher,butcher,NY7J!
butcher,butcher,NY7K!
butcher,butcher,NY7L!
butcher,butcher,NY7M!
butcher,butcher,NY8
butcher,butcher,NY9A
butcher,butcher,NY9B
butcher,butcher,NY9C
butcher,butcher,NY10A
butcher,butcher,NY10B!
butcher,butcher,NY11
butcher,butcher,NY12A
butcher,butcher,NY12B
butcher,butcher,NY12C!
butcher,butcher,NY13A
butcher,butcher,NY13B!
butcher,butcher,NY14A
butcher,butcher,NY14B
butcher,butcher,NY15A
butcher,butcher,NY15B
butcher,butcher,NY16A
butcher,butcher,NY16B
butcher,butcher,NY17A
butcher,butcher,NY17B
butcher,butcher,NY18A
butcher,butcher,NY18B
butcher,butcher,NY18C!
butcher,butcher,NY19
butcher,butcher,NY20A
butcher,butcher,NY20B
butcher,butcher,NY21
butcher,butcher,NY22
butcher,butcher,NY23A
butcher,butcher,NY23B
butcher,butchering,NY23B
butcher,butchered,NY23C
butcher,butcher men,NY24A
butcher,butcher,NY24B!
butcher,butcher,NY25A
butcher,butcher,NY25B
butcher,butcher,NY26A
butcher,butcher,NY26B
butcher,,NY26C
butcher,butcher,NY27A
butcher,butcher,NY27B
butcher,butcher,NY27C
butcher,butcher,NY28A
butcher,kill the pigs,NY28B
butcher,butchering,NY28B
butcher,,NY28C
butcher,butcher,NY29A
butcher,butcher,NY29B
butcher,butcher,NY29C
butcher,butcher,NY30A
butcher,butcher,NY30B
butcher,,NY30C
butcher,butcher,NY30D
butcher,butcher,NY30E
butcher,butcher,NY31A
butcher,butcher,NY31B
butcher,butcher,NY32A
butcher,butcher,NY32B
butcher,butcher,NY33A
butcher,butcher,NY33B
butcher,butcher,NY33C
butcher,butcher them,NY34A
butcher,,NY34B
butcher,butchers,NY34C
butcher,butcher,NY34D!
butcher,butchers,NY34D!
butcher,butcher,NY35A
butcher,butcher,NY35B
butcher,butcher,NY35C!
butcher,butcher,NY36A
butcher,butcher,NY36B
butcher,butcher,NY37A
butcher,butcher,NY37B
butcher,butcher,NY37C!
butcher,butcher,NY38A
butcher,butcher,NY38B
butcher,butcher,NY38C
butcher,butcher,NY39A
butcher,butcher,NY39B
butcher,butcher,NY40A
butcher,butcher,NY40B
butcher,butcher,NY41
butcher,butcher,NY42A
butcher,butcher,NY42B
butcher,butcher,NY43A
butcher,butcher,NY43B
butcher,butcher,NY43C!
butcher,butcher is an affection,NY43C!
butcher,butcher,NY44A
butcher,butcher,NY44B
butcher,butcher,NY45A
butcher,,NY45B
butcher,butcher,NY45C
butcher,butcher,NY45D!
butcher,butcher,NY46A
butcher,butcher,NY46B
butcher,butcher,NY46C
butcher,butcher,NY47A
butcher,butcher,NY47B
butcher,butcher,NY48A
butcher,,NY48B
butcher,butcher,NY48C
butcher,butcher,NY48D
butcher,butcher business,NY49A
butcher,butcher,NY49A
butcher,butcher,NY49B
butcher,butcher,NY49C
butcher,butcher,NY49D
butcher,butchered,NY50A
butcher,butcher,NY50B
butcher,butcher,NY51A
butcher,butcher,NY51B
butcher,butcher,NY51C
butcher,,NY51D
butcher,butcher,NY51E!
butcher,butcher,NY52A
butcher,butchering,NY52B
butcher,butcher,NY52C
butcher,dress them,NY53A
butcher,butcher them,NY53A
butcher,butcher,NY53B!
butcher,butcher,NY54A
butcher,butcher,NY54B
butcher,butchering,NY55A
butcher,butcher,NY55B
butcher,butcher,NY56A
butcher,butcher,NY56B
butcher,slaughter,NY56B
butcher,butchering,NY57A
butcher,butcher,NY57A
butcher,butcher,NY57B
butcher,butcher,NY57C!
butcher,butcher,NY58A
butcher,butcher,NY58B
butcher,,NY58C
butcher,butcher,NY58D!
butcher,butcher,NY58E!
butcher,butcher,NY58F!
butcher,butcher,NY59A
butcher,butcher,NY59B
butcher,butchered,NY60A
butcher,butcher,NY60B!
butcher,butcher,NY61A
butcher,butchered,NY61A
butcher,butcher,NY61B
