Target,Response,Informant
canal,,NY1
canal,drain,NY2A
canal,,NY2B
canal,,NY2C
canal,canal,NY3A
canal,canal,NY3B
canal,canal,NY3C
canal,canal,NY3D
canal,canal,NY4A
canal,canal,NY4B
canal,canal,NY4C
canal,canal,NY5A
canal,canal,NY5B
canal,canal,NY5C
canal,canal,NY5D
canal,canal,NY5E
canal,canal,NY5F
canal,canal,NY5G
canal,canal,NY5H!
canal,,NY5I!
canal,canal,NY6A
canal,canal,NY6B
canal,canal,NY7A
canal,canal,NY7B
canal,canal,NY7C
canal,canal,NY7D
canal,canal,NY7E
canal,canal,NY7F
canal,canal,NY7G
canal,canal,NY7H
canal,canal,NY7I
canal,canal,NY7J!
canal,canal,NY7K!
canal,canal,NY7L!
canal,canal,NY7M!
canal,canal,NY8
canal,canal,NY9A
canal,canal,NY9B
canal,canal,NY9C
canal,canal,NY10A
canal,canal,NY10B!
canal,canal,NY11
canal,canal,NY12A
canal,canal,NY12A
canal,canal,NY12B
canal,canal,NY12C!
canal,canal,NY13A
canal,canal,NY13B!
canal,canal,NY14A
canal,canal,NY14B
canal,canal,NY15A
canal,canal,NY15B
canal,canal,NY16A
canal,canal,NY16B
canal,channel,NY17A
canal,canal,NY17A
canal,canal,NY17A
canal,canal,NY17B
canal,canal,NY18A
canal,canal,NY18B
canal,canal,NY18C!
canal,canal,NY19
canal,canal,NY20A
canal,canal,NY20B
canal,canal,NY21
canal,canal,NY22
canal,ditch,NY23A
canal,ditch,NY23B
canal,canal,NY23B
canal,canal,NY23B
canal,canal,NY23C
canal,canal,NY23C
canal,canal,NY23C
canal,canal,NY24A
canal,canal,NY24B!
canal,canal,NY25A
canal,trench,NY25A
canal,canal,NY25B
canal,ditch,NY26A
canal,dug out,NY26A
canal,canals,NY26A
canal,channel,NY26A
canal,canal,NY26B
canal,ditch,NY26B
canal,tiling,NY26B
canal,,NY26C
canal,ditch,NY27A
canal,canal,NY27A
canal,ditch,NY27B
canal,canal,NY27B
canal,ditch,NY27C
canal,canal,NY27C
canal,canal,NY28A
canal,drain ditches,NY28A
canal,ditch,NY28A
canal,ditch,NY28B
canal,canal,NY28B
canal,,NY28C
canal,canal,NY29A
canal,blind ditch,NY29A
canal,ditch,NY29A
canal,canal,NY29B
canal,ditch,NY29B
canal,drains,NY29B
canal,canal,NY29C
canal,ditches,NY29C
canal,ditches,NY30A
canal,ditch,NY30B
canal,tile drains,NY30B
canal,,NY30C
canal,ditches,NY30D
canal,canal,NY30E
canal,ditch,NY30E
canal,ditch,NY31A
canal,canal,NY31A
canal,canal,NY31B
canal,ditch,NY31B
canal,ditch,NY32A
canal,ditch,NY32B
canal,canal,NY33A
canal,,NY33B
canal,ditch,NY33C
canal,drainage canal,NY33C
canal,ditch,NY34A
canal,canal,NY34A
canal,,NY34B
canal,drains,NY34C
canal,ditch,NY34C
canal,canal,NY34C
canal,canals,NY34D!
canal,canal,NY35A
canal,canal,NY35B
canal,canal,NY35C!
canal,canal,NY36A
canal,canal,NY36B
canal,canal,NY37A
canal,canal,NY37B
canal,canal,NY37C!
canal,canal,NY38A
canal,canal,NY38B
canal,canal,NY38C
canal,canal,NY39A
canal,canal,NY39B
canal,canal,NY40A
canal,canal,NY40B
canal,canal,NY41
canal,canal,NY42A
canal,canal,NY42B
canal,canal,NY43A
canal,canal,NY43B
canal,canal,NY43C!
canal,canal,NY44A
canal,canal,NY44B
canal,canal,NY45A
canal,canal,NY45A
canal,canal,NY45A
canal,canal,NY45B
canal,Chemung Canal,NY45C
canal,ditch,NY45C
canal,canal,NY45D!
canal,open ditch,NY46A
canal,canal,NY46A
canal,drain,NY46A
canal,ditching,NY46B
canal,ditch,NY46B
canal,ditch,NY46C
canal,ditch,NY47A
canal,ditches,NY47A
canal,canals,NY47A
canal,canal,NY47A
canal,canal,NY47B
canal,canal,NY48A
canal,canal,NY48A
canal,,NY48B
canal,canal,NY48C
canal,blind ditch,NY48C
canal,under drain,NY48C
canal,open ditch,NY48C
canal,ditch,NY48C
canal,ditch,NY48D
canal,ditches,NY49A
canal,canal,NY49A
canal,canal,NY49B
canal,ditch,NY49C
canal,Erie Canal,NY49C
canal,Cayuga Canal,NY49C
canal,canal,NY49C
canal,canal,NY49C
canal,barge canal,NY49C
canal,Seneca,NY49C
canal,canal,NY49C
canal,drainage ditches,NY49D
canal,ditch,NY50A
canal,big ditch,NY50A
canal,barge canal,NY50A
canal,canal,NY50B
canal,ditch,NY50B
canal,canals,NY51A
canal,ditch,NY51A
canal,canal,NY51B
canal,ditches,NY51B
canal,ditch,NY51B
canal,canal,NY51C
canal,ditch,NY51C
canal,laterals,NY51C
canal,canal,NY51D
canal,canal,NY51E!
canal,tile drain,NY51E!
canal,ditch,NY52A
canal,canals,NY52A
canal,ditched,NY52B
canal,canal,NY52B
canal,ditches,NY52C
canal,blind ditch,NY53A
canal,ditch,NY53A
canal,canal,NY53A
canal,ditch,NY53B!
canal,canal,NY53B!
canal,ditches,NY54A
canal,ditches,NY54B
canal,canal,NY55A
canal,ditch,NY55A
canal,canal,NY55B
canal,ditch,NY56A
canal,canal,NY56A
canal,canals,NY56B
canal,ditch,NY56B
canal,ditch,NY57A
canal,canals,NY57A
canal,canal,NY57B
canal,ditch,NY57B
canal,canal,NY57B
canal,canal,NY57C!
canal,ditch,NY57C!
canal,canal,NY58A
canal,canal,NY58A
canal,the dug way,NY58A
canal,canal,NY58B
canal,canal,NY58B
canal,canal,NY58B
canal,canal,NY58C
canal,ditch,NY58C
canal,canal,NY58D!
canal,canal,NY58E!
canal,ditches,NY58E!
canal,canal,NY58F!
canal,canal,NY59A
canal,ditch it,NY59A
canal,ditch,NY59A
canal,canal,NY59B
canal,canal,NY60A
canal,ditch,NY60A
canal,canal,NY60B!
canal,canal,NY61A
canal,ditches,NY61A
canal,ditch,NY61B
canal,channel,NY61B
canal,canal,NY61B
canal,Erie Canal,NY61B
canal,canals,NY62A
canal,ditches,NY62A
canal,canal,NY62B
canal,drains,NY62B
canal,ditches,NY62B
canal,drains,NY62B
canal,canal,NY62C
canal,canal,NY62D!
canal,ditching,NY63A
canal,dredge,NY63B
canal,canal,NY63B
canal,ditches,NY63B
canal,canal,NY63C
canal,ditch,NY63D!
canal,canal,NY63D!
canal,sluice,NY63D!
canal,ditch,NY64A
canal,canals,NY64A
canal,boat,NY64A
canal,ditch,NY64B
canal,canal,NY64B
canal,canal,NY64C!
canal,trenches,NY64C!
canal,canal,NJ1A
canal,canal,NJ1B
canal,canal,NJ2A
canal,channel,NJ2B
canal,canal,NJ2B
canal,canal,NJ3A
canal,canal,NJ3B
canal,ditch,NJ3B
canal,canal,NJ4A
canal,canal,NJ4B
canal,canals,NJ5A
canal,canal,NJ5B
canal,canal,NJ6A
canal,canal,NJ6B
canal,canal,NJ7A
canal,canal,NJ7B!
canal,canal,NJ8A
canal,canal,NJ8B
canal,canal,NJ9A
canal,canal,NJ9B
canal,canal,NJ10A
