Target,Response,Informant
chair,chair,NY1
chair,chair,NY2A
chair,chair,NY2B
chair,chair,NY2C
chair,chair,NY2C
chair,chair,NY2C
chair,chair,NY3A
chair,chair,NY3B
chair,chair,NY3C
chair,chair,NY3D
chair,chair,NY4A
chair,chair,NY4B
chair,chair,NY4C
chair,chair,NY5A
chair,chair,NY5B
chair,chair,NY5C
chair,chair,NY5D
chair,chair,NY5E
chair,chair,NY5F
chair,chair,NY5G
chair,chair,NY5H!
chair,chair,NY5I!
chair,chair,NY6A
chair,chair,NY6B
chair,chair,NY7A
chair,chair,NY7B
chair,chair,NY7C
chair,chair,NY7D
chair,chair,NY7E
chair,chair,NY7F
chair,chair,NY7G
chair,chair,NY7H
chair,chair,NY7I
chair,chair,NY7J!
chair,chair,NY7K!
chair,chair,NY7L!
chair,chair,NY7M!
chair,chair,NY8
chair,chair,NY9A
chair,chair,NY9B
chair,chair,NY9C
chair,chair,NY10A
chair,chair,NY10A
chair,chair,NY10B!
chair,chair,NY11
chair,chair,NY12A
chair,chair,NY12A
chair,chair,NY12B
chair,chair,NY12C!
chair,chair,NY13A
chair,chair,NY13B!
chair,chair,NY14A
chair,chair,NY14B
chair,chair,NY15A
chair,chair,NY15B
chair,chair,NY16A
chair,chair,NY16B
chair,chair,NY17A
chair,chair,NY17A
chair,chair,NY17A
chair,chair,NY17B
chair,chair,NY18A
chair,that chair,NY18A
chair,chair,NY18B
chair,chair,NY18C!
chair,chair,NY19
chair,chair,NY20A
chair,chair,NY20B
chair,chair,NY21
chair,chair,NY22
chair,chairs,NY23A
chair,rocking chairs,NY23B
chair,bedsink,NY23B
chair,chair,NY23B
chair,chairs,NY23C
chair,chair,NY23C
chair,chair,NY24A
chair,chair,NY24B!
chair,chair,NY25A
chair,chairs,NY25A
chair,chairs,NY25B
chair,chairs,NY26A
chair,chair,NY26A
chair,chairs,NY26B
chair,chair,NY26C
chair,chairs,NY27A
chair,chairs,NY27B
chair,chairs,NY27B
chair,chair,NY27C
chair,chair,NY28A
chair,chair,NY28A
chair,chairs,NY28B
chair,chairs,NY28C
chair,rocking chair,NY29A
chair,chair,NY29A
chair,chairs,NY29A
chair,rocking chair,NY29B
chair,chair,NY29C
chair,chairs,NY30A
chair,chairs,NY30B
chair,rocking chairs,NY30B
chair,chairs,NY30B
chair,chairs,NY30C
chair,rocking chairs,NY30D
chair,common chairs,NY30D
chair,horsehair,NY30E
chair,chairs,NY30E
chair,chairs,NY31A
chair,chairs,NY31A
chair,chair,NY31B
chair,chairs,NY32A
chair,rocking chairs,NY32B
chair,chairs,NY32B
chair,chairs,NY33A
chair,chair,NY33B
chair,armchair,NY33C
chair,chairs,NY33C
chair,rocker,NY33C
chair,chairs,NY34A
chair,chairs,NY34A
chair,chair,NY34B
chair,rocking chairs,NY34C
chair,easy chair,NY34D!
chair,chair,NY34D!
chair,highchair,NY34D!
chair,chair,NY35A
chair,chair,NY35B
chair,chair,NY35C!
chair,chair,NY36A
chair,chair,NY36B
chair,chair,NY37A
chair,chair,NY37B
chair,chair,NY37C!
chair,chair,NY38A
chair,chair,NY38B
chair,chair,NY38C
chair,chair,NY39A
chair,chair,NY39B
chair,chair,NY40A
chair,chair,NY40B
chair,chair,NY41
chair,chair,NY42A
chair,chair,NY42B
chair,chair,NY43A
chair,chair,NY43B
chair,chair,NY43C!
chair,chair,NY44A
chair,chair,NY44B
chair,electric chair,NY45A
chair,chairs,NY45A
chair,chairs,NY45B
chair,chairs,NY45C
chair,chair,NY45D!
chair,sleeper chair,NY45D!
chair,chair,NY45D!
chair,chairs,NY46A
chair,chair,NY46B
chair,chair,NY46C
chair,chairs,NY46C
chair,chair,NY47A
chair,chair,NY47A
chair,chairs,NY47A
chair,chair,NY47A
chair,chair,NY47A
chair,chair,NY47B
chair,Boston rockers,NY48A
chair,chairs,NY48A
chair,wooden rockers,NY48A
chair,chairs,NY48B
chair,chairs,NY48B
chair,chair,NY48C
chair,chairs,NY48D
chair,chairs,NY48D
chair,table,NY48D
chair,chairs,NY49A
chair,chair,NY49B
chair,chair,NY49C
chair,chair,NY49C
chair,chair,NY49D
chair,chair flag,NY49D
chair,chairs,NY50A
chair,chair,NY50A
chair,rocking chair,NY50B
chair,rockers,NY50B
chair,chairs,NY50B
chair,chair,NY51A
