Target,Response,Informant
Charleston,,NY1
Charleston,,NY2A
Charleston,,NY2B
Charleston,,NY2C
Charleston,Charleston,NY3A
Charleston,Charleston,NY3B
Charleston,Charleston,NY3C
Charleston,Charleston,NY3D
Charleston,Charleston,NY4A
Charleston,Charleston,NY4B
Charleston,Charleston,NY4C
Charleston,Charleston,NY5A
Charleston,Charleston,NY5B
Charleston,Charleston,NY5C
Charleston,Charleston,NY5D
Charleston,Charleston,NY5E
Charleston,Charleston,NY5F
Charleston,Charleston,NY5G
Charleston,Charleston,NY5H!
Charleston,Charleston,NY5I!
Charleston,Charleston,NY6A
Charleston,Charleston,NY6B
Charleston,Charleston,NY7A
Charleston,Charleston,NY7B
Charleston,Charleston,NY7C
Charleston,Charleston,NY7D
Charleston,Charleston,NY7E
Charleston,Charleston,NY7F
Charleston,Charleston,NY7G
Charleston,Charleston,NY7H
Charleston,Charleston,NY7I
Charleston,Charleston,NY7J!
Charleston,Charleston,NY7K!
Charleston,Charleston,NY7L!
Charleston,Charleston,NY7M!
Charleston,Charleston,NY8
Charleston,Charleston,NY9A
Charleston,Charleston,NY9B
Charleston,Charleston,NY9C
Charleston,Charleston,NY10A
Charleston,Charleston,NY10B!
Charleston,Charleston,NY11
Charleston,Charleston,NY12A
Charleston,Charleston,NY12B
Charleston,Charleston,NY12C!
Charleston,Charleston,NY13A
Charleston,Charleston,NY13B!
Charleston,Charleston,NY14A
Charleston,Charleston,NY14B
Charleston,Charleston,NY15A
Charleston,Charleston,NY15B
Charleston,Charleston,NY16A
Charleston,Charleston,NY16B
Charleston,Charleston,NY17A
Charleston,Charleston,NY17B
Charleston,Charleston,NY18A
Charleston,Charleston,NY18B
Charleston,Charleston,NY18C!
Charleston,Charleston,NY19
Charleston,Charleston,NY20A
Charleston,Charleston,NY20B
Charleston,Charleston,NY21
Charleston,Charleston,NY22
Charleston,,NY23A
Charleston,Savannah,NY23B
Charleston,Charleston,NY23B
Charleston,Charleston,NY23C
Charleston,Charleston,NY24A
Charleston,Charleston,NY24B!
Charleston,Charleston,NY25A
Charleston,Fort Sumter,NY25A
Charleston,Charleston,NY25B
Charleston,Charleston,NY26A
Charleston,Charleston,NY26B
Charleston,,NY26C
Charleston,Charleston,NY27A
Charleston,,NY27B
Charleston,Charleston,NY27C
Charleston,Charleston,NY28A
Charleston,Charleston,NY28B
Charleston,,NY28C
Charleston,,NY29A
Charleston,Savannah,NY29B
Charleston,Charleston,NY29B
Charleston,Charleston,NY29C
Charleston,Charleston,NY30A
Charleston,Charleston,NY30B
Charleston,,NY30C
Charleston,,NY30D
Charleston,Charleston,NY30E
Charleston,Charleston,NY31A
Charleston,Fort Sumter,NY31A
Charleston,Charleston,NY31B
Charleston,Charleston,NY31B
Charleston,Charleston,NY32A
Charleston,Charleston,NY32B
Charleston,,NY33A
Charleston,Charleston,NY33B
Charleston,Charleston,NY33C
Charleston,Charleston,NY34A
Charleston,,NY34B
Charleston,Charleston,NY34C
Charleston,Charleston,NY34D!
Charleston,Charleston,NY35A
Charleston,Charleston,NY35B
Charleston,,NY35C!
Charleston,Charleston,NY36A
Charleston,Charleston,NY36B
Charleston,Charleston,NY37A
Charleston,Charleston,NY37B
Charleston,Charleston,NY37C!
Charleston,Charleston,NY38A
Charleston,Charleston,NY38B
Charleston,,NY38C
Charleston,Charleston,NY39A
Charleston,Charleston,NY39B
Charleston,Charleston,NY40A
Charleston,Charleston,NY40B
Charleston,Charleston,NY41
Charleston,Charleston,NY42A
Charleston,Charleston,NY42B
Charleston,Charleston,NY43A
Charleston,Charleston,NY43B
Charleston,Charleston,NY43C!
Charleston,Charleston,NY44A
Charleston,Charleston,NY44B
Charleston,,NY45A
Charleston,,NY45B
Charleston,,NY45C
Charleston,Charleston,NY45D!
Charleston,Charleston,NY46A
Charleston,,NY46B
Charleston,Charleston,NY46C
Charleston,Charleston,NY47A
Charleston,Fort Sumter,NY47A
Charleston,Charleston,NY47A
Charleston,Charleston,NY47B
Charleston,Charleston,NY48A
Charleston,Charleston,NY48B
Charleston,Charleston,NY48C
Charleston,Charleston,NY48D
Charleston,,NY49A
Charleston,,NY49B
Charleston,Charleston,NY49C
Charleston,Charleston,NY49D
Charleston,Charleston,NY50A
Charleston,Charleston,NY50B
Charleston,Charleston,NY51A
Charleston,Charleston,NY51B
Charleston,Charleston,NY51C
Charleston,,NY51D
Charleston,,NY51E!
Charleston,Charleston,NY52A
Charleston,,NY52B
Charleston,Charleston,NY52C
Charleston,Charleston,NY53A
Charleston,Charleston,NY53B!
Charleston,Charleston,NY54A
Charleston,Charleston,NY54B
Charleston,Charleston,NY55A
Charleston,Charleston,NY55A
Charleston,Charleston,NY55B
Charleston,Charleston,NY55B
Charleston,Charleston,NY56A
Charleston,Charleston,NY56B
Charleston,Charleston,NY57A
Charleston,,NY57B
Charleston,Charleston,NY57C!
Charleston,Charleston,NY58A
Charleston,Charleston,NY58B
Charleston,,NY58C
Charleston,Charleston,NY58D!
Charleston,Charleston,NY58E!
Charleston,,NY58F!
Charleston,Charleston,NY59A
Charleston,Charleston,NY59B
Charleston,Charleston,NY60A
Charleston,Charleston,NY60B!
Charleston,Charleston,NY61A
Charleston,Charleston,NY61B
Charleston,,NY62A
Charleston,Charleston,NY62B
Charleston,Charleston,NY62C
Charleston,Charleston,NY62D!
Charleston,Charleston,NY63A
Charleston,Charleston,NY63B
Charleston,Charleston,NY63C
Charleston,Charleston,NY63D!
Charleston,Charleston,NY64A
Charleston,Charleston,NY64B
Charleston,,NY64C!
Charleston,Charleston,NJ1A
Charleston,Charleston,NJ1B
Charleston,Charleston,NJ2A
Charleston,Charleston,NJ2B
Charleston,Charleston,NJ3A
Charleston,Charleston,NJ3B
Charleston,Charleston,NJ4A
Charleston,Charleston,NJ4B
Charleston,Charleston,NJ5A
Charleston,Charleston,NJ5B
Charleston,Charleston,NJ6A
Charleston,Charleston,NJ6B
Charleston,Charleston,NJ7A
Charleston,Charleston,NJ7B!
Charleston,Charleston,NJ8A
Charleston,Charleston,NJ8B
Charleston,Charleston,NJ9A
Charleston,Charleston,NJ9B
Charleston,Charleston,NJ10A
Charleston,Charleston,NJ10B
Charleston,Charleston,NJ10C
Charleston,Charleston,NJ10D!
Charleston,Charleston,NJ11A
Charleston,Charleston,NJ11B
Charleston,Charleston,NJ11C
Charleston,Charleston,NJ12A
Charleston,Charleston,NJ12B
Charleston,Charleston,NJ13A
Charleston,Charleston,NJ13B
Charleston,Charleston,NJ14A
Charleston,Charleston,NJ14B
Charleston,Charleston,NJ15A
Charleston,Charleston,NJ15B
Charleston,Charleston,NJ16A
Charleston,Charleston,NJ16B
Charleston,Charleston,NJ17A
Charleston,Charleston,NJ17B
Charleston,Charleston,NJ18A
Charleston,Charleston,NJ18B
Charleston,Charleston,NJ18C!
Charleston,Charleston,NJ18D!
Charleston,Charleston,NJ19A
Charleston,Charleston,NJ19B!
Charleston,Charleston,NJ20A
Charleston,Charleston,NJ20B
Charleston,Charleston,NJ21A
Charleston,Charleston,NJ21B
Charleston,Charleston,PA1A
Charleston,Charleston,PA1B
Charleston,Charleston,PA1C
Charleston,Charleston,PA1D
Charleston,Charleston,PA1E!
Charleston,Charleston,PA1F!
Charleston,Charleston,PA1G!
Charleston,Charleston,PA1H!
Charleston,Charleston,PA2A
Charleston,Charleston,PA2B
Charleston,Charleston,PA3A
Charleston,Charleston,PA3B
Charleston,Charleston,PA3C
Charleston,Charleston,PA4A
Charleston,Charleston,PA4B!
Charleston,Charleston,PA5A
Charleston,Charleston,PA5B
Charleston,Charleston,PA5C
Charleston,Charleston,PA5D
Charleston,Charleston,PA5E!
Charleston,Charleston,PA6A
Charleston,Charleston,PA6B
Charleston,Charleston,PA6C
Charleston,Charleston,PA6D!
Charleston,Charleston,PA7A
Charleston,Charleston,PA7B
Charleston,Charleston,PA7C
Charleston,Charleston,PA7D!
Charleston,Charleston,PA8A
Charleston,Charleston,PA8B
Charleston,Charleston,PA8C
Charleston,Charleston,PA8D!
Charleston,Charleston,PA9A
Charleston,Charleston,PA9B
Charleston,Charleston,PA9C!
Charleston,Charleston,PA10
Charleston,Charleston,PA11A
Charleston,Charleston,PA11B
Charleston,Charleston,PA12A
Charleston,Charleston,PA12B
Charleston,Charleston,PA13A
Charleston,Charleston,PA13B
Charleston,Charleston,PA14A
Charleston,Charleston,PA14B
Charleston,,PA14C
Charleston,Charleston,PA15A
Charleston,Charleston,PA15B
Charleston,Charleston,PA15C!
Charleston,Charleston,PA16A
Charleston,Charleston,PA16B
Charleston,,PA16C
