Target,Response,Informant
chew,chaw,NY1
chew,chew,NY1
chew,chew,NY2A
chew,chew,NY2B
chew,chaw,NY2C
chew,chew,NY2C
chew,chew,NY3A
chew,chew,NY3B
chew,chew,NY3C
chew,chew,NY3D
chew,chew,NY4A
chew,chew,NY4B
chew,chew,NY4C
chew,chew,NY5A
chew,chew,NY5B
chew,chew,NY5C
chew,chew,NY5D
chew,chew,NY5E
chew,chew,NY5F
chew,chew,NY5G
chew,chew,NY5H!
chew,chew,NY5I!
chew,chew,NY6A
chew,chew,NY6B
chew,chew,NY7A
chew,chew,NY7B
chew,chew,NY7C
chew,chew,NY7D
chew,chew,NY7E
chew,chew,NY7F
chew,chew,NY7G
chew,chew,NY7H
chew,chew,NY7I
chew,chew,NY7J!
chew,chew,NY7K!
chew,chew,NY7L!
chew,chew,NY7M!
chew,chew,NY8
chew,chew,NY9A
chew,mush,NY9B
chew,chew,NY9B
chew,samp,NY9B
chew,chew,NY9C
chew,chew,NY10A
chew,chew,NY10B!
chew,chew,NY11
chew,chew,NY12A
chew,chew,NY12A
chew,chew,NY12B
chew,chew,NY12C!
chew,chew,NY13A
chew,chew,NY13B!
chew,chew,NY14A
chew,chaw,NY14A
chew,chew,NY14B
chew,chew,NY15A
chew,chew,NY15B
chew,chew,NY16A
chew,chew,NY16B
chew,chew,NY17A
chew,chew,NY17B
chew,chew,NY18A
chew,chaw,NY18A
chew,chew,NY18B
chew,chew,NY18C!
chew,chew,NY19
chew,chew,NY20A
chew,chew,NY20B
chew,chew,NY21
chew,chew,NY22
chew,chewed,NY23A
chew,chewed,NY23B
chew,chewed,NY23C
chew,chew,NY24A
chew,chew,NY24B!
chew,chew it,NY25A
chew,chewed,NY25B
chew,chewed,NY26A
chew,chewed,NY26B
chew,,NY26C
chew,chewed,NY27A
chew,chewed,NY27B
chew,chewed,NY27B
chew,chewed,NY27C
chew,chewed,NY28A
chew,chew it,NY28B
chew,,NY28C
chew,chew,NY29A
chew,chew it,NY29B
chew,twist tobacco,NY29B
chew,plug tobacco,NY29B
chew,plug tobacco,NY29C
chew,chewed,NY29C
chew,chew,NY30A
chew,chewed,NY30B
chew,,NY30C
chew,,NY30D
chew,chewed,NY30E
chew,chewing tobacco,NY31A
chew,chew,NY31A
chew,plug tobacco,NY31A
chew,chew it,NY31B
chew,chewed,NY32A
chew,chewing,NY32B
chew,chewed,NY33A
chew,,NY33B
chew,chewed,NY33C
chew,chewed,NY34A
chew,,NY34B
chew,chew,NY34C
chew,chew it,NY34C
chew,mush in milk,NY34C
chew,chew,NY34D!
chew,chew,NY35A
chew,chew,NY35B
chew,chew,NY35C!
chew,chew,NY36A
chew,chew,NY36B
chew,chew,NY37A
chew,chew,NY37B
chew,chew,NY37C!
chew,chew,NY38A
chew,chew,NY38B
chew,chew,NY38C
chew,chew,NY39A
chew,chew,NY39B
chew,chew,NY40A
chew,chew,NY40B
chew,chew,NY41
chew,chew,NY42A
chew,chew,NY42B
chew,chew,NY43A
chew,chew,NY43B
chew,chew,NY43C!
chew,chew,NY44A
chew,chew,NY44B
chew,chew it,NY45A
chew,,NY45B
chew,,NY45C
chew,chew it,NY45D!
chew,chew,NY46A
chew,chew,NY46A
chew,chaw it,NY46B
chew,chew it,NY46B
chew,chew,NY46C
chew,chew,NY46C
chew,chewed,NY47A
chew,a chew,NY47A
chew,chew,NY47B
chew,chewing tobacco,NY48A
chew,,NY48B
chew,chew,NY48C
chew,chewed it,NY48D
chew,,NY49A
chew,chew,NY49B
chew,chew it,NY49C
chew,chew,NY49C
chew,chew,NY49D
chew,chew it,NY50A
chew,chew it,NY50B
chew,chewing,NY51A
chew,chewing tobacco,NY51B
chew,chew it,NY51C
chew,,NY51D
chew,chew,NY51E!
chew,chew,NY52A
chew,chewed,NY52B
chew,fine cut,NY52B
chew,chew,NY52C
chew,chewing,NY53A
chew,chew it,NY53B!
chew,chew,NY54A
chew,chew,NY54B
chew,snuff,NY55A
chew,chewing tobacco,NY55A
chew,chewed,NY55B
chew,chew it,NY56A
