Target,Response,Informant
Chicago,Chicago,NY1
Chicago,,NY2A
Chicago,Chicago,NY2B
Chicago,,NY2C
Chicago,Chicago,NY3A
Chicago,Chicago,NY3B
Chicago,Chicago,NY3C
Chicago,Chicago,NY3D
Chicago,Chicago,NY4A
Chicago,Chicago,NY4B
Chicago,Chicago,NY4C
Chicago,Chicago,NY5A
Chicago,Chicago,NY5B
Chicago,Chicago,NY5C
Chicago,Chicago,NY5D
Chicago,Chicago,NY5E
Chicago,Chicago,NY5F
Chicago,Chicago,NY5G
Chicago,Chicago,NY5H!
Chicago,Chicago,NY5I!
Chicago,Chicago,NY6A
Chicago,Chicago,NY6B
Chicago,Chicago,NY7A
Chicago,Chicago,NY7B
Chicago,Chicago,NY7C
Chicago,Chicago,NY7D
Chicago,Chicago,NY7E
Chicago,Chicago,NY7F
Chicago,Chicago,NY7G
Chicago,Chicago,NY7H
Chicago,Chicago,NY7I
Chicago,Chicago,NY7J!
Chicago,Chicago,NY7K!
Chicago,Chicago,NY7L!
Chicago,Chicago,NY7M!
Chicago,Chicago,NY8
Chicago,Chicago,NY9A
Chicago,Chicago,NY9B
Chicago,Chicago,NY9C
Chicago,Chicago,NY10A
Chicago,Chicago,NY10B!
Chicago,Chicago,NY11
Chicago,Chicago,NY12A
Chicago,Chicago,NY12B
Chicago,Chicago,NY12C!
Chicago,Chicago,NY13A
Chicago,Chicago,NY13B!
Chicago,Chicago,NY14A
Chicago,Chicago,NY14B
Chicago,Chicago,NY15A
Chicago,Chicago,NY15B
Chicago,Chicago,NY16A
Chicago,Chicago,NY16B
Chicago,Chicago,NY17A
Chicago,Chicago,NY17B
Chicago,Chicago,NY18A
Chicago,Chicago,NY18B
Chicago,Chicago,NY18C!
Chicago,Chicago,NY19
Chicago,Chicago,NY20A
Chicago,Chicago,NY20B
Chicago,Chicago,NY21
Chicago,Chicago,NY22
Chicago,,NY23A
Chicago,Chicago,NY23B
Chicago,Chicago,NY23C
Chicago,Chicago,NY24A
Chicago,Chicago,NY24B!
Chicago,Chicago,NY25A
Chicago,Chicago,NY25B
Chicago,Chicago,NY26A
Chicago,Chicago,NY26B
Chicago,,NY26C
Chicago,Chicago,NY27A
Chicago,,NY27B
Chicago,Chicago,NY27C
Chicago,Chicago,NY28A
Chicago,Chicago,NY28B
Chicago,,NY28C
Chicago,,NY29A
Chicago,Chicago,NY29B
Chicago,Chicago,NY29C
Chicago,Minneapolis,NY30A
Chicago,Chicago,NY30A
Chicago,Chicago,NY30B
Chicago,,NY30C
Chicago,,NY30D
Chicago,Chicago,NY30E
Chicago,Chicago,NY31A
Chicago,Chicago,NY31B
Chicago,Chicago,NY32A
Chicago,Chicago,NY32A
Chicago,Chicago,NY32B
Chicago,,NY33A
Chicago,,NY33B
Chicago,Chicago,NY33C
Chicago,Chicago,NY34A
Chicago,,NY34B
Chicago,,NY34C
Chicago,Chicago,NY34D!
Chicago,Chicago,NY35A
Chicago,Chicago,NY35B
Chicago,,NY35C!
Chicago,Chicago,NY36A
Chicago,Chicago,NY36B
Chicago,Chicago,NY37A
Chicago,Chicago,NY37B
Chicago,Chicago,NY37C!
Chicago,Chicago,NY38A
Chicago,Chicago,NY38B
Chicago,,NY38C
Chicago,Chicago,NY39A
Chicago,Chicago,NY39B
Chicago,Chicago,NY40A
Chicago,Chicago,NY40B
Chicago,Chicago,NY41
Chicago,Chicago,NY42A
Chicago,Chicago,NY42B
Chicago,Chicago,NY43A
Chicago,Chicago,NY43B
Chicago,Chicago,NY43C!
Chicago,Chicago,NY44A
Chicago,Chicago,NY44B
Chicago,,NY45A
Chicago,,NY45B
Chicago,,NY45C
Chicago,Chicago,NY45D!
Chicago,Chicago,NY46A
Chicago,,NY46B
Chicago,,NY46C
Chicago,Chicago,NY47A
Chicago,Chicago,NY47B
Chicago,Chicago,NY48A
Chicago,,NY48B
Chicago,Chicago,NY48C
Chicago,Chicago,NY48D
Chicago,,NY49A
Chicago,,NY49B
Chicago,Chicago,NY49C
Chicago,Detroit,NY49C
Chicago,Chicago,NY49C
Chicago,Chicago,NY49C
Chicago,Chicago,NY49D
Chicago,Chicago,NY50A
Chicago,Chicago,NY50A
Chicago,Chicago,NY50B
Chicago,Chicago,NY51A
Chicago,Chicago,NY51A
Chicago,Chicago,NY51B
Chicago,,NY51C
Chicago,,NY51D
Chicago,,NY51E!
Chicago,Chicago,NY52A
Chicago,,NY52B
