Target,Response,Informant
Cincinnati,Cincinnati,NY1
Cincinnati,,NY2A
Cincinnati,Cincinnati,NY2B
Cincinnati,,NY2C
Cincinnati,Cincinnati,NY3A
Cincinnati,Cincinnati,NY3B
Cincinnati,Cincinnati,NY3C
Cincinnati,Cincinnati,NY3D
Cincinnati,Cincinnati,NY4A
Cincinnati,Cincinnati,NY4B
Cincinnati,Cincinnati,NY4C
Cincinnati,Cincinnati,NY5A
Cincinnati,Cincinnati,NY5B
Cincinnati,Cincinnati,NY5C
Cincinnati,Cincinnati,NY5D
Cincinnati,Cincinnati,NY5E
Cincinnati,Cincinnati,NY5F
Cincinnati,Cincinnati,NY5G
Cincinnati,Cincinnati,NY5H!
Cincinnati,Cincinnati,NY5I!
Cincinnati,Cincinnati,NY6A
Cincinnati,Cincinnati,NY6B
Cincinnati,Cincinnati,NY7A
Cincinnati,Cincinnati,NY7B
Cincinnati,Cincinnati,NY7C
Cincinnati,Cincinnati,NY7D
Cincinnati,Cincinnati,NY7E
Cincinnati,Cincinnati,NY7F
Cincinnati,Cincinnati,NY7G
Cincinnati,Cincinnati,NY7H
Cincinnati,Cincinnati,NY7I
Cincinnati,Cincinnati,NY7J!
Cincinnati,Cincinnati,NY7K!
Cincinnati,Cincinnati,NY7L!
Cincinnati,Cincinnati,NY7M!
Cincinnati,Cincinnati,NY8
Cincinnati,Cincinnati,NY9A
Cincinnati,Cincinnati,NY9B
Cincinnati,Cincinnati,NY9C
Cincinnati,Cincinnati,NY10A
Cincinnati,Cincinnati,NY10B!
Cincinnati,Cincinnati,NY11
Cincinnati,Cincinnati,NY12A
Cincinnati,Cincinnati,NY12B
Cincinnati,Cincinnati,NY12C!
Cincinnati,Cincinnati,NY13A
Cincinnati,Cincinnati,NY13B!
Cincinnati,Cincinnati,NY14A
Cincinnati,Cincinnati,NY14B
Cincinnati,Cincinnati,NY15A
Cincinnati,Cincinnati,NY15B
Cincinnati,Cincinnati,NY16A
Cincinnati,Cincinnati,NY16B
Cincinnati,Cincinnati,NY17A
Cincinnati,Cincinnati,NY17B
Cincinnati,Cincinnati,NY18A
Cincinnati,Cincinnati,NY18B
Cincinnati,Cincinnati,NY18C!
Cincinnati,Cincinnati,NY19
Cincinnati,Cincinnati,NY20A
Cincinnati,Cincinnati,NY20B
Cincinnati,Cincinnati,NY21
Cincinnati,Cincinnati,NY22
Cincinnati,,NY23A
Cincinnati,Cincinnati,NY23B
Cincinnati,Cincinnati,NY23C
Cincinnati,Cincinnati,NY24A
Cincinnati,Cincinnati,NY24B!
Cincinnati,Cincinnati,NY25A
Cincinnati,Cincinnati,NY25B
Cincinnati,Cleveland,NY25B
Cincinnati,Cincinnati,NY26A
Cincinnati,Cincinnati,NY26B
Cincinnati,,NY26C
Cincinnati,Cincinnati,NY27A
Cincinnati,,NY27B
Cincinnati,Cincinnati,NY27C
Cincinnati,Cincinnati,NY28A
Cincinnati,Cincinnati,NY28B
Cincinnati,,NY28C
Cincinnati,,NY29A
Cincinnati,Cincinnati,NY29B
Cincinnati,Cleveland,NY29C
Cincinnati,Cincinnati,NY29C
Cincinnati,Cincinnati,NY30A
Cincinnati,Cincinnati,NY30B
Cincinnati,,NY30C
Cincinnati,,NY30D
Cincinnati,Cincinnati,NY30E
Cincinnati,Cincinnati,NY31A
Cincinnati,Cincinnati,NY31B
Cincinnati,Cincinnati,NY32A
Cincinnati,Cincinnati,NY32A
Cincinnati,Cincinnati,NY32B
Cincinnati,,NY33A
Cincinnati,Cincinnati,NY33B
Cincinnati,Cincinnati,NY33C
Cincinnati,Cincinnati,NY34A
Cincinnati,,NY34B
Cincinnati,,NY34C
Cincinnati,Cincinnati,NY34D!
Cincinnati,Cincinnati,NY35A
Cincinnati,Cincinnati,NY35B
Cincinnati,,NY35C!
Cincinnati,Cincinnati,NY36A
Cincinnati,Cincinnati,NY36B
Cincinnati,Cincinnati,NY37A
Cincinnati,Cincinnati,NY37B
Cincinnati,Cincinnati,NY37C!
Cincinnati,Cincinnati,NY38A
Cincinnati,Cincinnati,NY38B
Cincinnati,,NY38C
Cincinnati,Cincinnati,NY39A
Cincinnati,Cincinnati,NY39B
Cincinnati,Cincinnati,NY40A
Cincinnati,Cincinnati,NY40B
Cincinnati,Cincinnati,NY41
Cincinnati,Cincinnati,NY42A
Cincinnati,Cincinnati,NY42B
Cincinnati,Cincinnati,NY43A
Cincinnati,Cincinnati,NY43B
Cincinnati,Cincinnati,NY43C!
Cincinnati,Cincinnati,NY44A
Cincinnati,Cincinnati,NY44B
Cincinnati,,NY45A
Cincinnati,,NY45B
Cincinnati,,NY45C
Cincinnati,Cincinnati,NY45D!
Cincinnati,Cincinnati,NY46A
Cincinnati,,NY46B
Cincinnati,Cincinnati,NY46C
Cincinnati,Cincinnati,NY47A
Cincinnati,Cincinnati,NY47B
Cincinnati,Cincinnati,NY48A
Cincinnati,,NY48B
Cincinnati,Cincinnati,NY48C
Cincinnati,Cleveland,NY48D
Cincinnati,Cincinnati,NY48D
Cincinnati,,NY49A
Cincinnati,,NY49B
Cincinnati,Cleveland,NY49C
Cincinnati,Cincinnati,NY49C
Cincinnati,Cincinnati,NY49D
Cincinnati,Cincinnati,NY50A
Cincinnati,Cincinnati,NY50B
Cincinnati,Cincinnati,NY51A
Cincinnati,Cleveland,NY51A
Cincinnati,Cincinnati,NY51B
Cincinnati,,NY51C
Cincinnati,,NY51D
Cincinnati,,NY51E!
Cincinnati,Cincinnati,NY52A
Cincinnati,,NY52B
Cincinnati,Cincinnati,NY52C
Cincinnati,Cincinnati,NY53A
Cincinnati,Cincinnati,NY53B!
Cincinnati,Cincinnati,NY54A
Cincinnati,Cincinnati,NY54B
Cincinnati,Cincinnati,NY55A
Cincinnati,Cincinnati,NY55B
Cincinnati,Cincinnati,NY56A
Cincinnati,Columbus,NY56A
Cincinnati,Cincinnati,NY56B
Cincinnati,Cincinnati,NY57A
Cincinnati,,NY57B
Cincinnati,Cincinnati,NY57C!
Cincinnati,Cincinnati,NY58A
Cincinnati,Cincinnati,NY58B
Cincinnati,,NY58C
Cincinnati,Cincinnati,NY58D!
Cincinnati,Cincinnati,NY58E!
Cincinnati,Cleveland,NY58E!
Cincinnati,,NY58F!
Cincinnati,Columbus,NY59A
Cincinnati,Cincinnati,NY59A
Cincinnati,Cincinnati,NY59B
Cincinnati,Cincinnati,NY60A
Cincinnati,Cincinnati,NY60B!
Cincinnati,Cincinnati,NY61A
Cincinnati,Cincinnati,NY61B
Cincinnati,,NY62A
Cincinnati,Cleveland,NY62B
Cincinnati,Cincinnati,NY62B
Cincinnati,Cincinnati,NY62C
Cincinnati,Columbus,NY62D!
Cincinnati,Cincinnati,NY62D!
Cincinnati,Cincinnati,NY63A
Cincinnati,Cincinnati,NY63B
Cincinnati,Cincinnati,NY63C
Cincinnati,Cincinnati,NY63D!
Cincinnati,Cincinnati,NY64A
Cincinnati,Cincinnati,NY64B
Cincinnati,,NY64C!
Cincinnati,Cincinnati,NJ1A
Cincinnati,Cincinnati,NJ1B
Cincinnati,Cincinnati,NJ2A
Cincinnati,Cincinnati,NJ2B
Cincinnati,Cincinnati,NJ3A
Cincinnati,Cincinnati,NJ3A
Cincinnati,Cincinnati,NJ3B
Cincinnati,Cincinnati,NJ4A
Cincinnati,Cincinnati,NJ4B
Cincinnati,Cincinnati,NJ5A
Cincinnati,Cincinnati,NJ5B
Cincinnati,Cincinnati,NJ6A
Cincinnati,Cincinnati,NJ6B
Cincinnati,Cincinnati,NJ7A
Cincinnati,Cincinnati,NJ7B!
Cincinnati,Cincinnati,NJ8A
Cincinnati,Cincinnati,NJ8B
Cincinnati,Cincinnati,NJ9A
Cincinnati,Cincinnati,NJ9B
Cincinnati,Cincinnati,NJ10A
Cincinnati,Cincinnati,NJ10B
Cincinnati,Cincinnati,NJ10C
Cincinnati,Cincinnati,NJ10D!
Cincinnati,Cincinnati,NJ11A
Cincinnati,Cincinnati,NJ11B
Cincinnati,Cincinnati,NJ11C
Cincinnati,Cincinnati,NJ12A
Cincinnati,Cincinnati,NJ12B
Cincinnati,Cincinnati,NJ13A
Cincinnati,Cincinnati,NJ13B
Cincinnati,Cincinnati,NJ14A
Cincinnati,Cincinnati,NJ14B
Cincinnati,Cincinnati,NJ15A
Cincinnati,Cincinnati,NJ15B
Cincinnati,Cincinnati,NJ16A
Cincinnati,Cincinnati,NJ16B
Cincinnati,Cincinnati,NJ17A
Cincinnati,Cincinnati,NJ17B
Cincinnati,Cincinnati,NJ18A
Cincinnati,Cincinnati,NJ18B
Cincinnati,Cincinnati,NJ18C!
Cincinnati,Cincinnati,NJ18D!
Cincinnati,Cincinnati,NJ19A
Cincinnati,Cincinnati,NJ19B!
Cincinnati,Cincinnati,NJ20A
Cincinnati,Cincinnati,NJ20B
Cincinnati,Cincinnati,NJ21A
Cincinnati,Cincinnati,NJ21B
Cincinnati,Cincinnati,PA1A
Cincinnati,Cincinnati,PA1B
Cincinnati,Cincinnati,PA1C
Cincinnati,Cincinnati,PA1D
Cincinnati,Cincinnati,PA1E!
