Target,Response,Informant
clabber,lopperd milk,NY1
clabber,curd,NY1
clabber,pot cheese,NY2A
clabber,sour milk cheese,NY2A
clabber,pot cheese,NY2B
clabber,dutch cheese,NY2B
clabber,lappered milk,NY2C
clabber,lappered milk,NY3A
clabber,lappered milk,NY3B
clabber,lappered milk,NY3C
clabber,lappered milk,NY3D
clabber,curdled milk,NY4A
clabber,lappered milk,NY4A
clabber,lappered milk,NY4B
clabber,lappered milk,NY4C
clabber,bonney clabber,NY5A
clabber,curdled milk,NY5B
clabber,lappered milk,NY5C
clabber,curdled milk,NY5C
clabber,loppered milk,NY5D
clabber,loppered milk,NY5E
clabber,curdled milk,NY5F
clabber,curdled milk,NY5G
clabber,clabber,NY5H!
clabber,curd,NY5I!
clabber,bonney clapper,NY6A
clabber,thick milk,NY6A
clabber,bonney clabber,NY6A
clabber,loppered milk,NY6B
clabber,curdled milk,NY7A
clabber,curdled milk,NY7B
clabber,curdled milk,NY7C
clabber,curdled milk,NY7D
clabber,curdled milk,NY7D
clabber,curdled milk,NY7E
clabber,loppered milk,NY7F
clabber,clabbered milk,NY7G
clabber,,NY7H
clabber,curdled milk,NY7I
clabber,lobbered milk,NY7J!
clabber,clabbered  milk,NY7K!
clabber,curdled milk,NY7L!
clabber,clabbered milk,NY7M!
clabber,lobbered milk,NY8
clabber,lappered milk,NY9A
clabber,loppered milk,NY9B
clabber,loppered milk,NY9C
clabber,clabbered milk,NY10A
clabber,lobbered milk,NY10B!
clabber,curdled milk,NY10B!
clabber,loppered milk,NY11
clabber,loppered milk,NY12A
clabber,loppered milk,NY12A
clabber,string cheese,NY12A
clabber,lobbered milk,NY12B
clabber,curdled milk,NY12C!
clabber,clabbered milk,NY12C!
clabber,lobbered milk,NY13A
clabber,thick milk,NY13A
clabber,thick milk,NY13B!
clabber,lobbered milk,NY13B!
clabber,loppered milk,NY14A
clabber,lobbered milk,NY14B
clabber,loppered milk,NY15A
clabber,loppered milk,NY15B
clabber,thick milk,NY16A
clabber,curdled milk,NY16A
clabber,loppered milk,NY16A
clabber,lobbered milk,NY16B
clabber,lobbered milk,NY17A
clabber,loppered milk,NY17B
clabber,thick milk,NY18A
clabber,lobbered milk,NY18A
clabber,clobbered milk,NY18A
clabber,curded milk,NY18B
clabber,thick milk,NY18B
clabber,lobbered milk,NY18C!
clabber,curd,NY19
clabber,curdled milk,NY19
clabber,loppered milk,NY20A
clabber,curdled milk,NY20B
clabber,lobbered milk,NY20B
clabber,dutch cheese,NY21
clabber,lobbered milk,NY21
clabber,smearcase,NY21
clabber,curd,NY22
clabber,lobbered milk,NY22
clabber,curdled milk,NY23A
clabber,curdled milk,NY23A
clabber,lobbered milk,NY23B
clabber,lobbered milk,NY23C
clabber,lobbered milk,NY24A
clabber,lobberd milk,NY24B!
clabber,lobbered milk,NY25A
clabber,sour milk,NY25A
clabber,whey,NY25A
clabber,curdled milk,NY25B
clabber,sour milk,NY25B
clabber,lobbered milk,NY25B
clabber,thickening milk,NY26A
clabber,lobbered milk,NY26A
clabber,sour milk,NY26A
clabber,thick milk,NY26A
clabber,clobbered milk,NY26B
clabber,sour milk,NY26B
clabber,thick milk,NY26B
clabber,,NY26C
clabber,loppered milk,NY27A
clabber,sour milk,NY27A
clabber,lobbered milk,NY27B
clabber,lobbered milk,NY27C
clabber,sour milk,NY28A
clabber,loppered milk,NY28A
clabber,sour milk,NY28B
clabber,lobbered milk,NY28B
clabber,buttermilk,NY28B
clabber,,NY28C
clabber,loppered milk,NY29A
clabber,curled milk,NY29B
clabber,caille,NY29B
clabber,sour milk,NY29B
clabber,curdled milk,NY29B
clabber,clobberd milk,NY29C
clabber,sour milk,NY29C
clabber,lobbered milk,NY29C
clabber,lobbered milk,NY30A
clabber,loppered milk,NY30B
clabber,,NY30C
clabber,lobbered milk,NY30D
clabber,sour milk,NY30D
clabber,lobbered milk,NY30E
clabber,clobbered milk,NY30E
clabber,sour milk,NY30E
clabber,sour milk,NY31A
clabber,coddled milk,NY31A
clabber,milk,NY31A
clabber,clobbered milk,NY31B
clabber,lobbered milk,NY32A
clabber,cottage cheese,NY32B
clabber,dutch cheese,NY32B
clabber,lobbered milk,NY32B
clabber,whey,NY32B
clabber,sour milk,NY33A
clabber,lobbered milk,NY33B
clabber,curdled milk,NY33B
clabber,lobbered milk,NY33C
clabber,thick milk,NY34A
clabber,milk,NY34A
clabber,milk,NY34A
clabber,curd,NY34A
clabber,,NY34B
clabber,lobbered milk,NY34C
clabber,sour milk,NY34C
clabber,sour milk,NY34D!
clabber,skimmed,NY34D!
clabber,loppered milk,NY34D!
clabber,lobbered milk,NY35A
clabber,lobbered milk,NY35B
clabber,,NY35C!
clabber,lobbered milk,NY36A
clabber,lobbered milk,NY36B
clabber,loppered milk,NY37A
clabber,lobbered milk,NY37B
clabber,curdled milk,NY37C!
clabber,lobbered milk,NY38A
clabber,lobbered milk,NY38B
clabber,lobbered milk,NY38C
clabber,lobbered milk,NY39A
clabber,thick milk,NY39A
clabber,lobbered milk,NY39B
clabber,loppered milk,NY40A
clabber,loppered milk,NY40B
clabber,lobbered milk,NY41
clabber,lobbered milk,NY42A
clabber,lobbered milk,NY42B
clabber,loppered milk,NY43A
clabber,loppered milk,NY43B
clabber,clobber,NY43C!
clabber,lobbered milk,NY43C!
clabber,loppered milk,NY44A
clabber,curd,NY44B
clabber,lobbered milk,NY44B
clabber,lobbered milk,NY45A
clabber,loppered,NY45B
clabber,loppered milk,NY45B
clabber,coddled milk,NY45B
clabber,sour milk,NY45C
clabber,sour milk,NY45D!
clabber,lobbered,NY45D!
clabber,loppered milk,NY46A
clabber,lobbered milk,NY46B
clabber,lobbered,NY46C
clabber,clabbered milk,NY47A
clabber,sour milk,NY47A
clabber,cheesy,NY47A
clabber,lobbered milk,NY47B
clabber,lobbered milk,NY48A
clabber,sour milk,NY48A
clabber,sour milk,NY48B
clabber,lobbered milk,NY48C
clabber,bonney clabber,NY48D
clabber,lobbered milk,NY48D
clabber,buttermilk,NY49A
clabber,lobbered milk,NY49A
clabber,sour milk,NY49A
clabber,curdled milk,NY49B
clabber,thick milk,NY49B
clabber,sour milk,NY49C
clabber,sour milk,NY49D
clabber,sour milk,NY50A
clabber,milk,NY50A
clabber,loppered milk,NY50A
clabber,milk,NY50A
clabber,lobbered milk,NY50B
clabber,milk rooms,NY50B
clabber,loppered milk,NY51A
clabber,lobbered milk,NY51A
clabber,sour cream,NY51B
clabber,clobber,NY51B
clabber,sour milk,NY51C
clabber,lobbered milk,NY51C
clabber,loppered milk,NY51D
clabber,skim milk,NY51E!
clabber,sour milk,NY51E!
clabber,skim milk,NY51E!
clabber,loppered milk,NY52A
clabber,loppered milk,NY52A
clabber,lobbered milk,NY52B
clabber,curdled milk,NY52C
clabber,clabbered milk,NY53A
clabber,sour milk,NY53B!
clabber,clabbered milk,NY53B!
clabber,sour milk,NY53B!
clabber,sour milk,NY54A
clabber,curdled milk,NY54B
clabber,lobbered milk,NY55A
clabber,sour milk,NY55A
clabber,lobbered milk,NY55B
clabber,whey,NY55B
clabber,sour milk,NY55B
clabber,sour milk,NY55B
clabber,thick milk,NY55B
clabber,ripe,NY56A
clabber,bonney clabber,NY56A
clabber,lobbered milk,NY56A
clabber,lobbered milk,NY56B
clabber,sour milk,NY57A
clabber,lobbered milk,NY57A
clabber,lobbered milk,NY57B
clabber,sour milk,NY57B
clabber,clabbered milk,NY57B
clabber,sour milk,NY57C!
clabber,loppered milk,NY57C!
clabber,sour milk,NY58A
clabber,curdled milk,NY58B
clabber,sour milk,NY58B
clabber,,NY58C
clabber,curdle milk,NY58D!
clabber,clabbered,NY58D!
clabber,lobbered,NY58D!
clabber,curdled milk,NY58E!
clabber,sour milk,NY58F!
clabber,tins,NY58F!
clabber,sour milk,NY58F!
clabber,loppered milk,NY59A
clabber,lobbered milk,NY59A
clabber,lobbered milk,NY59B
clabber,lobbered milk,NY60A
clabber,clabber,NY60B!
clabber,sour milk,NY60B!
clabber,loppered milk,NY61A
clabber,sour milk,NY61A
clabber,sour milk,NY61B
clabber,curdled milk,NY61B
clabber,thick milk,NY62A
clabber,sour milk,NY62A
clabber,lobbered milk,NY62B
clabber,sour milk,NY62B
clabber,sour milk,NY62C
clabber,curdled milk,NY62D!
clabber,lobbered milk,NY63A
clabber,sour milk,NY63A
clabber,lobbered milk,NY63A
clabber,sour milk,NY63B
clabber,curdled milk,NY63B
clabber,lobbered milk,NY63C
clabber,curdled milk,NY63D!
clabber,loppered,NY63D!
clabber,milk,NY63D!
clabber,lobbered milk,NY64A
clabber,clabbered milk,NY64A
clabber,loppered milk,NY64B
clabber,sour milk,NY64B
clabber,sour milk,NY64C!
clabber,curdled milk,NY64C!
clabber,bonney clobber,NJ1A
clabber,clobber,NJ1B
clabber,bonney clabber,NJ2A
clabber,butter clabber,NJ2B
clabber,bonney clabber,NJ3A
clabber,bonney clabber,NJ3B
clabber,bonney clabber,NJ4A
clabber,bonney clobber,NJ4B
clabber,bonney clobber,NJ5A
clabber,coddled milk,NJ5A
clabber,bonney clabber,NJ5B
clabber,loppered milk,NJ6A
clabber,coddled milk,NJ6B
clabber,bonney clapper,NJ7A
clabber,bonney clabber,NJ7B!
clabber,bonney clapper,NJ8A
clabber,bonney clabber,NJ8B
clabber,clabbered milk,NJ8B
clabber,bonney clobber,NJ9A
clabber,bonney clobber,NJ9B
clabber,clobber,NJ9B
clabber,bonney clobber,NJ10A
clabber,bonney clobber,NJ10B
clabber,bonney clobber,NJ10C
clabber,clabber,NJ10C
clabber,coddled milk,NJ10D!
clabber,curd,NJ10D!
clabber,bonney clobber,NJ11A
clabber,clabbered milk,NJ11B
clabber,bonney clabber,NJ11C
clabber,curdled milk,NJ11C
clabber,bonney clobber,NJ12A
clabber,thick milk,NJ12B
clabber,curded milk,NJ12B
clabber,bonney clobber,NJ12B
clabber,bonney clobber,NJ13A
clabber,lobbered milk,NJ13A
clabber,bonney clobber,NJ13B
clabber,thick milk,NJ14A
clabber,curdled milk,NJ14A
clabber,lobby milk,NJ14B
clabber,thick milk,NJ14B
clabber,thick milk,NJ15A
clabber,curded milk,NJ15B
clabber,lobbered milk,NJ16A
clabber,lobbered milk,NJ16B
clabber,curdled milk,NJ16B
clabber,loppered milk,NJ17A
clabber,loppered milk,NJ17B
clabber,clabbered milk,NJ18A
clabber,clobber,NJ18B
clabber,clobber,NJ18B
clabber,lobbered milk,NJ18B
clabber,curdled milk,NJ18C!
clabber,clabbered milk,NJ18C!
clabber,bonney clobber,NJ18D!
clabber,loppered milk,NJ19A
clabber,curdled milk,NJ19A
clabber,curds,NJ19B!
clabber,curd,NJ20A
clabber,belobbered milk,NJ20A
clabber,loppered milk,NJ20B
clabber,lobbered milk,NJ21A
clabber,curdled milk,NJ21B
clabber,sour milk,PA1A
clabber,curdled milk,PA1B
clabber,thick milk,PA1B
clabber,bonney clabber,PA1C
clabber,curdled milk,PA1D
clabber,curlded milk,PA1E!
clabber,bonney clabber,PA1F!
clabber,clabber,PA1F!
clabber,curdled milk,PA1F!
clabber,clabber,PA1G!
clabber,clabber,PA1H!
clabber,bonney clobber,PA2A
clabber,bonney clopper,PA2B
clabber,thick milk,PA3A
clabber,bonney clobber,PA3A
clabber,thick milk,PA3B
clabber,thick milk,PA3C
clabber,bonney clobber,PA3C
clabber,bonney clabber,PA4A
clabber,curdled milk,PA4B!
clabber,thick milk,PA5A
clabber,curdled milk,PA5A
clabber,,PA5B
clabber,thick milk,PA5C
clabber,thick milk,PA5D
clabber,clabber,PA5D
clabber,curd,PA5E!
clabber,thick milk,PA6A
clabber,thick milk,PA6B
clabber,curdled milk,PA6B
clabber,curdled milk,PA6B
clabber,thick milk,PA6C
clabber,thick milk,PA6C
clabber,curdled milk,PA6D!
clabber,thick milk,PA7A
clabber,clabber,PA7A
clabber,crud,PA7B
clabber,,PA7B
clabber,thick milk,PA7C
clabber,curdled milk,PA7D!
clabber,clabber,PA8A
clabber,clabber,PA8B
clabber,sick milk,PA8C
clabber,bonney clapper,PA8C
clabber,clabber,PA8D!
clabber,thick milk,PA8D!
clabber,sick milk,PA9A
clabber,thick milk,PA9B
clabber,clabber,PA9C!
clabber,curdled milk,PA9C!
clabber,thick milk,PA10
clabber,bonney clobber,PA11A
clabber,thick milk,PA11B
clabber,thick milk,PA11B
clabber,curdled milk,PA12A
clabber,thick milk,PA12B
clabber,curdled milk,PA13A
clabber,curdled milk,PA13B
clabber,thick milk,PA14A
clabber,curdled milk,PA14B
clabber,,PA14C
clabber,curdled milk,PA15A
clabber,lobbered milk,PA15A
clabber,thick milk,PA15B
clabber,curdled milk,PA15C!
clabber,sick milk,PA16A
clabber,curdled milk,PA16B
clabber,thick milk,PA16C
clabber,sick milk,PA17A
clabber,thick milk,PA17A
clabber,thick milk,PA17B
clabber,thick milk,PA18A
clabber,curdled milk,PA18B!
clabber,thick milk,PA19A
clabber,curdled milk,PA19B
clabber,thick milk,PA19B
clabber,globber milk,PA20A
clabber,thick milk,PA20A
clabber,lobbered milk,PA20B
clabber,loppered milk,PA21A
clabber,lobbered milk,PA21B
clabber,lobbered milk,PA22A
clabber,lobbered milk,PA22B
clabber,lobbered milk,PA23A
clabber,clabbered milk,PA23B
clabber,lobbered milk,PA23B
clabber,lobbered milk,PA24A
clabber,thick milk,PA24A
clabber,curd,PA24B
clabber,lobbered milk,PA24B
clabber,lobbered milk,PA25A
clabber,thick milk,PA25A
clabber,curd,PA25B
clabber,lobbered milk,PA26A
clabber,lobber,PA26A
clabber,curdled milk,PA26B
clabber,curdled milk,PA27A
clabber,lobbered milk,PA27A
clabber,lobbered milk,PA27B
clabber,bonney clabber,PA28A
clabber,curdled milk,PA28A
clabber,curdled milk,PA28B!
clabber,thick milk,PA29A
clabber,curdled milk,PA29B
clabber,lobbered milk,PA30A
clabber,lobbered milk,PA30B
clabber,lobbered milk,PA31A
clabber,lobbered milk,PA31B
clabber,clabber milk,PA32A
clabber,thick sour milk,PA32B
clabber,thick milk,PA33A
clabber,bonney clapper,PA33A
clabber,curded milk,PA33B
clabber,thick milk,PA34A
clabber,curdled milk,PA34B
clabber,clabber milk,PA34B
clabber,thick milk,PA34C!
clabber,thick milk,PA35A
clabber,crudy milk,PA35B
clabber,,PA35C
clabber,thick milk,PA36A
clabber,thick milk,PA36B
clabber,crudled milk,PA37A
clabber,thick milk,PA37A
clabber,thick milk,PA37B
clabber,,PA37C
clabber,clabber,PA38A
clabber,thick milk,PA38B
clabber,crudled milk,PA39A
clabber,thick milk,PA39B
clabber,bonney clapper,PA40A
clabber,thick milk,PA40A
clabber,thick milk,PA40B
clabber,thick milk,PA41A
clabber,clabber,PA41B
clabber,thick milk,PA41B
clabber,thick milk,PA42A
clabber,thick milk,PA42B
clabber,curdled milk,PA42B
clabber,bonney clabber,PA43A
clabber,cruded milk,PA43B
clabber,crudled milk,PA44A
clabber,bonney clabber,PA44A
clabber,crudled milk,PA44B
clabber,thick milk,PA44B
clabber,cruded milk,PA45A
clabber,thickening milk,PA45A
clabber,thick milk,PA45B
