Target,Response,Informant
cleans up,cleans up,NY1
cleans up,cleans up,NY2A
cleans up,cleans up,NY2B
cleans up,cleans up,NY2C
cleans up,redds up,NY2C
cleans up,,NY3A
cleans up,,NY3B
cleans up,,NY3C
cleans up,,NY3D
cleans up,,NY4A
cleans up,,NY4B
cleans up,,NY4C
cleans up,,NY5A
cleans up,,NY5B
cleans up,,NY5C
cleans up,,NY5D
cleans up,,NY5E
cleans up,,NY5F
cleans up,,NY5G
cleans up,,NY5H!
cleans up,,NY5I!
cleans up,,NY6A
cleans up,,NY6B
cleans up,,NY7A
cleans up,,NY7B
cleans up,,NY7C
cleans up,,NY7D
cleans up,,NY7E
cleans up,,NY7F
cleans up,,NY7G
cleans up,,NY7H
cleans up,,NY7I
cleans up,,NY7J!
cleans up,,NY7K!
cleans up,,NY7L!
cleans up,,NY7M!
cleans up,,NY8
cleans up,,NY9A
cleans up,,NY9B
cleans up,,NY9C
cleans up,,NY10A
cleans up,,NY10B!
cleans up,,NY11
cleans up,,NY12A
cleans up,,NY12B
cleans up,,NY12C!
cleans up,,NY13A
cleans up,,NY13B!
cleans up,,NY14A
cleans up,,NY14B
cleans up,,NY15A
cleans up,,NY15B
cleans up,,NY16A
cleans up,,NY16B
cleans up,,NY17A
cleans up,,NY17B
cleans up,,NY18A
cleans up,,NY18B
cleans up,,NY18C!
cleans up,,NY19
cleans up,,NY20A
cleans up,,NY20B
cleans up,,NY21
cleans up,,NY22
cleans up,,NY23A
cleans up,,NY23B
cleans up,,NY23C
cleans up,,NY24A
cleans up,,NY24B!
cleans up,,NY25A
cleans up,,NY25B
cleans up,,NY26A
cleans up,,NY26B
cleans up,,NY26C
cleans up,,NY27A
cleans up,,NY27B
cleans up,,NY27C
cleans up,,NY28A
cleans up,,NY28B
cleans up,,NY28C
cleans up,,NY29A
cleans up,,NY29B
cleans up,,NY29C
cleans up,,NY30A
cleans up,,NY30B
cleans up,,NY30C
cleans up,,NY30D
cleans up,,NY30E
cleans up,,NY31A
cleans up,,NY31B
cleans up,,NY32A
cleans up,,NY32B
cleans up,,NY33A
cleans up,,NY33B
cleans up,,NY33C
cleans up,,NY34A
cleans up,,NY34B
cleans up,,NY34C
cleans up,,NY34D!
cleans up,,NY35A
cleans up,,NY35B
cleans up,,NY35C!
cleans up,,NY36A
cleans up,,NY36B
cleans up,,NY37A
cleans up,,NY37B
cleans up,,NY37C!
cleans up,,NY38A
cleans up,,NY38B
cleans up,,NY38C
cleans up,,NY39A
cleans up,,NY39B
cleans up,,NY40A
cleans up,,NY40B
cleans up,,NY41
cleans up,,NY42A
cleans up,,NY42B
cleans up,,NY43A
cleans up,,NY43B
cleans up,,NY43C!
cleans up,,NY44A
cleans up,,NY44B
cleans up,,NY45A
cleans up,,NY45B
cleans up,,NY45C
cleans up,,NY45D!
cleans up,,NY46A
cleans up,,NY46B
cleans up,,NY46C
cleans up,,NY47A
cleans up,,NY47B
cleans up,,NY48A
cleans up,,NY48B
cleans up,,NY48C
cleans up,,NY48D
cleans up,,NY49A
cleans up,,NY49B
cleans up,,NY49C
cleans up,,NY49D
cleans up,,NY50A
cleans up,,NY50B
cleans up,,NY51A
cleans up,,NY51B
cleans up,,NY51C
cleans up,,NY51D
cleans up,,NY51E!
cleans up,,NY52A
cleans up,,NY52B
cleans up,,NY52C
cleans up,,NY53A
cleans up,,NY53B!
cleans up,,NY54A
cleans up,,NY54B
cleans up,,NY55A
cleans up,,NY55B
cleans up,,NY56A
cleans up,,NY56B
cleans up,,NY57A
cleans up,,NY57B
cleans up,,NY57C!
cleans up,,NY58A
cleans up,,NY58B
cleans up,,NY58C
cleans up,,NY58D!
cleans up,,NY58E!
cleans up,,NY58F!
cleans up,,NY59A
cleans up,,NY59B
cleans up,,NY60A
cleans up,,NY60B!
cleans up,,NY61A
cleans up,,NY61B
cleans up,,NY62A
cleans up,,NY62B
cleans up,,NY62C
cleans up,,NY62D!
cleans up,,NY63A
cleans up,,NY63B
cleans up,,NY63C
cleans up,,NY63D!
cleans up,,NY64A
cleans up,,NY64B
cleans up,,NY64C!
cleans up,,NJ1A
cleans up,,NJ1B
cleans up,,NJ2A
cleans up,,NJ2B
cleans up,,NJ3A
cleans up,,NJ3B
cleans up,,NJ4A
cleans up,,NJ4B
cleans up,,NJ5A
cleans up,,NJ5B
cleans up,,NJ6A
cleans up,,NJ6B
cleans up,,NJ7A
cleans up,,NJ7B!
cleans up,,NJ8A
cleans up,,NJ8B
cleans up,,NJ9A
cleans up,,NJ9B
cleans up,,NJ10A
cleans up,,NJ10B
cleans up,,NJ10C
cleans up,,NJ10D!
cleans up,,NJ11A
cleans up,,NJ11B
cleans up,,NJ11C
cleans up,,NJ12A
cleans up,,NJ12B
cleans up,,NJ13A
cleans up,,NJ13B
cleans up,,NJ14A
cleans up,,NJ14B
cleans up,,NJ15A
cleans up,,NJ15B
cleans up,,NJ16A
cleans up,,NJ16B
cleans up,,NJ17A
cleans up,,NJ17B
cleans up,,NJ18A
cleans up,,NJ18B
cleans up,,NJ18C!
cleans up,,NJ18D!
cleans up,,NJ19A
cleans up,,NJ19B!
cleans up,,NJ20A
cleans up,,NJ20B
cleans up,,NJ21A
cleans up,,NJ21B
cleans up,,PA1A
cleans up,,PA1B
cleans up,,PA1C
cleans up,,PA1D
cleans up,,PA1E!
cleans up,,PA1F!
cleans up,,PA1G!
cleans up,,PA1H!
cleans up,,PA2A
cleans up,,PA2B
cleans up,,PA3A
cleans up,,PA3B
cleans up,,PA3C
cleans up,,PA4A
cleans up,,PA4B!
cleans up,,PA5A
