Target,Response,Informant
clearing up,clearing up,NY1
clearing up,,NY2A
clearing up,clearing off,NY2B
clearing up,,NY2C
clearing up,clearing,NY3A
clearing up,clearing off,NY3B
clearing up,clearing,NY3C
clearing up,clearing up,NY3D
clearing up,clearing off,NY4A
clearing up,clearing away,NY4B
clearing up,clearing up,NY4C
clearing up,clearing,NY5A
clearing up,clearing up,NY5B
clearing up,clearing,NY5C
clearing up,clearing up,NY5D
clearing up,clearing,NY5E
clearing up,clearing,NY5F
clearing up,clearing,NY5G
clearing up,clearing,NY5H!
clearing up,clearing,NY5I!
clearing up,breaking up,NY6A
clearing up,clearing off,NY6A
clearing up,clearing,NY6B
clearing up,clearing up,NY7A
clearing up,clearing up,NY7B
clearing up,clearing up,NY7C
clearing up,clearing up,NY7D
clearing up,clearing up,NY7E
clearing up,clearing,NY7F
clearing up,clearing,NY7G
clearing up,clearing up,NY7H
clearing up,clearing off,NY7I
clearing up,clearing,NY7J!
clearing up,clearing,NY7K!
clearing up,clearing up,NY7L!
clearing up,clearing,NY7M!
clearing up,clearing off,NY8
clearing up,clearing,NY9A
clearing up,clearing,NY9A
clearing up,breaking,NY9B
clearing up,clearing,NY9C
clearing up,clearing,NY10A
clearing up,clearing off,NY10B!
clearing up,clearing,NY11
clearing up,clearing away,NY12A
clearing up,clearing,NY12B
clearing up,clearing,NY12C!
clearing up,clearing up,NY13A
clearing up,clearing,NY13B!
clearing up,clearing off,NY14A
clearing up,clearing up,NY14A
clearing up,clearing up,NY14B
clearing up,clearing,NY15A
clearing up,clearing up,NY15B
clearing up,clearing,NY16A
clearing up,clearing up,NY16B
clearing up,clearing off,NY17A
clearing up,clearing up,NY17B
clearing up,clearing up,NY18A
clearing up,clearing up,NY18B
clearing up,clearing up,NY18C!
clearing up,clearing,NY19
clearing up,clearing up,NY20A
clearing up,clearing up,NY20B
clearing up,clearing up,NY21
clearing up,clearing,NY22
clearing up,,NY23A
clearing up,clearing off,NY23B
clearing up,clearing up,NY23C
clearing up,clearing up,NY24A
clearing up,clearing up,NY24B!
clearing up,breaking up,NY24B!
clearing up,clear off,NY25A
clearing up,clear away,NY25A
clearing up,clearing off,NY25B
clearing up,clearing off,NY26A
clearing up,clearing up,NY26A
clearing up,breaking away,NY26A
clearing up,burning off,NY26A
clearing up,going to clear,NY26B
clearing up,going to clear up,NY26B
clearing up,,NY26C
clearing up,clearing off,NY27A
clearing up,,NY27B
clearing up,burning off,NY27C
clearing up,clearing up,NY27C
clearing up,clearing away,NY28A
clearing up,breaking away,NY28A
clearing up,clearing off,NY28A
clearing up,breaking away,NY28B
clearing up,clearing up,NY28B
clearing up,clearing up,NY28B
clearing up,clear up,NY28B
clearing up,,NY28C
clearing up,clear up,NY29A
clearing up,cleared up,NY29B
clearing up,cleared up,NY29C
clearing up,clearing away,NY30A
clearing up,clearing up,NY30A
clearing up,cleared away,NY30B
clearing up,,NY30C
clearing up,,NY30D
clearing up,clearing up,NY30E
clearing up,clearing up,NY31A
clearing up,clear off,NY31B
clearing up,a dutchman's britches,NY31B
clearing up,patch of blue as big as,NY31B
clearing up,weather going to cease,NY32A
clearing up,ceasing,NY32A
clearing up,clearing up,NY32A
clearing up,clearing off,NY32A
clearing up,ceasing,NY32A
clearing up,clearing up,NY32B
clearing up,,NY33A
clearing up,clearing,NY33B
clearing up,clearing up,NY33B
clearing up,clear up,NY33C
clearing up,clear,NY33C
clearing up,clearing up,NY34A
clearing up,breaking away,NY34A
clearing up,clearing,NY34A
clearing up,,NY34B
clearing up,,NY34C
