Target,Response,Informant
closet,closet,NY1
closet,clothespress,NY2A
closet,clothespress,NY2B
closet,closet,NY2B
closet,clothespress,NY2C
closet,clothespress,NY2C
closet,closet,NY2C
closet,closet,NY2C
closet,closet,NY3A
closet,clothes closet,NY3B
closet,closet,NY3C
closet,closet,NY3D
closet,closet,NY4A
closet,closet,NY4B
closet,closet,NY4C
closet,closet,NY5A
closet,clothes closet,NY5B
closet,closet,NY5C
closet,clothes closet,NY5D
closet,clothes closet,NY5E
closet,closet,NY5F
closet,closet,NY5G
closet,closet,NY5H!
closet,clothes closet,NY5I!
closet,clothes closet,NY6A
closet,closet,NY6B
closet,clothes closet,NY7A
closet,closet,NY7B
closet,clothes closet,NY7C
closet,closet,NY7D
closet,closet,NY7E
closet,clothespress,NY7F
closet,clothes closet,NY7G
closet,closet,NY7H
closet,closet,NY7I
closet,closet,NY7J!
closet,closet,NY7K!
closet,clothes closet,NY7L!
closet,closet,NY7L!
closet,closet,NY7M!
closet,clothespress,NY8
closet,closet,NY9A
closet,clothes closet,NY9B
closet,clothes closet,NY9C
closet,closet,NY10A
closet,closet,NY10B!
closet,closet,NY11
closet,clothes closet,NY12A
closet,clothes closet,NY12A
closet,clothes closet,NY12B
closet,closet,NY12C!
closet,closet,NY13A
closet,closet,NY13B!
closet,clothes closet,NY14A
closet,closet,NY14B
closet,clothes closet,NY15A
closet,clothespress,NY15A
closet,closet,NY15B
closet,clothespress,NY16A
closet,clothes closet,NY16B
closet,clothes closet,NY17A
closet,clothespress,NY17A
closet,clothespress,NY17B
closet,clothes closet,NY18A
closet,clothespress,NY18B
closet,closet,NY18C!
closet,clothespress,NY19
closet,clothespress,NY20A
closet,clothespress,NY20B
closet,closet,NY21
closet,press,NY21
closet,clothespress,NY22
closet,closet,NY22
closet,wardrobes,NY23A
closet,clothespress,NY23B
closet,closets,NY23B
closet,closets,NY23B
closet,closet,NY23C
closet,closet,NY23C
closet,clothes closet,NY23C
closet,clothes closet,NY24A
closet,closet,NY24B!
closet,clothespress,NY24B!
closet,clothespress,NY25A
closet,clothespress,NY25B
closet,clothes rooms,NY25B
closet,closet,NY26A
closet,cupboard,NY26A
closet,clothes room,NY26B
closet,clothespress,NY26B
closet,closet,NY26C
closet,cupboard,NY26C
closet,clothespress,NY26C
closet,clothes closet,NY27A
closet,closet,NY27A
closet,linen press,NY27B
closet,closets,NY27B
closet,clothespress,NY27C
closet,closets,NY27C
closet,clothespress,NY28A
closet,cupboard,NY28B
closet,closet,NY28B
closet,closets,NY28C
closet,clothespress,NY28C
closet,clothes closets,NY28C
closet,clothes closet,NY29A
closet,closet,NY29A
closet,closet,NY29A
closet,clothespress,NY29B
closet,clothespress,NY29C
closet,closets,NY29C
closet,closets,NY30A
closet,closet,NY30B
closet,closet,NY30C
closet,closet,NY30D
closet,clothespress,NY30E
closet,closets,NY30E
closet,clothes room,NY31A
closet,clothespress,NY31A
closet,clothespress,NY31B
closet,curtains,NY32A
closet,clothespress,NY32A
closet,closet,NY32A
closet,closet,NY32B
closet,closet,NY33A
closet,closet,NY33B
closet,closet,NY33C
closet,clothes closet,NY33C
closet,closets,NY34A
closet,closets,NY34B
closet,clothespress,NY34B
closet,closets,NY34C
closet,clothespress,NY34C
closet,closets,NY34D!
closet,clothespress,NY34D!
closet,clothespress,NY35A
closet,clothespress,NY35B
closet,closet,NY35C!
closet,clothespress,NY36A
closet,clothespress,NY36B
closet,closet,NY37A
closet,clothespress,NY37B
closet,closet,NY37C!
closet,clothes closet,NY38A
closet,clothespress,NY38B
closet,clothespress,NY38C
closet,clothes closet,NY38C
closet,closet,NY39A
closet,clothes closet,NY39B
closet,clothes room,NY39B
closet,closet,NY40A
closet,closet,NY40B
closet,clothes closet,NY41
closet,clothespress,NY42A
closet,clothespress,NY42B
closet,closet,NY43A
closet,closet,NY43B
closet,clothes closet,NY43C!
closet,clothespress,NY44A
closet,clothes closet,NY44A
closet,closet,NY44B
closet,clothes closet,NY45A
closet,clothespress,NY45B
closet,clothespress,NY45C
closet,closets,NY45C
