Target,Response,Informant
cloudburst,downpour,NY1
cloudburst,,NY2A
cloudburst,downpour,NY2B
cloudburst,shower,NY2B
cloudburst,,NY2C
cloudburst,heavy downpour,NY3A
cloudburst,heavy shower,NY3B
cloudburst,downpour,NY3C
cloudburst,pouring rain,NY3D
cloudburst,big shower,NY4A
cloudburst,deluge,NY4A
cloudburst,a devil of a shower,NY4B
cloudburst,downfall,NY4B
cloudburst,cloudburst,NY4C
cloudburst,downpour,NY4C
cloudburst,heavy rainstorm,NY5A
cloudburst,heavy downpour,NY5A
cloudburst,heavy shower,NY5B
cloudburst,downpour,NY5C
cloudburst,heavy shower,NY5D
cloudburst,a pour,NY5E
cloudburst,downpour,NY5F
cloudburst,heavy shower,NY5G
cloudburst,cloudburst,NY5H!
cloudburst,deluge,NY5I!
cloudburst,cloudburst,NY5I!
cloudburst,downfall,NY6A
cloudburst,heavy shower,NY6B
cloudburst,heavy shower,NY7A
cloudburst,terrible rain,NY7B
cloudburst,heavy shower,NY7C
cloudburst,hard rain,NY7D
cloudburst,downpour,NY7E
cloudburst,heavy rain,NY7F
cloudburst,downpour,NY7G
cloudburst,heavy shower,NY7H
cloudburst,heavy shower,NY7I
cloudburst,downpour,NY7J!
cloudburst,downpour,NY7K!
cloudburst,downpour,NY7L!
cloudburst,downpour,NY7M!
cloudburst,heavy shower,NY8
cloudburst,cloudburst,NY8
cloudburst,heavy rain,NY9A
cloudburst,heavy rain,NY9B
cloudburst,downpour,NY9C
cloudburst,cloudburst,NY10A
cloudburst,downpour,NY10B!
cloudburst,downpour,NY11
cloudburst,cloudburst,NY11
cloudburst,big storm,NY12A
cloudburst,downpour,NY12B
cloudburst,hard shower,NY12C!
cloudburst,cloudburst,NY13A
cloudburst,downpour,NY13B!
cloudburst,heavy rain,NY14A
cloudburst,cloudburst,NY14B
cloudburst,awful shower,NY15A
cloudburst,cloudburst,NY15B
cloudburst,heavy shower,NY16A
cloudburst,heavy shower,NY16B
cloudburst,heavy shower,NY17A
cloudburst,downpour,NY17B
cloudburst,cloudburst,NY18A
cloudburst,hard rain,NY18B
cloudburst,hard shower,NY18C!
cloudburst,cloudburst,NY19
cloudburst,pourdown,NY20A
cloudburst,torrent,NY20B
cloudburst,downpour,NY20B
cloudburst,cloudburst,NY21
cloudburst,hard shower,NY22
cloudburst,,NY23A
cloudburst,downpour,NY23B
cloudburst,heavy rain,NY23B
cloudburst,freshet,NY23B
cloudburst,heavy shower,NY23B
cloudburst,flood,NY23B
