Target,Response,Informant
clouding up,making up for a storm,NY1
clouding up,changing,NY1
clouding up,gloomy,NY1
clouding up,,NY2A
clouding up,getting ready to storm,NY2B
clouding up,making up for a storm,NY2B
clouding up,dull,NY2B
clouding up,,NY2C
clouding up,clouding over,NY3A
clouding up,threatening,NY3B
clouding up,looks like storm,NY3C
clouding up,changing,NY3D
clouding up,threatening,NY4A
clouding up,getting ready to storm,NY4B
clouding up,clouding up,NY4C
clouding up,changing,NY5A
clouding up,changing,NY5B
clouding up,clouding up,NY5C
clouding up,threatening,NY5D
clouding up,threatening,NY5E
clouding up,clouding up,NY5F
clouding up,it's overcast,NY5G
clouding up,changing,NY5H!
clouding up,thickening up,NY5I!
clouding up,going to storm,NY6A
clouding up,getting ready for a storm,NY6B
clouding up,change in the weather,NY7A
clouding up,clouding up,NY7B
clouding up,going to storm,NY7C
clouding up,threatening,NY7D
clouding up,changing,NY7E
clouding up,fixing for a storm,NY7F
clouding up,changing,NY7G
clouding up,changing,NY7H
clouding up,threatening,NY7I
clouding up,clouding up,NY7J!
clouding up,changing,NY7K!
clouding up,threatening,NY7L!
clouding up,threatening,NY7M!
clouding up,going to storm,NY7M!
clouding up,changing,NY8
clouding up,going to storm,NY8
clouding up,brewing,NY9A
clouding up,changing,NY9B
clouding up,changing,NY9C
clouding up,thickening up,NY10A
clouding up,getting ready for a storm,NY10B!
clouding up,clouding up,NY11
clouding up,going to storm,NY12A
clouding up,storm's brewing,NY12B
clouding up,going to storm,NY12C!
clouding up,going to storm,NY13A
clouding up,clouding up,NY13B!
clouding up,going to storm,NY13B!
clouding up,looks stormy,NY14A
clouding up,going to storm,NY14B
clouding up,getting cloudy,NY14B
clouding up,getting dreary,NY15A
clouding up,changing,NY15B
clouding up,getting ready for a storm,NY16A
clouding up,getting ready for a storm,NY16B
clouding up,fixing for a storm,NY17A
clouding up,clouding up,NY17B
clouding up,looks stormy,NY18A
clouding up,changing,NY18A
clouding up,looks stormy,NY18B
clouding up,threatening,NY18C!
clouding up,a-going to storm,NY19
clouding up,fixing for a storm,NY20A
clouding up,getting stormy,NY20B
clouding up,storm's brewing,NY21
clouding up,clouding over,NY22
clouding up,,NY23A
clouding up,cloudy,NY23B
clouding up,flurries,NY23B
clouding up,ready to storm,NY23B
clouding up,gloomy,NY23C
clouding up,getting overcast,NY23C
clouding up,getting cloudy,NY23C
clouding up,lowering,NY23C
clouding up,stormy,NY23C
clouding up,threatening,NY23C
clouding up,getting ready to storm,NY24A
clouding up,fixing for a storm,NY24B!
clouding up,rainy,NY25A
clouding up,showery,NY25A
clouding up,threatening,NY25A
clouding up,threatening,NY25A
clouding up,changing,NY25A
clouding up,clouding up,NY25A
clouding up,threatening,NY25B
clouding up,getting ready to storm,NY25B
clouding up,clouding up,NY25B
clouding up,dismal,NY26A
clouding up,cloudy,NY26A
clouding up,clouding up,NY26A
clouding up,threatening,NY26A
clouding up,threatening,NY26B
clouding up,clouding up,NY26B
clouding up,,NY26C
clouding up,clouding up,NY27A
clouding up,going to rain,NY27A
clouding up,going to have a storm,NY27A
