Target,Response,Informant
clouds,,NY1
clouds,,NY2A
clouds,,NY2B
clouds,,NY2C
clouds,,NY3A
clouds,,NY3B
clouds,,NY3C
clouds,,NY3D
clouds,,NY4A
clouds,,NY4B
clouds,,NY4C
clouds,,NY5A
clouds,,NY5B
clouds,,NY5C
clouds,,NY5D
clouds,,NY5E
clouds,,NY5F
clouds,,NY5G
clouds,,NY5H!
clouds,,NY5I!
clouds,,NY6A
clouds,,NY6B
clouds,,NY7A
clouds,,NY7B
clouds,,NY7C
clouds,,NY7D
clouds,,NY7E
clouds,,NY7F
clouds,,NY7G
clouds,,NY7H
clouds,,NY7I
clouds,,NY7J!
clouds,,NY7K!
clouds,,NY7L!
clouds,,NY7M!
clouds,,NY8
clouds,,NY9A
clouds,,NY9B
clouds,,NY9C
clouds,,NY10A
clouds,,NY10B!
clouds,,NY11
clouds,,NY12A
clouds,,NY12B
clouds,,NY12C!
clouds,,NY13A
clouds,,NY13B!
clouds,,NY14A
clouds,,NY14B
clouds,,NY15A
clouds,,NY15B
clouds,,NY16A
clouds,,NY16B
clouds,,NY17A
clouds,,NY17B
clouds,,NY18A
clouds,,NY18B
clouds,,NY18C!
clouds,,NY19
clouds,,NY20A
clouds,,NY20B
clouds,,NY21
clouds,,NY22
clouds,,NY23A
clouds,,NY23B
clouds,,NY23C
clouds,,NY24A
clouds,,NY24B!
clouds,,NY25A
clouds,,NY25B
clouds,,NY26A
clouds,,NY26B
clouds,,NY26C
clouds,,NY27A
clouds,,NY27B
clouds,,NY27C
clouds,,NY28A
clouds,clouds,NY28B
clouds,,NY28C
clouds,,NY29A
clouds,,NY29B
clouds,,NY29C
clouds,,NY30A
clouds,,NY30B
clouds,,NY30C
clouds,,NY30D
clouds,,NY30E
clouds,,NY31A
clouds,,NY31B
clouds,,NY32A
clouds,,NY32B
clouds,,NY33A
clouds,,NY33B
clouds,,NY33C
clouds,,NY34A
clouds,,NY34B
clouds,,NY34C
clouds,,NY34D!
clouds,,NY35A
clouds,,NY35B
clouds,,NY35C!
clouds,,NY36A
clouds,,NY36B
clouds,,NY37A
clouds,,NY37B
clouds,,NY37C!
clouds,,NY38A
clouds,,NY38B
clouds,,NY38C
clouds,,NY39A
clouds,,NY39B
clouds,,NY40A
clouds,,NY40B
clouds,,NY41
clouds,,NY42A
clouds,,NY42B
clouds,,NY43A
clouds,,NY43B
clouds,,NY43C!
clouds,,NY44A
clouds,,NY44B
clouds,,NY45A
clouds,,NY45B
clouds,,NY45C
clouds,,NY45D!
clouds,,NY46A
clouds,clouds,NY46B
clouds,,NY46C
clouds,,NY47A
clouds,,NY47B
clouds,,NY48A
clouds,,NY48B
clouds,,NY48C
clouds,clouds,NY48D
clouds,,NY49A
clouds,,NY49B
clouds,,NY49C
clouds,,NY49D
clouds,clouds,NY50A
clouds,,NY50B
clouds,clouds,NY51A
clouds,cloud,NY51A
clouds,,NY51B
clouds,,NY51C
clouds,,NY51D
clouds,,NY51E!
clouds,,NY52A
clouds,,NY52B
clouds,,NY52C
clouds,,NY53A
clouds,,NY53B!
clouds,,NY54A
clouds,,NY54B
clouds,,NY55A
clouds,,NY55B
clouds,clouds,NY56A
clouds,,NY56B
clouds,,NY57A
clouds,,NY57B
clouds,,NY57C!
clouds,,NY58A
clouds,clouds,NY58B
clouds,,NY58C
clouds,,NY58D!
clouds,,NY58E!
clouds,,NY58F!
clouds,,NY59A
clouds,,NY59B
clouds,,NY60A
clouds,,NY60B!
clouds,,NY61A
clouds,,NY61B
clouds,,NY62A
clouds,,NY62B
clouds,,NY62C
clouds,,NY62D!
clouds,,NY63A
clouds,,NY63B
clouds,,NY63C
clouds,clouds,NY63D!
clouds,,NY64A
clouds,,NY64B
clouds,,NY64C!
clouds,,NJ1A
clouds,,NJ1B
clouds,,NJ2A
clouds,,NJ2B
clouds,,NJ3A
clouds,,NJ3B
clouds,,NJ4A
clouds,,NJ4B
clouds,,NJ5A
clouds,,NJ5B
clouds,,NJ6A
clouds,,NJ6B
clouds,,NJ7A
clouds,,NJ7B!
clouds,,NJ8A
clouds,,NJ8B
clouds,,NJ9A
clouds,,NJ9B
clouds,,NJ10A
clouds,,NJ10B
clouds,,NJ10C
clouds,,NJ10D!
clouds,,NJ11A
clouds,,NJ11B
clouds,,NJ11C
clouds,,NJ12A
clouds,,NJ12B
clouds,,NJ13A
clouds,,NJ13B
clouds,,NJ14A
clouds,,NJ14B
clouds,,NJ15A
clouds,,NJ15B
clouds,,NJ16A
clouds,,NJ16B
clouds,,NJ17A
clouds,,NJ17B
clouds,,NJ18A
clouds,,NJ18B
clouds,,NJ18C!
clouds,,NJ18D!
clouds,,NJ19A
clouds,,NJ19B!
clouds,,NJ20A
clouds,,NJ20B
clouds,,NJ21A
clouds,,NJ21B
clouds,,PA1A
clouds,,PA1B
clouds,,PA1C
clouds,,PA1D
clouds,,PA1E!
clouds,,PA1F!
clouds,,PA1G!
clouds,,PA1H!
