Target,Response,Informant
cobbler,,NY1
cobbler,apple turnover,NY2A
cobbler,apple slump,NY2A
cobbler,apple dumpling,NY2B
cobbler,,NY2C
cobbler,,NY3A
cobbler,deep dish pie,NY3B
cobbler,cobbler,NY3C
cobbler,,NY3D
cobbler,apple pudding,NY4A
cobbler,,NY4B
cobbler,deep dish apple pie,NY4C
cobbler,deep apple pie,NY5A
cobbler,deep dish apple pie,NY5B
cobbler,apple cobbler,NY5B
cobbler,deep dish apple pie,NY5C
cobbler,deep dish apple pie,NY5D
cobbler,deep dish apple pie,NY5E
cobbler,deep dish apple pie,NY5F
cobbler,deep dish pie,NY5G
cobbler,deep apple pie,NY5H!
cobbler,deep dish apple pie,NY5I!
cobbler,apple pot pie,NY6A
cobbler,deep dish applie pie,NY6B
cobbler,deep apple pie,NY7A
cobbler,,NY7B
cobbler,deep dish apple pie,NY7C
cobbler,deep dish apple pie,NY7D
cobbler,deep dish apple pie,NY7E
cobbler,apple cobbler,NY7F
cobbler,apple pudding,NY7G
cobbler,cobbler,NY7H
cobbler,deep dish apple pie,NY7I
cobbler,deep dish apple pie,NY7J!
cobbler,deep dish apple pie,NY7K!
cobbler,deep dish apple pie,NY7L!
cobbler,deep dish apple pie,NY7M!
cobbler,,NY8
cobbler,deep dish apple pie,NY9A
cobbler,apple pudding,NY9B
cobbler,apple pudding,NY9C
cobbler,,NY10A
cobbler,deep dish apple pie,NY10B!
cobbler,crows nest,NY10B!
cobbler,deep dish applie pie,NY11
cobbler,,NY12A
cobbler,pot apple pie,NY12A
cobbler,,NY12B
cobbler,deep dish apple pie,NY12C!
cobbler,apple pudding,NY13A
cobbler,deep dish apple pie,NY13B!
cobbler,dutch apple pies,NY14A
cobbler,deep dish applie pie,NY14B
cobbler,crows nest,NY15A
cobbler,apple dumpling,NY15A
cobbler,apple dumpling,NY15B
cobbler,,NY16A
cobbler,,NY16B
cobbler,crows nest,NY17A
cobbler,,NY17B
cobbler,sweet apple potpie,NY18A
cobbler,,NY18B
cobbler,deep apple pie,NY18C!
cobbler,deep dish apple pie,NY19
cobbler,apple dumpling,NY20A
cobbler,applejack,NY20B
cobbler,crows nest,NY21
cobbler,apple grunt,NY22
cobbler,apple grunt,NY23A
cobbler,baked apples,NY23A
cobbler,apple pie,NY23A
cobbler,apple grunt,NY23B
cobbler,apple pudding,NY23B
cobbler,apple dumplings,NY23C
cobbler,apple pudding,NY23C
cobbler,pot pie,NY23C
cobbler,apple cobbler,NY24A
cobbler,crows nest,NY24A
cobbler,crows nest,NY24B!
cobbler,deep dish apple pie,NY24B!
cobbler,apple dumpling,NY25A
cobbler,apple grunt,NY25A
cobbler,bird's nest,NY25A
cobbler,apple pie,NY25A
cobbler,turnover,NY25A
cobbler,apple grunt,NY25B
cobbler,crows nest,NY25B
cobbler,bird's nest,NY25B
cobbler,apple dog,NY26A
cobbler,pie,NY26A
cobbler,birrds nest,NY26A
cobbler,apple birds nest,NY26B
cobbler,apple shortcake,NY26B
cobbler,apple grunt,NY26B
cobbler,apple turnover,NY26B
cobbler,apple dumpling,NY26B
cobbler,crows nest,NY26B
cobbler,,NY26C
cobbler,crows nest,NY27A
cobbler,applejack,NY27A
cobbler,apple dowdy,NY27A
cobbler,apple pudding,NY27B
cobbler,crows nest,NY27B
cobbler,apple pie,NY27B
cobbler,crows nest,NY27B
cobbler,birds nest,NY27C
cobbler,apple jonathan,NY27C
cobbler,birds nest,NY28A
cobbler,apple dumpling,NY28A
cobbler,crows nest,NY28A
cobbler,apple pudding,NY28A
cobbler,apple pandawdy,NY28B
cobbler,apple pudding,NY28B
cobbler,,NY28C
cobbler,birds nest,NY29A
cobbler,apple dumpling,NY29A
cobbler,crows nest,NY29A
cobbler,pie,NY29A
cobbler,crows nest,NY29B
cobbler,birds nest,NY29B
cobbler,apple pandawdy,NY29C
cobbler,apple dumpling,NY29C
cobbler,crows nest,NY30A
cobbler,apple dumpling,NY30A
cobbler,birds nest,NY30B
cobbler,apple dumplings,NY30B
cobbler,,NY30C
cobbler,shortcake,NY30D
cobbler,apple grunt,NY30D
cobbler,apple dumpling,NY30E
cobbler,crows nest,NY30E
cobbler,apple clobber,NY31B
cobbler,apple pie,NY31B
cobbler,apple dumpling,NY32A
cobbler,apple dumplings,NY32B
cobbler,apple dumplings,NY33A
cobbler,apple pudding,NY33B
cobbler,apple pudding,NY33B
cobbler,apple pie,NY33C
cobbler,apple dumpling,NY33C
cobbler,baked apple,NY33C
cobbler,apple dumpling,NY34A
cobbler,minced pie,NY34A
cobbler,,NY34B
cobbler,apple betty,NY34C
cobbler,a deep apple pie,NY34D!
cobbler,deep dish apple pie,NY34D!
cobbler,,NY35A
cobbler,apple grunt,NY35B
cobbler,apple dumpling,NY35B
cobbler,apple dumpling,NY35C!
cobbler,applejack,NY36A
cobbler,apple-john,NY36B
cobbler,crows nest,NY37A
cobbler,apple dumpling,NY37A
cobbler,apple dumpling,NY37B
cobbler,,NY37C!
cobbler,apple dumpling,NY38A
cobbler,,NY38B
cobbler,birds nest,NY38C
cobbler,yankee pie,NY38C
cobbler,crows nest,NY39A
cobbler,apple dumpling,NY39A
cobbler,crows nest,NY39B
cobbler,apple dumpling,NY39B
cobbler,birds nest,NY40A
cobbler,apple dumpling,NY40A
cobbler,apple dumpling,NY40B
cobbler,apple dumpling,NY41
cobbler,birds nest,NY41
cobbler,apple dumpling,NY42A
cobbler,crows nest,NY42A
cobbler,apple-john,NY42B
cobbler,crows nest,NY42B
cobbler,apple-joe,NY43A
cobbler,brother jonathan,NY43A
cobbler,crows nest,NY43B
cobbler,apple dumpling,NY43B
cobbler,deep dish apple pie,NY43C!
cobbler,applejack,NY44A
cobbler,apple dumpling,NY44B
cobbler,apple-joe,NY44B
cobbler,apple grunt,NY45A
cobbler,grunt,NY45A
cobbler,,NY45B
cobbler,apple dumplings,NY45C
cobbler,apple grunt,NY45C
cobbler,deep apple pie,NY45D!
cobbler,apple grunt,NY45D!
