Target,Response,Informant
cornbread,corn bread,NY1
cornbread,corn meal bread,NY2A
cornbread,johnny cake,NY2B
cornbread,corn bread,NY2C
cornbread,corn bread,NY3A
cornbread,corn bread,NY3B
cornbread,corn bread,NY3C
cornbread,corn cake,NY3D
cornbread,johnny cake,NY3D
cornbread,corn bread,NY4A
cornbread,corn bread,NY4B
cornbread,corn bread,NY4C
cornbread,corn bread,NY5A
cornbread,corn bread,NY5B
cornbread,,NY5C
cornbread,johnny cake,NY5D
cornbread,corn bread,NY5E
cornbread,corn bread,NY5F
cornbread,corn cake,NY5G
cornbread,corn bread,NY5H!
cornbread,corn bread,NY5I!
cornbread,corn bread,NY6A
cornbread,johnny bread,NY6B
cornbread,corn bread,NY6B
cornbread,corn bread,NY7A
cornbread,corn cake,NY7B
cornbread,corn bread,NY7C
cornbread,corn bread,NY7D
cornbread,corn bread,NY7E
cornbread,corn bread,NY7F
cornbread,corn cake,NY7G
cornbread,corn bread,NY7H
cornbread,corn pone,NY7I
cornbread,corn bread,NY7J!
cornbread,corn bread,NY7K!
cornbread,corn bread,NY7L!
cornbread,corn bread,NY8
cornbread,corn bread,NY9A
cornbread,johnny cake,NY9A
cornbread,johnny cake,NY9B
cornbread,corn bread,NY9B
cornbread,corn bread,NY9C
cornbread,johnny cake,NY10A
cornbread,corn bread,NY10B!
cornbread,johnny cake,NY10B!
cornbread,corn bread,NY11
cornbread,johnny cake,NY11
cornbread,johnny cake,NY12A
cornbread,johnny cake,NY12A
cornbread,johnny cake,NY12B
cornbread,corn bread,NY12C!
cornbread,johnny cake,NY13A
cornbread,corn bread,NY13B!
cornbread,johnny cake,NY14A
cornbread,johnny cake,NY14B
cornbread,johnny cake,NY15A
cornbread,johnny cake,NY15B
cornbread,johnny cake,NY16A
cornbread,corn bread,NY16B
cornbread,corn cake,NY16B
cornbread,johnny cake,NY17A
cornbread,johnny cake,NY17B
cornbread,johnny cake,NY18A
cornbread,johnny cake,NY18B
cornbread,corn bread,NY18C!
cornbread,johnny cake,NY19
cornbread,johnny cake,NY20A
cornbread,johnny cake,NY20B
cornbread,johnny cake,NY21
cornbread,johnny cake,NY22
cornbread,johnny cake,NY23A
cornbread,johnny cake,NY23B
cornbread,indian bread,NY23B
cornbread,bread,NY23B
cornbread,corn bread,NY23B
cornbread,corn meal muffins,NY23C
cornbread,johnny cake,NY23C
cornbread,corn meal cakes,NY23C
cornbread,corn meal muffin,NY23C
cornbread,johnny cake,NY24A
cornbread,johnnycake,NY24B!
cornbread,indian meal,NY25A
cornbread,chunks,NY25A
cornbread,johnny cake,NY25A
cornbread,indian bread,NY25A
cornbread,brown bread,NY25A
cornbread,johnny cake,NY25B
cornbread,indian meal bread,NY26A
cornbread,johnny cake,NY26A
cornbread,corn bread,NY26B
cornbread,johnny cake,NY26B
cornbread,corn bread,NY26B
cornbread,johnny cake,NY26C
cornbread,johnny cake,NY27A
cornbread,hoecake,NY27A
cornbread,johnny cake,NY27B
cornbread,corn bread,NY27C
cornbread,johnny cake,NY27C
cornbread,johnny cake,NY28A
cornbread,corn meal bread,NY28A
cornbread,corn bread,NY28B
cornbread,johnny cake,NY28B
cornbread,johnny cake,NY28C
cornbread,corn bread,NY29A
cornbread,johnny cake,NY29B
cornbread,steam bread,NY29B
cornbread,brown bread,NY29C
cornbread,johnny cake,NY29C
cornbread,bake loaf,NY30A
cornbread,corn bread,NY30A
cornbread,johnny cake,NY30B
cornbread,corn bread,NY30B
cornbread,,NY30C
cornbread,johnny cake,NY30D
cornbread,johnny cake,NY30E
cornbread,johnny cake,NY31A
cornbread,corn bread,NY31A
cornbread,corn bread,NY31B
cornbread,indian bread,NY31B
cornbread,johnny cake,NY32A
cornbread,corn bread,NY32A
cornbread,johnny cake,NY32B
cornbread,corn bread,NY32B
cornbread,brown bread,NY33A
cornbread,corn bread,NY33A
cornbread,johnny cake,NY33B
cornbread,johnny cake,NY33C
cornbread,corn bread,NY33C
cornbread,hot corn bread,NY33C
cornbread,corn bread,NY34A
cornbread,loaves,NY34A
cornbread,johnny cake,NY34B
cornbread,johnny cake,NY34C
cornbread,johnny cake,NY34D!
cornbread,corn meal,NY34D!
cornbread,johnny cake,NY35A
cornbread,johnny cake,NY35B
cornbread,johnny cake,NY35C!
cornbread,johnny cake,NY36A
cornbread,johnny cake,NY36B
cornbread,johnny cake,NY37A
cornbread,johnny cake,NY37B
cornbread,corn bread,NY37C!
cornbread,johnny cake,NY38A
cornbread,johnny cake,NY38B
cornbread,johnny cake,NY38C
cornbread,johnny cake,NY39A
cornbread,,NY39B
cornbread,johnny cake,NY40A
cornbread,johnny cake,NY40B
cornbread,johnny cake,NY41
cornbread,johnny cake,NY42A
cornbread,johnny cake,NY42B
cornbread,johnny cake,NY43A
cornbread,johnny cake,NY43B
cornbread,johnny cake,NY43C!
cornbread,indian bread,NY44A
cornbread,johnny cake,NY44A
cornbread,johnny cake,NY44B
cornbread,corn meal bread,NY45A
cornbread,corn bread,NY45A
cornbread,johnny cake,NY45A
cornbread,,NY45B
cornbread,johnny cake,NY45C
cornbread,corn meal bread,NY45D!
cornbread,corn meal muffins,NY45D!
cornbread,johnny cake,NY45D!
cornbread,johnny cake,NY46A
cornbread,johnny cake,NY46B
cornbread,johnny cake,NY46C
cornbread,corn bread,NY46C
cornbread,corn meal bread,NY47A
cornbread,johnny cake,NY47A
cornbread,johnny cake,NY47A
cornbread,johnny cake,NY47B
cornbread,johnny cake,NY48A
cornbread,corn meal bread,NY48A
cornbread,quick bread,NY48C
cornbread,johnny cake,NY48C
cornbread,johnny cakes,NY48D
cornbread,johnny cake,NY48D
cornbread,,NY49A
cornbread,johnny cake,NY49B
cornbread,corn cake,NY49B
cornbread,johnny cake,NY49C
cornbread,johnny cake,NY49D
cornbread,corn bread,NY49D
cornbread,indian meal bread,NY50A
cornbread,johnny cake,NY50A
