Target,Response,Informant
cottage cheese,most cheese are,NY1
cottage cheese,pot cheese,NY1
cottage cheese,most cheese is,NY2A
cottage cheese,most cheese are,NY2B
cottage cheese,pot cheese,NY2C
cottage cheese,sour milk cheese,NY2C
cottage cheese,most cheese are,NY2C
cottage cheese,pot cheese,NY3A
cottage cheese,pot cheese,NY3B
cottage cheese,cottage cheese,NY3B
cottage cheese,pot cheese,NY3C
cottage cheese,pot cheese,NY3D
cottage cheese,pot cheese,NY4A
cottage cheese,pot cheese,NY4B
cottage cheese,pot cheese,NY4C
cottage cheese,pot cheese,NY5A
cottage cheese,pot cheese,NY5B
cottage cheese,cottage cheese,NY5C
cottage cheese,pot cheese,NY5C
cottage cheese,pot cheese,NY5D
cottage cheese,cottage cheese,NY5E
cottage cheese,pot cheese,NY5E
cottage cheese,pot cheese,NY5F
cottage cheese,cream cheese,NY5F
cottage cheese,pot cheese,NY5G
cottage cheese,pot cheese,NY5H!
cottage cheese,cottage cheese,NY5H!
cottage cheese,pot cheese,NY5I!
cottage cheese,pot cheese,NY6A
cottage cheese,pot cheese,NY6B
cottage cheese,cream cheese,NY7A
cottage cheese,pot cheese,NY7A
cottage cheese,cream cheese,NY7B
cottage cheese,pot cheese,NY7B
cottage cheese,pot cheese,NY7C
cottage cheese,pot cheese,NY7D
cottage cheese,pot cheese,NY7E
cottage cheese,pot cheese,NY7F
cottage cheese,pot cheese,NY7G
cottage cheese,pot cheese,NY7H
cottage cheese,pot cheese,NY7I
cottage cheese,pot cheese,NY7J!
cottage cheese,cottage cheese,NY7J!
cottage cheese,pot cheese,NY7K!
cottage cheese,cream cheese,NY7L!
cottage cheese,pot cheese,NY7L!
cottage cheese,pot cheese,NY7M!
cottage cheese,pot cheese,NY8
cottage cheese,pot cheese,NY9A
cottage cheese,pot cheese,NY9B
cottage cheese,cottage cheese,NY9C
cottage cheese,pot cheese,NY9C
cottage cheese,pot cheese,NY10A
cottage cheese,pot cheese,NY10B!
cottage cheese,pot cheese,NY11
cottage cheese,pot cheese,NY12A
cottage cheese,pot cheese,NY12A
cottage cheese,pot cheese,NY12B
cottage cheese,pot cheese,NY12C!
