Target,Response,Informant
dew,,NY1
dew,,NY2A
dew,,NY2B
dew,,NY2C
dew,dew,NY3A
dew,dew,NY3B
dew,dew,NY3C
dew,dew,NY3D
dew,dew,NY4A
dew,dew,NY4B
dew,dew,NY4C
dew,dew,NY5A
dew,dew,NY5B
dew,dew,NY5C
dew,dew,NY5D
dew,dew,NY5E
dew,dew,NY5F
dew,dew,NY5G
dew,dew,NY5H!
dew,dew,NY5I!
dew,dew,NY6A
dew,dew,NY6B
dew,dew,NY7A
dew,dew,NY7B
dew,dew,NY7C
dew,dew,NY7D
dew,dew,NY7E
dew,dew,NY7F
dew,dew,NY7G
dew,dew,NY7H
dew,dew,NY7I
dew,dew,NY7J!
dew,dew,NY7K!
dew,dew,NY7L!
dew,dew,NY7M!
dew,dew,NY8
dew,dew,NY9A
dew,dew,NY9B
dew,dew,NY9C
dew,dew,NY10A
dew,dew,NY10B!
dew,dew,NY11
dew,dew,NY12A
dew,dew,NY12A
dew,dew,NY12B
dew,dew,NY12C!
dew,dew,NY13A
dew,dew,NY13B!
dew,dew,NY14A
dew,dew,NY14B
dew,dew,NY15A
dew,dew,NY15B
dew,dew,NY16A
dew,dew,NY16B
dew,dew,NY17A
dew,dew,NY17A
dew,dew,NY17B
dew,dew,NY18A
dew,dew,NY18B
dew,dew,NY18C!
dew,dew,NY19
dew,dew,NY20A
dew,dew,NY20B
dew,dew,NY21
dew,dew,NY22
dew,,NY23A
dew,,NY23B
dew,,NY23C
dew,dew,NY24A
dew,dew,NY24B!
dew,,NY25A
dew,,NY25B
dew,,NY26A
dew,,NY26B
dew,,NY26C
dew,,NY27A
dew,,NY27B
dew,,NY27C
dew,,NY28A
dew,,NY28B
dew,,NY28C
dew,,NY29A
dew,,NY29B
dew,,NY29C
dew,,NY30A
dew,,NY30B
dew,,NY30C
dew,,NY30D
dew,,NY30E
dew,,NY31A
dew,,NY31B
dew,,NY32A
dew,,NY32B
dew,,NY33A
dew,,NY33B
dew,,NY33C
dew,,NY34A
dew,,NY34B
dew,,NY34C
dew,,NY34D!
dew,dew,NY35A
dew,dew,NY35B
dew,dew,NY35C!
dew,dew,NY36A
dew,dew,NY36B
dew,dew,NY37A
dew,dew,NY37B
dew,dew,NY37C!
dew,dew,NY38A
dew,dew,NY38A
dew,dew,NY38B
dew,,NY38C
dew,dew,NY39A
dew,dew,NY39B
dew,dew,NY40A
dew,dew,NY40B
dew,dew,NY41
dew,dew,NY42A
dew,dew,NY42B
dew,dew,NY43A
dew,dew,NY43B
dew,dew,NY43C!
dew,dew,NY44A
dew,dew,NY44B
dew,,NY45A
dew,,NY45B
dew,,NY45C
dew,,NY45D!
dew,,NY46A
dew,,NY46B
dew,,NY46C
dew,dew,NY47A
dew,dew,NY47B
dew,,NY48A
dew,,NY48B
