Target,Response,Informant
digest,digest,NY1
digest,digest,NY2A
digest,digest,NY2B
digest,digest,NY2C
digest,digest,NY46B
digest,digest,NY49C
digest,digest,WV4B
digest,digest,DE2A
digest,digest,MD4C
digest,digest,MD13E!
digest,digest,MD16
digest,digest,MD20A
digest,digest,MD22A
digest,digest,DC1A
digest,digest,VA8A
digest,digest,VA14A
digest,digest,VA23B
digest,digest,VA26A
digest,digest,VA30C!
digest,digest,VA34A
digest,digest,VA38
digest,digest,VA45A
digest,digest,VA46A
digest,digest,VA54A
digest,digest,VA55A
digest,digest,VA61C
digest,digest,VA65A
digest,digest,VA65B
digest,digest,VA70A
digest,digest,VA70A
digest,digest,NC7A
digest,digest,NC10A
digest,digest,NC14B
digest,digest,NC20A
digest,digest,NC22A
digest,digest,NC25B
digest,digest,NC29A
digest,digest,NC32A
digest,digest,NC35A
digest,digest,NC40A
digest,digest,NC47
digest,digest,NC54A
digest,digest,NC59
digest,digest,NC65B
digest,digest,NC67B
digest,digest,NC69B
digest,digest,NC73B
digest,digest,SC3A
digest,digest,SC6A
digest,digest,SC11I!
digest,digest,SC12B
digest,digest,SC14A
digest,digest,SC22B
digest,digest,SC25A
digest,digest,SC30A
digest,digest,SC33A
digest,digest,SC35C
digest,digest,SC35C
digest,digest,SC41A
digest,digest,SC42D!
digest,digest,GA1F!
digest,digest,GA3A
digest,digest,GA10A
digest,digest,GA13A
digest,digest,GA15A
digest,digest,GA24A
digest,digest,GA34A
digest,digest,GA37C
digest,digest,GA43
