Target,Response,Informant
doughnut,doughnut,NY1
doughnut,buns,NY1
doughnut,cruller,NY1
doughnut,coffee bread,NY2A
doughnut,buns,NY2A
doughnut,crull,NY2A
doughnut,coffee rings,NY2A
doughnut,cruller,NY2A
doughnut,rusk,NY2A
doughnut,doughnut,NY2A
doughnut,coffee cakes,NY2B
doughnut,cruller,NY2B
doughnut,twisted cruller,NY2B
doughnut,buns,NY2B
doughnut,doughnut,NY2B
doughnut,twisted crullers,NY2C
doughnut,buns,NY2C
doughnut,doughnuts,NY2C
doughnut,crullers,NY2C
doughnut,doughnut,NY3A
doughnut,crullers,NY3A
doughnut,,NY3A
doughnut,doughnut,NY3B
doughnut,,NY3B
doughnut,crullers,NY3B
doughnut,,NY3C
doughnut,doughnut,NY3C
doughnut,crullers,NY3C
doughnut,,NY3D
doughnut,cruller,NY3D
doughnut,,NY4A
doughnut,crullers,NY4A
doughnut,doughnut,NY4A
doughnut,cruller,NY4B
doughnut,doughnut,NY4B
doughnut,,NY4B
doughnut,dunky fl ?? k,NY4B
doughnut,,NY4C
doughnut,raised doughnut,NY4C
doughnut,crullers,NY4C
doughnut,doughnut,NY5A
doughnut,,NY5A
doughnut,crullers,NY5A
doughnut,,NY5B
doughnut,cruller,NY5B
doughnut,doughnut,NY5B
doughnut,cruller,NY5C
doughnut,,NY5C
doughnut,doughnut,NY5C
doughnut,,NY5D
doughnut,doughnut,NY5D
doughnut,cruller,NY5D
doughnut,doughnut,NY5E
doughnut,,NY5E
doughnut,crullers,NY5E
doughnut,fried cakes,NY5E
doughnut,,NY5F
doughnut,doughnut,NY5F
doughnut,cruller,NY5F
doughnut,doughnut,NY5G
doughnut,jellied doughnut,NY5G
doughnut,,NY5G
doughnut,raised doughnut,NY5G
doughnut,cruller,NY5G
doughnut,cruller,NY5H!
doughnut,,NY5H!
doughnut,doughnut,NY5H!
doughnut,doughnut,NY5I!
doughnut,cruller,NY5I!
doughnut,,NY5I!
doughnut,crullers,NY6A
doughnut,,NY6A
doughnut,doughnuts,NY6A
doughnut,doughnut,NY6B
doughnut,cruller,NY6B
doughnut,raised doughnut,NY6B
doughnut,,NY6B
doughnut,cruller,NY7A
doughnut,,NY7A
doughnut,doughnut,NY7A
doughnut,doughnut,NY7B
doughnut,cruller,NY7B
doughnut,,NY7B
doughnut,cruller,NY7C
doughnut,,NY7C
doughnut,doughnut,NY7C
doughnut,doughnut,NY7D
doughnut,crullers,NY7D
doughnut,,NY7D
doughnut,crullers,NY7E
doughnut,,NY7E
doughnut,doughnut,NY7E
doughnut,doughnut,NY7F
doughnut,cruller,NY7F
doughnut,,NY7F
doughnut,cruller,NY7G
doughnut,,NY7G
doughnut,doughnut,NY7G
doughnut,cruller,NY7G
doughnut,sinker,NY7H
doughnut,,NY7H
doughnut,doughnut,NY7H
doughnut,cruller,NY7H
doughnut,,NY7I
doughnut,crullers,NY7I
doughnut,doughnut,NY7I
doughnut,cruller,NY7J!
doughnut,,NY7J!
doughnut,doughnut,NY7J!
doughnut,cruller,NY7K!
doughnut,,NY7K!
doughnut,doughnut,NY7K!
doughnut,doughnut,NY7L!
doughnut,cruller,NY7L!
doughnut,,NY7L!
doughnut,cruller,NY7M!
doughnut,,NY7M!
doughnut,doughnut,NY7M!
doughnut,fritters,NY7M!
doughnut,crullers,NY8
doughnut,doughnut,NY8
doughnut,,NY8
doughnut,crullers,NY9A
doughnut,,NY9A
doughnut,doughnut,NY9A
doughnut,cruller,NY9B
doughnut,raised doughnut,NY9B
doughnut,doughnut,NY9B
doughnut,,NY9B
doughnut,doughnuts,NY9C
doughnut,,NY9C
doughnut,crullers,NY9C
doughnut,,NY10A
doughnut,doughnut,NY10A
doughnut,cruller,NY10A
doughnut,doughnut,NY10B!
doughnut,,NY10B!
doughnut,cruller,NY10B!
doughnut,,NY11
doughnut,doughnut,NY11
doughnut,cruller,NY11
doughnut,fried cakes,NY12A
doughnut,crullers,NY12A
doughnut,doughnuts,NY12A
doughnut,,NY12A
doughnut,fried cakes,NY12A
doughnut,crullers,NY12A
doughnut,doughnut,NY12A
doughnut,,NY12B
doughnut,doughnut,NY12B
doughnut,cruller,NY12B
doughnut,doughnut,NY12C!
doughnut,,NY12C!
doughnut,crullers,NY12C!
doughnut,doughnut,NY13A
doughnut,,NY13A
doughnut,fried cake,NY13A
doughnut,cruller,NY13A
doughnut,fried cakes,NY13B!
doughnut,olie koek,NY13B!
doughnut,cruller,NY13B!
doughnut,doughnuts,NY13B!
doughnut,,NY13B!
doughnut,crullers,NY14A
doughnut,,NY14A
doughnut,doughnut,NY14A
doughnut,fried cakes,NY14A
doughnut,doughnut,NY14A
doughnut,doughnut,NY14B
doughnut,,NY14B
doughnut,crullers,NY14B
doughnut,,NY15A
doughnut,fried cakes,NY15A
doughnut,doughnuts,NY15A
doughnut,fried cake,NY15B
doughnut,,NY15B
doughnut,doughnut,NY15B
doughnut,raised doughnut,NY15B
doughnut,,NY16A
doughnut,cruller,NY16A
doughnut,doughnut,NY16A
doughnut,crullers,NY16B
doughnut,doughnut,NY16B
doughnut,,NY16B
doughnut,fat cakes,NY16B
doughnut,,NY17A
doughnut,fried cakes,NY17A
doughnut,raise doughnut,NY17A
doughnut,doughnuts,NY17A
doughnut,cruller,NY17A
doughnut,fried cakes,NY17B
doughnut,,NY17B
doughnut,crullers,NY17B
doughnut,doughnuts,NY17B
doughnut,doughnuts,NY18A
doughnut,raised doughnuts,NY18A
doughnut,,NY18A
doughnut,fried cakes,NY18A
doughnut,crullers,NY18A
doughnut,doughnuts,NY18B
doughnut,crullers,NY18B
doughnut,,NY18B
doughnut,doughnut,NY18C!
doughnut,,NY18C!
doughnut,crullers,NY18C!
doughnut,oliekoek,NY18C!
doughnut,doughnut,NY19
doughnut,fried cakes,NY19
doughnut,,NY19
doughnut,fried cakes,NY20A
doughnut,fritter,NY20A
doughnut,,NY20A
doughnut,doughnuts,NY20A
doughnut,fried cakes,NY20B
doughnut,doughnut,NY20B
doughnut,cruller,NY20B
doughnut,,NY20B
doughnut,fried cake,NY21
doughnut,,NY21
doughnut,doughnut,NY21
doughnut,fried cakes,NY22
doughnut,doughnut,NY22
doughnut,cruller,NY22
doughnut,,NY22
doughnut,fried cakes,NY23A
doughnut,,NY23A
doughnut,doughnut,NY23A
doughnut,doughnuts,NY23B
doughnut,fried cake,NY23B
doughnut,,NY23B
doughnut,fried cake,NY23C
doughnut,,NY23C
