Target,Response,Informant
dragonfly,snake doctor,NY1
dragonfly,,NY1
dragonfly,,NY2A
dragonfly,snake doctor,NY2A
dragonfly,snake doctor,NY2B
dragonfly,,NY2B
dragonfly,,NY2C
dragonfly,snake doctor,NY2C
dragonfly,darning needle,NY3A
dragonfly,darning needle,NY3A
dragonfly,darning needle,NY3B
dragonfly,dragonfly,NY3B
dragonfly,dragonfly,NY3B
dragonfly,darning needle,NY3B
dragonfly,darning needle,NY3C
dragonfly,darning needle,NY3C
dragonfly,darning needle,NY3D
dragonfly,darning needle,NY3D
dragonfly,darning needle,NY4A
dragonfly,darning needle,NY4A
dragonfly,darning needle,NY4B
dragonfly,darning needle,NY4B
dragonfly,darning needle,NY4C
dragonfly,darning needle,NY4C
dragonfly,darning needle,NY5A
dragonfly,darning needle,NY5A
dragonfly,darning needle,NY5B
dragonfly,darning needle,NY5B
dragonfly,darning needle,NY5C
dragonfly,darning needle,NY5C
dragonfly,dragonfly,NY5C
dragonfly,dragonfly,NY5C
dragonfly,darning needle,NY5D
dragonfly,darning needle,NY5D
dragonfly,dragonfly,NY5E
dragonfly,dragonfly,NY5E
dragonfly,darning needle,NY5E
dragonfly,darning needle,NY5E
dragonfly,darning needle,NY5F
dragonfly,darning needle,NY5F
dragonfly,darning needle,NY5G
dragonfly,darning needle,NY5G
dragonfly,dragonfly,NY5H!
dragonfly,dragonfly,NY5H!
dragonfly,darning needle,NY5H!
dragonfly,darning needle,NY5H!
dragonfly,darning needle,NY5I!
dragonfly,darning needle,NY5I!
dragonfly,darning needle,NY6A
dragonfly,darning needle,NY6A
dragonfly,mosquito hawks,NY6A
dragonfly,mosquito hawks,NY6A
dragonfly,darning needle,NY6B
dragonfly,darning needle,NY6B
dragonfly,stinging bee,NY7A
dragonfly,stinging bee,NY7A
dragonfly,darning needle,NY7A
dragonfly,darning needle,NY7A
dragonfly,dragonfly,NY7B
dragonfly,dragonfly,NY7B
dragonfly,darning needle,NY7C
dragonfly,darning needle,NY7C
dragonfly,darning needle,NY7D
dragonfly,darning needle,NY7D
dragonfly,darning needle,NY7E
dragonfly,darning needle,NY7E
dragonfly,darning needle,NY7F
dragonfly,darning needle,NY7F
dragonfly,,NY7G
dragonfly,,NY7G
dragonfly,darning needle,NY7H
dragonfly,darning needle,NY7H
dragonfly,dragonfly,NY7I
dragonfly,darning needle,NY7I
dragonfly,darning needle,NY7I
dragonfly,dragonfly,NY7I
dragonfly,dragonfly,NY7J!
dragonfly,darning needle,NY7J!
dragonfly,darning needle,NY7J!
dragonfly,dragonfly,NY7J!
dragonfly,darning needle,NY7K!
dragonfly,darning needle,NY7K!
dragonfly,devil's darning needle,NY7L!
dragonfly,dragonfly,NY7L!
dragonfly,dragonfly,NY7L!
dragonfly,devil's darning needle,NY7L!
dragonfly,darning needle,NY7M!
dragonfly,dragonfly,NY7M!
dragonfly,darning needle,NY7M!
dragonfly,dragonfly,NY7M!
dragonfly,bottlefly,NY7M!
dragonfly,bottlefly,NY7M!
dragonfly,darning needle,NY8
dragonfly,darning needle,NY8
dragonfly,darning needle,NY9A
dragonfly,darning needle,NY9A
dragonfly,darning needle,NY9B
dragonfly,darning needle,NY9B
dragonfly,darning needle,NY9C
dragonfly,darning needle,NY9C
dragonfly,darning needle,NY10A
dragonfly,darning needle,NY10A
dragonfly,darning needle,NY10B!
dragonfly,darning needle,NY10B!
dragonfly,dragonfly,NY10B!
dragonfly,dragonfly,NY10B!
dragonfly,darning needle,NY11
dragonfly,darning needle,NY11
dragonfly,devil's darning needle,NY12A
dragonfly,devil's darning needle,NY12A
dragonfly,darning needle,NY12B
dragonfly,darning needle,NY12B
dragonfly,darning needle,NY12C!
dragonfly,darning needle,NY12C!
dragonfly,darning needle,NY13A
dragonfly,darning needle,NY13A
dragonfly,darning needle,NY13B!
dragonfly,darning needle,NY13B!
dragonfly,devil's darning needle,NY14A
dragonfly,devil's darning needle,NY14A
dragonfly,dragonfly,NY14B
dragonfly,dragonfly,NY14B
dragonfly,darning needle,NY14B
dragonfly,darning needle,NY14B
dragonfly,,NY15A
dragonfly,snake doctor,NY15A
dragonfly,darning needle,NY15B
dragonfly,darning needle,NY15B
dragonfly,darning needle,NY16A
dragonfly,dragonfly,NY16A
dragonfly,dragonfly,NY16A
dragonfly,darning needle,NY16A
dragonfly,darning needle,NY16B
dragonfly,darning needle,NY16B
dragonfly,devil's darning needle,NY17A
dragonfly,devil's darning needle,NY17A
dragonfly,darning needle,NY17B
dragonfly,darning needle,NY17B
dragonfly,darning needle,NY18A
dragonfly,darning needle,NY18A
dragonfly,darning needle,NY18B
dragonfly,darning needle,NY18B
dragonfly,dragonfly,NY18C!
dragonfly,darning needle,NY18C!
dragonfly,darning needle,NY18C!
dragonfly,dragonfly,NY18C!
dragonfly,darning needle,NY19
dragonfly,darning needle,NY19
dragonfly,darning needle,NY20A
dragonfly,darning needle,NY20A
dragonfly,darning needle,NY20B
dragonfly,darning needle,NY20B
dragonfly,darning needle,NY21
dragonfly,darning needle,NY21
dragonfly,darning needle,NY22
dragonfly,darning needle,NY22
dragonfly,darning needle,NY23A
dragonfly,darning needle,NY23A
dragonfly,devil's darning needle,NY23B
dragonfly,devil's darning needle,NY23B
dragonfly,darning needles,NY23C
dragonfly,darning needles,NY23C
dragonfly,devil's darning needle,NY24A
dragonfly,devil's darning needle,NY24A
dragonfly,darning needle,NY24B!
dragonfly,darning needle,NY24B!
dragonfly,devil's darning needle,NY25A
dragonfly,devil's darning needle,NY25A
dragonfly,devil's darning needle,NY25B
dragonfly,devil's darning needle,NY25B
dragonfly,devil's darning needles,NY26A
dragonfly,devil's darning needles,NY26A
dragonfly,devil's darning needle,NY26B
dragonfly,devil's darning needle,NY26B
dragonfly,dragonfly,NY26B
dragonfly,dragonfly,NY26B
dragonfly,devil's darning needle,NY26C
dragonfly,devil's darning needle,NY26C
dragonfly,mosquito hawk,NY26C
dragonfly,mosquito hawk,NY26C
dragonfly,devil's darning needle,NY27A
dragonfly,devil's darning needle,NY27A
dragonfly,darning needle,NY27B
dragonfly,darning needle,NY27B
dragonfly,dragonfly,NY27C
dragonfly,dragonfly,NY27C
dragonfly,devil's darning needle,NY28A
dragonfly,devil's darning needle,NY28A
dragonfly,darning needle,NY28B
dragonfly,darning needle,NY28B
dragonfly,,NY28C
dragonfly,,NY28C
dragonfly,dragonfly,NY29A
dragonfly,devil's darning needle,NY29A
dragonfly,devil's darning needle,NY29A
dragonfly,dragonfly,NY29A
dragonfly,dragonfly,NY29B
dragonfly,darning needles,NY29B
dragonfly,darning needles,NY29B
dragonfly,dragonfly,NY29B
dragonfly,devil's darning needle,NY29C
dragonfly,devil's darning needle,NY29C
dragonfly,devil's darning needle,NY30A
dragonfly,devil's darning needle,NY30A
dragonfly,devil's darning needles,NY30B
dragonfly,devil's darning needles,NY30B
dragonfly,snake doctor,NY30C
dragonfly,,NY30C
dragonfly,,NY30D
dragonfly,snake doctor,NY30D
dragonfly,darning needle,NY30E
dragonfly,darning needle,NY30E
dragonfly,devil's darning needle,NY31A
dragonfly,devil's darning needle,NY31A
dragonfly,devil's darning needles,NY31B
dragonfly,devil's darning needles,NY31B
dragonfly,dragonflies,NY31B
dragonfly,dragonflies,NY31B
dragonfly,darning needles,NY32A
dragonfly,darning needles,NY32A
dragonfly,darning needle,NY32B
dragonfly,darning needle,NY32B
dragonfly,darning needle,NY32B
dragonfly,darning needle,NY32B
dragonfly,devil's darning needle,NY33A
dragonfly,devil's darning needle,NY33A
dragonfly,darning needle,NY33A
dragonfly,darning needle,NY33A
dragonfly,darning needle,NY33B
dragonfly,darning needle,NY33B
dragonfly,darning needles,NY33C
dragonfly,darning needles,NY33C
dragonfly,dragonfly,NY33C
dragonfly,dragonfly,NY33C
dragonfly,darning needle,NY34A
dragonfly,darning needle,NY34A
dragonfly,,NY34B
dragonfly,snake doctor,NY34B
dragonfly,darning needle,NY34C
dragonfly,darning needle,NY34C
dragonfly,devil's darning needle,NY34C
dragonfly,devil's darning needle,NY34C
dragonfly,darning needle,NY34D!
dragonfly,darning needle,NY34D!
dragonfly,dragonfly,NY34D!
dragonfly,dragonfly,NY34D!
dragonfly,devil's darning needle,NY35A
dragonfly,devil's darning needle,NY35A
dragonfly,devil's darning needle,NY35B
dragonfly,devil's darning needle,NY35B
dragonfly,darning needle,NY35C!
dragonfly,darning needle,NY35C!
dragonfly,darning needle,NY36A
dragonfly,darning needle,NY36A
dragonfly,devil's darning needle,NY36B
dragonfly,devil's darning needle,NY36B
dragonfly,devil's darning needle,NY37A
dragonfly,devil's darning needle,NY37A
dragonfly,darning needle,NY37B
dragonfly,darning needle,NY37B
dragonfly,darning needle,NY37C!
dragonfly,darning needle,NY37C!
dragonfly,darning needle,NY38A
dragonfly,darning needle,NY38A
dragonfly,devil's darning needle,NY38B
dragonfly,devil's darning needle,NY38B
dragonfly,darning fly,NY38C
dragonfly,dragonfly,NY38C
dragonfly,dragonfly,NY38C
dragonfly,darning fly,NY38C
dragonfly,knit needle,NY39A
dragonfly,darning needle,NY39A
dragonfly,darning needle,NY39A
dragonfly,knit needle,NY39A
dragonfly,darning needle,NY39B
dragonfly,darning needle,NY39B
dragonfly,darning needle,NY40A
dragonfly,darning needle,NY40A
dragonfly,darning needle,NY40B
dragonfly,darning needle,NY40B
dragonfly,darning needle,NY41
dragonfly,darning needle,NY41
dragonfly,devil's darning needle,NY42A
dragonfly,devil's darning needle,NY42A
dragonfly,darning needle,NY42B
dragonfly,darning needle,NY42B
dragonfly,darning needle,NY43A
dragonfly,darning needle,NY43A
dragonfly,darning needle,NY43B
dragonfly,darning needle,NY43B
dragonfly,darning needle,NY43C!
dragonfly,darning needle,NY43C!
dragonfly,darning needle,NY44A
dragonfly,darning needle,NY44A
dragonfly,devil's darning needle,NY44B
dragonfly,devil's darning needle,NY44B
dragonfly,darning needle,NY44B
dragonfly,darning needle,NY44B
dragonfly,covered up her ears,NY45A
dragonfly,devil's darning needle,NY45A
dragonfly,devil's darning needle,NY45A
dragonfly,snake doctor,NY45B
dragonfly,,NY45B
dragonfly,,NY45C
dragonfly,snake doctor,NY45C
dragonfly,darning needles,NY45D!
dragonfly,darning needles,NY45D!
dragonfly,darning needle,NY46A
dragonfly,spindle,NY46A
dragonfly,spindle,NY46A
dragonfly,darning needle,NY46A
dragonfly,darning needle,NY46B
dragonfly,darning needle,NY46B
