Target,Response,Informant
draining,draining,NY1
draining,draining,NY1
draining,draining,NY2A
draining,draining,NY2B
draining,draining,NY2B
draining,draining,NY2C
draining,draining,NY2C
draining,draining,NY3A
draining,draining,NY3B
draining,draining,NY3C
draining,draining,NY3D
draining,draining,NY4A
draining,draining,NY4B
draining,draining,NY4C
draining,draining,NY5A
draining,draining,NY5B
draining,draining,NY5C
draining,draining,NY5D
draining,draining,NY5E
draining,draining,NY5F
draining,draining,NY5G
draining,draining,NY5H!
draining,,NY5I!
draining,draining,NY6A
draining,draining,NY6B
draining,draining,NY7A
draining,draining,NY7B
draining,draining,NY7C
draining,draining,NY7D
draining,draining,NY7E
draining,draining,NY7F
draining,draining,NY7G
draining,draining,NY7H
draining,draining,NY7I
draining,draining,NY7J!
draining,draining,NY7K!
draining,draining,NY7L!
draining,draining,NY7M!
draining,draining,NY8
draining,draining,NY9A
draining,draining,NY9B
draining,draining,NY9C
draining,draining,NY10A
draining,draining,NY10B!
draining,draining,NY11
draining,draining,NY12A
draining,draining,NY12A
draining,draining,NY12B
draining,draining,NY12C!
draining,draining,NY13A
draining,draining,NY13B!
draining,draining,NY14A
draining,draining,NY14B
draining,adraining,NY15A
draining,draining,NY15B
draining,draining,NY16A
draining,draining,NY16B
draining,adraining of it,NY17A
draining,draining,NY17A
draining,draining,NY17B
draining,draining,NY18A
draining,draining,NY18B
draining,draining,NY18C!
draining,draining,NY19
draining,draining,NY20A
draining,draining,NY20B
draining,draining,NY21
draining,draining,NY22
draining,draining it,NY23A
draining,draining,NY23B
draining,draining them,NY23C
draining,draining,NY24A
draining,draining,NY24B!
draining,drain it,NY25A
draining,ditch it,NY25B
draining,drain it,NY25B
draining,draining,NY26A
draining,draining,NY26A
draining,draining,NY26B
draining,,NY26C
draining,drain it,NY27A
draining,drained,NY27B
draining,draining,NY27C
draining,drain it,NY28A
draining,drain it,NY28B
draining,,NY28C
draining,draining,NY29A
draining,drains,NY29B
draining,drain it,NY29C
draining,drain it,NY30A
draining,drain them,NY30B
draining,drain the sugar,NY30C
draining,draining,NY30D
draining,drain them,NY30D
draining,drain the sugar,NY30E
draining,drain them,NY31A
draining,drain it,NY31B
draining,drain,NY31B
draining,drain,NY32A
draining,drain,NY32A
draining,draining,NY32B
draining,drain them,NY33A
draining,draining,NY33B
draining,drain it,NY33C
draining,drained,NY34A
draining,drain,NY34A
draining,,NY34B
draining,drain it,NY34C
draining,draining,NY34D!
draining,draining,NY35A
draining,draining,NY35B
draining,draining,NY35C!
draining,draining,NY36A
draining,draining,NY36B
draining,draining,NY37A
draining,draining,NY37B
draining,draining,NY37C!
draining,draining,NY38A
draining,draining,NY38B
draining,drain,NY38C
draining,draining,NY39A
draining,ditching,NY39B
draining,draining,NY40A
