Target,Response,Informant
drank,drank,NY1
drank,drinked,NY2A
drank,drank,NY2B
drank,drank,NY2C
drank,I drank,NY3A
drank,I drank,NY3B
drank,drank,NY3C
drank,I drank,NY3D
drank,drank,NY4A
drank,drinked,NY4B
drank,I drank,NY4C
drank,I drank,NY5A
drank,I drank,NY5B
drank,I drank,NY5C
drank,I drank,NY5D
drank,I drank,NY5E
drank,drank,NY5F
drank,drank,NY5G
drank,drank,NY5H!
drank,drank,NY5I!
drank,drank,NY6A
drank,I drank,NY6B
drank,I drank,NY7A
drank,I drank,NY7B
drank,drank,NY7C
drank,I drank,NY7D
drank,drank,NY7E
drank,I drank,NY7F
drank,drank,NY7G
drank,drank,NY7H
drank,I drank,NY7I
drank,drank,NY7J!
drank,I drank,NY7K!
drank,drank,NY7L!
drank,drank,NY7M!
drank,I drank,NY8
drank,I drank,NY9A
drank,I drank,NY9B
drank,drank,NY9C
drank,I drank,NY10A
drank,I drank,NY10B!
drank,drank,NY11
drank,drank,NY12A
drank,drinked,NY12A
drank,I drinked,NY12A
drank,I drank,NY12B
drank,I drank,NY12C!
drank,I drank,NY13A
drank,I drank,NY13B!
drank,drank,NY14A
drank,drank,NY14B
drank,I drank,NY15A
drank,I drank,NY15B
drank,I drank,NY16A
drank,I drank,NY16B
drank,drinked,NY17A
drank,I drank,NY17B
drank,drinked,NY18A
drank,I drank,NY18B
drank,I drank,NY18C!
drank,drank,NY19
drank,I drank,NY20A
drank,I drank,NY20B
drank,drank,NY21
drank,I drank,NY22
drank,,NY23A
drank,drank it,NY23B
drank,drinked,NY23B
drank,drank,NY23C
drank,I drank,NY24A
drank,I drank,NY24B!
drank,dranked,NY25A
drank,drunk,NY25B
drank,drink tea,NY26A
drank,I drank water,NY26B
drank,,NY26C
drank,drink,NY27A
drank,drank,NY27B
drank,I drank,NY27C
drank,we drank tea,NY28A
drank,drank,NY28B
drank,,NY28C
drank,drank,NY29A
drank,drinked,NY29B
drank,drank,NY29B
drank,drank,NY29C
drank,drank it,NY30A
drank,drank,NY30B
drank,drinked,NY30B
drank,,NY30C
drank,drinked,NY30D
drank,drank,NY30E
drank,drank,NY31A
drank,drank it,NY31B
drank,drank,NY32A
drank,drank,NY32B
drank,I drinked it,NY33A
drank,drank,NY33B
drank,he drink tea,NY33B
drank,drank,NY33C
drank,drank,NY34A
drank,,NY34B
drank,drank,NY34C
drank,drank,NY34D!
drank,I drank,NY35A
drank,I drank,NY35B
drank,drank,NY35C!
drank,I drank,NY36A
drank,I drank,NY36B
drank,drank,NY37A
drank,drank,NY37B
drank,I drank,NY37C!
drank,I drank,NY38A
drank,I drank,NY38B
drank,I drank,NY38C
drank,I drinked,NY39A
drank,I drank,NY39B
drank,I drank,NY40A
drank,drank,NY40B
drank,drank,NY41
drank,drinked,NY42A
drank,drank,NY42B
drank,I drank,NY43A
drank,drank,NY43B
drank,I drank,NY43C!
drank,I drank,NY44A
drank,drank,NY44B
drank,drank,NY45A
drank,,NY45B
drank,,NY45C
drank,drank it,NY45D!
drank,drank,NY46A
drank,drank,NY46B
drank,drank,NY46C
drank,drinked,NY47A
drank,I drank,NY47B
drank,drank,NY48A
drank,,NY48B
drank,drank,NY48C
drank,drank,NY48D
drank,,NY49A
drank,I drunk,NY49B
drank,he drinked,NY49C
drank,drank,NY49C
drank,he's been drunk,NY49C
drank,drank,NY49D
drank,drank,NY50A
drank,drank,NY50B
drank,drank,NY51A
drank,drank,NY51B
drank,,NY51C
drank,,NY51D
drank,we drank,NY51E!
drank,drinked,NY52A
drank,drank,NY52A
drank,,NY52B
drank,drinked,NY52C
drank,drink,NY53A
drank,drank,NY53B!
drank,drank,NY54A
drank,drank,NY54B
drank,drank,NY55A
drank,drank,NY55B
drank,I drank that,NY56A
drank,drank,NY56B
drank,drink,NY57A
drank,drank,NY57A
drank,drank,NY57A
drank,,NY57B
drank,drank,NY57C!
drank,drank,NY58A
drank,drank,NY58B
drank,,NY58C
drank,drank it,NY58D!
drank,drank,NY58E!
drank,drank,NY58F!
drank,drank,NY59A
drank,I drank,NY59B
drank,drank,NY60A
drank,drank,NY60B!
drank,we drinked more of,NY61A
drank,drank,NY61B
drank,drinked,NY62A
drank,drank,NY62B
drank,drank,NY62C
drank,drank,NY62D!
drank,he drank,NY63A
drank,drank,NY63B
drank,drank it,NY63B
drank,I drank,NY63C
drank,drank,NY63D!
drank,drank,NY64A
drank,drank,NY64B
drank,drank,NY64C!
drank,drank,NJ1A
drank,dranked,NJ1A
drank,drank,NJ1B
drank,I drank,NJ2A
drank,drank,NJ2B
drank,drunk,NJ3A
drank,drank,NJ3B
drank,drank,NJ4A
drank,drank,NJ4B
drank,drank,NJ5A
drank,I drank,NJ5B
drank,I drank,NJ6A
drank,I drank,NJ6B
drank,I drinked,NJ7A
drank,I drank,NJ7B!
drank,I drinked,NJ8A
drank,I drank,NJ8B
drank,I drank,NJ9A
drank,drank,NJ9B
drank,I drinked,NJ10A
drank,drank,NJ10B
drank,I drank,NJ10C
drank,I drank,NJ10D!
drank,drank,NJ11A
drank,I drank,NJ11B
drank,I drank,NJ11C
drank,I drank,NJ12A
drank,drank,NJ12B
drank,drinked,NJ13A
drank,I drank,NJ13B
drank,I drank,NJ14A
drank,I drank,NJ14B
drank,I drank,NJ15A
drank,drank,NJ15B
drank,drank,NJ16A
drank,drank,NJ16B
drank,I drank,NJ17A
drank,I drank,NJ17B
drank,I drank,NJ18A
drank,I drank,NJ18B
drank,I drank,NJ18C!
drank,drank,NJ18D!
drank,I drank,NJ19A
drank,drank,NJ19B!
drank,I drank,NJ20A
drank,Ik het gedronke,NJ20A
drank,I drank,NJ20B
drank,I drank,NJ21A
drank,I drank,NJ21B
drank,I drank,PA1A
drank,drank,PA1B
drank,drank,PA1C
drank,I drank,PA1D
drank,drink,PA1E!
drank,I drank,PA1F!
drank,I drank,PA1G!
drank,I drank,PA1H!
drank,drinked,PA2A
drank,drank,PA2A
drank,I drank,PA2B
drank,I drank,PA3A
drank,drank,PA3B
drank,I drank,PA3C
drank,I drank,PA4A
drank,drank,PA4B!
drank,I drank,PA5A
drank,I drank,PA5B
drank,I drank,PA5C
