Target,Response,Informant
driven,drove,NY1
driven,drove,NY2A
driven,drove,NY2B
driven,drove,NY2C
driven,drove,NY3A
driven,driven,NY3B
driven,driven,NY3C
driven,driven,NY3D
driven,drove,NY4A
driven,driven,NY4B
driven,driven,NY4C
driven,driven,NY5A
driven,driven,NY5B
driven,driven,NY5C
driven,driven,NY5D
driven,driven,NY5E
driven,driven,NY5F
driven,driven,NY5G
driven,driven,NY5H!
driven,driven,NY5I!
driven,driven,NY6A
driven,driven,NY6B
driven,driven,NY7A
driven,driven,NY7B
driven,driven,NY7C
driven,driven,NY7D
driven,driven,NY7E
driven,driven,NY7F
driven,driven,NY7G
driven,driven,NY7H
driven,driven,NY7I
driven,driven,NY7J!
driven,driven,NY7K!
driven,driven,NY7L!
driven,driven,NY7M!
driven,driven,NY8
driven,driven,NY9A
driven,driven,NY9B
driven,driven,NY9C
driven,drove,NY10A
driven,driven,NY10B!
driven,driven,NY11
driven,drove,NY12A
driven,driven,NY12B
driven,driven,NY12C!
driven,driven,NY13A
driven,driven,NY13B!
driven,driven,NY14A
driven,driven,NY14B
driven,drove,NY15A
driven,driven,NY15B
driven,driven,NY16A
driven,drove,NY16B
driven,drove,NY17A
driven,drove,NY17A
driven,driven,NY17B
driven,drove,NY18A
driven,driven,NY18B
driven,driven,NY18C!
driven,driven,NY19
driven,drove,NY20A
driven,drove,NY20B
driven,drove,NY21
driven,driven,NY22
driven,drove,NY23A
driven,drove them,NY23B
driven,drove them,NY23B
driven,driven,NY23C
driven,drove,NY24A
driven,driven,NY24B!
driven,drove,NY25A
driven,driven,NY25B
driven,a drive well,NY25B
driven,drove,NY26A
driven,drove,NY26B
driven,drove,NY26C
driven,drove,NY27A
driven,drove,NY27B
driven,drove in,NY27C
driven,driven,NY27C
driven,drove in,NY28A
driven,driven,NY28B
driven,drove,NY28C
driven,drove,NY29A
driven,drove,NY29B
driven,driven,NY29C
driven,drove,NY29C
driven,drove,NY30A
driven,drove,NY30B
driven,drove,NY30C
driven,drove,NY30D
driven,drove,NY30E
driven,driven,NY31A
driven,drove in,NY31A
driven,driven,NY31B
driven,drove in them,NY32A
driven,drove in,NY32B
driven,drove,NY33A
driven,,NY33B
driven,drove,NY33C
driven,driven,NY33C
driven,drove,NY34A
driven,driven,NY34B
driven,driven,NY34C
driven,driven,NY34D!
driven,drove,NY35A
driven,driven,NY35B
driven,driven,NY35C!
driven,driven,NY36A
driven,driven,NY36B
driven,driven,NY37A
driven,drove,NY37B
driven,driven,NY37C!
driven,drove,NY38A
driven,driven,NY38B
driven,driven,NY38C
driven,drove,NY39A
driven,drove,NY39B
driven,drove,NY40A
