Target,Response,Informant
drove,drove,NY1
drove,drove,NY2A
drove,drove,NY2B
drove,drove,NY2C
drove,drove,NY3A
drove,drove,NY3B
drove,drove,NY3C
drove,drove,NY3D
drove,drove,NY4A
drove,drove,NY4B
drove,drove,NY4C
drove,drove,NY5A
drove,drove,NY5B
drove,drove,NY5C
drove,drove,NY5D
drove,drove,NY5E
drove,drove,NY5F
drove,drove,NY5G
drove,drove,NY5H!
drove,drove,NY5I!
drove,drove,NY6A
drove,drove,NY6B
drove,drove,NY7A
drove,drove,NY7B
drove,drove,NY7C
drove,drove,NY7D
drove,drove,NY7E
drove,drove,NY7F
drove,drove,NY7G
drove,drove,NY7H
drove,drove,NY7I
drove,drove,NY7J!
drove,drove,NY7K!
drove,drove,NY7L!
drove,drove,NY7M!
drove,drove,NY8
drove,drove,NY9A
drove,drove,NY9B
drove,drove,NY9C
drove,drove,NY10A
drove,drove,NY10B!
drove,drove,NY11
drove,drove,NY12A
drove,drove,NY12A
drove,drove,NY12A
drove,drove,NY12B
drove,drove,NY12C!
drove,drove,NY13A
drove,drove,NY13B!
drove,drove,NY14A
drove,drove,NY14B
drove,drove,NY15A
drove,drove,NY15B
drove,drove,NY16A
drove,drove,NY16B
drove,drove,NY17A
drove,drove,NY17A
drove,drove,NY17A
drove,drove,NY17B
drove,drove,NY18A
drove,drove,NY18B
drove,drove,NY18C!
drove,drove,NY19
drove,drove,NY20A
drove,drove,NY20B
drove,drove,NY21
drove,drove,NY22
drove,drove,NY23A
drove,drove them,NY23B
drove,drove them,NY23B
drove,drove,NY23B
drove,drove,NY23C
drove,I drove,NY24A
drove,I drove,NY24B!
drove,drove,NY25A
drove,drove,NY25B
drove,drove,NY25B
drove,drove,NY26A
drove,drove,NY26B
drove,drove,NY26C
drove,drove,NY27A
drove,drove,NY27B
drove,drove,NY27C
drove,drove in,NY28A
drove,drove,NY28B
drove,drove,NY28C
drove,drove,NY29A
drove,drove,NY29B
drove,drove,NY29C
drove,drove,NY30A
drove,drove,NY30B
drove,drove,NY30C
drove,drove,NY30D
drove,drove,NY30E
drove,drove,NY31A
drove,drove,NY31B
drove,drove,NY32A
drove,drove,NY32B
drove,drove,NY33A
drove,drove,NY33B
drove,drove,NY33C
drove,drove,NY34A
drove,,NY34B
drove,,NY34C
drove,drove out,NY34D!
drove,drove,NY35A
drove,drove,NY35B
drove,drove,NY35C!
drove,drove,NY36A
drove,I drove,NY36B
drove,I drove,NY37A
drove,I drove,NY37B
drove,drove,NY37C!
drove,I drove,NY38A
drove,drove,NY38B
drove,I drove,NY38C
drove,I drove,NY39A
drove,drove,NY39B
drove,drove,NY40A
drove,I drove in,NY40B
drove,drove,NY41
drove,drove,NY42A
drove,I drove,NY42B
drove,I drove in,NY43A
drove,drove,NY43B
drove,I drove,NY43C!
drove,I drove,NY44A
drove,drove,NY44B
drove,,NY45A
drove,drove,NY45B
drove,drove,NY45C
drove,drove,NY45D!
drove,drove,NY46A
drove,drove,NY46B
drove,drove,NY46C
drove,drove,NY47A
drove,drove,NY47A
drove,drove,NY47A
drove,drove,NY47B
drove,drove,NY48A
drove,,NY48B
drove,drove it,NY48C
drove,drove in,NY48C
drove,drove,NY48D
drove,,NY49A
drove,drove,NY49B
drove,drove,NY49C
drove,drove,NY49C
drove,has drove,NY49C
drove,drove,NY49D
drove,pounded,NY49D
drove,drove in,NY50A
drove,drove off,NY50A
drove,drove it in,NY50B
drove,drove,NY51A
drove,drove,NY51A
drove,drove,NY51B
drove,,NY51C
drove,drove,NY51D
drove,drove,NY51E!
drove,drove,NY52A
drove,,NY52B
drove,drove,NY52C
drove,pounded,NY52C
drove,drove,NY53A
drove,drove,NY53B!
drove,drove,NY54A
drove,hammered,NY54A
drove,drove,NY54B
drove,drove,NY55A
drove,drove,NY55B
drove,drove,NY56A
drove,drove,NY56B
drove,drove,NY57A
drove,drove,NY57B
drove,drove in,NY57C!
drove,drove,NY58A
drove,drove,NY58B
drove,drove,NY58B
drove,drove,NY58C
drove,drove it in,NY58D!
drove,drove,NY58E!
drove,drove,NY58F!
drove,drove it in,NY59A
drove,drove,NY59B
drove,drove,NY60A
drove,drove,NY60A
drove,drove,NY60B!
drove,drove,NY61A
drove,drove,NY61B
drove,drove,NY62A
drove,drove,NY62B
drove,drove,NY62C
drove,drove,NY62D!
drove,drove,NY63A
drove,drove,NY63B
drove,I drove,NY63C
drove,drove,NY63D!
