Target,Response,Informant
drunk,drank,NY1
drunk,drinked,NY2A
drunk,have you drank,NY2B
drunk,drank,NY2C
drunk,have you drank,NY3A
drunk,have you drank,NY3B
drunk,have you drank,NY3C
drunk,have you drank,NY3C
drunk,have you drunk,NY3D
drunk,have you drank,NY4A
drunk,drank,NY4B
drunk,have you drinked,NY4C
drunk,have you drinked,NY4C
drunk,have you drank,NY5A
drunk,have you drank,NY5B
drunk,have you drunk,NY5C
drunk,have you drank,NY5C
drunk,have you drunk,NY5D
drunk,have you drank,NY5E
drunk,have you drunk,NY5F
drunk,have you drank,NY5G
drunk,have you drunk,NY5H!
drunk,have you drank,NY5I!
drunk,have you drank,NY6A
drunk,have you drinken,NY6B
drunk,have you drank,NY7A
drunk,have you drank,NY7B
drunk,have you drunken,NY7C
drunk,have you drank,NY7D
drunk,have you drunk,NY7E
drunk,have you drank,NY7F
drunk,have you drunk,NY7G
drunk,have you drank,NY7H
drunk,have you drank,NY7I
drunk,have you drunk,NY7J!
drunk,have you drunk,NY7K!
drunk,have you drunk,NY7L!
drunk,have you drunk,NY7M!
drunk,have you drunk,NY8
drunk,have you drank,NY9A
drunk,have you drank,NY9B
drunk,have you drunk,NY9C
drunk,have you drank,NY10A
drunk,have you drank,NY10B!
drunk,have you drunk,NY11
drunk,have you drinked,NY12A
drunk,have you drank,NY12A
drunk,have you drinked,NY12B
drunk,have you drunk,NY12C!
drunk,have you drank,NY13A
drunk,have you drunken,NY13B!
drunk,have you drank,NY14A
drunk,have you drank,NY14B
drunk,have you drank,NY15A
drunk,have you drinked,NY15B
drunk,have you drank,NY16A
drunk,have you drank,NY16B
drunk,have you drinked,NY17A
drunk,have you drank,NY17B
drunk,have you drinked,NY18A
drunk,have you drank,NY18B
drunk,have you drunk,NY18C!
drunk,drank,NY19
drunk,have you drunk,NY20A
drunk,have you drank,NY20B
drunk,drinked,NY21
drunk,have you drank,NY22
drunk,,NY23A
drunk,drinked,NY23B
drunk,drank,NY23C
drunk,have you drinked,NY24A
drunk,have you drank,NY24B!
drunk,have you drink,NY25A
drunk,have you drank,NY25B
drunk,drinked,NY26A
drunk,have you drank,NY26B
drunk,,NY26C
drunk,drink,NY27A
drunk,,NY27B
drunk,have you drank,NY27C
drunk,have you drunk,NY27C
drunk,have you drank,NY28A
drunk,have you drunk,NY28B
drunk,have you drank,NY28B
drunk,,NY28C
drunk,have you drank,NY29A
drunk,I've never drinked it,NY29B
drunk,I've never drank,NY29B
drunk,drank,NY29C
drunk,drank,NY30A
drunk,drinked,NY30B
drunk,drank,NY30B
drunk,,NY30C
drunk,drinked,NY30D
drunk,have you drank,NY30E
drunk,have you drank,NY31A
drunk,have you drunk,NY31B
drunk,have you drank,NY32A
drunk,he'd drank,NY32B
drunk,I've drank,NY33A
drunk,have you drank,NY33B
drunk,he's drank,NY33B
drunk,drunk,NY33C
drunk,have I drank,NY34A
drunk,,NY34B
drunk,,NY34C
drunk,drunk,NY34D!
drunk,have  you drank,NY35A
drunk,have you drunk,NY35B
drunk,have you drunken,NY35C!
drunk,have you drank,NY36A
drunk,have you drank,NY36B
drunk,have you drunk,NY37A
drunk,have you drank,NY37B
drunk,have you drank,NY37C!
drunk,have you drank,NY38A
drunk,have you drank,NY38B
drunk,have you drank,NY38C
