Target,Response,Informant
eaten,ate,NY1
eaten,have you eat,NY2A
eaten,ate,NY2A
eaten,have you ate,NY2B
eaten,ate,NY2C
eaten,eaten,NY2C
eaten,ate,NY3A
eaten,have you eaten,NY3B
eaten,have you eaten,NY3C
eaten,have you eaten,NY3D
eaten,have you ate,NY4A
eaten,have you ate,NY4B
eaten,eaten,NY4C
eaten,have you eaten,NY4C
eaten,have you eaten,NY5A
eaten,have you eaten,NY5B
eaten,have you eaten,NY5C
eaten,have you eaten,NY5D
eaten,have you eaten,NY5E
eaten,have you eaten,NY5F
eaten,have you eaten,NY5G
eaten,have you eaten,NY5H!
eaten,eaten,NY5I!
eaten,have you ate,NY6A
eaten,have you eaten,NY6B
eaten,ate,NY7A
eaten,have you ate,NY7A
eaten,ate,NY7A
eaten,have you eaten,NY7B
eaten,have you eaten,NY7C
eaten,eaten,NY7D
eaten,have you eaten,NY7E
eaten,have you eaten,NY7F
eaten,have you eaten,NY7G
eaten,have you eaten,NY7H
eaten,have eaten,NY7I
eaten,have you eaten,NY7J!
eaten,have you eaten,NY7K!
eaten,have you eaten,NY7L!
eaten,have you eaten,NY7M!
eaten,have you eaten,NY8
eaten,make some coffee,NY8
eaten,have you eaten,NY9A
eaten,eaten,NY9B
eaten,have you eaten,NY9C
eaten,have you ate,NY10A
eaten,have you eaten,NY10B!
eaten,have you eaten,NY11
eaten,have you eaten,NY12A
eaten,have you ate,NY12A
eaten,have you eaten,NY12B
eaten,have you eaten,NY12C!
eaten,we eat,NY13A
eaten,ate,NY13A
eaten,ate,NY13A
eaten,have you eaten,NY13B!
eaten,ate,NY14A
eaten,have you eat,NY14A
eaten,have you eaten,NY14B
eaten,have you ate,NY15A
eaten,ate,NY15B
eaten,have you eaten,NY15B
eaten,have you ate,NY16A
eaten,have you eat,NY16B
eaten,have you ate,NY17A
eaten,have you eaten,NY17B
eaten,ate,NY18A
eaten,have you eat,NY18A
eaten,ate,NY18B
eaten,have you ate,NY18B
eaten,have you eaten,NY18C!
eaten,have you ate,NY19
eaten,have you eat,NY20A
eaten,have you eaten,NY20B
eaten,ate,NY21
eaten,have you eaten it,NY21
eaten,have you eaten,NY22
eaten,ate,NY23A
eaten,eat,NY23B
eaten,ate,NY23B
eaten,eaten,NY23C
eaten,have you eat,NY24A
eaten,ate,NY24A
eaten,have you eaten,NY24B!
eaten,ate,NY25A
eaten,eaten,NY25A
eaten,I've ate that,NY25A
eaten,eaten,NY25B
eaten,ate,NY26A
eaten,make the coffee,NY26B
eaten,eaten,NY26B
eaten,eat,NY27A
eaten,eat,NY27B
eaten,ate,NY27C
eaten,eaten,NY27C
eaten,have ate,NY28A
eaten,eaten,NY28A
eaten,eaten,NY28B
eaten,,NY28C
eaten,have ate,NY29A
eaten,ate,NY29B
eaten,ate,NY29C
eaten,ate,NY30A
eaten,eat,NY30B
eaten,eaten,NY30B
eaten,,NY30C
eaten,I've ate,NY30D
eaten,eaten,NY30E
eaten,eaten,NY31A
eaten,eaten,NY31B
eaten,eaten,NY32A
eaten,you've eat,NY32B
eaten,I've eaten,NY33A
eaten,,NY33B
eaten,eaten,NY33C
eaten,eaten,NY34A
eaten,,NY34B
eaten,,NY34C
eaten,eaten,NY34D!
eaten,have you ate,NY35A
eaten,have you eaten,NY35B
eaten,have you eaten,NY35C!
eaten,S,NY36A
eaten,have you ate,NY36B
eaten,ate,NY36B
eaten,have you eaten,NY37A
eaten,ate,NY37A
eaten,have you ate,NY37B
eaten,have you eaten,NY37C!
eaten,have you ate,NY38A
eaten,ate,NY38B
eaten,have you eat,NY38B
eaten,have you eaten,NY38C
eaten,have you ate,NY39A
eaten,have you ate,NY39B
eaten,have you ate,NY40A
eaten,have you eaten,NY40B
eaten,have you ate,NY41
eaten,have you ate,NY42A
eaten,have you ate,NY42B
eaten,have you ate,NY43A
eaten,have you eaten,NY43B
eaten,have you eaten,NY43C!
eaten,have you ate,NY44A
eaten,have you eaten,NY44B
eaten,you've ate it,NY45A
eaten,,NY45B
eaten,eat,NY45C
eaten,eaten,NY45D!
eaten,eat,NY46A
eaten,eaten,NY46A
eaten,eaten,NY46B
eaten,ate,NY46B
eaten,eaten,NY46C
eaten,ate,NY47A
eaten,eat,NY47A
eaten,have you eaten,NY47B
eaten,ate,NY48A
eaten,ate,NY48A
eaten,,NY48B
eaten,eaten,NY48C
eaten,eaten,NY48C
eaten,eaten,NY48D
eaten,I have eaten,NY48D
eaten,,NY49A
eaten,have you ate,NY49B
eaten,eaten,NY49C
eaten,eaten,NY49C
eaten,eaten,NY49D
eaten,eaten,NY49D
eaten,eaten,NY50A
eaten,eaten,NY50B
eaten,I've eat,NY51A
eaten,eaten,NY51B
eaten,eat,NY51C
eaten,,NY51D
eaten,eaten,NY51E!
eaten,ate,NY52A
eaten,,NY52B
eaten,eaten,NY52C
eaten,ate,NY53A
eaten,eaten,NY53B!
eaten,eaten,NY54A
eaten,ate,NY54B
eaten,eaten,NY55A
eaten,eaten,NY55B
eaten,ate supper,NY56A
eaten,eaten,NY56B
eaten,eaten it,NY57A
eaten,,NY57B
eaten,eaten,NY57C!
eaten,eaten,NY58A
eaten,eat,NY58B
eaten,,NY58C
eaten,eaten,NY58D!
eaten,eaten,NY58E!
eaten,,NY58F!
eaten,eaten,NY59A
eaten,have you eaten,NY59B
eaten,eaten them,NY60A
eaten,eaten,NY60B!
eaten,ate,NY61A
eaten,coffee,NY61A
eaten,ate,NY61B
eaten,I've ate,NY62A
eaten,have eat,NY62A
