Target,Response,Informant
eight,eight,NY1
eight,,NY2A
eight,eight,NY2B
eight,,NY2C
eight,eight,NY3A
eight,eight,NY3B
eight,eight,NY3C
eight,eight,NY3D
eight,eight,NY4A
eight,eight,NY4B
eight,eight,NY4C
eight,eight,NY5A
eight,eight,NY5B
eight,eight,NY5C
eight,eight,NY5D
eight,eight,NY5E
eight,eight,NY5F
eight,eight,NY5G
eight,eight,NY5H!
eight,eight,NY5I!
eight,eight,NY6A
eight,eight,NY6B
eight,eight,NY7A
eight,eight,NY7B
eight,eight,NY7C
eight,eight,NY7D
eight,eight,NY7E
eight,eight,NY7F
eight,eight,NY7G
eight,eight,NY7H
eight,eight,NY7I
eight,eight,NY7J!
eight,eight,NY7K!
eight,eight,NY7L!
eight,eight,NY7M!
eight,eight,NY8
eight,eight,NY9A
eight,eight,NY9B
eight,eight,NY9C
eight,eight,NY10A
eight,eight,NY10B!
eight,eight,NY11
eight,eight,NY12A
eight,eight,NY12B
eight,eight,NY12C!
eight,eight,NY13A
eight,eight,NY13B!
eight,eight,NY14A
eight,eight,NY14B
eight,eight,NY15A
eight,eight,NY15B
eight,eight,NY16A
eight,eight,NY16B
eight,eight,NY17A
eight,eight,NY17B
eight,eight,NY18A
eight,eight,NY18B
eight,eight,NY18C!
eight,eight,NY19
eight,eight,NY20A
eight,eight,NY20B
eight,eight,NY21
eight,eight,NY22
eight,,NY23A
eight,eight,NY23B
eight,eight,NY23C
eight,eight,NY23C
eight,eight,NY24A
eight,eight,NY24B!
eight,eight,NY25A
eight,eight,NY25B
eight,eight,NY25B
eight,eight,NY26A
eight,eight,NY26A
eight,eight,NY26B
eight,eight,NY26B
eight,eight,NY26C
eight,eight,NY27A
eight,eight,NY27B
eight,eight,NY27C
eight,eight,NY28A
eight,eight,NY28B
eight,eight or ten,NY28B
eight,eight,NY28C
eight,eight,NY29A
eight,eight,NY29B
eight,eight,NY29B
eight,eight,NY29C
eight,eight,NY29C
eight,eight,NY30A
eight,eight,NY30B
eight,eight,NY30C
eight,,NY30D
eight,eight,NY30E
eight,eight,NY31A
eight,eight,NY31A
eight,eight,NY31B
eight,eight,NY32A
eight,eight,NY32B
eight,eight,NY33A
eight,eight,NY33B
eight,eight,NY33C
eight,eight,NY34A
eight,,NY34B
eight,,NY34C
eight,eight,NY34D!
eight,eighth,NY34D!
eight,eight,NY35A
eight,eight,NY35B
eight,,NY35C!
eight,eight,NY36A
eight,eight,NY36B
eight,eight,NY37A
eight,eight,NY37B
eight,eight,NY37C!
eight,eight,NY38A
eight,eight,NY38B
eight,,NY38C
eight,eight,NY39A
eight,eight,NY39B
eight,eight,NY40A
eight,eight,NY40B
eight,eight,NY41
eight,eight,NY42A
eight,eight,NY42B
eight,,NY43A
eight,eight,NY43B
eight,eight,NY43C!
eight,eight,NY44A
eight,eight,NY44B
eight,eight,NY45A
eight,,NY45B
eight,eight,NY45C
eight,eight,NY45D!
eight,eight,NY46A
eight,eight,NY46B
eight,eight,NY46C
eight,eight,NY47A
eight,eight,NY47B
eight,eight,NY48A
eight,,NY48B
eight,eight,NY48C
eight,eight,NY48C
eight,eight,NY48D
eight,eight,NY48D
eight,eight,NY49A
eight,,NY49B
eight,eight,NY49C
eight,eight,NY49C
eight,eight,NY49D
eight,eight,NY50A
eight,eight,NY50A
eight,eight,NY50A
eight,eight,NY50B
eight,eight,NY51A
eight,eight,NY51A
eight,eight,NY51B
eight,eight,NY51C
eight,eight,NY51D
eight,eight,NY51E!
eight,eight,NY52A
eight,eight,NY52B
eight,eight,NY52C
eight,eight,NY53A
eight,eight,NY53B!
eight,eight,NY54A
eight,eight,NY54B
eight,eight,NY55A
eight,eight,NY55B
eight,eight,NY56A
eight,eight,NY56B
eight,eight,NY57A
eight,eight,NY57A
eight,eight,NY57B
eight,eight,NY57C!
eight,eight,NY58A
eight,eight,NY58B
eight,eight,NY58B
eight,,NY58C
eight,eight,NY58D!
eight,eight,NY58D!
eight,eight,NY58E!
eight,eight,NY58F!
eight,eight,NY59A
eight,eight,NY59B
eight,eight,NY60A
eight,eight,NY60B!
eight,eight,NY60B!
eight,eight,NY61A
eight,eight,NY61B
eight,eight,NY62A
eight,eight,NY62B
eight,eight,NY62B
eight,eight,NY62B
eight,eight,NY62C
eight,eight,NY62C
eight,eight,NY62D!
eight,eight,NY63A
eight,eight,NY63B
eight,eight,NY63C
eight,eight,NY63D!
eight,eight,NY63D!
eight,eight,NY64A
eight,eight,NY64A
eight,eight,NY64B
eight,eight,NY64C!
eight,eight,NJ1A
eight,eight,NJ1B
eight,eight,NJ2A
eight,eight,NJ2B
eight,eight,NJ3A
eight,eight,NJ3B
eight,eight,NJ4A
eight,eight,NJ4B
eight,eight,NJ5A
eight,eight,NJ5B
eight,eight,NJ6A
eight,eight,NJ6B
eight,eight,NJ7A
eight,eight,NJ7B!
eight,eight,NJ8A
eight,eight,NJ8B
eight,eight,NJ9A
eight,eight,NJ9B
eight,eight,NJ10A
eight,eight,NJ10B
eight,eight,NJ10C
eight,eight,NJ10D!
eight,eight,NJ11A
eight,eight,NJ11B
eight,eight,NJ11C
eight,eight,NJ12A
eight,eight,NJ12B
eight,eight,NJ13A
eight,eight,NJ13B
eight,eight,NJ14A
eight,eight,NJ14B
eight,eight,NJ15A
eight,eight,NJ15B
eight,eight,NJ16A
eight,eight,NJ16B
eight,eight,NJ17A
eight,eight,NJ17B
eight,eight,NJ18A
eight,eight,NJ18B
eight,eight,NJ18C!
eight,eight,NJ18D!
eight,eight,NJ19A
eight,eight,NJ19B!
eight,acht,NJ20A
eight,eight,NJ20A
eight,eight,NJ20B
eight,eight,NJ21A
eight,eight,NJ21B
eight,eight,PA1A
eight,eight,PA1B
eight,eight,PA1C
eight,eight,PA1D
eight,eight,PA1E!
eight,eight,PA1F!
eight,eight,PA1G!
eight,eight,PA1H!
eight,eight,PA2A
eight,eight,PA2B
eight,eight,PA3A
eight,eight,PA3B
eight,eight,PA3C
eight,eight,PA4A
eight,eight,PA4B!
eight,eight,PA5A
eight,eight,PA5B
eight,eight,PA5C
eight,eight,PA5D
eight,eight,PA5E!
eight,eight,PA6A
eight,eight,PA6B
eight,eight,PA6C
eight,eight,PA6D!
eight,eight,PA7A
eight,eight,PA7B
eight,eight,PA7C
eight,eight,PA7D!
eight,eight,PA8A
eight,eight,PA8B
eight,eight,PA8C
eight,eight,PA8D!
eight,eight,PA9A
eight,eight,PA9B
eight,eight,PA9C!
eight,eight,PA10
eight,eight,PA11A
eight,eight,PA11B
eight,eight,PA12A
eight,eight,PA12B
eight,eight,PA13A
eight,eight,PA13B
eight,eight,PA14A
eight,eight,PA14B
eight,,PA14C
eight,eight,PA15A
eight,eight,PA15B
eight,eight,PA15C!
eight,eight,PA16A
eight,eight,PA16B
eight,,PA16C
eight,eight,PA17A
eight,eight,PA17B
eight,eight,PA18A
eight,eight,PA18B!
eight,eight,PA19A
eight,eight,PA19B
eight,eight,PA20A
eight,eight,PA20B
eight,eight,PA21A
eight,eight,PA21B
eight,eight,PA22A
eight,eight,PA22B
eight,eight,PA23A
eight,eight,PA23B
eight,eight,PA24A
eight,eight,PA24B
eight,eight,PA25A
eight,eight,PA25B
eight,eight,PA26A
eight,eight,PA26B
eight,eight,PA27A
eight,eight,PA27B
eight,eight,PA27B
eight,eight,PA28A
eight,eight,PA28B!
eight,eight,PA29A
eight,eight,PA29B
eight,eight,PA30A
eight,eight,PA30B
eight,eight,PA31A
eight,eight,PA31B
eight,eight,PA32A
eight,eight,PA32B
eight,eight,PA33A
eight,eight,PA33B
eight,eight,PA34A
eight,eight,PA34B
eight,,PA34C!
eight,eight,PA35A
eight,eight,PA35B
eight,,PA35C
eight,eight,PA36A
eight,eight,PA36B
eight,eight,PA37A
eight,eight,PA37B
eight,,PA37C
eight,eight,PA38A
