Target,Response,Informant
eleven,eleven,NY1
eleven,,NY2A
eleven,eleven,NY2B
eleven,,NY2C
eleven,eleven,NY3A
eleven,eleven,NY3B
eleven,eleven,NY3C
eleven,eleven,NY3D
eleven,eleven,NY4A
eleven,eleven,NY4B
eleven,eleven,NY4C
eleven,eleven,NY5A
eleven,eleven,NY5B
eleven,eleven,NY5C
eleven,eleven,NY5D
eleven,eleven,NY5E
eleven,eleven,NY5F
eleven,eleven,NY5G
eleven,eleven,NY5H!
eleven,eleven,NY5I!
eleven,eleven,NY6A
eleven,eleven,NY6B
eleven,eleven,NY7A
eleven,eleven,NY7B
eleven,eleven,NY7C
eleven,eleven,NY7D
eleven,eleven,NY7E
eleven,eleven,NY7F
eleven,eleven,NY7G
eleven,eleven,NY7H
eleven,eleven,NY7I
eleven,eleven,NY7J!
eleven,eleven,NY7K!
eleven,eleven,NY7L!
eleven,eleven,NY7M!
eleven,eleven,NY8
eleven,eleven,NY9A
eleven,eleven,NY9B
eleven,eleven,NY9C
eleven,eleven,NY10A
eleven,eleven,NY10B!
eleven,eleven,NY11
eleven,eleven,NY12A
eleven,eleven,NY12B
eleven,eleven,NY12C!
eleven,eleven,NY13A
eleven,eleven,NY13B!
eleven,eleven,NY14A
eleven,eleven,NY14B
eleven,eleven,NY15A
eleven,eleven,NY15B
eleven,eleven,NY16A
eleven,eleven,NY16B
eleven,eleven,NY17A
eleven,eleven,NY17B
eleven,eleven,NY18A
eleven,eleven,NY18B
eleven,eleven,NY18C!
eleven,eleven,NY19
eleven,eleven,NY20A
eleven,eleven,NY20B
eleven,eleven,NY21
eleven,eleven,NY22
eleven,,NY23A
eleven,eleven,NY23B
eleven,eleven,NY23C
eleven,eleven,NY24A
eleven,eleven,NY24B!
eleven,eleven,NY25A
eleven,eleven,NY25B
eleven,eleven,NY26A
eleven,eleven,NY26B
eleven,,NY26C
eleven,eleven,NY27A
eleven,,NY27B
eleven,eleven,NY27C
eleven,eleven,NY27C
eleven,eleven,NY28A
eleven,eleven,NY28A
eleven,eleven,NY28B
eleven,,NY28C
eleven,eleven,NY29A
eleven,eleven,NY29B
eleven,eleven,NY29C
eleven,eleven,NY30A
eleven,eleven,NY30A
eleven,eleven,NY30B
eleven,eleven,NY30C
eleven,,NY30D
eleven,eleven,NY30E
eleven,eleven,NY31A
eleven,eleven,NY31B
eleven,eleven,NY32A
eleven,eleven,NY32B
eleven,eleven,NY33A
eleven,eleven,NY33B
eleven,eleven,NY33C
eleven,eleven,NY34A
eleven,,NY34B
eleven,,NY34C
eleven,eleven,NY34D!
eleven,eleven,NY35A
eleven,eleven,NY35B
eleven,,NY35C!
eleven,eleven,NY36A
eleven,eleven,NY36B
eleven,eleven,NY37A
eleven,eleven,NY37B
eleven,eleven,NY37C!
eleven,eleven,NY38A
eleven,eleven,NY38B
eleven,,NY38C
eleven,eleven,NY39A
eleven,eleven,NY39B
eleven,eleven,NY40A
eleven,eleven,NY40B
eleven,eleven,NY41
eleven,eleven,NY42A
eleven,eleven,NY42B
eleven,,NY43A
eleven,eleven,NY43B
eleven,eleven,NY43C!
eleven,eleven,NY44A
eleven,eleven,NY44B
eleven,eleven,NY45A
eleven,eleven,NY45B
eleven,,NY45C
eleven,eleven,NY45D!
eleven,eleven,NY46A
eleven,eleven,NY46B
eleven,eleven,NY46B
eleven,eleven,NY46C
eleven,eleven,NY47A
eleven,eleven,NY47B
eleven,eleven,NY48A
eleven,,NY48B
eleven,eleven,NY48C
eleven,eleven,NY48D
eleven,eleven,NY48D
eleven,eleven,NY49A
eleven,,NY49B
eleven,eleven,NY49C
eleven,eleven,NY49D
eleven,eleven,NY50A
eleven,eleven,NY50B
eleven,eleven,NY51A
eleven,eleventh,NY51A
eleven,eleven,NY51A
eleven,eleven,NY51B
eleven,eleven,NY51C
eleven,eleven,NY51D
eleven,eleven,NY51E!
eleven,eleven,NY52A
eleven,eleven,NY52A
eleven,,NY52B
eleven,eleven,NY52C
eleven,eleven,NY52C
eleven,eleven,NY53A
eleven,eleven,NY53A
eleven,eleven,NY53A
eleven,eleven,NY53B!
eleven,eleven,NY54A
eleven,eleven,NY54B
eleven,eleven,NY55A
eleven,eleven,NY55B
eleven,eleven,NY56A
eleven,eleven,NY56B
eleven,eleven,NY57A
eleven,eleven,NY57B
eleven,eleven,NY57C!
eleven,eleven,NY58A
eleven,eleven,NY58A
eleven,eleven,NY58A
eleven,eleven,NY58B
eleven,eleven,NY58C
eleven,eleven,NY58D!
eleven,eleven,NY58D!
eleven,eleven,NY58E!
eleven,,NY58F!
eleven,eleven,NY59A
eleven,eleven,NY59B
eleven,eleven,NY60A
eleven,eleven,NY60A
eleven,eleven,NY60B!
eleven,eleven,NY60B!
eleven,eleven,NY61A
eleven,eleven,NY61B
eleven,eleven,NY62A
eleven,eleven,NY62A
eleven,eleven,NY62B
eleven,eleven,NY62B
eleven,eleven,NY62C
eleven,eleven,NY62D!
eleven,eleven,NY63A
eleven,eleven,NY63B
eleven,eleven,NY63C
eleven,eleven,NY63D!
eleven,eleven,NY64A
eleven,eleven,NY64B
