Target,Response,Informant
February,February,NY1
February,February,NY1
February,,NY2A
February,February,NY2B
February,February,NY2B
February,,NY2C
February,February,NY3A
February,February,NY3B
February,February,NY3C
February,February,NY3D
February,February,NY4A
February,February,NY4B
February,February,NY4C
February,February,NY5A
February,February,NY5B
February,February,NY5C
February,February,NY5D
February,February,NY5E
February,February,NY5F
February,February,NY5G
February,February,NY5H!
February,February,NY5I!
February,February,NY6A
February,February,NY6B
February,February,NY7A
February,February,NY7B
February,February,NY7C
February,February,NY7D
February,February,NY7E
February,February,NY7F
February,February,NY7G
February,February,NY7H
February,,NY7I
February,February,NY7J!
February,February,NY7K!
February,February,NY7L!
February,February,NY7M!
February,February,NY8
February,February,NY9A
February,February,NY9B
February,February,NY9C
February,February,NY10A
February,February,NY10B!
February,February,NY11
February,February,NY12A
February,February,NY12B
February,February,NY12C!
February,February,NY13A
February,February,NY13B!
February,February,NY14A
February,February,NY14B
February,February,NY15A
February,February,NY15B
February,February,NY16A
February,February,NY16B
February,February,NY17A
February,February,NY17B
February,February,NY18A
February,February,NY18B
February,February,NY18C!
February,February,NY19
February,February,NY20A
February,February,NY20B
February,February,NY21
February,February,NY22
February,,NY23A
February,February,NY23B
February,February,NY23C
February,February,NY24A
February,February,NY24B!
February,February,NY25A
February,February,NY25B
February,February,NY26A
February,February,NY26B
February,,NY26C
February,February,NY27A
February,,NY27B
February,February,NY27C
February,February,NY28A
February,February,NY28B
February,,NY28C
February,February,NY29A
February,February,NY29B
February,February,NY29C
February,February,NY30A
February,February,NY30B
February,,NY30C
February,,NY30D
February,February,NY30E
February,February,NY31A
February,February,NY31A
February,February,NY31B
February,February,NY32A
February,February,NY32B
February,February,NY33A
February,February,NY33B
February,February,NY33C
February,February,NY34A
February,,NY34B
February,February,NY34C
February,February,NY34D!
February,February,NY35A
February,February,NY35B
February,,NY35C!
February,February,NY36A
February,February,NY36B
February,February,NY37A
February,February,NY37B
February,February,NY37C!
February,February,NY38A
February,February,NY38B
February,,NY38C
February,February,NY39A
February,February,NY39B
February,February,NY40A
February,February,NY40B
February,February,NY41
February,February,NY42A
February,February,NY42B
February,,NY43A
February,February,NY43B
February,February,NY43C!
February,February,NY44A
February,February,NY44B
February,February,NY45A
February,,NY45B
February,,NY45C
February,February,NY45D!
February,February,NY46A
February,February,NY46B
February,February,NY46C
February,February,NY47A
February,February,NY47B
February,February,NY48A
February,,NY48B
February,February,NY48C
February,February,NY48D
February,,NY49A
February,,NY49B
February,February,NY49C
February,February,NY49D
February,February,NY50A
February,February,NY50B
February,February,NY51A
February,February,NY51B
February,February,NY51B
February,February,NY51C
February,,NY51D
February,,NY51E!
February,February,NY52A
February,,NY52B
February,February,NY52C
February,February,NY53A
February,February,NY53B!
February,February,NY54A
February,February,NY54B
February,February,NY55A
February,February,NY55B
February,February,NY56A
February,February,NY56B
February,February,NY56B
February,February,NY57A
February,,NY57B
February,February,NY57C!
February,February,NY58A
February,February,NY58B
February,,NY58C
February,February,NY58D!
February,February,NY58D!
February,February,NY58D!
February,February,NY58E!
February,,NY58F!
February,February,NY59A
February,February,NY59B
February,February,NY60A
February,February,NY60A
February,February,NY60B!
February,February,NY61A
February,February,NY61B
February,February,NY61B
February,February,NY62A
February,February,NY62B
February,February,NY62C
February,February,NY62D!
February,February,NY63A
February,February,NY63B
February,February,NY63C
February,February,NY63D!
February,February,NY63D!
February,February,NY64A
February,February,NY64B
February,,NY64C!
February,February,NJ1A
February,February,NJ1B
February,February,NJ2A
February,February,NJ2B
February,February,NJ3A
February,February,NJ3B
February,February,NJ4A
February,February,NJ4B
February,February,NJ5A
February,February,NJ5B
