Target,Response,Informant
fifth,fifth,NY1
fifth,,NY2A
fifth,fifth,NY2B
fifth,,NY2C
fifth,fifth,NY3A
fifth,fifth,NY3B
fifth,fifth,NY3C
fifth,fifth,NY3D
fifth,fifth,NY4A
fifth,fifth,NY4B
fifth,fifth,NY4C
fifth,fifth,NY5A
fifth,fifth,NY5B
fifth,fifth,NY5C
fifth,fifth,NY5D
fifth,fifth,NY5E
fifth,fifth,NY5F
fifth,fifth,NY5G
fifth,fifth,NY5H!
fifth,fifth,NY5I!
fifth,fifth,NY6A
fifth,fifth,NY6B
fifth,fifth,NY7A
fifth,fifth,NY7B
fifth,fifth,NY7C
fifth,fifth,NY7D
fifth,fifth,NY7E
fifth,fifth,NY7F
fifth,fifth,NY7G
fifth,fifth,NY7H
fifth,fifth,NY7I
fifth,fifth,NY7J!
fifth,fifth,NY7K!
fifth,fifth,NY7L!
fifth,fifth,NY7M!
fifth,fifth,NY8
fifth,fifth,NY9A
fifth,fifth,NY9B
fifth,fifth,NY9C
fifth,fifth,NY10A
fifth,fifth,NY10B!
fifth,fifth,NY11
fifth,fifth,NY12A
fifth,fifth,NY12B
fifth,fifth,NY12C!
fifth,fifth,NY13A
fifth,fifth,NY13B!
fifth,fifth,NY14A
fifth,fifth,NY14B
fifth,fifth,NY15A
fifth,fifth,NY15B
fifth,fifth,NY16A
fifth,fifth,NY16B
fifth,fifth,NY17A
fifth,fifth,NY17B
fifth,fifth,NY18A
fifth,fifth,NY18B
fifth,fifth,NY18C!
fifth,fifth,NY19
fifth,fifth,NY20A
fifth,fifth,NY20B
fifth,fifth,NY21
fifth,fifth,NY22
fifth,fifth,NY23A
fifth,fifth reader,NY23A
fifth,fifth,NY23B
fifth,fifth,NY23B
fifth,fifth,NY23C
fifth,fifth,NY24A
fifth,fifth,NY24B!
fifth,fifth,NY25A
fifth,fifth,NY25B
fifth,fifth,NY26A
fifth,fifth,NY26B
fifth,,NY26C
fifth,fifth,NY27A
fifth,,NY27B
fifth,fifth,NY27C
fifth,fifth,NY28A
fifth,fifth,NY28B
fifth,,NY28C
fifth,fifth grade,NY29A
fifth,fifth,NY29B
fifth,fifth,NY29C
fifth,fifth,NY29C
fifth,fifth,NY30A
fifth,fifth day,NY30B
fifth,,NY30C
fifth,,NY30D
fifth,fifth,NY30E
fifth,fifth,NY31A
fifth,fifth,NY31B
fifth,fifth,NY32A
fifth,fifth,NY32B
fifth,,NY33A
fifth,fifth,NY33B
fifth,fifth,NY33C
fifth,fifth,NY34A
fifth,,NY34B
fifth,,NY34C
fifth,fifth,NY34D!
fifth,fifth,NY35A
fifth,fifth,NY35B
fifth,,NY35C!
fifth,fifth,NY36A
fifth,fifth,NY36B
fifth,fifth,NY37A
fifth,fifth,NY37B
fifth,fifth,NY37C!
fifth,fifth,NY38A
fifth,fifth,NY38B
fifth,,NY38C
fifth,fifth,NY39A
fifth,fifth,NY39B
fifth,fifth,NY40A
fifth,fifth,NY40B
fifth,fifth,NY41
fifth,fifth,NY42A
fifth,fifth,NY42B
fifth,,NY43A
fifth,fifth,NY43B
fifth,fifth,NY43C!
fifth,fifth,NY44A
fifth,fifth,NY44B
fifth,fifth,NY45A
fifth,,NY45B
fifth,,NY45C
fifth,fifth,NY45D!
fifth,fifth day,NY46A
fifth,fifth,NY46B
fifth,fifth,NY46C
fifth,fifth wheel,NY47A
fifth,fifth,NY47A
fifth,fifth,NY47B
fifth,fifth,NY48A
fifth,,NY48B
fifth,fifth,NY48C
fifth,fifth,NY48D
fifth,,NY49A
fifth,,NY49B
fifth,fifth,NY49C
fifth,fifth man,NY49D
fifth,fifth,NY50A
fifth,fifth,NY50A
fifth,fifth,NY50B
fifth,fifth,NY51A
fifth,fifth,NY51A
fifth,fifth,NY51A
fifth,fifth,NY51B
fifth,fifth,NY51C
fifth,,NY51D
fifth,fifth crop,NY51E!
fifth,fifth,NY52A
fifth,,NY52B
fifth,fifth man,NY52C
fifth,fifth,NY53A
fifth,fifth,NY53B!
fifth,fifth,NY54A
fifth,fifth man,NY54B
fifth,fifth,NY55A
fifth,fifth,NY55B
fifth,fifth,NY56A
fifth,fifth,NY56B
fifth,fifth,NY57A
fifth,,NY57B
fifth,fifth,NY57C!
fifth,fifth,NY58A
fifth,fifth,NY58B
fifth,,NY58C
fifth,fifth,NY58D!
fifth,fifth,NY58E!
fifth,,NY58F!
fifth,fifth day,NY59A
fifth,fifth,NY59B
fifth,fifth,NY60A
fifth,fifth,NY60A
fifth,fifth,NY60B!
fifth,fifth,NY61A
fifth,fifth,NY61B
fifth,fifth,NY62A
fifth,fifth,NY62B
fifth,fifth,NY62C
fifth,fifth,NY62D!
fifth,fifth,NY62D!
fifth,fifth,NY63A
fifth,fifth,NY63B
fifth,fifth,NY63C
fifth,fifth,NY63D!
fifth,fifth,NY64A
fifth,fifth,NY64B
fifth,,NY64C!
fifth,fifth,NJ1A
fifth,fifth,NJ1B
fifth,fifth,NJ2A
fifth,fifth,NJ2B
fifth,fifth,NJ3A
fifth,fifth,NJ3B
fifth,fifth,NJ4A
fifth,fifth,NJ4B
fifth,fifth,NJ5A
fifth,fifth,NJ5B
fifth,fifth,NJ6A
fifth,fifth,NJ6B
fifth,fifth,NJ7A
fifth,fifth,NJ7B!
fifth,fifth,NJ8A
fifth,fifth,NJ8B
fifth,fifth,NJ9A
fifth,fifth,NJ9B
fifth,fifth,NJ10A
fifth,fifth,NJ10B
fifth,fifth,NJ10C
fifth,fifth,NJ10D!
fifth,fifth,NJ11A
fifth,fifth,NJ11B
fifth,fifth,NJ11C
fifth,fifth,NJ12A
fifth,fifth,NJ12B
fifth,fifth,NJ13A
fifth,fifth,NJ13B
fifth,fifth,NJ14A
fifth,fifth,NJ14B
fifth,fifth,NJ15A
fifth,fifth,NJ15B
fifth,fifth,NJ16A
fifth,fifth,NJ16B
fifth,fifth,NJ17A
fifth,fifth,NJ17B
fifth,fifth,NJ18A
fifth,fifth,NJ18B
fifth,fifth,NJ18C!
fifth,fifth,NJ18D!
fifth,fifth,NJ19A
fifth,fifth,NJ19B!
fifth,fifth,NJ20A
fifth,vifde,NJ20A
fifth,fifth,NJ20B
