Target,Response,Informant
first,first,NY1
first,,NY2A
first,first,NY2B
first,,NY2C
first,first,NY3A
first,first,NY3B
first,first,NY3C
first,first,NY3D
first,first,NY4A
first,first,NY4B
first,first,NY4C
first,first,NY5A
first,first,NY5B
first,first,NY5C
first,first,NY5D
first,first,NY5E
first,first,NY5F
first,first,NY5G
first,first,NY5H!
first,first,NY5I!
first,first,NY6A
first,first,NY6B
first,first,NY7A
first,first,NY7B
first,first,NY7C
first,first,NY7D
first,first,NY7E
first,first,NY7F
first,first,NY7G
first,first,NY7H
first,first,NY7I
first,first,NY7J!
first,first,NY7K!
first,first,NY7L!
first,first,NY7M!
first,first,NY8
first,first,NY9A
first,first,NY9B
first,first,NY9C
first,first,NY10A
first,first,NY10B!
first,first,NY11
first,first,NY12A
first,first,NY12B
first,first,NY12C!
first,first,NY13A
first,first,NY13B!
first,first,NY14A
first,first,NY14B
first,first,NY15A
first,first,NY15B
first,first,NY16A
first,first,NY16B
first,first,NY17A
first,first,NY17B
first,first,NY18A
first,first,NY18B
first,first,NY18C!
first,first,NY19
first,first,NY20A
first,first,NY20B
first,first,NY21
first,first,NY22
first,first,NY23A
first,first,NY23B
first,first,NY23B
first,first,NY23C
first,first,NY23C
first,first,NY24A
first,first,NY24B!
first,first man,NY25A
first,first,NY25A
first,first,NY25A
first,first,NY25B
first,first,NY26A
first,first,NY26B
first,first,NY26B
first,,NY26C
first,first,NY27A
first,first,NY27A
first,first one,NY27B
first,first,NY27B
first,first,NY27C
first,first,NY27C
first,first,NY27C
first,first,NY28A
first,first,NY28B
first,first,NY28C
first,first,NY29A
first,first,NY29B
first,first,NY29B
first,first,NY29C
first,first,NY30A
first,first,NY30A
first,first day,NY30B
first,first,NY30B
first,first,NY30B
first,first,NY30C
first,first one,NY30D
first,first,NY30E
first,first,NY31A
first,first,NY31A
first,first,NY31A
first,first,NY31B
first,first,NY32A
first,first,NY32A
first,first,NY32B
first,first,NY33A
first,first,NY33B
first,first,NY33C
first,first,NY33C
first,first,NY34A
first,,NY34B
first,first,NY34C
first,first,NY34D!
first,first,NY35A
first,first,NY35B
first,,NY35C!
first,first,NY36A
first,first,NY36B
first,first,NY37A
first,first,NY37B
first,first,NY37C!
first,first,NY38A
first,first,NY38B
first,,NY38C
first,first,NY39A
first,first,NY39B
first,first,NY40A
first,first,NY40B
first,first,NY41
first,first,NY42A
first,first,NY42B
first,,NY43A
first,first,NY43B
first,first,NY43C!
first,first,NY44A
first,first,NY44B
first,first,NY45A
first,first farm,NY45B
first,,NY45C
first,first,NY45D!
first,first month,NY46A
first,first,NY46A
first,first,NY46B
first,first man,NY46C
first,first,NY46C
first,First World War,NY47A
first,first,NY47B
first,first,NY48A
first,first,NY48B
first,first,NY48C
first,first,NY48D
first,,NY49A
first,,NY49B
first,first time,NY49C
first,first man,NY49C
first,first,NY49C
first,first man,NY49D
first,first,NY50A
first,first fiddler,NY50A
first,first,NY50A
first,first,NY50B
first,first,NY51A
first,first,NY51A
first,first,NY51A
first,first house,NY51B
first,first,NY51B
first,first time,NY51B
first,first,NY51C
first,first,NY51D
first,,NY51E!
first,first,NY52A
first,first year,NY52A
first,,NY52B
first,first man,NY52C
first,first,NY53A
first,first day,NY53B!
first,first,NY54A
first,first man,NY54B
first,first,NY55A
first,first,NY55A
first,first,NY55B
first,first,NY55B
first,first,NY56A
first,first,NY56B
first,first robin,NY57A
first,first,NY57A
first,,NY57B
first,first,NY57C!
first,first,NY57C!
first,first,NY58A
first,first thing,NY58B
first,first,NY58B
first,,NY58C
first,first,NY58D!
first,first name,NY58D!
first,first,NY58D!
first,first,NY58E!
first,first,NY58E!
first,,NY58F!
first,first of the month,NY59A
first,first,NY59B
first,first of,NY60A
first,first,NY60A
first,first,NY60B!
first,first place,NY60B!
first,first,NY60B!
first,first ones,NY60B!
