Target,Response,Informant
Florida,Florida,NY1
Florida,,NY2A
Florida,Florida,NY2B
Florida,,NY2C
Florida,Florida,NY3A
Florida,Florida,NY3B
Florida,Florida,NY3C
Florida,Florida,NY3D
Florida,Florida,NY4A
Florida,Florida,NY4B
Florida,Florida,NY4C
Florida,Florida,NY5A
Florida,Florida,NY5B
Florida,Florida,NY5C
Florida,Florida,NY5D
Florida,Florida,NY5E
Florida,Florida,NY5F
Florida,Florida,NY5G
Florida,Florida,NY5H!
Florida,Florida,NY5I!
Florida,Florida,NY6A
Florida,Florida,NY6B
Florida,Florida,NY7A
Florida,Florida,NY7B
Florida,Florida,NY7C
Florida,Florida,NY7D
Florida,Florida,NY7E
Florida,Florida,NY7F
Florida,Florida,NY7G
Florida,Florida,NY7H
Florida,Florida,NY7I
Florida,Florida,NY7J!
Florida,Florida,NY7K!
Florida,Florida,NY7L!
Florida,Florida,NY7M!
Florida,Florida,NY8
Florida,Florida,NY9A
Florida,Florida,NY9B
Florida,Florida,NY9C
Florida,Florida,NY10A
Florida,Florida,NY10B!
Florida,Florida,NY11
Florida,Florida,NY12A
Florida,Florida,NY12B
Florida,Florida,NY12C!
Florida,Florida,NY13A
Florida,Florida,NY13B!
Florida,Florida,NY14A
Florida,Florida,NY14B
Florida,Florida,NY15A
Florida,Florida,NY15B
Florida,Florida,NY16A
Florida,Florida,NY16B
Florida,Florida,NY17A
Florida,Florida,NY17B
Florida,Florida,NY18A
Florida,Florida,NY18B
Florida,Florida,NY18C!
Florida,Florida,NY19
Florida,Florida,NY20A
Florida,Florida,NY20B
Florida,Florida,NY21
Florida,Florida,NY22
Florida,,NY23A
Florida,Florida,NY23B
Florida,Florida,NY23C
Florida,Florida,NY24A
Florida,Florida,NY24B!
Florida,Florida,NY25A
Florida,Florida,NY25A
Florida,Florida,NY25A
Florida,Florida,NY25B
Florida,Florida,NY26A
Florida,Florida,NY26B
Florida,Florida,NY26B
Florida,,NY26C
Florida,Florida,NY27A
Florida,,NY27B
Florida,Florida,NY27C
Florida,Florida,NY28A
Florida,Florida,NY28B
Florida,Florida,NY28B
Florida,,NY28C
Florida,Florida,NY29A
Florida,Florida,NY29A
Florida,Florida,NY29B
Florida,Florida,NY29C
Florida,Florida,NY30A
Florida,Florida,NY30B
Florida,Florida,NY30B
Florida,,NY30C
Florida,Florida,NY30D
Florida,Florida,NY30E
Florida,Florida,NY31A
Florida,Florida,NY31A
Florida,Florida,NY31A
Florida,Florida,NY31B
Florida,Florida,NY32A
Florida,Florida,NY32B
Florida,Florida,NY33A
Florida,Florida,NY33B
Florida,Florida,NY33C
Florida,Florida,NY34A
Florida,Florida,NY34A
Florida,,NY34B
Florida,,NY34C
Florida,Florida,NY34D!
Florida,Florida,NY34D!
Florida,Florida,NY35A
Florida,Florida,NY35B
Florida,,NY35C!
Florida,Florida,NY36A
Florida,Florida,NY36B
Florida,Florida,NY37A
Florida,Florida,NY37B
Florida,Florida,NY37C!
Florida,Florida,NY38A
Florida,Florida,NY38B
Florida,,NY38C
Florida,Florida,NY39A
Florida,Florida,NY39B
Florida,Florida,NY40A
Florida,Florida,NY40B
Florida,Florida,NY41
Florida,Florida,NY42A
Florida,Florida,NY42B
Florida,Florida,NY43A
Florida,Florida,NY43B
Florida,,NY43C!
Florida,Florida,NY44A
Florida,Florida,NY44B
Florida,,NY45A
Florida,,NY45B
Florida,,NY45C
Florida,Florida,NY45D!
Florida,Florida,NY45D!
Florida,Florida,NY46A
Florida,,NY46B
Florida,Florida,NY46C
Florida,Florida,NY47A
Florida,Florida,NY47B
Florida,Florida,NY48A
Florida,Florida,NY48A
Florida,Florida,NY48A
Florida,Florida,NY48A
Florida,Florida,NY48B
Florida,Florida,NY48C
Florida,Florida,NY48C
Florida,Florida,NY48D
Florida,Florida,NY49A
Florida,,NY49B
Florida,Florida,NY49C
Florida,Florida,NY49D
Florida,Florida,NY49D
Florida,Florida,NY50A
Florida,Florida,NY50B
Florida,Florida,NY50B
Florida,Florida,NY51A
Florida,Florida,NY51B
Florida,Florida,NY51C
Florida,,NY51D
Florida,Florida,NY51E!
Florida,Florida,NY51E!
Florida,Florida,NY52A
Florida,,NY52B
Florida,Florida,NY52C
Florida,Florida,NY53A
Florida,Florida,NY53B!
Florida,Florida,NY54A
Florida,Florida,NY54B
Florida,Florida,NY55A
Florida,Florida,NY55A
Florida,Florida,NY55B
Florida,Florida,NY56A
Florida,Florida,NY56A
Florida,Florida,NY56B
Florida,Florida,NY57A
Florida,Florida,NY57A
Florida,,NY57B
Florida,Florida,NY57C!
Florida,Florida,NY57C!
Florida,Florida,NY58A
Florida,Florida,NY58A
Florida,Florida,NY58B
Florida,,NY58C
Florida,Florida,NY58D!
Florida,Florida,NY58E!
Florida,,NY58F!
Florida,Florida,NY59A
Florida,Florida,NY59B
Florida,Florida,NY60A
Florida,Florida,NY60B!
Florida,Florida,NY61A
Florida,Florida,NY61B
Florida,,NY62A
Florida,Florida,NY62B
Florida,Florida,NY62C
Florida,Florida,NY62D!
Florida,Florida,NY63A
Florida,Florida,NY63A
Florida,Florida,NY63A
Florida,Florida,NY63A
Florida,Florida,NY63B
Florida,Florida,NY63C
Florida,Florida,NY63D!
Florida,Florida,NY64A
Florida,Florida,NY64A
Florida,Florida,NY64B
Florida,,NY64C!
Florida,Florida,NJ1A
Florida,Florida,NJ1B
Florida,Florida,NJ2A
Florida,Florida,NJ2B
Florida,Florida,NJ3A
Florida,Florida,NJ3B
Florida,Florida,NJ4A
Florida,Florida,NJ4B
Florida,Florida,NJ5A
Florida,Florida,NJ5B
Florida,Florida,NJ6A
Florida,Florida,NJ6B
Florida,Florida,NJ7A
Florida,Florida,NJ7B!
Florida,Florida,NJ8A
Florida,Florida,NJ8B
Florida,Florida,NJ9A
Florida,Florida,NJ9B
Florida,Florida,NJ10A
Florida,Florida,NJ10B
Florida,Florida,NJ10C
Florida,Florida,NJ10D!
Florida,Florida,NJ11A
Florida,Florida,NJ11B
Florida,Florida,NJ11C
Florida,Florida,NJ12A
Florida,Florida,NJ12B
Florida,Florida,NJ13A
Florida,Florida,NJ13B
Florida,Florida,NJ14A
Florida,Florida,NJ14B
Florida,Florida,NJ15A
Florida,Florida,NJ15B
Florida,Florida,NJ16A
Florida,Florida,NJ16B
Florida,Florida,NJ17A
Florida,Florida,NJ17B
Florida,Florida,NJ18A
Florida,Florida,NJ18B
Florida,Florida,NJ18C!
Florida,Florida,NJ18D!
Florida,Florida,NJ19A
Florida,Florida,NJ19B!
Florida,Florida,NJ20A
Florida,Florida,NJ20B
Florida,Florida,NJ21A
Florida,Florida,NJ21B
Florida,Florida,PA1A
Florida,Florida,PA1B
Florida,Florida,PA1C
Florida,Florida,PA1D
Florida,Florida,PA1E!
Florida,Florida,PA1F!
Florida,Florida,PA1G!
Florida,Florida,PA1H!
Florida,Florida,PA2A
Florida,Florida,PA2B
Florida,Florida,PA3A
Florida,Florida,PA3B
Florida,Florida,PA3C
Florida,Florida,PA4A
Florida,Florida,PA4B!
Florida,Florida,PA5A
Florida,Florida,PA5B
Florida,Florida,PA5C
Florida,Florida,PA5D
Florida,Florida,PA5E!
Florida,Florida,PA6A
Florida,Florida,PA6B
Florida,Florida,PA6C
Florida,Florida,PA6D!
Florida,Florida,PA7A
Florida,Florida,PA7B
Florida,Florida,PA7C
Florida,Florida,PA7D!
Florida,Florida,PA8A
Florida,Florida,PA8B
Florida,Florida,PA8C
Florida,Florida,PA8D!
Florida,Florida,PA9A
Florida,Florida,PA9B
Florida,Florida,PA9C!
Florida,Florida,PA10
Florida,Florida,PA11A
Florida,Florida,PA11B
Florida,Florida,PA12A
Florida,Florida,PA12B
Florida,Florida,PA13A
Florida,Florida,PA13B
Florida,Florida,PA14A
Florida,Florida,PA14B
Florida,,PA14C
Florida,Florida,PA15A
Florida,Florida,PA15B
Florida,Florida,PA15C!
Florida,Florida,PA16A
Florida,bond,PA16B
Florida,Florida,PA16B
Florida,born,PA16B
Florida,,PA16C
Florida,Florida,PA17A
Florida,Florida,PA17B
Florida,Florida,PA18A
Florida,Florida,PA18B!
Florida,Florida,PA19A
Florida,Florida,PA19B
Florida,Florida,PA20A
Florida,Florida,PA20B
Florida,Florida,PA21A
Florida,Florida,PA21B
Florida,Florida,PA22A
Florida,Florida,PA22B
Florida,Florida,PA23A
Florida,Florida,PA23B
Florida,Florida,PA24A
Florida,Florida,PA24B
Florida,Florida,PA25A
Florida,Florida,PA25B
Florida,Florida,PA26A
Florida,Florida,PA26B
Florida,Florida,PA27A
Florida,Florida,PA27B
Florida,Florida,PA28A
Florida,Florida,PA28B!
Florida,Florida,PA29A
Florida,Florida,PA29B
Florida,Florida,PA30A
Florida,Florida,PA30B
Florida,Florida,PA31A
Florida,Florida,PA31B
Florida,Florida,PA32A
Florida,Florida,PA32B
Florida,Florida,PA33A
Florida,Florida,PA33B
Florida,Florida,PA34A
Florida,Florida,PA34B
Florida,Florida,PA34C!
Florida,Florida,PA35A
Florida,Florida,PA35B
Florida,,PA35C
Florida,Florida,PA36A
Florida,Florida,PA36B
Florida,Florida,PA37A
Florida,Florida,PA37B
Florida,,PA37C
Florida,Florida,PA38A
Florida,Florida,PA38B
Florida,Florida,PA39A
Florida,Florida,PA39B
Florida,Florida,PA40A
Florida,Florida,PA40B
Florida,Florida,PA41A
Florida,Florida,PA41B
Florida,Florida,PA42A
Florida,Florida,PA42B
Florida,Florida,PA43A
Florida,Florida,PA43B
Florida,Florida,PA44A
Florida,Florida,PA44B
Florida,Florida,PA45A
Florida,Florida,PA45B
Florida,Florida,PA46A
Florida,Florida,PA46B
Florida,Florida,PA47A
Florida,Florida,PA47B
Florida,Florida,PA48A
Florida,Florida,PA48B
Florida,Florida,PA48C
Florida,Florida,PA49A
Florida,Florida,PA49B
Florida,,PA50A
Florida,Florida,PA50B
Florida,Florida,PA50C!
Florida,Florida,PA51A
Florida,Florida,PA51B
Florida,Florida,PA52A
Florida,Florida,PA52B!
Florida,Florida,PA53A
Florida,Florida,PA53B
Florida,Florida,PA54A
Florida,Florida,PA54B
Florida,Florida,PA55A
Florida,Florida,PA55B
Florida,Florida,PA56A
Florida,Florida,PA56B
Florida,Florida,PA57A
Florida,Florida,PA57B
Florida,Florida,PA58A
Florida,Florida,PA58B
Florida,Florida,PA59A
Florida,Florida,PA59B
Florida,Florida,PA60A
Florida,Florida,PA60B
Florida,Florida,PA61A
Florida,Florida,PA61B
Florida,Florida,PA62A
Florida,Florida,PA62B
Florida,Florida,PA63A
Florida,Florida,PA63B
Florida,Florida,PA64A
Florida,Florida,PA64B
Florida,Florida,PA65A
Florida,Florida,PA65B
Florida,Florida,PA66A
Florida,Florida,PA66B
Florida,Florida,PA67A
Florida,Florida,PA67B
Florida,Florida,WV1!
Florida,Florida,WV2
Florida,Florida,WV3
Florida,Florida,WV4A
Florida,Florida,WV4B
Florida,Florida,WV5
Florida,Florida,WV6A
Florida,Florida,WV6B
Florida,Florida,WV7A
Florida,Florida,WV7B
Florida,Florida,WV8A
Florida,Florida,WV8B
Florida,Florida,WV9A
Florida,Florida,WV9B
Florida,Florida,WV10A
Florida,Florida,WV10B
Florida,Florida,WV10C
Florida,Florida,WV11A
Florida,Florida,WV11B!
Florida,Florida,WV12A
Florida,Florida,WV12B
Florida,Florida,WV13A
Florida,Florida,WV13B
Florida,Florida,WV14A
Florida,Florida,WV14B
Florida,Florida,WV15A
Florida,Florida,WV15B
Florida,Florida,WV16A
Florida,Florida,WV16B
Florida,,WV17A
Florida,Florida,WV17B
Florida,Florida,WV17C
Florida,Florida,WV18A
Florida,Florida,WV18B
Florida,Florida,WV19A
Florida,Florida,WV19B
Florida,Florida,WV20A
Florida,Florida,WV20B
Florida,Florida,WV21A
Florida,Florida,WV21B
Florida,Florida,WV22A
Florida,Florida,WV22B
Florida,Florida,WV23A
Florida,Florida,WV23B
Florida,Florida,WV24A
Florida,Florida,WV24B
Florida,Florida,WV25A
Florida,Florida,WV25B
Florida,Florida,WV26A
Florida,Florida,WV26B
Florida,Florida,WV27A
Florida,Florida,WV27B
Florida,Florida,WV28A
Florida,Florida,WV28B
Florida,Florida,WV29A
Florida,Florida,WV29B
Florida,Florida,WV30A
Florida,Florida,WV30B
Florida,Florida,WV31A
Florida,Florida,WV31B
Florida,Florida,WV32A
Florida,Florida,WV32B
Florida,Florida,WV33A
Florida,Florida,WV33B
Florida,Florida,WV34A
Florida,Florida,WV34B
Florida,Florida,WV35A
Florida,Florida,WV35B
Florida,Florida,WV36A
Florida,Florida,WV36B
Florida,Florida,WV37A
Florida,Florida,WV37B!
Florida,Florida,WV38A
Florida,Florida,WV38B
Florida,Florida,WV39A
Florida,Florida,WV39B
Florida,Florida,WV39C!
Florida,Florida,WV40A
Florida,Florida,WV40B
Florida,Florida,WV41A
Florida,Florida,WV41B
Florida,Florida,WV42A
Florida,Florida,WV42B
Florida,Florida,WV43A
Florida,Florida,WV43B
Florida,Florida,WV44A
Florida,Florida,WV44B
Florida,Florida,WV45A
Florida,Florida,WV45B
Florida,Florida,WV46A
Florida,Florida,WV46B
Florida,Florida,WV47A
Florida,Florida,WV47B
Florida,Florida,WV48A
Florida,,WV48B
Florida,,WV48C
Florida,Florida,WV48D
Florida,Florida,WV49A
Florida,Florida,WV49B
Florida,Florida,WV50A
Florida,Florida,WV50B
Florida,Florida,WV51A
Florida,Florida,WV51B
Florida,Florida,WV52A
Florida,Florida,WV52B
Florida,Florida,WV52C!
Florida,Florida,WV53A
Florida,,WV53B
Florida,Florida,WV53C!
Florida,Florida,WV54A
Florida,Florida,WV54B
Florida,Florida,DE1A
Florida,Florida,DE1B
Florida,Florida,DE1C!
Florida,Florida,DE2A
Florida,Florida,DE2B
Florida,,DE2C
Florida,Florida,DE3A
Florida,Florida,DE3B
Florida,Florida,DE3C!
Florida,Florida,DE4
Florida,Florida,DE5A
Florida,Florida,DE5B
Florida,Florida,DE6A
Florida,Florida,DE6B
Florida,Florida,MD1A
Florida,Florida,MD1B
Florida,Florida,MD2A
Florida,Florida,MD2B
Florida,Florida,MD3A
Florida,Florida,MD3B
Florida,Florida,MD4A
Florida,Florida,MD4B
Florida,Florida,MD4C
Florida,Florida,MD5A
Florida,Florida,MD5B
Florida,Florida,MD6A
Florida,Florida,MD6B
Florida,Florida,MD7A
Florida,Florida,MD7B
Florida,Florida,MD7C!
Florida,Florida,MD8A
Florida,Florida,MD8B
Florida,Florida,MD9N
Florida,Florida,MD9A
Florida,Florida,MD9B
Florida,Florida,MD10A
Florida,Florida,MD10B
Florida,Florida,MD11
Florida,Florida,MD12A
Florida,Florida,MD12B
Florida,Florida,MD13A
Florida,Florida,MD13B
Florida,Florida,MD13C
Florida,Florida,MD13D!
Florida,Florida,MD13E!
Florida,Florida,MD13F!
Florida,,MD13G
Florida,Florida,MD14
Florida,Florida,MD15A
Florida,Florida,MD15B
Florida,Florida,MD16
Florida,Florida,MD17A
Florida,Florida,MD17B
Florida,Florida,MD18A
Florida,Florida,MD18B
Florida,Florida,MD19A
Florida,Florida,MD19B
Florida,Florida,MD20A
Florida,Florida,MD20B
Florida,Florida,MD20C!
Florida,Florida,MD21A
Florida,Florida,MD21B
Florida,,MD22N
Florida,Florida,MD22M
Florida,Florida,MD22A
Florida,Florida,MD22B
Florida,Florida,MD22C!
Florida,Florida,MD23A
Florida,,MD23B
Florida,Florida,MD23C
Florida,Florida,MD24
Florida,Florida,MD25
Florida,Florida,MD26A
Florida,,MD26B
Florida,Florida,MD27A
Florida,Florida,MD27B
Florida,Florida,DC1A
Florida,Florida,DC1B!
Florida,Florida,VA1!
Florida,Florida,VA2A
Florida,Florida,VA2B
Florida,Florida,VA3A
Florida,Florida,VA3B
Florida,,VA3C
Florida,Florida,VA4N
Florida,Florida,VA5A
Florida,Florida,VA5B
Florida,Florida,VA6A
Florida,Florida,VA6B
Florida,Florida,VA7A
Florida,Florida,VA7B
Florida,Florida,VA8A
Florida,Florida,VA8B
Florida,Florida,VA8C!
Florida,Florida,VA9A
Florida,Florida,VA9B!
Florida,Florida,VA10A
Florida,Florida,VA10B
Florida,Florida,VA11A
Florida,Florida,VA11B
Florida,Florida,VA12N
Florida,,VA12A
Florida,Florida,VA12B!
Florida,Florida,VA13A
Florida,Florida,VA13B
Florida,Florida,VA14A
Florida,Florida,VA14B
Florida,Florida,VA14C
Florida,,VA15N
Florida,Florida,VA15A
Florida,Florida,VA15B
Florida,Florida,VA16A
Florida,Florida,VA16B
Florida,Florida,VA17A
Florida,Florida,VA17B
Florida,Florida,VA18
Florida,Florida,VA19A
Florida,Florida,VA19B
Florida,Florida,VA19C!
Florida,Florida,VA20A
Florida,Florida,VA20B
Florida,,VA20C
Florida,Florida,VA21N
Florida,Florida,VA21A
Florida,Florida,VA21B
Florida,Florida,VA22
Florida,Florida,VA23A
Florida,Florida,VA23B
Florida,Florida,VA24
Florida,Florida,VA25
Florida,,VA26A
Florida,Florida,VA26B
Florida,Florida,VA26C
Florida,Florida,VA27
Florida,Florida,VA28A
Florida,Florida,VA28B
Florida,Florida,VA29
Florida,Florida,VA30A
Florida,,VA30B!
Florida,Florida,VA30C!
Florida,Florida,VA30D!
Florida,Florida,VA30E!
Florida,,VA31A
Florida,Florida,VA31B
Florida,Florida,VA31C
Florida,Florida,VA32!
Florida,Florida,VA33A
Florida,Florida,VA33B
Florida,Florida,VA34A
Florida,Florida,VA34B
Florida,Florida,VA35A
Florida,Florida,VA35B
Florida,Florida,VA36A
Florida,Florida,VA36B
Florida,Florida,VA37
Florida,Florida,VA38
Florida,Florida,VA39!
Florida,Florida,VA40A
Florida,Florida,VA40B
Florida,Florida,VA41A
Florida,Florida,VA41B
Florida,Florida,VA42A
Florida,Florida,VA42B
Florida,Florida,VA43N
Florida,Florida,VA43A
Florida,Florida,VA43B
Florida,Florida,VA44A
Florida,Florida,VA44B
Florida,Florida,VA45A
Florida,Florida,VA45B
Florida,,VA46N
Florida,Florida,VA46A
Florida,Florida,VA46B!
Florida,Florida,VA47
Florida,Florida,VA48A
Florida,Florida,VA48B
Florida,Florida,VA49A
Florida,Florida,VA49B
Florida,Florida,VA50A
Florida,Florida,VA50B
Florida,Florida,VA51A
Florida,Florida,VA51B
Florida,,VA51C
Florida,Florida,VA52A
Florida,Florida,VA52B
Florida,Florida,VA52C!
Florida,Florida,VA53A
Florida,Florida,VA53B
Florida,Florida,VA54A
Florida,Florida,VA54B
Florida,Florida,VA55A
Florida,Florida,VA55B
Florida,Florida,VA56A
Florida,Florida,VA56B
Florida,Florida,VA57A
Florida,Florida,VA57B
Florida,,VA58
Florida,Florida,VA59N
Florida,Florida,VA59A
Florida,Florida,VA59B!
Florida,Florida,VA60
Florida,,VA61A
Florida,Florida,VA61B!
Florida,Florida,VA61C
Florida,Florida,VA62A
Florida,Florida,VA62B
Florida,Florida,VA63A
Florida,Florida,VA63B
Florida,Florida,VA64A
Florida,Florida,VA64B
Florida,Florida,VA65A
Florida,Florida,VA65B
Florida,Florida,VA65C!
Florida,Florida,VA66A
Florida,Florida,VA66B
Florida,Florida,VA67A
Florida,Florida,VA67B
Florida,Florida,VA68A
Florida,Florida,VA68B
Florida,Florida,VA69A
Florida,Florida,VA69B
Florida,Florida,VA70A
Florida,Florida,VA70B
Florida,Florida,VA71A
Florida,Florida,VA71B
Florida,Florida,VA72A
Florida,Florida,VA72B
Florida,Florida,VA73
Florida,Florida,VA74A
Florida,Florida,VA74B!
Florida,Florida,VA75A
Florida,Florida,VA75B
Florida,Florida,NC1
Florida,Florida,NC2A
Florida,Florida,NC2B
Florida,Florida,NC3A
Florida,Florida,NC3B
Florida,Florida,NC4A
Florida,Florida,NC4B
Florida,Florida,NC5A
Florida,Florida,NC5B
Florida,Florida,NC6!
Florida,Florida,NC7A
Florida,Florida,NC7B
Florida,Florida,NC8N
Florida,Florida,NC8A
Florida,Florida,NC8B
Florida,Florida,NC9A
Florida,Florida,NC9B
Florida,,NC10A
Florida,Florida,NC10B
Florida,Florida,NC10C
Florida,Florida,NC11A
Florida,Florida,NC11B
Florida,Florida,NC12A
Florida,Florida,NC12B
Florida,Florida,NC13A
Florida,Florida,NC13B
Florida,Florida,NC14N
Florida,Florida,NC14A
Florida,Florida,NC14B
Florida,Florida,NC14C!
Florida,Florida,NC15A
Florida,Florida,NC15B
Florida,,NC15C
Florida,Florida,NC16A
Florida,Florida,NC16B
Florida,Florida,NC17A
