Target,Response,Informant
fog,fog,NY1
fog,,NY2A
fog,fog,NY2B
fog,,NY2C
fog,fog,NY3A
fog,fog,NY3B
fog,fog,NY3C
fog,fog,NY3D
fog,fog,NY4A
fog,fog,NY4B
fog,fog,NY4C
fog,fog,NY5A
fog,fog,NY5B
fog,fog,NY5C
fog,fog,NY5D
fog,fog,NY5E
fog,fog,NY5F
fog,fog,NY5G
fog,fog,NY5H!
fog,fog,NY5I!
fog,fog,NY6A
fog,fog,NY6B
fog,fog,NY7A
fog,fog,NY7B
fog,fog,NY7C
fog,fog,NY7D
fog,fog,NY7E
fog,fog,NY7F
fog,fog,NY7G
fog,fog,NY7H
fog,fog,NY7I
fog,fog,NY7J!
fog,fog,NY7K!
fog,fog,NY7L!
fog,fog,NY7M!
fog,fog,NY8
fog,fog,NY9A
fog,fog,NY9B
fog,fog,NY9C
fog,fog,NY10A
fog,fog,NY10B!
fog,fog,NY11
fog,fog,NY12A
fog,fog,NY12B
fog,fog,NY12C!
fog,fog,NY13A
fog,fog,NY13B!
fog,fog,NY14A
fog,fog,NY14B
fog,fog,NY15A
fog,fog,NY15B
fog,fog,NY16A
fog,fog,NY16B
fog,fog,NY17A
fog,fog,NY17B
fog,fog,NY18A
fog,fog,NY18B
fog,fog,NY18C!
fog,fog,NY19
fog,fog,NY20A
fog,fog,NY20B
fog,fog,NY21
fog,fog,NY22
fog,,NY23A
fog,fog,NY23B
fog,fog,NY23C
fog,mists,NY23C
fog,mist,NY23C
fog,fog,NY23C
fog,fog,NY24A
fog,fog,NY24B!
fog,fog,NY25A
fog,fog,NY25B
fog,fog,NY26A
fog,haze,NY26A
fog,fog,NY26B
fog,burn away,NY26B
fog,fog,NY26B
fog,,NY26C
fog,fog,NY27A
fog,haze,NY27A
fog,,NY27B
fog,fog,NY27C
fog,fog,NY28A
fog,fog,NY28B
fog,,NY28C
fog,fog,NY29A
fog,fog,NY29B
fog,fog,NY29C
fog,fog,NY30A
fog,fog,NY30A
fog,mist,NY30A
fog,fog,NY30B
fog,,NY30C
fog,,NY30D
fog,fog,NY30E
fog,fog,NY31A
fog,fog,NY31B
fog,fog,NY32A
fog,fog,NY32B
fog,fog,NY33A
fog,mist,NY33B
fog,fog,NY33B
fog,fog,NY33C
fog,fog,NY34A
fog,,NY34B
fog,,NY34C
fog,fog,NY34D!
fog,fog,NY35A
fog,fog,NY35B
fog,,NY35C!
fog,fog,NY36A
fog,fog,NY36B
fog,fog,NY37A
fog,fog,NY37B
fog,fog,NY37C!
fog,fog,NY38A
fog,fog,NY38B
fog,,NY38C
fog,fog,NY39A
fog,fog,NY39B
fog,fog,NY40A
fog,fog,NY40B
fog,fog,NY41
fog,fog,NY42A
fog,fog,NY42B
fog,,NY43A
fog,fog,NY43B
fog,fog,NY43C!
fog,fog,NY44A
fog,fog,NY44B
fog,fog,NY45A
fog,haze,NY45A
fog,,NY45B
fog,,NY45C
fog,fog,NY45D!
fog,fog,NY46A
fog,fog,NY46B
fog,fog,NY46C
fog,fog,NY47A
fog,fog,NY47A
fog,fog,NY47A
fog,fog,NY47B
fog,fog,NY48A
fog,,NY48B
fog,fog,NY48C
fog,mist,NY48C
fog,fog,NY48D
fog,mist,NY48D
fog,fog,NY48D
fog,not heavy,NY48D
fog,,NY49A
fog,,NY49B
fog,smog,NY49C
fog,fog,NY49C
fog,fog,NY49D
fog,fog,NY50A
fog,fog,NY50B
fog,fog,NY51A
fog,haze,NY51A
fog,fog,NY51A
fog,fog,NY51B
fog,fog,NY51C
fog,fog,NY51D
fog,,NY51E!
fog,fog,NY52A
fog,,NY52B
fog,fog,NY52C
fog,fog,NY53A
fog,fog,NY53B!
fog,fog,NY53B!
fog,fog,NY54A
fog,fog,NY54B
fog,fog,NY55A
fog,fog,NY55B
fog,fog,NY56A
fog,fog,NY56B
fog,fog,NY56B
fog,fog,NY57A
fog,fog,NY57A
fog,,NY57B
fog,fog,NY57C!
fog,fog,NY58A
fog,fog,NY58B
fog,,NY58C
fog,fog,NY58D!
fog,it's misting,NY58D!
fog,mist,NY58D!
fog,fog,NY58E!
fog,fog,NY58E!
fog,mist,NY58E!
fog,,NY58F!
fog,fog,NY59A
fog,fog,NY59B
fog,fog,NY60A
fog,fog,NY60B!
fog,fog,NY61A
fog,fog,NY61A
fog,fog,NY61B
fog,fog,NY62A
fog,fog,NY62B
fog,fog,NY62C
fog,mist,NY62C
fog,fog,NY62C
fog,fog,NY62D!
fog,fog,NY63A
fog,mist,NY63A
fog,fog,NY63B
fog,fog,NY63C
fog,fog,NY63D!
fog,fog,NY64A
fog,fog,NY64B
fog,fog,NY64B
fog,fog,NY64C!
fog,haze,NY64C!
fog,fog,NJ1A
fog,fog,NJ1B
fog,fog,NJ2A
fog,fog,NJ2B
fog,fog,NJ2B
fog,fog,NJ3A
fog,fog,NJ3B
fog,fog,NJ4A
fog,fog,NJ4B
fog,fog,NJ5A
fog,fog,NJ5B
fog,fog,NJ6A
fog,fog,NJ6B
fog,fog,NJ7A
fog,fog,NJ7B!
fog,fog,NJ8A
fog,fog,NJ8B
fog,fog,NJ9A
fog,fog,NJ9B
fog,fog,NJ10A
fog,fog,NJ10B
fog,fog,NJ10C
fog,fog,NJ10D!
fog,fog,NJ11A
fog,fog,NJ11B
fog,fog,NJ11C
fog,fog,NJ12A
fog,fog,NJ12B
fog,fog,NJ13A
fog,fog,NJ13B
fog,fog,NJ14A
fog,fog,NJ14B
fog,fog,NJ15A
fog,fog,NJ15B
fog,fog,NJ16A
fog,fog,NJ16B
fog,fog,NJ17A
fog,fog,NJ17B
fog,fog,NJ18A
fog,fog,NJ18B
fog,fog,NJ18C!
fog,fog,NJ18D!
fog,fog,NJ19A
fog,fog,NJ19B!
fog,fog,NJ20A
fog,fog,NJ20B
fog,fog,NJ21A
fog,fog,NJ21B
fog,fog,PA1A
fog,fog,PA1B
fog,fog,PA1C
fog,fog,PA1D
fog,fog,PA1E!
fog,fog,PA1F!
fog,fog,PA1G!
fog,fog,PA1H!
fog,fog,PA2A
fog,fog,PA2B
fog,fog,PA3A
fog,fog,PA3B
fog,fog,PA3C
fog,fog,PA4A
fog,fog,PA4A
fog,fog,PA4B!
fog,fog,PA5A
fog,fog,PA5B
fog,fog,PA5C
fog,fog,PA5D
fog,fog,PA5E!
fog,fog,PA6A
fog,fog,PA6B
fog,fog,PA6C
fog,fog,PA6D!
fog,fog,PA7A
fog,fog,PA7B
fog,fog,PA7C
fog,fog,PA7D!
fog,fog,PA8A
fog,fog,PA8B
fog,fog,PA8C
fog,fog,PA8D!
fog,fog,PA9A
fog,fog,PA9B
fog,fog,PA9C!
fog,fog,PA10
fog,fog,PA11A
fog,fog,PA11B
fog,fog,PA12A
fog,fog,PA12B
fog,fog,PA13A
fog,fog,PA13B
fog,fog,PA14A
fog,fog,PA14B
fog,,PA14C
fog,fog,PA15A
fog,fog,PA15B
fog,fog,PA15C!
fog,fog,PA16A
fog,fog,PA16B
fog,,PA16C
fog,fog,PA17A
fog,fog,PA17B
fog,fog,PA18A
fog,fog,PA18B!
fog,fog,PA19A
fog,fog,PA19B
fog,fog,PA20A
fog,fog,PA20B
fog,fog,PA21A
fog,fog,PA21B
fog,fog,PA22A
fog,fog,PA22B
fog,fog,PA23A
fog,fog,PA23B
fog,fog,PA24A
fog,fog,PA24B
fog,fog,PA25A
fog,fog,PA25B
fog,fog,PA26A
fog,fog,PA26B
fog,fog,PA27A
fog,fog,PA27B
fog,fog,PA28A
fog,fog,PA28B!
fog,fog,PA29A
fog,fog,PA29B
fog,fog,PA30A
fog,fog,PA30B
fog,fog,PA31A
fog,fog,PA31B
fog,fog,PA32A
fog,fog,PA32B
fog,fog,PA33A
fog,fog,PA33B
fog,fog,PA34A
fog,fog,PA34B
fog,,PA34C!
fog,fog,PA35A
fog,fog,PA35A
fog,fog,PA35B
fog,,PA35C
fog,fog,PA36A
fog,fog,PA36B
fog,fog,PA37A
fog,fog,PA37B
fog,,PA37C
fog,fog,PA38A
fog,fog,PA38B
fog,fog,PA39A
fog,fog,PA39B
fog,fog,PA40A
fog,fog,PA40B
fog,fog,PA41A
fog,fog,PA41B
fog,fog,PA42A
fog,fog,PA42B
fog,fog,PA43A
fog,fog,PA43B
fog,fog,PA44A
fog,fog,PA44B
fog,fog,PA45A
fog,fog,PA45B
fog,fog,PA46A
fog,fog,PA46B
fog,fog,PA47A
fog,fog,PA47B
fog,fog,PA48A
fog,fog,PA48B
fog,fog,PA48C
fog,fog,PA49A
fog,fog,PA49B
fog,,PA50A
fog,fog,PA50B
fog,fog,PA50C!
fog,fog,PA51A
fog,fog,PA51B
fog,fog,PA52A
fog,fog,PA52B!
fog,fog,PA53A
fog,fog,PA53B
fog,fog,PA54A
fog,fog,PA54B
fog,fog,PA55A
fog,fog,PA55B
fog,fog,PA56A
fog,fog,PA56B
fog,fog,PA57A
fog,fog,PA57B
fog,fog,PA58A
fog,fog,PA58B
fog,fog,PA59A
fog,fog,PA59B
fog,fog,PA60A
fog,fog,PA60B
fog,fog,PA61A
fog,fog,PA61B
fog,fog,PA62A
fog,fog,PA62B
fog,fog,PA63A
fog,fog,PA63B
fog,fog,PA64A
fog,fog,PA64B
fog,fog,PA65A
fog,fog,PA65B
fog,fog,PA66A
fog,fog,PA66B
fog,fog,PA67A
fog,fog,PA67B
fog,fog,WV1!
fog,fog,WV2
fog,fog,WV3
fog,fog,WV4A
fog,fog,WV4B
fog,fog,WV5
fog,fog,WV6A
fog,fog,WV6B
fog,fog,WV7A
fog,fog,WV7B
fog,fog,WV8A
fog,fog,WV8B
fog,fog,WV9A
fog,fog,WV9B
fog,fog,WV10A
