Target,Response,Informant
foggy,foggy,NY1
foggy,,NY2A
foggy,foggy,NY2B
foggy,,NY2C
foggy,foggy,NY3A
foggy,foggy,NY3B
foggy,foggy,NY3C
foggy,foggy,NY3D
foggy,foggy,NY4A
foggy,foggy,NY4B
foggy,foggy,NY4C
foggy,foggy,NY5A
foggy,foggy,NY5B
foggy,foggy,NY5C
foggy,foggy,NY5D
foggy,foggy,NY5E
foggy,foggy,NY5F
foggy,foggy,NY5G
foggy,foggy,NY5H!
foggy,foggy,NY5I!
foggy,foggy,NY6A
foggy,foggy,NY6B
foggy,foggy,NY7A
foggy,foggy,NY7B
foggy,foggy,NY7C
foggy,foggy,NY7D
foggy,foggy,NY7E
foggy,foggy,NY7F
foggy,foggy,NY7G
foggy,foggy,NY7H
foggy,foggy,NY7I
foggy,foggy,NY7J!
foggy,foggy,NY7K!
foggy,foggy,NY7L!
foggy,foggy,NY7M!
foggy,foggy,NY8
foggy,foggy,NY9A
foggy,foggy,NY9B
foggy,foggy,NY9C
foggy,foggy,NY10A
foggy,foggy,NY10B!
foggy,foggy,NY11
foggy,foggy,NY12A
foggy,foggy,NY12B
foggy,foggy,NY12C!
foggy,foggy,NY13A
foggy,foggy,NY13B!
foggy,foggy,NY14A
foggy,foggy,NY14B
foggy,foggy,NY15A
foggy,foggy,NY15B
foggy,foggy,NY16A
foggy,foggy,NY16B
foggy,foggy,NY17A
foggy,foggy,NY17B
foggy,foggy,NY18A
foggy,foggy,NY18B
foggy,foggy,NY18C!
foggy,foggy,NY19
foggy,foggy,NY20A
foggy,foggy,NY20B
foggy,foggy,NY21
foggy,foggy,NY22
foggy,,NY23A
foggy,foggy,NY23B
foggy,foggy,NY23C
foggy,foggy,NY24A
foggy,foggy,NY24B!
foggy,foggy,NY24B!
foggy,foggy,NY25A
foggy,foggy,NY25B
foggy,foggy,NY26A
foggy,hazy,NY26A
foggy,foggy,NY26B
foggy,foggy,NY26B
foggy,,NY26C
foggy,foggy,NY27A
foggy,,NY27B
foggy,hazy,NY27C
foggy,foggy,NY27C
foggy,lowery,NY27C
foggy,foggy,NY28A
foggy,foggy,NY28B
foggy,,NY28C
foggy,foggy,NY29A
foggy,foggy day,NY29B
foggy,hazy,NY29C
foggy,foggy,NY29C
foggy,foggy,NY30A
foggy,misty,NY30A
foggy,foggy,NY30B
foggy,,NY30C
foggy,,NY30D
foggy,foggy,NY30E
foggy,foggy,NY31A
foggy,foggy,NY31B
foggy,foggy,NY32A
foggy,foggy,NY32B
foggy,,NY33A
foggy,foggy,NY33B
foggy,foggy,NY33C
foggy,misty,NY33C
foggy,foggy,NY34A
foggy,,NY34B
foggy,,NY34C
foggy,foggy,NY34D!
foggy,foggy,NY35A
foggy,foggy,NY35B
foggy,,NY35C!
foggy,foggy,NY36A
foggy,foggy,NY36B
foggy,foggy,NY37A
foggy,foggy,NY37B
foggy,foggy,NY37C!
foggy,foggy,NY38A
foggy,foggy,NY38B
foggy,,NY38C
foggy,foggy,NY39A
foggy,foggy,NY39B
foggy,foggy,NY40A
foggy,foggy,NY40B
foggy,foggy,NY41
foggy,foggy,NY42A
foggy,foggy,NY42B
foggy,,NY43A
foggy,foggy,NY43B
foggy,foggy,NY43C!
foggy,foggy,NY44A
foggy,foggy,NY44B
foggy,foggy,NY45A
foggy,,NY45B
foggy,,NY45C
foggy,foggy,NY45D!
foggy,foggy,NY46A
foggy,hazy,NY46A
foggy,foggy,NY46B
foggy,foggy,NY46B
foggy,foggy,NY46C
foggy,foggy,NY47A
foggy,foggy,NY47A
foggy,foggy,NY47B
foggy,foggy,NY48A
foggy,,NY48B
foggy,foggy,NY48C
foggy,misty,NY48C
foggy,foggy,NY48D
foggy,,NY49A
foggy,,NY49B
foggy,foggy,NY49C
foggy,foggy day,NY49D
foggy,foggy,NY50A
foggy,foggy,NY50B
foggy,foggy,NY51A
foggy,foggy,NY51A
foggy,foggy,NY51B
foggy,foggy,NY51C
foggy,foggy,NY51D
foggy,,NY51E!
foggy,foggy,NY52A
foggy,,NY52B
foggy,foggy,NY52C
foggy,foggy,NY52C
foggy,foggy,NY53A
foggy,foggy,NY53B!
foggy,foggy,NY54A
foggy,misty day,NY54B
foggy,foggy day,NY54B
foggy,foggy,NY55A
foggy,foggy morning,NY55B
foggy,foggy,NY56A
foggy,foggy,NY56B
foggy,foggy,NY57A
foggy,,NY57B
foggy,foggy,NY57C!
foggy,foggy,NY58A
foggy,foggy,NY58B
