Target,Response,Informant
food,,NY1
food,,NY2A
food,,NY2B
food,,NY2C
food,food,NY3A
food,vittles,NY3A
food,food,NY3B
food,food,NY3C
food,food,NY3D
food,food,NY4A
food,food,NY4B
food,food,NY4C
food,food,NY5A
food,food,NY5B
food,food,NY5C
food,vittles,NY5D
food,food,NY5D
food,food,NY5E
food,food,NY5E
food,food,NY5F
food,food,NY5G
food,food,NY5H!
food,food,NY5I!
food,food,NY6A
food,food,NY6B
food,food,NY7A
food,food,NY7B
food,food,NY7C
food,food,NY7D
food,food,NY7E
food,food,NY7F
food,food,NY7G
food,food,NY7H
food,food,NY7H
food,food,NY7I
food,food,NY7J!
food,food,NY7K!
food,food,NY7L!
food,food,NY7M!
food,food,NY8
food,food,NY9A
food,food,NY9B
food,vittles,NY9B
food,food,NY9C
food,food,NY10A
food,vittles,NY10A
food,food,NY10B!
food,food,NY11
food,food,NY12A
food,vittles,NY12A
food,food,NY12A
food,vittles,NY12A
food,food,NY12B
food,vittles,NY12B
food,food,NY12C!
food,food,NY13A
food,food,NY13B!
food,vittles,NY14A
food,food,NY14A
food,food,NY14B
food,vittles,NY14B
food,vittles,NY15A
food,food,NY15A
food,vittles,NY15B
food,food,NY15B
food,food,NY16A
food,food,NY16B
food,vittles,NY17A
food,food,NY17A
food,food,NY17B
food,food,NY18A
food,grub,NY18A
food,vittles,NY18A
food,food,NY18B
food,food,NY18C!
food,food,NY19
food,food,NY20A
food,food,NY20B
food,vittles,NY20B
food,vittles,NY21
food,food,NY21
food,vittles,NY22
food,food,NY22
food,vittles,NY23A
food,food,NY23B
food,groceries,NY23B
food,vittles,NY23B
food,vittles,NY23C
food,food,NY23C
food,food,NY24A
food,vittles,NY24A
food,food,NY24B!
food,a meal of vittles,NY25A
food,food,NY25A
food,food,NY25B
food,vittles,NY25B
food,food,NY26A
food,grub,NY26A
food,the food,NY26A
food,vittles,NY26A
food,food,NY26B
food,vittles,NY26B
food,eatables,NY27A
food,food,NY27A
food,grub,NY27A
food,vittles,NY27A
food,food,NY27B
food,vittles,NY27B
food,grub,NY27C
food,vittles,NY27C
food,food,NY28A
food,a lot of vittles,NY28A
food,food,NY28B
food,vittles,NY28B
food,,NY28C
food,vittles,NY29A
food,food,NY29A
food,wanting food,NY29B
food,food,NY29B
food,vittles,NY29B
food,food,NY29C
food,grub,NY29C
food,vittles,NY29C
food,vittles,NY30A
food,food,NY30B
food,vittles,NY30B
food,,NY30C
food,fodder,NY30D
food,food,NY30D
food,food,NY30E
food,vittles,NY30E
food,fodder,NY31A
food,food,NY31A
food,vittles,NY31A
food,food,NY31B
food,food,NY32A
food,groceries,NY32A
food,food,NY32B
food,grub,NY32B
food,food,NY33A
food,grub,NY33A
food,,NY33B
food,food,NY33C
food,grub,NY33C
food,vittles,NY33C
food,food,NY34A
food,common name,NY34A
food,grub,NY34A
food,vittles,NY34A
food,,NY34B
food,grub,NY34C
food,food,NY34C
food,food,NY34D!
food,vittles,NY34D!
food,food,NY35A
food,food,NY35B
food,food,NY35C!
food,food,NY36A
food,vittles,NY36B
food,food,NY36B
food,vittles,NY37A
food,food,NY37A
food,food,NY37B
food,food,NY37C!
food,grub,NY38A
food,food,NY38A
food,food,NY38B
food,food,NY38C
food,vittles,NY39A
food,food,NY39B
food,vittles,NY40A
food,food,NY40A
food,food,NY40B
food,vittles,NY41
food,food,NY41
food,food,NY42A
food,vittles,NY42A
food,food,NY42B
food,vittles,NY43A
food,food,NY43A
food,food,NY43B
food,food,NY43C!
food,vittles,NY44A
food,food,NY44A
food,food,NY44B
food,grub,NY45A
food,food,NY45A
food,vittles,NY45A
food,food,NY45A
food,the eats,NY45B
food,vittles,NY45C
food,food,NY45D!
food,food,NY46A
food,grub,NY46A
food,vittles,NY46B
food,food,NY46B
food,food,NY46C
food,grub,NY47A
food,vittles,NY47A
food,vittles,NY47B
food,food,NY47B
food,feed,NY48A
food,food,NY48A
food,vittles,NY48A
food,,NY48B
food,grub,NY48C
food,vittles,NY48C
food,feed,NY48C
food,food,NY48D
food,country vittles,NY48D
food,,NY49A
food,food,NY49B
food,food,NY49C
food,food,NY49C
food,dinner,NY49C
food,eats,NY49D
food,food,NY49D
food,vittles,NY50A
food,food,NY50A
food,food,NY50B
food,food,NY50B
food,vittles,NY50B
food,food,NY51A
food,vittles,NY51B
food,fodder,NY51B
food,food,NY51B
food,food,NY51C
food,vittles,NY51C
food,food,NY51C
food,food,NY51D
food,food,NY51E!
food,grub,NY52A
food,food,NY52A
food,vittles,NY52A
food,food,NY52B
food,vittles,NY52B
food,grub,NY52B
food,grub,NY52C
food,stuff,NY53A
food,vittles,NY53A
food,foods,NY53B!
food,food,NY54A
food,food,NY54B
food,grub,NY54B
food,chow,NY54B
food,vittles,NY55A
food,food,NY55A
food,sounded terrible,NY55A
food,sea food,NY55B
food,food,NY55B
food,vittles,NY55B
food,vittles,NY56A
food,eats,NY56B
food,vittles,NY56B
food,food,NY56B
food,grub,NY56B
food,food,NY57A
food,vittles,NY57A
food,groceries,NY57A
food,food,NY57B
food,a meal of vittles,NY57B
food,vittles,NY57B
food,a lot of vittles,NY57C!
food,food,NY57C!
food,food,NY58A
food,food,NY58A
food,grub,NY58B
food,vittles,NY58B
food,food,NY58B
food,food,NY58B
food,,NY58C
food,food,NY58D!
food,food,NY58E!
food,food,NY58F!
food,food,NY59A
food,grub,NY59A
food,food,NY59B
food,food,NY60A
food,a good meal of vittles,NY60A
food,grub,NY60B!
food,food,NY60B!
food,food,NY61A
food,grub,NY61B
food,food,NY61B
food,vittles,NY61B
food,food,NY62A
food,vittles,NY62A
food,stuff,NY62A
food,food,NY62B
food,food,NY62B
food,food,NY62B
food,grub,NY62B
food,food,NY62C
food,food,NY62C
food,food,NY62D!
food,vittles,NY62D!
food,grub,NY63A
food,vittles,NY63A
food,food,NY63A
food,food,NY63B
food,food,NY63C
food,vittles,NY63D!
food,food,NY63D!
food,cold vittles,NY63D!
food,food,NY64A
food,vittles,NY64A
food,fodder,NY64A
food,vittles,NY64B
food,food,NY64B
food,vittles,NY64B
food,food,NY64B
food,fodder,NY64C!
food,grub,NY64C!
food,food,NY64C!
food,vittles,NJ1A
food,grub,NJ1A
food,food,NJ1A
food,grub,NJ1B
food,food,NJ1B
food,vittles,NJ2A
food,vittles,NJ2B
food,food,NJ2B
food,food,NJ3A
food,vittles,NJ3A
food,food,NJ3B
food,vittles,NJ3B
food,grub,NJ4A
food,food,NJ4A
food,vittles,NJ4B
food,food,NJ4B
food,food,NJ5A
food,vittles,NJ5A
food,vittles,NJ5B
food,food,NJ5B
food,food,NJ6A
food,food,NJ6B
food,vittles,NJ6B
food,food,NJ7A
food,vittles,NJ7A
food,grub,NJ7A
food,food,NJ7B!
food,food,NJ7B!
food,food,NJ8A
food,food,NJ8B
food,food,NJ9A
food,vittles,NJ9A
food,food,NJ9B
food,food,NJ10A
food,food,NJ10B
food,food,NJ10C
food,vittles,NJ10D!
food,food,NJ10D!
food,food,NJ11A
food,food,NJ11B
food,vittles,NJ11C
food,food,NJ11C
food,food,NJ12A
food,food,NJ12B
food,food,NJ13A
food,food,NJ13B
food,vittles,NJ13B
food,food,NJ14A
food,vittles,NJ14A
food,food,NJ14B
food,food,NJ15A
food,food,NJ15B
food,food,NJ16A
food,food,NJ16B
food,vittles,NJ16B
food,food,NJ17A
food,edible,NJ17A
food,food,NJ17B
