Target,Response,Informant
fortnight,,NY1
fortnight,,NY2A
fortnight,,NY2B
fortnight,,NY2C
fortnight,,NY3A
fortnight,,NY3B
fortnight,,NY3C
fortnight,,NY3D
fortnight,,NY4A
fortnight,,NY4B
fortnight,,NY4C
fortnight,,NY5A
fortnight,,NY5B
fortnight,,NY5C
fortnight,,NY5D
fortnight,,NY5E
fortnight,,NY5F
fortnight,,NY5G
fortnight,,NY5H!
fortnight,,NY5I!
fortnight,,NY6A
fortnight,,NY6B
fortnight,,NY7A
fortnight,,NY7B
fortnight,,NY7C
fortnight,,NY7D
fortnight,,NY7E
fortnight,,NY7F
fortnight,,NY7G
fortnight,,NY7H
fortnight,,NY7I
fortnight,,NY7J!
fortnight,,NY7K!
fortnight,,NY7L!
fortnight,,NY7M!
fortnight,,NY8
fortnight,,NY9A
fortnight,,NY9B
fortnight,,NY9C
fortnight,,NY10A
fortnight,,NY10B!
fortnight,,NY11
fortnight,,NY12A
fortnight,,NY12B
fortnight,,NY12C!
fortnight,,NY13A
fortnight,,NY13B!
fortnight,,NY14A
fortnight,,NY14B
fortnight,,NY15A
fortnight,,NY15B
fortnight,,NY16A
fortnight,,NY16B
fortnight,,NY17A
fortnight,,NY17B
fortnight,,NY18A
fortnight,,NY18B
fortnight,,NY18C!
fortnight,,NY19
fortnight,,NY20A
fortnight,,NY20B
fortnight,,NY21
fortnight,,NY22
fortnight,,NY23A
fortnight,fortnight,NY23B
fortnight,fortnight,NY23C
fortnight,fortnight,NY23C
fortnight,,NY24A
fortnight,,NY24B!
fortnight,fifteen days,NY25A
fortnight,half a month,NY25A
fortnight,fortnight,NY25A
fortnight,two week,NY25B
fortnight,fortnight,NY25B
fortnight,fifteen days,NY25B
fortnight,fifteen days,NY26A
fortnight,fortnight,NY26A
fortnight,two weeks,NY26B
fortnight,fortnight,NY26B
fortnight,,NY26C
fortnight,two weeks,NY27A
fortnight,couple of weeks,NY27A
fortnight,fortnight,NY27A
fortnight,,NY27B
fortnight,two weeks,NY27C
fortnight,fortnight,NY27C
fortnight,two weeks ago,NY28A
fortnight,fifteen days,NY28A
fortnight,two weeks,NY28B
fortnight,I haven't heard the word,NY28B
fortnight,fortnight,NY28B
fortnight,for a long time,NY28B
fortnight,,NY28C
fortnight,two weeks,NY29A
fortnight,half the month,NY29A
fortnight,fortnight,NY29A
fortnight,fifteen days,NY29B
fortnight,couple of weeks,NY29B
fortnight,couple of weeks,NY29C
fortnight,fortnight,NY29C
fortnight,two weeks,NY30A
fortnight,fortnight,NY30A
fortnight,fifteen days,NY30A
fortnight,half a month,NY30A
fortnight,couple of weeks,NY30B
fortnight,fortnight,NY30B
fortnight,,NY30C
fortnight,,NY30D
fortnight,fortnight,NY30E
fortnight,two weeks,NY30E
fortnight,couple of weeks,NY31A
fortnight,two weeks,NY31A
fortnight,fortnight,NY31A
fortnight,fortnight,NY31B
fortnight,fortnight,NY31B
fortnight,fortnight,NY31B
fortnight,fortnight,NY32A
fortnight,half a month,NY32A
fortnight,couple of weeks,NY32B
fortnight,,NY33A
fortnight,couple of weeks,NY33B
fortnight,two weeks,NY33C
fortnight,fortnight,NY33C
fortnight,half of the month,NY34A
fortnight,,NY34B
fortnight,,NY34C
fortnight,fortnight,NY34D!
fortnight,,NY35A
fortnight,,NY35B
fortnight,,NY35C!
fortnight,,NY36A
fortnight,,NY36B
fortnight,,NY37A
fortnight,,NY37B
fortnight,,NY37C!
fortnight,,NY38A
fortnight,,NY38B
fortnight,,NY38C
fortnight,,NY39A
fortnight,,NY39B
fortnight,,NY40A
fortnight,,NY40B
fortnight,,NY41
fortnight,,NY42A
fortnight,,NY42B
fortnight,,NY43A
fortnight,,NY43B
fortnight,,NY43C!
fortnight,,NY44A
fortnight,,NY44B
fortnight,couple of weeks,NY45A
fortnight,,NY45B
fortnight,,NY45C
fortnight,,NY45D!
fortnight,couple of weeks,NY46A
fortnight,,NY46B
fortnight,,NY46C
fortnight,half a month,NY47A
fortnight,,NY47B
fortnight,fortnight,NY48A
fortnight,,NY48B
fortnight,fortnight,NY48C
fortnight,couple of weeks,NY48C
fortnight,two weeks,NY48D
fortnight,fortnight,NY48D
fortnight,,NY49A
fortnight,,NY49B
fortnight,,NY49C
fortnight,,NY49D
fortnight,two weeks ago,NY50A
fortnight,two weeks,NY50A
fortnight,fortnight,NY50A
fortnight,two weeks,NY50B
fortnight,fortnight,NY50B
fortnight,couple of weeks,NY51A
fortnight,fortnight,NY51A
fortnight,fortnight,NY51A
fortnight,two weeks,NY51B
fortnight,,NY51C
fortnight,,NY51D
fortnight,,NY51D
fortnight,,NY51E!
fortnight,,NY52A
fortnight,,NY52B
fortnight,,NY52C
fortnight,two weeks,NY53A
fortnight,fortnight,NY53B!
fortnight,two weeks,NY53B!
fortnight,,NY54A
fortnight,,NY54B
fortnight,two weeks,NY55A
fortnight,couple of weeks,NY55A
fortnight,fortnight,NY55A
fortnight,,NY55B
fortnight,half the month,NY56A
fortnight,fortnight,NY56A
fortnight,,NY56B
fortnight,,NY57A
fortnight,,NY57B
fortnight,fortnight,NY57C!
fortnight,fortnight,NY58A
fortnight,couple of weeks,NY58B
fortnight,fortnight,NY58B
fortnight,,NY58C
fortnight,two weeks,NY58D!
fortnight,fortnight,NY58D!
fortnight,,NY58E!
fortnight,,NY58F!
fortnight,,NY59A
fortnight,,NY59B
fortnight,,NY60A
fortnight,,NY60B!
fortnight,half a month,NY61A
fortnight,fortnight,NY61A
fortnight,fifteen days,NY61A
fortnight,two week,NY61B
fortnight,fortnight,NY61B
fortnight,,NY62A
fortnight,two weeks,NY62B
fortnight,two weeks,NY62B
fortnight,,NY62C
fortnight,fortnight,NY62D!
fortnight,two weeks,NY62D!
fortnight,couple of weeks,NY63A
fortnight,,NY63B
fortnight,,NY63C
fortnight,couple of weeks,NY63D!
fortnight,fortnight,NY64A
fortnight,two weeks,NY64A
fortnight,fortnight,NY64B
fortnight,two weeks,NY64C!
fortnight,,NJ1A
fortnight,,NJ1B
fortnight,,NJ2A
fortnight,,NJ2B
fortnight,,NJ3A
fortnight,,NJ3B
fortnight,,NJ4A
fortnight,,NJ4B
fortnight,,NJ5A
fortnight,,NJ5B
fortnight,,NJ6A
fortnight,,NJ6B
fortnight,,NJ7A
fortnight,,NJ7B!
fortnight,,NJ8A
fortnight,,NJ8B
fortnight,,NJ9A
fortnight,,NJ9B
fortnight,,NJ10A
fortnight,,NJ10B
fortnight,,NJ10C
fortnight,,NJ10D!
fortnight,,NJ11A
fortnight,,NJ11B
fortnight,,NJ11C
fortnight,,NJ12A
fortnight,,NJ12B
fortnight,,NJ13A
fortnight,,NJ13B
fortnight,,NJ14A
fortnight,,NJ14B
fortnight,,NJ15A
fortnight,,NJ15B
fortnight,,NJ16A
fortnight,,NJ16B
fortnight,,NJ17A
fortnight,,NJ17B
fortnight,,NJ18A
fortnight,,NJ18B
fortnight,,NJ18C!
fortnight,,NJ18D!
fortnight,,NJ19A
fortnight,,NJ19B!
fortnight,,NJ20A
fortnight,,NJ20B
fortnight,,NJ21A
fortnight,,NJ21B
fortnight,,PA1A
fortnight,,PA1B
fortnight,,PA1C
fortnight,,PA1D
fortnight,,PA1E!
fortnight,,PA1F!
fortnight,,PA1G!
fortnight,,PA1H!
fortnight,,PA2A
fortnight,,PA2B
fortnight,,PA3A
fortnight,,PA3B
fortnight,,PA3C
fortnight,,PA4A
fortnight,,PA4B!
fortnight,,PA5A
fortnight,,PA5B
fortnight,,PA5C
fortnight,,PA5D
fortnight,,PA5E!
fortnight,,PA6A
fortnight,,PA6B
fortnight,,PA6C
fortnight,,PA6D!
fortnight,,PA7A
fortnight,,PA7B
fortnight,,PA7C
fortnight,,PA7D!
fortnight,,PA8A
fortnight,,PA8B
fortnight,,PA8C
fortnight,,PA8D!
fortnight,,PA9A
fortnight,,PA9B
fortnight,,PA9C!
fortnight,,PA10
fortnight,,PA11A
fortnight,,PA11B
fortnight,,PA12A
fortnight,,PA12B
fortnight,,PA13A
fortnight,,PA13B
fortnight,,PA14A
fortnight,,PA14B
fortnight,,PA14C
fortnight,,PA15A
fortnight,,PA15B
fortnight,,PA15C!
fortnight,,PA16A
fortnight,,PA16B
fortnight,,PA16C
fortnight,,PA17A
fortnight,,PA17B
fortnight,,PA18A
fortnight,,PA18B!
fortnight,,PA19A
fortnight,,PA19B
fortnight,,PA20A
fortnight,,PA20B
fortnight,,PA21A
fortnight,,PA21B
fortnight,,PA22A
fortnight,,PA22B
fortnight,,PA23A
fortnight,,PA23B
fortnight,,PA24A
fortnight,,PA24B
fortnight,,PA25A
fortnight,,PA25B
fortnight,,PA26A
fortnight,,PA26B
fortnight,,PA27A
fortnight,,PA27B
fortnight,,PA28A
fortnight,,PA28B!
fortnight,,PA29A
fortnight,,PA29B
fortnight,,PA30A
fortnight,,PA30B
fortnight,,PA31A
fortnight,,PA31B
fortnight,,PA32A
fortnight,,PA32B
fortnight,,PA33A
fortnight,,PA33B
fortnight,,PA34A
fortnight,,PA34B
fortnight,,PA34C!
fortnight,,PA35A
fortnight,,PA35B
fortnight,,PA35C
fortnight,,PA36A
fortnight,,PA36B
fortnight,,PA37A
fortnight,,PA37B
fortnight,,PA37C
fortnight,,PA38A
fortnight,,PA38B
fortnight,,PA39A
fortnight,,PA39B
fortnight,,PA40A
fortnight,,PA40B
fortnight,,PA41A
fortnight,,PA41B
fortnight,,PA42A
fortnight,,PA42B
fortnight,,PA43A
fortnight,,PA43B
fortnight,,PA44A
fortnight,,PA44B
fortnight,,PA45A
fortnight,,PA45B
fortnight,,PA46A
fortnight,,PA46B
fortnight,,PA47A
fortnight,,PA47B
fortnight,,PA48A
fortnight,,PA48B
fortnight,,PA48C
fortnight,,PA49A
fortnight,,PA49B
fortnight,,PA50A
fortnight,,PA50B
fortnight,,PA50C!
fortnight,,PA51A
fortnight,,PA51B
fortnight,,PA52A
fortnight,,PA52B!
fortnight,,PA53A
fortnight,,PA53B
fortnight,,PA54A
fortnight,,PA54B
fortnight,,PA55A
fortnight,,PA55B
fortnight,,PA56A
fortnight,,PA56B
fortnight,,PA57A
fortnight,,PA57B
fortnight,,PA58A
fortnight,,PA58B
fortnight,,PA59A
fortnight,,PA59B
fortnight,,PA60A
fortnight,,PA60B
fortnight,,PA61A
fortnight,,PA61B
fortnight,,PA62A
fortnight,,PA62B
fortnight,,PA63A
fortnight,,PA63B
fortnight,,PA64A
fortnight,,PA64B
fortnight,,PA65A
fortnight,,PA65B
fortnight,,PA66A
fortnight,,PA66B
fortnight,,PA67A
fortnight,,PA67B
fortnight,,WV1!
fortnight,,WV2
fortnight,,WV3
fortnight,,WV4A
fortnight,,WV4B
fortnight,,WV5
fortnight,,WV6A
fortnight,,WV6B
fortnight,,WV7A
fortnight,,WV7B
fortnight,,WV8A
fortnight,,WV8B
fortnight,,WV9A
fortnight,,WV9B
fortnight,,WV10A
fortnight,,WV10B
fortnight,,WV10C
fortnight,,WV11A
fortnight,,WV11B!
fortnight,,WV12A
fortnight,,WV12B
fortnight,,WV13A
fortnight,,WV13B
fortnight,,WV14A
fortnight,,WV14B
fortnight,,WV15A
fortnight,,WV15B
fortnight,,WV16A
fortnight,,WV16B
fortnight,,WV17A
fortnight,,WV17B
fortnight,,WV17C
fortnight,,WV18A
fortnight,,WV18B
fortnight,,WV19A
fortnight,,WV19B
fortnight,,WV20A
fortnight,,WV20B
fortnight,,WV21A
fortnight,,WV21B
fortnight,,WV22A
fortnight,,WV22B
fortnight,,WV23A
fortnight,,WV23B
fortnight,,WV24A
fortnight,,WV24B
fortnight,,WV25A
fortnight,,WV25B
fortnight,,WV26A
fortnight,,WV26B
fortnight,,WV27A
fortnight,,WV27B
fortnight,,WV28A
fortnight,,WV28B
fortnight,,WV29A
fortnight,,WV29B
fortnight,,WV30A
fortnight,,WV30B
fortnight,,WV31A
fortnight,,WV31B
fortnight,,WV32A
fortnight,,WV32B
fortnight,,WV33A
fortnight,,WV33B
fortnight,,WV34A
fortnight,,WV34B
fortnight,,WV35A
fortnight,,WV35B
fortnight,,WV36A
fortnight,,WV36B
fortnight,,WV37A
fortnight,,WV37B!
fortnight,,WV38A
fortnight,,WV38B
fortnight,,WV39A
fortnight,,WV39B
fortnight,,WV39C!
fortnight,,WV40A
fortnight,,WV40B
fortnight,,WV41A
fortnight,,WV41B
fortnight,,WV42A
fortnight,,WV42B
fortnight,,WV43A
fortnight,,WV43B
fortnight,,WV44A
fortnight,,WV44B
fortnight,,WV45A
fortnight,,WV45B
fortnight,,WV46A
fortnight,,WV46B
fortnight,,WV47A
fortnight,,WV47B
fortnight,,WV48A
fortnight,,WV48B
fortnight,,WV48C
fortnight,,WV48D
fortnight,,WV49A
fortnight,,WV49B
fortnight,,WV50A
fortnight,,WV50B
fortnight,,WV51A
fortnight,,WV51B
fortnight,,WV52A
fortnight,,WV52B
fortnight,,WV52C!
fortnight,,WV53A
fortnight,,WV53B
fortnight,,WV53C!
fortnight,,WV54A
fortnight,,WV54B
fortnight,,DE1A
fortnight,,DE1B
fortnight,,DE1C!
fortnight,,DE2A
fortnight,,DE2B
fortnight,,DE2C
fortnight,,DE3A
fortnight,,DE3B
fortnight,,DE3C!
fortnight,,DE4
fortnight,,DE5A
fortnight,,DE5B
fortnight,,DE6A
fortnight,,DE6B
fortnight,,MD1A
fortnight,,MD1B
fortnight,,MD2A
fortnight,,MD2B
fortnight,,MD3A
fortnight,,MD3B
fortnight,,MD4A
fortnight,,MD4B
fortnight,,MD4C
fortnight,,MD5A
fortnight,,MD5B
fortnight,,MD6A
fortnight,,MD6B
fortnight,,MD7A
fortnight,,MD7B
fortnight,,MD7C!
fortnight,,MD8A
fortnight,,MD8B
fortnight,,MD9N
fortnight,,MD9A
fortnight,,MD9B
fortnight,,MD10A
fortnight,,MD10B
fortnight,,MD11
fortnight,,MD12A
fortnight,,MD12B
fortnight,,MD13A
fortnight,,MD13B
fortnight,,MD13C
fortnight,,MD13D!
fortnight,,MD13E!
fortnight,,MD13F!
fortnight,,MD13G
fortnight,,MD14
fortnight,,MD15A
fortnight,,MD15B
fortnight,,MD16
fortnight,,MD17A
fortnight,,MD17B
fortnight,,MD18A
fortnight,,MD18B
fortnight,,MD19A
fortnight,,MD19B
fortnight,,MD20A
fortnight,,MD20B
fortnight,,MD20C!
fortnight,,MD21A
fortnight,,MD21B
fortnight,,MD22N
fortnight,,MD22M
fortnight,fortnight,MD22A
fortnight,,MD22B
fortnight,,MD22C!
fortnight,,MD23A
fortnight,,MD23B
fortnight,,MD23C
fortnight,,MD24
fortnight,,MD25
fortnight,,MD26A
fortnight,,MD26B
fortnight,,MD27A
fortnight,,MD27B
fortnight,,DC1A
fortnight,,DC1B!
fortnight,,VA1!
fortnight,,VA2A
fortnight,,VA2B
fortnight,,VA3A
fortnight,,VA3B
fortnight,,VA3C
fortnight,fortnight,VA4N
fortnight,,VA5A
fortnight,,VA5B
fortnight,,VA6A
fortnight,,VA6B
fortnight,,VA7A
fortnight,,VA7B
fortnight,fortnight,VA8A
fortnight,,VA8B
fortnight,,VA8C!
fortnight,,VA9A
fortnight,,VA9B!
fortnight,,VA10A
fortnight,,VA10B
fortnight,,VA11A
fortnight,,VA11B
fortnight,,VA12N
fortnight,,VA12A
fortnight,,VA12B!
fortnight,,VA13A
fortnight,,VA13B
fortnight,fortnight,VA14A
fortnight,,VA14B
fortnight,,VA14C
fortnight,,VA15N
fortnight,,VA15A
fortnight,,VA15B
fortnight,,VA16A
fortnight,,VA16B
fortnight,,VA17A
fortnight,,VA17B
fortnight,,VA18
fortnight,fortnight,VA19A
fortnight,fortnight,VA19B
fortnight,fortnight,VA19C!
fortnight,fortnight,VA20A
fortnight,fortnight,VA20B
fortnight,,VA20C
fortnight,fortnight,VA21N
fortnight,,VA21A
fortnight,,VA21B
fortnight,fortnight,VA22
fortnight,fortnight,VA23A
fortnight,,VA23B
fortnight,,VA24
fortnight,fortnight,VA25
fortnight,,VA26A
fortnight,fortnight,VA26B
fortnight,,VA26C
fortnight,fortnight,VA27
fortnight,fortnight,VA28A
fortnight,fortnight,VA28B
fortnight,,VA29
fortnight,fortnight,VA30A
fortnight,,VA30B!
fortnight,Sunday fortnight,VA30C!
fortnight,fortnight,VA30D!
fortnight,,VA30E!
fortnight,,VA31A
fortnight,,VA31B
fortnight,,VA31C
fortnight,,VA32!
fortnight,,VA33A
fortnight,,VA33B
fortnight,fortnight,VA34A
fortnight,,VA34B
fortnight,fortnight,VA35A
fortnight,,VA35B
fortnight,fortnight,VA36A
fortnight,fortnight,VA36B
fortnight,,VA37
fortnight,,VA38
fortnight,,VA39!
fortnight,fortnight,VA40A
fortnight,,VA40B
fortnight,,VA41A
fortnight,,VA41B
fortnight,,VA42A
fortnight,,VA42B
fortnight,fortnight,VA43N
fortnight,,VA43A
fortnight,fortnight,VA43B
fortnight,,VA44A
fortnight,,VA44B
fortnight,fortnight,VA45A
fortnight,,VA45B
fortnight,,VA46N
fortnight,,VA46A
fortnight,,VA46B!
fortnight,,VA47
fortnight,,VA48A
fortnight,,VA48B
fortnight,,VA49A
fortnight,,VA49B
fortnight,fortnight,VA50A
fortnight,fortnight,VA50B
fortnight,,VA51A
fortnight,fortnight,VA51B
fortnight,,VA51C
fortnight,,VA52A
fortnight,,VA52B
fortnight,,VA52C!
fortnight,,VA53A
fortnight,,VA53B
fortnight,,VA54A
fortnight,,VA54B
fortnight,,VA55A
fortnight,,VA55B
fortnight,,VA56A
fortnight,,VA56B
fortnight,,VA57A
fortnight,,VA57B
fortnight,,VA58
fortnight,,VA59N
fortnight,,VA59A
fortnight,,VA59B!
fortnight,,VA60
fortnight,,VA61A
fortnight,,VA61B!
fortnight,,VA61C
fortnight,,VA62A
fortnight,,VA62B
fortnight,,VA63A
fortnight,,VA63B
fortnight,,VA64A
fortnight,,VA64B
fortnight,,VA65A
fortnight,,VA65B
fortnight,,VA65C!
fortnight,,VA66A
fortnight,,VA66B
fortnight,,VA67A
fortnight,,VA67B
fortnight,,VA68A
fortnight,,VA68B
fortnight,,VA69A
fortnight,,VA69B
fortnight,,VA70A
fortnight,,VA70B
fortnight,,VA71A
fortnight,,VA71B
fortnight,,VA72A
fortnight,,VA72B
fortnight,,VA73
fortnight,,VA74A
fortnight,,VA74B!
fortnight,,VA75A
fortnight,,VA75B
fortnight,,NC1
fortnight,,NC2A
fortnight,fortnight,NC2B
fortnight,fortnight,NC3A
fortnight,,NC3B
fortnight,fortnight,NC4A
