Target,Response,Informant
forty,forty,NY1
forty,,NY2A
forty,forty,NY2B
forty,,NY2C
forty,forty,NY3A
forty,forty,NY3B
forty,forty,NY3C
forty,forty,NY3D
forty,forty,NY4A
forty,forty,NY4B
forty,forty,NY4C
forty,forty,NY5A
forty,forty,NY5B
forty,forty,NY5C
forty,forty,NY5D
forty,forty,NY5E
forty,forty,NY5F
forty,forty,NY5G
forty,forty,NY5H!
forty,forty,NY5I!
forty,forty,NY6A
forty,forty,NY6B
forty,forty,NY7A
forty,forty,NY7B
forty,forty,NY7C
forty,forty,NY7D
forty,forty,NY7E
forty,forty,NY7F
forty,forty,NY7G
forty,forty,NY7H
forty,forty,NY7I
forty,forty,NY7J!
forty,forty,NY7K!
forty,forty,NY7L!
forty,forty,NY7M!
forty,forty,NY8
forty,forty,NY9A
forty,forty,NY9B
forty,forty,NY9C
forty,forty,NY10A
forty,forty,NY10B!
forty,forty,NY11
forty,forty,NY12A
forty,forty,NY12B
forty,forty,NY12C!
forty,forty,NY13A
forty,forty,NY13B!
forty,forty,NY14A
forty,forty,NY14B
forty,forty,NY15A
forty,forty,NY15B
forty,forty,NY16A
forty,forty,NY16B
forty,forty,NY17A
forty,forty,NY17B
forty,forty,NY18A
forty,forty,NY18B
forty,forty,NY18C!
forty,forty,NY19
forty,forty,NY20A
forty,forty,NY20B
forty,forty,NY21
forty,forty,NY22
forty,,NY23A
forty,forty,NY23B
forty,forty,NY23C
forty,forty,NY24A
forty,forty,NY24B!
forty,forty,NY25A
forty,forty,NY25A
forty,forty,NY25B
forty,forty,NY26A
forty,forty,NY26A
forty,forty,NY26B
forty,forty,NY26C
forty,forty,NY27A
forty,forty,NY27A
forty,,NY27B
forty,forty,NY27C
forty,forty,NY27C
forty,forty,NY28A
forty,forty,NY28B
forty,forty,NY28B
forty,,NY28C
forty,forty,NY29A
forty,forty,NY29B
forty,forty,NY29C
forty,forty,NY30A
forty,forty,NY30B
forty,forty,NY30C
forty,forty,NY30D
forty,forty,NY30E
forty,forty,NY31A
forty,forty,NY31A
forty,forty,NY31B
forty,forty,NY32A
forty,forty,NY32A
forty,forty,NY32B
forty,forty,NY33A
forty,forty,NY33B
forty,forty,NY33C
forty,forty,NY33C
forty,forty,NY34A
forty,,NY34B
forty,forty,NY34C
forty,forty,NY34D!
forty,forty,NY35A
forty,forty,NY35B
forty,,NY35C!
forty,forty,NY36A
forty,forty,NY36B
forty,forty,NY37A
forty,forty,NY37B
forty,forty,NY37C!
forty,forty,NY38A
forty,forty,NY38B
forty,,NY38C
forty,forty,NY39A
forty,forty,NY39B
forty,forty,NY40A
forty,forty,NY40B
forty,forty,NY41
forty,forty,NY42A
forty,forty,NY42B
forty,,NY43A
forty,forty,NY43B
forty,forty,NY43C!
forty,forty,NY44A
forty,forty,NY44B
forty,forty,NY45A
forty,forty,NY45B
forty,,NY45C
forty,forty,NY45D!
forty,forty,NY46A
forty,forty,NY46A
forty,forty,NY46B
forty,forty,NY46B
forty,forty,NY46B
forty,forty,NY46C
forty,forty,NY47A
forty,forty,NY47A
forty,forty,NY47B
forty,forty,NY48A
forty,,NY48B
forty,forty,NY48C
forty,forty,NY48C
forty,,NY48D
forty,forty,NY49A
forty,,NY49B
forty,forty,NY49C
forty,forty-eight,NY49C
forty,forty-five,NY49C
forty,forty,NY49D
forty,forty-five,NY49D
forty,forty,NY50A
forty,forty,NY50B
forty,forty,NY51A
forty,forty,NY51A
forty,forty,NY51A
forty,forty,NY51B
forty,forty,NY51B
forty,forty,NY51C
forty,,NY51D
forty,forty,NY51E!
forty,forty,NY52A
forty,forty-seven,NY52B
forty,forty,NY52C
forty,forty,NY53A
forty,forty,NY53B!
forty,forty,NY53B!
forty,forty,NY54A
forty,forty,NY54B
forty,forty,NY55A
forty,forty,NY55A
forty,forty,NY55B
forty,forty,NY56A
forty,forty,NY56B
forty,forty,NY57A
forty,,NY57B
forty,forty,NY57C!
forty,forty,NY58A
forty,forty,NY58B
forty,forty,NY58B
forty,,NY58C
forty,forty,NY58D!
forty,forty,NY58E!
forty,forty,NY58E!
forty,forty,NY58E!
forty,,NY58F!
forty,forty,NY59A
forty,forty,NY59B
forty,forty,NY60A
forty,forty,NY60B!
forty,forty,NY61A
forty,forty,NY61B
forty,forty,NY61B
forty,,NY62A
forty,forty,NY62B
forty,forty,NY62B
forty,forty,NY62B
forty,forty,NY62C
forty,forty,NY62C
forty,forty,NY62D!
forty,forty,NY62D!
forty,forty,NY62D!
forty,forty,NY63A
forty,forty,NY63B
forty,forty,NY63C
forty,forty,NY63D!
forty,forty,NY64A
forty,forty,NY64A
forty,forty,NY64B
forty,forty,NY64B
forty,forty,NY64B
forty,forty,NY64C!
forty,forty,NY64C!
forty,forty,NJ1A
forty,forty,NJ1B
forty,forty,NJ2A
forty,forty,NJ2B
forty,forty,NJ3A
forty,forty,NJ3B
forty,forty,NJ4A
forty,forty,NJ4B
forty,forty,NJ5A
forty,forty,NJ5B
forty,forty,NJ6A
forty,forty,NJ6B
forty,forty,NJ7A
forty,forty,NJ7B!
forty,forty,NJ8A
forty,forty,NJ8B
forty,forty,NJ9A
forty,forty,NJ9B
forty,forty,NJ10A
forty,forty,NJ10B
forty,forty,NJ10C
forty,forty,NJ10D!
forty,forty,NJ11A
forty,forty,NJ11B
forty,forty,NJ11C
forty,forty,NJ12A
forty,forty,NJ12B
forty,forty,NJ13A
forty,forty,NJ13B
forty,forty,NJ14A
forty,forty,NJ14B
forty,forty,NJ15A
forty,forty,NJ15B
forty,forty,NJ16A
forty,forty,NJ16B
forty,forty,NJ17A
forty,forty,NJ17B
forty,forty,NJ18A
forty,forty,NJ18B
forty,forty,NJ18C!
forty,forty,NJ18D!
forty,forty,NJ19A
forty,forty,NJ19B!
forty,forty,NJ20A
forty,veertig,NJ20A
forty,forty,NJ20B
forty,forty,NJ21A
forty,forty,NJ21B
forty,forty,PA1A
forty,forty,PA1B
forty,forty,PA1C
forty,forty,PA1D
forty,forty,PA1E!
forty,forty,PA1F!
forty,forty,PA1G!
forty,forty,PA1H!
forty,forty,PA2A
forty,forty,PA2B
forty,forty,PA3A
forty,forty,PA3B
forty,forty,PA3C
forty,forty,PA4A
