Target,Response,Informant
four,four,NY1
four,,NY2A
four,four,NY2B
four,,NY2C
four,four,NY3A
four,four,NY3B
four,four,NY3C
four,four,NY3D
four,four,NY4A
four,four,NY4B
four,four,NY4C
four,four,NY5A
four,four,NY5B
four,four,NY5C
four,four,NY5D
four,four,NY5E
four,four,NY5F
four,four,NY5G
four,four,NY5H!
four,four,NY5I!
four,four,NY6A
four,four,NY6B
four,four,NY7A
four,four,NY7B
four,four,NY7C
four,four,NY7D
four,four,NY7E
four,four,NY7F
four,four,NY7F
four,four,NY7G
four,four,NY7H
four,four,NY7I
four,four,NY7J!
four,four,NY7K!
four,four,NY7L!
four,four,NY7M!
four,four,NY8
four,four,NY9A
four,four,NY9B
four,four,NY9C
four,four,NY10A
four,four,NY10B!
four,four,NY11
four,four,NY12A
four,four,NY12B
four,four,NY12C!
four,four,NY13A
four,four,NY13B!
four,four,NY14A
four,four,NY14B
four,four,NY15A
four,four,NY15B
four,four,NY16A
four,four,NY16B
four,four,NY17A
four,four,NY17B
four,four,NY18A
four,four,NY18B
four,four,NY18C!
four,four,NY19
four,four,NY20A
four,four,NY20B
four,four,NY21
four,four,NY22
four,four,NY23A
four,four,NY23B
four,four,NY23B
four,four,NY23C
four,four,NY23C
four,four,NY24A
four,four,NY24B!
four,four,NY25A
four,four,NY25B
four,four,NY26A
four,four,NY26B
four,,NY26C
four,four,NY27A
four,four,NY27B
four,four,NY27C
four,four,NY28A
four,four,NY28A
four,four,NY28B
four,,NY28C
four,four,NY29A
four,four,NY29B
four,four,NY29B
four,four,NY29C
four,four,NY30A
four,four,NY30B
four,four,NY30B
four,four,NY30C
four,four,NY30D
four,four,NY30E
four,four,NY31A
four,four,NY31A
four,four,NY31B
four,four,NY32A
four,four up and four down,NY32B
four,four,NY32B
four,four,NY33A
four,four,NY33B
four,four,NY33C
four,four,NY33C
four,four,NY34A
four,,NY34B
four,four,NY34C
four,four,NY34D!
four,four,NY34D!
four,four,NY35A
four,four,NY35B
four,,NY35C!
four,four,NY36A
four,four,NY36B
four,four,NY37A
four,four,NY37B
four,four,NY37C!
four,four,NY38A
four,four,NY38B
four,,NY38C
four,four,NY39A
four,four,NY39B
four,four,NY40A
four,four,NY40B
four,four,NY41
four,four,NY42A
four,four,NY42B
four,,NY43A
four,four,NY43B
four,four,NY43C!
four,four,NY44A
four,four,NY44B
four,four,NY45A
four,four,NY45B
four,,NY45C
four,four,NY45D!
four,four,NY46A
four,four,NY46B
four,four,NY46B
four,four,NY46C
four,four,NY47A
four,four,NY47B
four,four,NY48A
four,four,NY48B
four,four,NY48B
four,four,NY48C
four,four,NY48D
four,,NY49A
four,,NY49B
four,four,NY49C
four,four,NY49C
four,fourth,NY49D
four,four,NY49D
four,four,NY50A
four,four,NY50A
four,four,NY50B
four,four,NY51A
four,four of us,NY51A
four,four,NY51B
four,four,NY51B
four,four,NY51C
four,four,NY51D
four,four,NY51E!
four,four,NY52A
four,,NY52B
four,four,NY52C
four,four,NY53A
four,four,NY53B!
four,four,NY54A
four,four,NY54A
four,four,NY54B
four,four,NY54B
four,four,NY55A
four,four,NY55A
four,four,NY55A
four,four,NY55B
four,four,NY55B
four,four,NY55B
four,four o'clock,NY56A
four,four,NY56A
four,four,NY56B
four,four,NY57A
four,four,NY57B
four,four,NY57C!
four,four,NY58A
four,four,NY58A
four,four,NY58B
four,four,NY58B
four,four,NY58B
four,,NY58C
four,four,NY58D!
four,four,NY58E!
four,four,NY58E!
four,,NY58F!
four,four,NY59A
four,four,NY59B
four,four,NY60A
four,four,NY60B!
four,four,NY61A
four,four,NY61A
four,four,NY61A
four,four,NY61B
four,four,NY61B
four,four,NY62A
four,four,NY62B
four,four,NY62B
four,four,NY62B
four,four,NY62C
four,four,NY62C
four,four or five,NY62D!
four,four or five,NY63A
four,four,NY63B
four,four,NY63B
four,four,NY63C
four,four,NY63D!
four,four,NY64A
four,four,NY64B
four,four,NY64B
four,,NY64C!
four,four,NJ1A
four,four,NJ1B
