Target,Response,Informant
fourteen,fourteen,NY1
fourteen,,NY2A
fourteen,fourteen,NY2B
fourteen,,NY2C
fourteen,fourteen,NY3A
fourteen,fourteen,NY3B
fourteen,fourteen,NY3C
fourteen,fourteen,NY3D
fourteen,fourteen,NY4A
fourteen,fourteen,NY4B
fourteen,fourteen,NY4C
fourteen,fourteen,NY5A
fourteen,fourteen,NY5B
fourteen,fourteen,NY5C
fourteen,fourteen,NY5D
fourteen,fourteen,NY5E
fourteen,fourteen,NY5F
fourteen,fourteen,NY5G
fourteen,fourteen,NY5H!
fourteen,fourteen,NY5I!
fourteen,fourteen,NY6A
fourteen,fourteen,NY6B
fourteen,fourteen,NY7A
fourteen,fourteen,NY7B
fourteen,fourteen,NY7C
fourteen,fourteen,NY7D
fourteen,fourteen,NY7E
fourteen,fourteen,NY7F
fourteen,fourteen,NY7G
fourteen,fourteen,NY7H
fourteen,fourteen,NY7I
fourteen,fourteen,NY7J!
fourteen,fourteen,NY7K!
fourteen,fourteen,NY7L!
fourteen,fourteen,NY7M!
fourteen,fourteen,NY8
fourteen,fourteen,NY9A
fourteen,fourteen,NY9B
fourteen,fourteen,NY9C
fourteen,fourteen,NY10A
fourteen,fourteen,NY10B!
fourteen,fourteen,NY11
fourteen,fourteen,NY12A
fourteen,fourteen,NY12B
fourteen,fourteen,NY12C!
fourteen,fourteen,NY13A
fourteen,fourteen,NY13B!
fourteen,fourteen,NY14A
fourteen,fourteen,NY14B
fourteen,fourteen,NY15A
fourteen,fourteen,NY15B
fourteen,fourteen,NY16A
fourteen,fourteen,NY16B
fourteen,fourteen,NY17A
fourteen,fourteen,NY17B
fourteen,fourteen,NY18A
fourteen,fourteen,NY18B
fourteen,fourteen,NY18C!
fourteen,fourteen,NY19
fourteen,fourteen,NY20A
fourteen,fourteen,NY20B
fourteen,fourteen,NY21
fourteen,fourteen,NY22
fourteen,,NY23A
fourteen,fourteen,NY23B
fourteen,fourteen,NY23C
fourteen,fourteen,NY24A
fourteen,fourteen,NY24B!
fourteen,fourteen,NY25A
fourteen,fourteen,NY25A
fourteen,fourteen,NY25B
fourteen,fourteen,NY26A
fourteen,fourteen,NY26B
fourteen,,NY26C
fourteen,fourteen,NY27A
fourteen,,NY27B
fourteen,fourteen,NY27C
fourteen,fourteen,NY27C
fourteen,fourteen,NY28A
fourteen,fourteen,NY28B
fourteen,,NY28C
fourteen,fourteen,NY29A
fourteen,fourteen,NY29B
fourteen,fourteen,NY29C
fourteen,fourteen,NY30A
fourteen,fourteen,NY30B
fourteen,,NY30C
fourteen,,NY30D
fourteen,fourteen,NY30E
fourteen,fourteen,NY31A
fourteen,fourteen,NY31B
fourteen,fourteen,NY32A
fourteen,fourteen,NY32B
fourteen,fourteen,NY32B
fourteen,fourteen,NY33A
fourteen,fourteen,NY33B
fourteen,fourteen,NY33C
fourteen,fourteen,NY34A
fourteen,,NY34B
fourteen,,NY34C
fourteen,fourteen,NY34D!
fourteen,fourteen,NY34D!
fourteen,fourteen,NY35A
fourteen,fourteen,NY35B
fourteen,,NY35C!
fourteen,fourteen,NY36A
fourteen,fourteen,NY36B
fourteen,fourteen,NY37A
fourteen,fourteen,NY37B
fourteen,fourteen,NY37C!
fourteen,fourteen,NY38A
fourteen,fourteen,NY38B
fourteen,,NY38C
fourteen,fourteen,NY39A
fourteen,fourteen,NY39B
fourteen,fourteen,NY40A
fourteen,fourteen,NY40B
fourteen,fourteen,NY41
fourteen,fourteen,NY42A
fourteen,fourteen,NY42B
