Target,Response,Informant
France,France,NY1
France,,NY2A
France,France,NY2B
France,,NY2C
France,France,NY3A
France,France,NY3B
France,France,NY3C
France,France,NY3D
France,France,NY4A
France,France,NY4B
France,France,NY4C
France,France,NY5A
France,France,NY5B
France,France,NY5C
France,France,NY5D
France,France,NY5E
France,France,NY5F
France,France,NY5G
France,France,NY5H!
France,France,NY5I!
France,France,NY6A
France,France,NY6B
France,France,NY7A
France,France,NY7B
France,France,NY7C
France,France,NY7D
France,France,NY7E
France,France,NY7F
France,France,NY7G
France,France,NY7H
France,France,NY7I
France,France,NY7J!
France,France,NY7K!
France,France,NY7L!
France,France,NY7M!
France,France,NY8
France,France,NY9A
France,France,NY9B
France,France,NY9C
France,France,NY10A
France,France,NY10B!
France,France,NY11
France,France,NY12A
France,France,NY12B
France,France,NY12C!
France,France,NY13A
France,France,NY13B!
France,France,NY14A
France,France,NY14B
France,France,NY15A
France,France,NY15B
France,France,NY16A
France,France,NY16B
France,France,NY17A
France,France,NY17B
France,France,NY18A
France,France,NY18B
France,France,NY18C!
France,France,NY19
France,France,NY20A
France,France,NY20B
France,France,NY21
France,France,NY22
France,,NY23A
France,France,NY23B
France,France,NY23B
France,France,NY23C
France,France,NY24A
France,France,NY24B!
France,France,NY25A
France,France,NY25B
France,France,NY26A
France,France,NY26B
France,,NY26C
France,France,NY27A
France,,NY27B
France,France,NY27C
France,France,NY28A
France,France,NY28B
France,,NY28C
France,,NY29A
France,France,NY29B
France,France,NY29C
France,France,NY30A
France,France,NY30B
France,,NY30C
France,,NY30D
France,France,NY30E
France,France,NY31A
France,France,NY31B
France,France,NY32A
France,France,NY32B
France,,NY33A
France,France,NY33B
France,France,NY33C
France,France,NY34A
France,,NY34B
France,,NY34C
France,France,NY34D!
France,France,NY34D!
France,France,NY35A
France,France,NY35B
France,,NY35C!
France,France,NY36A
France,France,NY36B
France,France,NY37A
France,France,NY37B
France,France,NY37C!
France,France,NY38A
France,France,NY38B
France,,NY38C
France,France,NY39A
France,France,NY39B
France,France,NY40A
France,France,NY40B
France,France,NY41
France,France,NY42A
France,France,NY42B
France,France,NY43A
France,France,NY43B
France,France,NY43C!
France,France,NY44A
France,France,NY44B
France,,NY45A
France,,NY45B
France,,NY45C
France,France,NY45D!
France,France,NY46A
France,,NY46B
France,France,NY46C
France,France,NY47A
France,France,NY47B
France,France,NY48A
France,,NY48B
France,France,NY48C
France,France,NY48D
France,,NY49A
France,,NY49B
France,Germany,NY49C
France,France,NY49C
France,France,NY49D
France,France,NY50A
France,France,NY50B
France,France,NY51A
France,France,NY51B
France,,NY51C
France,,NY51D
France,,NY51E!
France,France,NY52A
France,,NY52B
France,France,NY52C
France,France,NY53A
France,France,NY53B!
France,France,NY54A
France,France,NY54B
France,France,NY55A
France,France,NY55A
France,France,NY55B
France,France,NY56A
France,France,NY56B
France,France,NY57A
France,,NY57B
France,France,NY57C!
France,France,NY58A
France,France,NY58B
France,,NY58C
France,France,NY58D!
France,France,NY58D!
France,France,NY58E!
France,,NY58F!
France,France,NY59A
France,France,NY59B
France,France,NY60A
